period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
11497888135719,11503863931165,11498087575405,11503863931165,199439686,86724.679794119,86727.679669644,86724.779856626,86727.679669644,0.100062507,1,0.0334,0.0334,178964618,32638,0.000182,2642,396,0.149886,388738578
11503863931165,11509840022683,11504092200406,11509840022683,228269241,86727.679669644,86730.679751248,86727.794262090,86730.679751248,0.114592446,1,0.0382,0.0382,178967112,32662,0.000183,2276,344,0.151142,388746248
11509840022683,11515815787658,11510069496860,11515815787658,229474177,86730.679751248,86733.679668347,86730.794948762,86733.679668347,0.115197514,1,0.0384,0.0384,178966434,32103,0.000179,1909,505,0.264536,388743262
11515815787658,11521791723586,11516013194204,11521791723586,197406546,86733.679668347,86736.679671944,86733.778766559,86736.679671944,0.099098212,1,0.033,0.033,178963662,32151,0.000180,2278,406,0.178227,388736330
11521791723586,11527767970545,11522020633312,11527767970545,228909726,86736.679671944,86739.679831727,86736.794585275,86739.679831727,0.114913331,1,0.0383,0.0383,178966485,33313,0.000186,2579,375,0.145405,388743930
11527767970545,11533743571372,11527966416518,11533743571372,198445973,86739.679831727,86742.679667174,86739.779451651,86742.679667174,0.099619924,1,0.0332,0.0332,178961517,30959,0.000173,1669,397,0.237867,388727052
11533743571372,11539719560885,11533942925547,11539719560885,199354175,86742.679667174,86745.679697822,86742.779743441,86745.679697822,0.100076267,1,0.0334,0.0334,178975751,34156,0.000191,3199,433,0.135355,388780298
11539719560885,11545695599414,11539943266694,11545695599414,223705809,86745.679697822,86748.679753057,86745.791999581,86748.679753057,0.112301759,1,0.0374,0.0374,178975195,34951,0.000195,3461,811,0.234325,388774564
11545695599414,11551671671075,11545894659251,11551671671075,199059837,86748.679753057,86751.679826200,86748.779681718,86751.679826200,0.099928661,1,0.0333,0.0333,178963346,32375,0.000181,2444,371,0.151800,388733805
11551671671075,11557647447153,11551869421020,11557647447153,197749945,86751.679826200,86754.679749589,86751.779096921,86754.679749589,0.099270721,1,0.0331,0.0331,178963956,33140,0.000185,2721,473,0.173833,388737524
11557647447153,11563623237408,11557846183711,11563623237408,198736558,86754.679749589,86757.679681515,86754.779516657,86757.679681515,0.099767068,1,0.0333,0.0333,178963964,32076,0.000179,2355,497,0.211040,388737677
11563623237408,11569599808648,11563822330605,11569599808648,199093197,86757.679681515,86760.680005052,86757.779626729,86760.680005052,0.099945214,1,0.0333,0.0333,178964390,32420,0.000181,2518,387,0.153693,388736372
11569599808648,11575575268974,11569799395204,11575575268974,199586556,86760.680005052,86763.679771390,86760.780198728,86763.679771390,0.100193676,1,0.0334,0.0334,178964553,33141,0.000185,2899,481,0.165919,388737727
11575575268974,11581551105066,11575774235133,11581551105066,198966159,86763.679771390,86766.679726411,86763.779653268,86766.679726411,0.099881878,1,0.0333,0.0333,178964512,32830,0.000183,2626,552,0.210206,388737131
11581551105066,11587526902641,11581748816859,11587526902641,197711793,86766.679726411,86769.679662328,86766.778978657,86769.679662328,0.099252246,1,0.0331,0.0331,178962782,31534,0.000176,1986,535,0.269386,388733374
11587526902641,11593502978989,11587726511632,11593502978989,199608991,86769.679662328,86772.679738099,86769.779866749,86772.679738099,0.100204421,1,0.0334,0.0334,178962695,33172,0.000185,2594,316,0.121820,388730404
11593502978989,11599478920192,11593702295255,11599478920192,199316266,86772.679738099,86775.679746599,86772.779795788,86775.679746599,0.100057689,1,0.0334,0.0334,178963548,32592,0.000182,2590,348,0.134363,388733590
11599478920192,11605454840423,11599677940317,11605454840423,199020125,86775.679746599,86778.679745042,86775.779655435,86778.679745042,0.099908836,1,0.0333,0.0333,178963653,32001,0.000179,2246,330,0.146928,388733791
11605454840423,11611430610128,11605653510723,11611430610128,198670300,86778.679745042,86781.679667717,86778.779478171,86781.679667717,0.099733129,1,0.0332,0.0332,178964337,33390,0.000187,2821,441,0.156328,388736131
11611430610128,11617406661746,11611628852055,11617406661746,198241927,86781.679667717,86784.679731584,86781.779185498,86784.679731584,0.099517781,1,0.0332,0.0332,178964979,32816,0.000183,2819,361,0.128060,388739817
11617406661746,11623382586176,11617605953386,11623382586176,199291640,86784.679731584,86787.679732285,86784.779776636,86787.679732285,0.100045052,1,0.0333,0.0333,178963268,32868,0.000184,2593,337,0.129965,388732454
11623382586176,11629358572135,11623581034805,11629358572135,198448629,86787.679732285,86790.679763420,86787.779354250,86790.679763420,0.099621965,1,0.0332,0.0332,178964760,32825,0.000183,2676,371,0.138640,388739106
11629358572135,11635334405568,11629554418617,11635334405568,195846482,86790.679763420,86793.679719027,86790.778079473,86793.679719027,0.098316053,1,0.0328,0.0328,178962302,32094,0.000179,2393,404,0.168826,388729493
11635334405568,11641310233916,11635531867671,11641310233916,197462103,86793.679719027,86796.679671907,86793.778845906,86796.679671907,0.099126879,1,0.033,0.033,178962387,32571,0.000182,2485,434,0.174648,388730252
11641310233916,11647286280916,11641507270590,11647286280916,197036674,86796.679671907,86799.679734623,86796.778584903,86799.679734623,0.098912996,1,0.033,0.033,178962606,32056,0.000179,2151,413,0.192004,388730547
