period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
11964240368586,11970216285634,11964264778598,11970216285634,24410012,86958.795566926,86961.795523162,86958.807770516,86961.795523162,0.012203590,1,0.00407,0.00407,13609001,26878,0.001975,1287,318,0.247086,26681827
11970216285634,11976191910713,11970240595940,11976191910713,24310306,86961.795523162,86964.795381527,86961.807725546,86964.795381527,0.012202384,1,0.00407,0.00407,13607856,26750,0.001966,1013,295,0.291214,26677092
11976191910713,11982168090868,11976216291680,11982168090868,24380967,86964.795381527,86967.795519608,86964.807619416,86967.795519608,0.012237889,1,0.00408,0.00408,13608170,26842,0.001972,1022,282,0.275930,26677742
11982168090868,11988143899662,11982192389691,11988143899662,24298823,86967.795519608,86970.795470177,86967.807715546,86970.795470177,0.012195938,1,0.00407,0.00407,13608047,26737,0.001965,1131,285,0.251989,26677521
11988143899662,11994119604168,11988159184641,11994119604168,15284979,86970.795470177,86973.795368400,86970.803140927,86973.795368400,0.007670750,1,0.00256,0.00256,13607702,26580,0.001953,1101,307,0.278837,26676585
11994119604168,12000095509750,11994134155052,12000095509750,14550884,86973.795368400,86976.795368567,86973.802671167,86976.795368567,0.007302767,1,0.00243,0.00243,13606139,26422,0.001942,821,249,0.303289,26671070
12000095509750,12006071423605,12000112720205,12006071423605,17210455,86976.795368567,86979.795372221,86976.804006143,86979.795372221,0.008637576,1,0.00288,0.00288,13607240,26557,0.001952,944,256,0.271186,26674688
12006071423605,12012047410128,12006088787223,12012047410128,17363618,86979.795372221,86982.795413227,86979.804087111,86982.795413227,0.008714890,1,0.0029,0.0029,13607048,26614,0.001956,945,242,0.256085,26674353
12012047410128,12018023230324,12012064948235,12018023230324,17538107,86982.795413227,86985.795370417,86982.804215319,86985.795370417,0.008802092,1,0.00293,0.00293,13607101,26629,0.001957,935,249,0.266310,26674405
12018023230324,12023999605581,12018041566299,12023999605581,18335975,86985.795370417,86988.795607183,86985.804573168,86988.795607183,0.009202751,1,0.00307,0.00307,13609747,27122,0.001993,1179,379,0.321459,26685315
12023999605581,12029975197968,12024016348620,12029975197968,16743039,86988.795607183,86991.795450019,86988.804009535,86991.795450019,0.008402352,1,0.0028,0.0028,13608566,26963,0.001981,1146,304,0.265271,26680259
12029975197968,12035951611591,12029992737239,12035951611591,17539271,86991.795450019,86994.795705367,86991.804252475,86994.795705367,0.008802456,1,0.00293,0.00293,13607191,26643,0.001958,954,336,0.352201,26674706
12035951611591,12041926908021,12035967797802,12041926908021,16186211,86994.795705367,86997.795400209,86994.803829268,86997.795400209,0.008123901,1,0.00271,0.00271,13607228,26650,0.001959,919,419,0.455930,26674723
12041926908021,12047902745154,12041944111678,12047902745154,17203657,86997.795400209,87000.795366413,86997.804034858,87000.795366413,0.008634649,1,0.00288,0.00288,13608430,26839,0.001972,1123,448,0.398931,26679725
12047902745154,12053878640514,12047926756892,12053878640514,24011738,87000.795366413,87003.795361819,87000.807418904,87003.795361819,0.012052491,1,0.00402,0.00402,13608288,26793,0.001969,1040,280,0.269231,26678149
12053878640514,12059854706978,12053902795423,12059854706978,24154909,87003.795361819,87006.795444139,87003.807486170,87006.795444139,0.012124351,1,0.00404,0.00404,13609246,26758,0.001966,1229,284,0.231082,26682460
12059854706978,12065830462094,12059871246976,12065830462094,16539998,87006.795444139,87009.795369006,87006.803744591,87009.795369006,0.008300452,1,0.00277,0.00277,13606987,26452,0.001944,1074,264,0.245810,26673863
12065830462094,12071806661644,12065854604468,12071806661644,24142374,87009.795369006,87012.795518512,87009.807487047,87012.795518512,0.012118041,1,0.00404,0.00404,13610159,26990,0.001983,1441,370,0.256766,26685668
12071806661644,12077782554516,12071822088696,12077782554516,15427052,87012.795518512,87015.795513369,87012.803260187,87015.795513369,0.007741675,1,0.00258,0.00258,13607176,26474,0.001946,1068,258,0.241573,26674467
12077782554516,12083758377262,12077806810292,12083758377262,24255776,87015.795513369,87018.795473111,87015.807687728,87018.795473111,0.012174359,1,0.00406,0.00406,13609381,27007,0.001984,1083,273,0.252078,26682444
12083758377262,12089734058072,12083774840531,12089734058072,16463269,87018.795473111,87021.795361095,87018.803734841,87021.795361095,0.008261730,1,0.00275,0.00275,13607202,26479,0.001946,1082,270,0.249538,26674565
12089734058072,12095709997997,12089758437207,12095709997997,24379135,87021.795361095,87024.795380231,87021.807598280,87024.795380231,0.012237185,1,0.00408,0.00408,13609328,27033,0.001986,1142,233,0.204028,26682976
12095709997997,12101685896969,12095740864294,12101685896969,30866297,87024.795380231,87027.795378360,87024.810875826,87027.795378360,0.015495595,1,0.00517,0.00517,13609172,27135,0.001994,1180,508,0.430508,26682533
12101685896969,12107662088242,12101713989259,12107662088242,28092290,87027.795378360,87030.795524803,87027.809479684,87030.795524803,0.014101324,1,0.0047,0.0047,13609289,27053,0.001988,1046,417,0.398662,26682884
12107662088242,12113639237308,12107690416717,12113639237308,28328475,87030.795524803,87033.796148143,87030.809743145,87033.796148143,0.014218342,1,0.00474,0.00474,13609537,26965,0.001981,1308,303,0.231651,26683374
