period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
12119698884273,12125675136552,12119731401466,12125675136552,32517193,87036.838247484,87039.838367436,87036.854513381,87039.838367436,0.016265897,1,0.00542,0.00542,18489741,27229,0.001473,1449,326,0.224983,37278180
12125675136552,12131650687903,12125695699584,12131650687903,20563032,87039.838367436,87042.838191624,87039.848687707,87042.838191624,0.010320271,1,0.00344,0.00344,18488204,26876,0.001454,1286,408,0.317263,37272916
12131650687903,12137627147794,12131671116816,12137627147794,20428913,87042.838191624,87045.838472315,87042.848444720,87045.838472315,0.010253096,1,0.00342,0.00342,18487426,26698,0.001444,1163,328,0.282029,37269443
12137627147794,12143603060808,12137646520267,12143603060808,19372473,87045.838472315,87048.838478433,87045.848194952,87048.838478433,0.009722637,1,0.00324,0.00324,18487275,26764,0.001448,1156,376,0.325260,37269495
12143603060808,12149578389020,12143621585906,12149578389020,18525098,87048.838478433,87051.838190614,87048.847775594,87051.838190614,0.009297161,1,0.0031,0.0031,18487167,26665,0.001442,1198,353,0.294658,37268812
12149578389020,12155554788845,12149599355579,12155554788845,20966559,87051.838190614,87054.838441739,87051.848713864,87054.838441739,0.010523250,1,0.00351,0.00351,18487519,26817,0.001451,1063,314,0.295390,37269783
12155554788845,12161530366679,12155576271502,12161530366679,21482657,87054.838441739,87057.838279804,87054.849223805,87057.838279804,0.010782066,1,0.00359,0.00359,18487227,26720,0.001445,1160,350,0.301724,37268869
12161530366679,12167506420746,12161550305655,12167506420746,19938976,87057.838279804,87060.838356127,87057.848286808,87060.838356127,0.010007004,1,0.00334,0.00334,18487207,26684,0.001443,1119,331,0.295800,37268559
12167506420746,12173482021413,12167522485734,12173482021413,16064988,87060.838356127,87063.838206567,87060.846419266,87063.838206567,0.008063139,1,0.00269,0.00269,18486645,26600,0.001439,1078,391,0.362709,37267655
12173482021413,12179458454541,12173503346534,12179458454541,21325121,87063.838206567,87066.838474736,87063.848909685,87066.838474736,0.010703118,1,0.00357,0.00357,18488463,26896,0.001455,1243,357,0.287208,37273854
12179458454541,12185434361478,12179479937484,12185434361478,21482943,87066.838474736,87069.838478381,87066.849256753,87069.838478381,0.010782017,1,0.00359,0.00359,18490108,27178,0.001470,1358,460,0.338733,37280977
12185434361478,12191409767718,12185453849663,12191409767718,19488185,87069.838478381,87072.838230655,87069.848259053,87072.838230655,0.009780672,1,0.00326,0.00326,18488744,27052,0.001463,1219,385,0.315833,37274931
12191409767718,12197386179336,12191431428449,12197386179336,21660731,87072.838230655,87075.838488082,87072.849102257,87075.838488082,0.010871602,1,0.00362,0.00362,18487257,26707,0.001445,1069,298,0.278765,37268762
12197386179336,12203362383945,12197407557399,12203362383945,21378063,87075.838488082,87078.838641540,87075.849217514,87078.838641540,0.010729432,1,0.00358,0.00358,18488025,26852,0.001452,1187,395,0.332772,37271312
12203362383945,12209337953588,12203394678064,12209337953588,32294119,87078.838641540,87081.838476377,87078.854851478,87081.838476377,0.016209938,1,0.0054,0.0054,18488774,27019,0.001461,1262,342,0.270998,37273927
12209337953588,12215314008374,12209357448701,12215314008374,19495113,87081.838476377,87084.838554783,87081.848260446,87084.838554783,0.009784069,1,0.00326,0.00326,18486757,26668,0.001443,1095,349,0.318721,37267385
12215314008374,12221289064401,12215335502699,12221289064401,21494325,87084.838554783,87087.838131535,87084.849342491,87087.838131535,0.010787708,1,0.0036,0.0036,18488490,26971,0.001459,1120,393,0.350893,37273947
12221289064401,12227265556951,12221310197494,12227265556951,21133093,87087.838131535,87090.838430437,87087.848738324,87090.838430437,0.010606789,1,0.00354,0.00354,18487169,26751,0.001447,1103,282,0.255666,37268593
12227265556951,12233241452330,12227286985786,12233241452330,21428835,87090.838430437,87093.838429041,87090.849185079,87093.838429041,0.010754642,1,0.00358,0.00358,18487102,26756,0.001447,1125,313,0.278222,37268449
12233241452330,12239216877804,12233263239114,12239216877804,21786784,87093.838429041,87096.838191647,87093.849363454,87096.838191647,0.010934413,1,0.00365,0.00365,18489012,27134,0.001468,1330,379,0.284962,37276135
12239216877804,12245193344050,12239238103524,12245193344050,21225720,87096.838191647,87099.838477046,87096.848844615,87099.838477046,0.010652968,1,0.00355,0.00355,18488925,27075,0.001464,1216,372,0.305921,37275236
12245193344050,12251168730073,12245214851020,12251168730073,21506970,87099.838477046,87102.838220248,87099.849271697,87102.838220248,0.010794651,1,0.0036,0.0036,18487288,26842,0.001452,1139,401,0.352063,37269043
12251168730073,12257144559651,12251190632657,12257144559651,21902584,87102.838220248,87105.838185895,87102.849213310,87105.838185895,0.010993062,1,0.00366,0.00366,18489287,27124,0.001467,1141,400,0.350570,37276705
12257144559651,12263120373881,12257163511479,12263120373881,18951828,87105.838185895,87108.838144288,87105.847698024,87108.838144288,0.009512129,1,0.00317,0.00317,18488559,27101,0.001466,1288,472,0.366460,37274118
12263120373881,12269096388851,12263141733308,12269096388851,21359427,87108.838144288,87111.838203450,87108.848865146,87111.838203450,0.010720858,1,0.00357,0.00357,18487637,26833,0.001451,1146,387,0.337696,37270238
