period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
12275139768272,12281116027547,12275281931398,12281116027547,142163126,87114.872130498,87117.872263412,87114.943446843,87117.872263412,0.071316345,1,0.0238,0.0238,122051178,33237,0.000272,2282,383,0.167835,285367317
12281116027547,12287091608926,12281257103793,12287091608926,141076246,87117.872263412,87120.872104767,87117.943083196,87120.872104767,0.070819784,1,0.0236,0.0236,122042782,33976,0.000278,2695,501,0.185900,285337262
12287091608926,12293067488568,12287233776105,12293067488568,142167179,87120.872104767,87123.872096615,87120.943472782,87123.872096615,0.071368015,1,0.0238,0.0238,122041716,39144,0.000321,3869,315,0.081416,285333000
12293067488568,12299043226316,12293239863589,12299043226316,172375021,87123.872096615,87126.872015222,87123.958630047,87126.872015222,0.086533432,1,0.0288,0.0288,122055929,45022,0.000369,6028,1408,0.233577,285385128
12299043226316,12305019308265,12299110427163,12305019308265,67200847,87126.872015222,87129.872110871,87126.905750625,87129.872110871,0.033735403,1,0.0112,0.0112,122030550,30380,0.000249,2065,1144,0.553995,285296682
12305019308265,12310995551698,12305108083189,12310995551698,88774924,87129.872110871,87132.872285700,87129.916674178,87132.872285700,0.044563307,1,0.0149,0.0149,122035672,30719,0.000252,1908,346,0.181342,285313546
12310995551698,12316971109729,12311170185962,12316971109729,174634264,87132.872285700,87135.872115744,87132.959951724,87135.872115744,0.087666024,1,0.0292,0.0292,122053876,38823,0.000318,4223,608,0.143973,285379434
12316971109729,12322947526940,12317113242128,12322947526940,142132399,87135.872115744,87138.872377855,87135.943465962,87138.872377855,0.071350218,1,0.0238,0.0238,122056808,38516,0.000316,4407,437,0.099160,285390501
12322947526940,12328923255154,12323124218393,12328923255154,176691453,87138.872377855,87141.872294567,87138.961077093,87141.872294567,0.088699238,1,0.0296,0.0296,122052242,37358,0.000306,3551,409,0.115179,285371399
12328923255154,12334898764676,12329065618057,12334898764676,142362903,87141.872294567,87144.872100457,87141.943759609,87144.872100457,0.071465042,1,0.0238,0.0238,122042558,36054,0.000295,3120,419,0.134295,285336119
12334898764676,12340874869702,12335041380768,12340874869702,142616092,87144.872100457,87147.872205679,87144.943693146,87147.872205679,0.071592689,1,0.0239,0.0239,122044174,33678,0.000276,2353,378,0.160646,285342505
12340874869702,12346850545997,12341017049173,12346850545997,142179471,87147.872205679,87150.872095966,87147.943579351,87150.872095966,0.071373672,1,0.0238,0.0238,122045845,32108,0.000263,1972,597,0.302738,285349642
12346850545997,12352826979245,12346991142463,12352826979245,140596466,87150.872095966,87153.872366360,87150.942674970,87153.872366360,0.070579004,1,0.0235,0.0235,122041329,36376,0.000298,3115,360,0.115570,285331620
12352826979245,12358802701452,12353001487784,12358802701452,174508539,87153.872366360,87156.872279905,87153.959969744,87156.872279905,0.087603384,1,0.0292,0.0292,122048010,35696,0.000292,3001,394,0.131290,285354008
12358802701452,12364778519399,12358976036861,12364778519399,173335409,87156.872279905,87159.872241544,87156.959294640,87159.872241544,0.087014735,1,0.029,0.029,122047220,38082,0.000312,3526,356,0.100964,285351304
12364778519399,12370754579491,12364952247074,12370754579491,173727675,87159.872241544,87162.872324800,87159.959452850,87162.872324800,0.087211306,1,0.0291,0.0291,122048121,34082,0.000279,2330,407,0.174678,285355770
12370754579491,12376730175232,12370929670809,12376730175232,175091318,87162.872324800,87165.872175161,87162.960220879,87165.872175161,0.087896079,1,0.0293,0.0293,122047134,37366,0.000306,3244,395,0.121763,285351174
12376730175232,12382706214303,12376872856085,12382706214303,142680853,87165.872175161,87168.872248260,87165.943800719,87168.872248260,0.071625558,1,0.0239,0.0239,122044249,34568,0.000283,2913,457,0.156883,285342887
12382706214303,12388682083443,12382880052849,12388682083443,173838546,87168.872248260,87171.872236003,87168.959515139,87171.872236003,0.087266879,1,0.0291,0.0291,122047665,34157,0.000280,2525,350,0.138614,285353888
12388682083443,12394658014793,12388857192435,12394658014793,175108992,87171.872236003,87174.872254722,87171.960140477,87174.872254722,0.087904474,1,0.0293,0.0293,122050286,36098,0.000296,3414,497,0.145577,285364672
12394658014793,12400633903703,12394801048890,12400633903703,143034097,87174.872254722,87177.872252558,87174.944057544,87177.872252558,0.071802822,1,0.0239,0.0239,122042744,34121,0.000280,2822,541,0.191708,285336764
12400633903703,12406609343145,12400777108773,12406609343145,143205070,87177.872252558,87180.872024159,87177.944141152,87180.872024159,0.071888594,1,0.024,0.024,122042627,35203,0.000288,3065,612,0.199674,285336109
12406609343145,12412585340738,12406750307833,12412585340738,140964688,87180.872024159,87183.872076632,87180.942788558,87183.872076632,0.070764399,1,0.0236,0.0236,122042519,34215,0.000280,2365,495,0.209302,285336866
12412585340738,12418561285049,12412727690896,12418561285049,142350158,87183.872076632,87186.872102928,87183.943536394,87186.872102928,0.071459762,1,0.0238,0.0238,122040785,34511,0.000283,2886,369,0.127859,285331261
12418561285049,12424537148741,12418703605271,12424537148741,142320222,87186.872102928,87189.872087854,87186.943547128,87189.872087854,0.071444200,1,0.0238,0.0238,122045068,33965,0.000278,2564,364,0.141966,285346833
