period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
12430601193022,12436576734985,12430840963173,12436576734985,239770151,87192.916391244,87195.916165508,87193.036707980,87195.916165508,0.120316736,1,0.0401,0.0401,283527154,49421,0.000174,4954,643,0.129794,591277115
12436576734985,12442552825299,12436846541024,12442552825299,269806039,87195.916165508,87198.916264925,87196.051610335,87198.916264925,0.135444827,1,0.0451,0.0451,283525329,49926,0.000176,4462,517,0.115867,591271007
12442552825299,12448528607185,12442825334468,12448528607185,272509169,87198.916264925,87201.916209542,87199.053067177,87201.916209542,0.136802252,1,0.0456,0.0456,283524474,48388,0.000171,3966,499,0.125819,591267905
12448528607185,12454504179120,12448765288845,12454504179120,236681660,87201.916209542,87204.916048544,87202.035025570,87204.916048544,0.118816028,1,0.0396,0.0396,283517703,47025,0.000166,4430,1213,0.273815,591244329
12454504179120,12460480175778,12454743062169,12460480175778,238883049,87204.916048544,87207.916101146,87205.035969884,87207.916101146,0.119921340,1,0.04,0.04,283521639,46766,0.000165,3782,631,0.166843,591259252
12460480175778,12466456039589,12460746891773,12466456039589,266715995,87207.916101146,87210.916086945,87208.049995191,87210.916086945,0.133894045,1,0.0446,0.0446,283525726,52262,0.000184,5067,611,0.120584,591273744
12466456039589,12472431868546,12466727685882,12472431868546,271646293,87210.916086945,87213.916055411,87211.052456132,87213.916055411,0.136369187,1,0.0455,0.0455,283523432,50869,0.000179,4426,442,0.099864,591263334
12472431868546,12478407900292,12472698794728,12478407900292,266926182,87213.916055411,87216.916126220,87214.050055808,87216.916126220,0.134000397,1,0.0447,0.0447,283540721,58614,0.000207,6864,1067,0.155449,591328121
12478407900292,12484383786651,12478677806677,12484383786651,269906385,87216.916126220,87219.916123899,87217.051622143,87219.916123899,0.135495923,1,0.0452,0.0452,283535244,59673,0.000210,7213,886,0.122834,591306796
12484383786651,12490359626056,12484654230189,12490359626056,270443538,87219.916123899,87222.916097928,87220.051889080,87222.916097928,0.135765181,1,0.0453,0.0453,283529204,51415,0.000181,4705,473,0.100531,591284027
12490359626056,12496335537564,12490629299393,12496335537564,269673337,87222.916097928,87225.916107756,87223.051476365,87225.916107756,0.135378437,1,0.0451,0.0451,283523846,49026,0.000173,4017,476,0.118496,591265768
12496335537564,12502311455635,12496575279991,12502311455635,239742427,87225.916107756,87228.916121784,87226.036460793,87228.916121784,0.120353037,1,0.0401,0.0401,283523148,52865,0.000186,6042,1321,0.218636,591263736
12502311455635,12508287286111,12502550541882,12508287286111,239086247,87228.916121784,87231.916091617,87229.036144735,87231.916091617,0.120022951,1,0.04,0.04,283518507,47403,0.000167,4274,397,0.092887,591246951
12508287286111,12514263225298,12508526555195,12514263225298,239269084,87231.916091617,87234.916116082,87232.036206411,87234.916116082,0.120114794,1,0.04,0.04,283520558,46098,0.000163,3695,516,0.139648,591254613
12514263225298,12520239542951,12514502560691,12520239542951,239335393,87234.916116082,87237.916330608,87235.036263941,87237.916330608,0.120147859,1,0.04,0.04,283518931,48655,0.000172,4728,410,0.086717,591248728
12520239542951,12526215258283,12520478150699,12526215258283,238607748,87237.916330608,87240.916242813,87238.036112983,87240.916242813,0.119782375,1,0.0399,0.0399,283517657,43951,0.000155,2810,446,0.158719,591243290
12526215258283,12532191156347,12526482115365,12532191156347,266857082,87240.916242813,87243.916246375,87241.050207015,87243.916246375,0.133964202,1,0.0447,0.0447,283526850,46058,0.000162,3828,633,0.165361,591278394
12532191156347,12538167314784,12532463095300,12538167314784,271938953,87243.916246375,87246.916381054,87244.052761982,87246.916381054,0.136515607,1,0.0455,0.0455,283522214,46182,0.000163,3720,474,0.127419,591258581
12538167314784,12544142688290,12538433882099,12544142688290,266567315,87246.916381054,87249.916122197,87247.050200918,87249.916122197,0.133819864,1,0.0446,0.0446,283527593,51189,0.000181,5171,1341,0.259331,591281596
12544142688290,12550118580706,12544415310657,12550118580706,272622367,87249.916122197,87252.916123486,87250.052980681,87252.916123486,0.136858484,1,0.0456,0.0456,283526003,47881,0.000169,4119,484,0.117504,591274462
12550118580706,12556094782204,12550357823627,12556094782204,239242921,87252.916123486,87255.916279660,87253.036224756,87255.916279660,0.120101270,1,0.04,0.04,283518812,46520,0.000164,3785,403,0.106473,591247924
12556094782204,12562070634757,12556362764812,12562070634757,267982608,87255.916279660,87258.916261084,87256.050809079,87258.916261084,0.134529419,1,0.0448,0.0448,283524632,48763,0.000172,3944,545,0.138185,591268987
12562070634757,12568046422818,12562340494072,12568046422818,269859315,87258.916261084,87261.916210371,87259.051733374,87261.916210371,0.135472290,1,0.0452,0.0452,283522506,52774,0.000186,5289,1098,0.207601,591259970
12568046422818,12574022418581,12568284374485,12574022418581,237951667,87261.916210371,87264.916263973,87262.035663964,87264.916263973,0.119453593,1,0.0398,0.0398,283519178,46197,0.000163,3758,582,0.154870,591249830
12574022418581,12579998498147,12574294858398,12579998498147,272439817,87264.916263973,87267.916359695,87265.053030694,87267.916359695,0.136766721,1,0.0456,0.0456,283520802,47659,0.000168,3952,420,0.106275,591254315
