period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
12586025037687,12592001429915,12586068786868,12592001429915,43749181,87270.941843737,87273.942039298,87270.963748582,87273.942039298,0.021904845,1,0.0073,0.0073,27487550,40477,0.001473,1858,624,0.335845,52098899
12592001429915,12597976782310,12592044045403,12597976782310,42615488,87273.942039298,87276.941768496,87273.963431261,87276.941768496,0.021391963,1,0.00713,0.00713,27489404,40562,0.001476,2128,430,0.202068,52105259
12597976782310,12603953221304,12597998115450,12603953221304,21333140,87276.941768496,87279.942046279,87276.952478028,87279.942046279,0.010709532,1,0.00357,0.00357,27486684,40096,0.001459,1871,485,0.259220,52097594
12603953221304,12609929225152,12603979800418,12609929225152,26579114,87279.942046279,87282.942104540,87279.955386927,87282.942104540,0.013340648,1,0.00445,0.00445,27485942,40043,0.001457,1760,392,0.222727,52093120
12609929225152,12615904445462,12609955973343,12615904445462,26748191,87282.942104540,87285.941768309,87282.955530477,87285.941768309,0.013425937,1,0.00448,0.00448,27486259,40185,0.001462,1764,739,0.418934,52095149
12615904445462,12621881033562,12615947388790,12621881033562,42943328,87285.941768309,87288.942120442,87285.963324979,87288.942120442,0.021556670,1,0.00718,0.00718,27489295,40747,0.001482,2175,413,0.189885,52105868
12621881033562,12627856519202,12621905882365,12627856519202,24848803,87288.942120442,87291.941917919,87288.954592261,87291.941917919,0.012471819,1,0.00416,0.00416,27485278,39945,0.001453,1645,317,0.192705,52091877
12627856519202,12633832743058,12627881006974,12633832743058,24487772,87291.941917919,87294.942086613,87291.954208771,87294.942086613,0.012290852,1,0.0041,0.0041,27485345,39975,0.001454,1531,379,0.247551,52091964
12633832743058,12639808679990,12633859361702,12639808679990,26618644,87294.942086613,87297.942111318,87294.955447980,87297.942111318,0.013361367,1,0.00445,0.00445,27486408,40292,0.001466,1678,738,0.439809,52095589
12639808679990,12645784508396,12639833468470,12645784508396,24788480,87297.942111318,87300.942081364,87297.954552927,87300.942081364,0.012441609,1,0.00415,0.00415,27483781,39613,0.001441,1498,343,0.228972,52086031
12645784508396,12651759878258,12645809186098,12651759878258,24677702,87300.942081364,87303.941821074,87300.954467511,87303.941821074,0.012386147,1,0.00413,0.00413,27484199,39743,0.001446,1452,294,0.202479,52087225
12651759878258,12657735821950,12651802417230,12657735821950,42538972,87303.941821074,87306.941849306,87303.963174700,87306.941849306,0.021353626,1,0.00712,0.00712,27488493,40510,0.001474,2017,358,0.177491,52102600
12657735821950,12663712214159,12657763060315,12663712214159,27238365,87306.941849306,87309.942103012,87306.955521588,87309.942103012,0.013672282,1,0.00456,0.00456,27486023,40115,0.001459,1701,677,0.398001,52093683
12663712214159,12669688052030,12663738631361,12669688052030,26417202,87309.942103012,87312.942078267,87309.955362382,87312.942078267,0.013259370,1,0.00442,0.00442,27485981,40088,0.001458,1715,383,0.223324,52094248
12669688052030,12675663508285,12669714735125,12675663508285,26683095,87312.942078267,87315.941861835,87312.955471398,87315.941861835,0.013393131,1,0.00446,0.00446,27486055,40177,0.001462,1709,450,0.263312,52093709
12675663508285,12681639202229,12675705734282,12681639202229,42225997,87315.941861835,87318.941764754,87315.963059123,87318.941764754,0.021197288,1,0.00707,0.00707,27486793,40216,0.001463,1773,426,0.240271,52095891
12681639202229,12687615199507,12681668082118,12687615199507,28879889,87318.941764754,87321.941819927,87318.956261315,87321.941819927,0.014496561,1,0.00483,0.00483,27484517,39874,0.001451,1518,645,0.424901,52088661
12687615199507,12693591410638,12687657257092,12693591410638,42057585,87321.941819927,87324.941983205,87321.962931632,87324.941983205,0.021111705,1,0.00704,0.00704,27486203,39939,0.001453,2041,334,0.163645,52093979
12693591410638,12699567495559,12693633973216,12699567495559,42562578,87324.941983205,87327.942082524,87324.963348193,87327.942082524,0.021364988,1,0.00712,0.00712,27490074,40735,0.001482,2073,434,0.209358,52108334
12699567495559,12705543341119,12699609911805,12705543341119,42416246,87327.942082524,87330.942061923,87327.963374143,87330.942061923,0.021291619,1,0.0071,0.0071,27487552,40169,0.001461,2030,340,0.167488,52098246
12705543341119,12711519297809,12705572476090,12711519297809,29134971,87330.942061923,87333.942097111,87330.956686010,87333.942097111,0.014624087,1,0.00487,0.00487,27485473,40096,0.001459,1690,711,0.420710,52091738
12711519297809,12717494587726,12711561448891,12717494587726,42151082,87333.942097111,87336.941797371,87333.963255647,87336.941797371,0.021158536,1,0.00705,0.00705,27488356,40290,0.001466,2050,346,0.168780,52102182
12717494587726,12723471066330,12717537177305,12723471066330,42589579,87336.941797371,87339.942095330,87336.963176411,87339.942095330,0.021379040,1,0.00713,0.00713,27488108,40482,0.001473,1927,305,0.158277,52100782
12723471066330,12729448470062,12723513224014,12729448470062,42157684,87339.942095330,87342.942856438,87339.963256832,87342.942856438,0.021161502,1,0.00705,0.00705,27486294,39999,0.001455,1881,300,0.159490,52094562
12729448470062,12735422754750,12729490988367,12735422754750,42518305,87342.942856438,87345.942053085,87342.964201499,87345.942053085,0.021345061,1,0.00712,0.00712,27487428,40453,0.001472,1754,631,0.359749,52098242
