period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2429951005532,2430150023030,2429951205113,2430150023030,199581,75515.260622335,75515.360476765,75515.260664819,75515.360476765,0.000042484,1,0.000425,0.000425,1102,45,0.040835,22,21,0.954545,4106
2430150023030,2430349655026,2430150232995,2430349655026,209965,75515.360476765,75515.460695359,75515.360579683,75515.460695359,0.000102918,1,0.00103,0.00103,1102,50,0.045372,28,21,0.750000,4106
2430349655026,2430548530399,2430349835675,2430548530399,180649,75515.460695359,75515.560533583,75515.460783171,75515.560533583,0.000087812,1,0.00088,0.00088,1102,48,0.043557,24,21,0.875000,4106
2430548530399,2430748061737,2430548703033,2430748061737,172634,75515.560533583,75515.660701394,75515.560617667,75515.660701394,0.000084084,1,0.000839,0.000839,1102,44,0.039927,28,21,0.750000,4106
2430748061737,2430946982110,2430748241724,2430946982110,179987,75515.660701394,75515.760562580,75515.660788973,75515.760562580,0.000087579,1,0.000877,0.000877,1102,42,0.038113,29,24,0.827586,4106
2430946982110,2431146094163,2430947159141,2431146094163,177031,75515.760562580,75515.860518746,75515.760648466,75515.860518746,0.000085886,1,0.000859,0.000859,1108,48,0.043321,29,23,0.793103,4138
2431146094163,2431345690779,2431146242332,2431345690779,148169,75515.860518746,75515.960719996,75515.860591068,75515.960719996,0.000072322,1,0.000722,0.000722,1108,48,0.043321,30,21,0.700000,4138
2431345690779,2431544593775,2431345869359,2431544593775,178580,75515.960719996,75516.060572216,75515.960806823,75516.060572216,0.000086827,1,0.00087,0.00087,1108,46,0.041516,27,24,0.888889,4138
2431544593775,2431743784953,2431544773563,2431743784953,179788,75516.060572216,75516.160569069,75516.060659713,75516.160569069,0.000087497,1,0.000875,0.000875,1108,47,0.042419,24,22,0.916667,4138
2431743784953,2431942994773,2431743963518,2431942994773,178565,75516.160569069,75516.260575544,75516.160655964,75516.260575544,0.000086895,1,0.000869,0.000869,1108,46,0.041516,25,21,0.840000,4138
2431942994773,2432142192655,2431943176517,2432142192655,181744,75516.260575544,75516.360575614,75516.260663929,75516.360575614,0.000088385,1,0.000884,0.000884,1108,46,0.041516,27,23,0.851852,4138
2432142192655,2432341642805,2432142369356,2432341642805,176701,75516.360575614,75516.460702868,75516.360661525,75516.460702868,0.000085911,1,0.000858,0.000858,1108,44,0.039711,25,21,0.840000,4138
2432341642805,2432540573772,2432341824877,2432540573772,182072,75516.460702868,75516.560568973,75516.460791312,75516.560568973,0.000088444,1,0.000886,0.000886,1108,45,0.040614,28,24,0.857143,4138
2432540573772,2432739763739,2432540754339,2432739763739,180567,75516.560568973,75516.660565197,75516.560656854,75516.660565197,0.000087881,1,0.000879,0.000879,1108,50,0.045126,30,26,0.866667,4138
2432739763739,2432939214502,2432739944877,2432939214502,181138,75516.660565197,75516.760691232,75516.660653420,75516.760691232,0.000088223,1,0.000881,0.000881,1108,46,0.041516,28,22,0.785714,4138
2432939214502,2433138073621,2432939314386,2433138073621,99884,75516.760691232,75516.860521146,75516.760739566,75516.860521146,0.000048334,1,0.000484,0.000484,1108,45,0.040614,27,24,0.888889,4138
2433138073621,2433337232324,2433138183459,2433337232324,109838,75516.860521146,75516.960503155,75516.860574822,75516.960503155,0.000053676,1,0.000537,0.000537,1108,43,0.038809,25,17,0.680000,4138
2433337232324,2433536517225,2433337398075,2433536517225,165751,75516.960503155,75517.060546173,75516.960583563,75517.060546173,0.000080408,1,0.000804,0.000804,1108,48,0.043321,26,15,0.576923,4138
2433536517225,2433735763737,2433536641526,2433735763737,124301,75517.060546173,75517.160571306,75517.060606559,75517.160571306,0.000060386,1,0.000604,0.000604,1108,48,0.043321,30,22,0.733333,4138
2433735763737,2433935220290,2433736166299,2433935220290,402562,75517.160571306,75517.260701867,75517.160771518,75517.260701867,0.000200212,1,0.002,0.002,1108,74,0.066787,44,27,0.613636,4138
2433935220290,2434134133462,2433935398301,2434134133462,178011,75517.260701867,75517.360558807,75517.260788627,75517.360558807,0.000086760,1,0.000869,0.000869,1108,45,0.040614,27,23,0.851852,4138
2434134133462,2434333333086,2434134299877,2434333333086,166415,75517.360558807,75517.460560099,75517.360640058,75517.460560099,0.000081251,1,0.000812,0.000812,1108,49,0.044224,32,19,0.593750,4138
2434333333086,2434532806423,2434333503511,2434532806423,170425,75517.460560099,75517.560698925,75517.460643185,75517.560698925,0.000083086,1,0.00083,0.00083,1108,49,0.044224,29,17,0.586207,4138
2434532806423,2434731732681,2434532986585,2434731732681,180162,75517.560698925,75517.660562609,75517.560786736,75517.660562609,0.000087811,1,0.000879,0.000879,1108,48,0.043321,29,23,0.793103,4138
2434731732681,2434931243815,2434731898580,2434931243815,165899,75517.660562609,75517.760721017,75517.660643437,75517.760721017,0.000080828,1,0.000807,0.000807,1108,47,0.042419,27,18,0.666667,4138
2434931243815,2435130148475,2434931423765,2435130148475,179950,75517.760721017,75517.860573940,75517.760808005,75517.860573940,0.000086988,1,0.000871,0.000871,1108,42,0.037906,25,22,0.880000,4138
2435130148475,2435329640064,2435130328909,2435329640064,180434,75517.860573940,75517.960721167,75517.860661289,75517.960721167,0.000087349,1,0.000872,0.000872,1108,49,0.044224,30,24,0.800000,4138
2435329640064,2435528372746,2435329820348,2435528372746,180284,75517.960721167,75518.060488500,75517.960809014,75518.060488500,0.000087847,1,0.000881,0.000881,1108,45,0.040614,29,26,0.896552,4138
2435528372746,2435728020227,2435528579855,2435728020227,207109,75518.060488500,75518.160713938,75518.060589697,75518.160713938,0.000101197,1,0.00101,0.00101,1108,108,0.097473,24,9,0.375000,4138
2435728020227,2435926915662,2435728200971,2435926915662,180744,75518.160713938,75518.260562396,75518.160801948,75518.260562396,0.000088010,1,0.000881,0.000881,1108,42,0.037906,27,24,0.888889,4138
2435926915662,2436126119749,2435927096104,2436126119749,180442,75518.260562396,75518.360565663,75518.260650143,75518.360565663,0.000087747,1,0.000877,0.000877,1108,47,0.042419,30,25,0.833333,4138
2436126119749,2436325321126,2436126300025,2436325321126,180276,75518.360565663,75518.460567865,75518.360653512,75518.460567865,0.000087849,1,0.000878,0.000878,1108,42,0.037906,26,21,0.807692,4138
2436325321126,2436524514048,2436325502867,2436524514048,181741,75518.460567865,75518.560565718,75518.460656274,75518.560565718,0.000088409,1,0.000884,0.000884,1108,45,0.040614,28,24,0.857143,4138
2436524514048,2436723708129,2436524691219,2436723708129,177171,75518.560565718,75518.660563877,75518.560651765,75518.660563877,0.000086047,1,0.00086,0.00086,1108,46,0.041516,31,24,0.774194,4138
2436723708129,2436922860861,2436723887838,2436922860861,179709,75518.660563877,75518.760541717,75518.660651306,75518.760541717,0.000087429,1,0.000874,0.000874,1108,44,0.039711,27,23,0.851852,4138
2436922860861,2437122041387,2436923052583,2437122041387,191722,75518.760541717,75518.860532315,75518.760635051,75518.860532315,0.000093334,1,0.000933,0.000933,1107,45,0.040650,27,22,0.814815,4138
2437122041387,2437321559471,2437122206699,2437321559471,165312,75518.860532315,75518.960694065,75518.860613227,75518.960694065,0.000080912,1,0.000808,0.000808,1107,46,0.041554,29,19,0.655172,4138
2437321559471,2437520573731,2437321738328,2437520573731,178857,75518.960694065,75519.060602174,75518.960780971,75519.060602174,0.000086906,1,0.00087,0.00087,1107,43,0.038844,25,22,0.880000,4138
2437520573731,2437720083639,2437520754862,2437720083639,181131,75519.060602174,75519.160759056,75519.060690371,75519.160759056,0.000088197,1,0.000881,0.000881,1107,42,0.037940,26,23,0.884615,4138
2437720083639,2437918905613,2437720261905,2437918905613,178266,75519.160759056,75519.260570146,75519.160845767,75519.260570146,0.000086711,1,0.000869,0.000869,1107,46,0.041554,27,24,0.888889,4138
2437918905613,2438118036142,2437919211221,2438118036142,305608,75519.260570146,75519.360536772,75519.260721606,75519.360536772,0.000151460,1,0.00152,0.00152,1107,50,0.045167,26,13,0.500000,4138
2438118036142,2438317163486,2438118212079,2438317163486,175937,75519.360536772,75519.460501702,75519.360622622,75519.460501702,0.000085850,1,0.000859,0.000859,1107,45,0.040650,26,17,0.653846,4138
2438317163486,2438516312547,2438317366737,2438516312547,203251,75519.460501702,75519.560477987,75519.460601532,75519.560477987,0.000099830,1,0.000999,0.000999,1107,92,0.083107,38,17,0.447368,4138
2438516312547,2438715565260,2438516517081,2438715565260,204534,75519.560477987,75519.660505740,75519.560577948,75519.660505740,0.000099961,1,0.000999,0.000999,1107,96,0.086721,31,16,0.516129,4138
2438715565260,2438914645395,2438715777881,2438914645395,212621,75519.660505740,75519.760444936,75519.660609655,75519.760444936,0.000103915,1,0.00104,0.00104,1107,99,0.089431,39,14,0.358974,4138
2438914645395,2439114006529,2438914741258,2439114006529,95863,75519.760444936,75519.860528544,75519.760491833,75519.860528544,0.000046897,1,0.000469,0.000469,1107,98,0.088528,37,15,0.405405,4138
2439114006529,2439313125306,2439114168328,2439313125306,161799,75519.860528544,75519.960488861,75519.860607408,75519.960488861,0.000078864,1,0.000789,0.000789,1107,47,0.042457,30,16,0.533333,4138
2439313125306,2439512341805,2439313328498,2439512341805,203192,75519.960488861,75520.060498911,75519.960588967,75520.060498911,0.000100106,1,0.001,0.001,1107,115,0.103884,36,14,0.388889,4138
2439512341805,2439711502463,2439512552477,2439711502463,210672,75520.060498911,75520.160480366,75520.060602217,75520.160480366,0.000103306,1,0.00103,0.00103,1107,101,0.091238,33,8,0.242424,4138
2439711502463,2439910698791,2439711670222,2439910698791,167759,75520.160480366,75520.260479514,75520.160562099,75520.260479514,0.000081733,1,0.000817,0.000817,1107,44,0.039747,25,15,0.600000,4138
