period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2521883236908,2522082353789,2521883421391,2522082353789,184483,75561.411943182,75561.511849184,75561.411979781,75561.511849184,0.000036599,1,0.000366,0.000366,1143,51,0.044619,27,18,0.666667,4459
2522082353789,2522281559028,2522082545703,2522281559028,191914,75561.511849184,75561.611853435,75561.511943142,75561.611853435,0.000093958,1,0.00094,0.00094,1184,65,0.054899,19,11,0.578947,4791
2522281559028,2522480689119,2522281715442,2522480689119,156414,75561.611853435,75561.711819358,75561.611929191,75561.711819358,0.000075756,1,0.000758,0.000758,1184,64,0.054054,24,13,0.541667,4791
2522480689119,2522679875637,2522480845372,2522679875637,156253,75561.711819358,75561.811813818,75561.711895100,75561.811813818,0.000075742,1,0.000757,0.000757,1184,51,0.043074,23,12,0.521739,4791
2522679875637,2522879081613,2522680026302,2522879081613,150665,75561.811813818,75561.911818367,75561.811886891,75561.911818367,0.000073073,1,0.000731,0.000731,1184,71,0.059966,24,13,0.541667,4791
2522879081613,2523078309908,2522879239436,2523078309908,157823,75561.911818367,75562.011833667,75561.911894823,75562.011833667,0.000076456,1,0.000764,0.000764,1184,54,0.045608,30,18,0.600000,4791
2523078309908,2523277416768,2523078474017,2523277416768,164109,75562.011833667,75562.111786842,75562.011913629,75562.111786842,0.000079962,1,0.0008,0.0008,1184,82,0.069257,28,11,0.392857,4789
2523277416768,2523476714623,2523277498847,2523476714623,82079,75562.111786842,75562.211838522,75562.111826592,75562.211838522,0.000039750,1,0.000397,0.000397,1184,58,0.048986,27,20,0.740741,4789
2523476714623,2523675904065,2523476908750,2523675904065,194127,75562.211838522,75562.311835863,75562.211933782,75562.311835863,0.000095260,1,0.000953,0.000953,1184,81,0.068412,23,11,0.478261,4789
2523675904065,2523875087083,2523676175421,2523875087083,271356,75562.311835863,75562.411827257,75562.311968823,75562.411827257,0.000132960,1,0.00133,0.00133,1184,123,0.103885,25,6,0.240000,4789
2523875087083,2524074286808,2523875289629,2524074286808,202546,75562.411827257,75562.511828492,75562.411926546,75562.511828492,0.000099289,1,0.000993,0.000993,1184,71,0.059966,25,12,0.480000,4789
2524074286808,2524273503098,2524074484214,2524273503098,197406,75562.511828492,75562.611838077,75562.511925024,75562.611838077,0.000096532,1,0.000965,0.000965,1184,69,0.058277,17,9,0.529412,4789
2524273503098,2524472670657,2524273692905,2524472670657,189807,75562.611838077,75562.711822760,75562.611930865,75562.711822760,0.000092788,1,0.000928,0.000928,1184,70,0.059122,19,11,0.578947,4789
2524472670657,2524671870904,2524472864452,2524671870904,193795,75562.711822760,75562.811824821,75562.711917637,75562.811824821,0.000094877,1,0.000949,0.000949,1184,68,0.057432,20,11,0.550000,4789
2524671870904,2524871111220,2524672065160,2524871111220,194256,75562.811824821,75562.911845941,75562.811919281,75562.911845941,0.000094460,1,0.000944,0.000944,1184,57,0.048142,15,10,0.666667,4789
2524871111220,2525070295357,2524871305217,2525070295357,193997,75562.911845941,75563.011839576,75562.911941099,75563.011839576,0.000095158,1,0.000952,0.000952,1184,76,0.064189,20,8,0.400000,4789
2525070295357,2525269507426,2525070503223,2525269507426,207866,75563.011839576,75563.111846939,75563.011941914,75563.111846939,0.000102338,1,0.00102,0.00102,1184,186,0.157095,36,12,0.333333,4789
2525269507426,2525468704487,2525269709082,2525468704487,201656,75563.111846939,75563.211847201,75563.111945217,75563.211847201,0.000098278,1,0.000983,0.000983,1184,61,0.051520,19,10,0.526316,4789
2525468704487,2525667900442,2525468926014,2525667900442,221527,75563.211847201,75563.311846125,75563.211955072,75563.311846125,0.000107871,1,0.00108,0.00108,1184,68,0.057432,20,11,0.550000,4789
2525667900442,2525867031596,2525668290376,2525867031596,389934,75563.311846125,75563.411812078,75563.312039300,75563.411812078,0.000193175,1,0.00193,0.00193,1184,69,0.058277,21,9,0.428571,4789
2525867031596,2526066258347,2525867169065,2526066258347,137469,75563.411812078,75563.511827140,75563.411878583,75563.511827140,0.000066505,1,0.000665,0.000665,1184,65,0.054899,20,13,0.650000,4789
2526066258347,2526265467718,2526066457182,2526265467718,198835,75563.511827140,75563.611833509,75563.511924266,75563.611833509,0.000097126,1,0.000971,0.000971,1184,65,0.054899,20,12,0.600000,4789
2526265467718,2526464668141,2526265674448,2526464668141,206730,75563.611833509,75563.711834662,75563.611934225,75563.711834662,0.000100716,1,0.00101,0.00101,1184,66,0.055743,16,9,0.562500,4789
2526464668141,2526663858148,2526464879734,2526663858148,211593,75563.711834662,75563.811830990,75563.711938171,75563.811830990,0.000103509,1,0.00104,0.00104,1184,71,0.059966,21,12,0.571429,4789
2526663858148,2526863057675,2526664066337,2526863057675,208189,75563.811830990,75563.911832017,75563.811932678,75563.911832017,0.000101688,1,0.00102,0.00102,1184,67,0.056588,18,12,0.666667,4789
2526863057675,2527062248779,2526863261411,2527062248779,203736,75563.911832017,75564.011828593,75563.911931507,75564.011828593,0.000099490,1,0.000995,0.000995,1184,74,0.062500,27,13,0.481481,4789
2527062248779,2527261462274,2527062452656,2527261462274,203877,75564.011828593,75564.111837431,75564.011928428,75564.111837431,0.000099835,1,0.000998,0.000998,1184,73,0.061655,21,9,0.428571,4789
2527261462274,2527460655766,2527261663083,2527460655766,200809,75564.111837431,75564.211834867,75564.111935015,75564.211834867,0.000097584,1,0.000976,0.000976,1184,83,0.070101,26,13,0.500000,4789
2527460655766,2527659831032,2527460819276,2527659831032,163510,75564.211834867,75564.311823739,75564.211914254,75564.311823739,0.000079387,1,0.000794,0.000794,1184,49,0.041385,25,14,0.560000,4789
2527659831032,2527859144908,2527660007573,2527859144908,176541,75564.311823739,75564.411882279,75564.311909599,75564.411882279,0.000085860,1,0.000858,0.000858,1184,52,0.043919,31,20,0.645161,4789
2527859144908,2528058342326,2527859316114,2528058342326,171206,75564.411882279,75564.511882119,75564.411965423,75564.511882119,0.000083144,1,0.000831,0.000831,1184,54,0.045608,28,16,0.571429,4789
2528058342326,2528257605651,2528058515155,2528257605651,172829,75564.511882119,75564.611915346,75564.511966232,75564.611915346,0.000084113,1,0.000841,0.000841,1184,54,0.045608,29,20,0.689655,4789
2528257605651,2528456625977,2528257774477,2528456625977,168826,75564.611915346,75564.711826351,75564.611997267,75564.711826351,0.000081921,1,0.00082,0.00082,1184,57,0.048142,26,15,0.576923,4789
2528456625977,2528655952469,2528456796534,2528655952469,170557,75564.711826351,75564.811891135,75564.711909171,75564.811891135,0.000082820,1,0.000828,0.000828,1184,57,0.048142,22,10,0.454545,4789
2528655952469,2528855182824,2528656122436,2528855182824,169967,75564.811891135,75564.911907628,75564.811973725,75564.911907628,0.000082590,1,0.000826,0.000826,1184,51,0.043074,27,18,0.666667,4789
2528855182824,2529054386889,2528855348292,2529054386889,165468,75564.911907628,75565.011910933,75564.911987976,75565.011910933,0.000080348,1,0.000803,0.000803,1184,54,0.045608,24,13,0.541667,4789
2529054386889,2529253597748,2529054555946,2529253597748,169057,75565.011910933,75565.111917714,75565.011993059,75565.111917714,0.000082126,1,0.000821,0.000821,1184,54,0.045608,27,18,0.666667,4789
2529253597748,2529452722971,2529253767805,2529452722971,170057,75565.111917714,75565.211881343,75565.112000344,75565.211881343,0.000082630,1,0.000827,0.000827,1184,51,0.043074,30,17,0.566667,4789
2529452722971,2529651800737,2529452895698,2529651800737,172727,75565.211881343,75565.311821346,75565.211965428,75565.311821346,0.000084085,1,0.000841,0.000841,1184,53,0.044764,27,18,0.666667,4789
2529651800737,2529851003581,2529651967692,2529851003581,166955,75565.311821346,75565.411823956,75565.311902314,75565.411823956,0.000080968,1,0.00081,0.00081,1184,50,0.042230,23,15,0.652174,4789
2529851003581,2530050363556,2529851319388,2530050363556,315807,75565.411823956,75565.511906465,75565.411980471,75565.511906465,0.000156515,1,0.00156,0.00156,1184,62,0.052365,30,16,0.533333,4789
2530050363556,2530249718710,2530050560957,2530249718710,197401,75565.511906465,75565.611985519,75565.512002119,75565.611985519,0.000095654,1,0.000956,0.000956,1184,52,0.043919,26,19,0.730769,4789
2530249718710,2530448740419,2530249899113,2530448740419,180403,75565.611985519,75565.711896847,75565.612072645,75565.711896847,0.000087126,1,0.000872,0.000872,1184,51,0.043074,22,19,0.863636,4789
2530448740419,2530647939069,2530448909671,2530647939069,169252,75565.711896847,75565.811897430,75565.711978841,75565.811897430,0.000081994,1,0.00082,0.00082,1184,53,0.044764,29,12,0.413793,4789
2530647939069,2530847084751,2530648110691,2530847084751,171622,75565.811897430,75565.911871427,75565.811980636,75565.911871427,0.000083206,1,0.000832,0.000832,1184,66,0.055743,23,12,0.521739,4789
2530847084751,2531046387114,2530847250816,2531046387114,166065,75565.911871427,75566.011924059,75565.911951852,75566.011924059,0.000080425,1,0.000804,0.000804,1184,56,0.047297,27,18,0.666667,4789
2531046387114,2531245533310,2531046561645,2531245533310,174531,75566.011924059,75566.111898856,75566.012008761,75566.111898856,0.000084702,1,0.000847,0.000847,1184,49,0.041385,21,13,0.619048,4789
2531245533310,2531444798402,2531245707209,2531444798402,173899,75566.111898856,75566.211932118,75566.111982713,75566.211932118,0.000083857,1,0.000838,0.000838,1184,55,0.046453,27,17,0.629630,4789
2531444798402,2531643940624,2531444975293,2531643940624,176891,75566.211932118,75566.311904474,75566.212018159,75566.311904474,0.000086041,1,0.000861,0.000861,1184,56,0.047297,31,19,0.612903,4789
2531643940624,2531843151863,2531644107466,2531843151863,166842,75566.311904474,75566.411911232,75566.311985402,75566.411911232,0.000080928,1,0.000809,0.000809,1184,57,0.048142,28,18,0.642857,4789
