period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2440169234639,2440368857123,2440250266553,2440368857123,81031914,75520.390324328,75520.490482737,75520.430945748,75520.490482737,0.040621420,1,0.406,0.406,9096826,2490,0.000274,1283,373,0.290725,78260247
2440368857123,2440568141022,2440453697395,2440568141022,84840272,75520.490482737,75520.590525903,75520.533070630,75520.590525903,0.042587893,1,0.426,0.426,9095546,1680,0.000185,894,139,0.155481,78254813
2440568141022,2440767080734,2440647778538,2440767080734,79637516,75520.590525903,75520.690396995,75520.630502264,75520.690396995,0.039976361,1,0.4,0.4,9093454,1747,0.000192,815,113,0.138650,78247797
2440767080734,2440966552380,2440849131444,2440966552380,82050710,75520.690396995,75520.790534581,75520.731584385,75520.790534581,0.041187390,1,0.411,0.411,9095232,1846,0.000203,871,106,0.121699,78253756
2440966552380,2441165182681,2441045625007,2441165182681,79072627,75520.790534581,75520.890249122,75520.830226895,75520.890249122,0.039692314,1,0.398,0.398,9094082,1079,0.000119,519,110,0.211946,78249753
2441165182681,2441364408411,2441244196112,2441364408411,79013431,75520.890249122,75520.990263906,75520.929912641,75520.990263906,0.039663519,1,0.397,0.397,9092603,1277,0.000140,726,76,0.104683,78245500
2441364408411,2441563570459,2441444743491,2441563570459,80335080,75520.990263906,75521.090246313,75521.030590424,75521.090246313,0.040326518,1,0.403,0.403,9100049,2299,0.000253,1314,193,0.146880,78273435
2441563570459,2441762838027,2441647036794,2441762838027,83466335,75521.090246313,75521.190281083,75521.132144566,75521.190281083,0.041898253,1,0.419,0.419,9094688,1692,0.000186,857,92,0.107351,78252829
2441762838027,2441961954728,2441845527640,2441961954728,82689613,75521.190281083,75521.290240578,75521.231789913,75521.290240578,0.041508830,1,0.415,0.415,9093506,1340,0.000147,663,61,0.092006,78247512
2441961954728,2442161259757,2442040662573,2442161259757,78707845,75521.290240578,75521.390294976,75521.329750439,75521.390294976,0.039509861,1,0.395,0.395,9092767,1130,0.000124,518,67,0.129344,78245165
2442161259757,2442360251174,2442248615484,2442360251174,87355727,75521.390294976,75521.490191493,75521.434146397,75521.490191493,0.043851421,1,0.439,0.439,9095314,2637,0.000290,1090,166,0.152294,78254832
2442360251174,2442559652860,2442440315978,2442559652860,80064804,75521.490191493,75521.590293064,75521.530382942,75521.590293064,0.040191449,1,0.402,0.402,9092072,2230,0.000245,986,91,0.092292,78243406
2442559652860,2442758835938,2442635639909,2442758835938,75987049,75521.590293064,75521.690287290,75521.628437900,75521.690287290,0.038144836,1,0.381,0.381,9093602,1927,0.000212,914,196,0.214442,78249784
2442758835938,2442957970065,2442842194964,2442957970065,83359026,75521.690287290,75521.790255262,75521.732131436,75521.790255262,0.041844146,1,0.419,0.419,9093660,901,0.000099,499,115,0.230461,78248337
2442957970065,2443157219045,2443035495081,2443157219045,77525016,75521.790255262,75521.890281236,75521.829171023,75521.890281236,0.038915761,1,0.389,0.389,9093111,1137,0.000125,601,78,0.129784,78246383
2443157219045,2443356352220,2443234487478,2443356352220,77268433,75521.890281236,75521.990248634,75521.929068066,75521.990248634,0.038786830,1,0.388,0.388,9093013,729,0.000080,292,84,0.287671,78246094
2443356352220,2443555722145,2443437256111,2443555722145,80903891,75521.990248634,75522.090335585,75522.030861053,75522.090335585,0.040612419,1,0.406,0.406,9094957,1406,0.000155,623,128,0.205457,78253340
