period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2143853784304,2144052833973,2143853917630,2144052833973,133326,75371.635389942,75371.735277037,75371.635417198,75371.735277037,0.000027256,1,0.000273,0.000273,790,33,0.041772,15,12,0.800000,2648
2144052833973,2144252326357,2144052915620,2144252326357,81647,75371.735277037,75371.835426580,75371.735316896,75371.835426580,0.000039859,1,0.000398,0.000398,790,39,0.049367,19,7,0.368421,2648
2144252326357,2144451284931,2144252481729,2144451284931,155372,75371.835426580,75371.935305540,75371.835502021,75371.935305540,0.000075441,1,0.000755,0.000755,790,28,0.035443,18,12,0.666667,2648
2144451284931,2144650637140,2144451419650,2144650637140,134719,75371.935305540,75372.035384259,75371.935371564,75372.035384259,0.000066024,1,0.00066,0.00066,790,64,0.081013,25,7,0.280000,2648
2144650637140,2144849710582,2144650803274,2144849710582,166134,75372.035384259,75372.135321259,75372.035465062,75372.135321259,0.000080803,1,0.000809,0.000809,790,46,0.058228,19,15,0.789474,2648
2144849710582,2145048894223,2144849869676,2145048894223,159094,75372.135321259,75372.235314449,75372.135398897,75372.235314449,0.000077638,1,0.000776,0.000776,790,29,0.036709,20,8,0.400000,2648
2145048894223,2145248134722,2145049051342,2145248134722,157119,75372.235314449,75372.335336379,75372.235390917,75372.335336379,0.000076468,1,0.000765,0.000765,790,28,0.035443,20,10,0.500000,2648
2145248134722,2145447452364,2145248307245,2145447452364,172523,75372.335336379,75372.435395956,75372.335420012,75372.435395956,0.000083633,1,0.000836,0.000836,790,27,0.034177,16,13,0.812500,2648
2145447452364,2145646618702,2145447616981,2145646618702,164617,75372.435395956,75372.535379992,75372.435476320,75372.535379992,0.000080364,1,0.000804,0.000804,790,30,0.037975,21,11,0.523810,2648
2145646618702,2145845701818,2145646808817,2145845701818,190115,75372.535379992,75372.635322464,75372.535473428,75372.635322464,0.000093436,1,0.000935,0.000935,790,29,0.036709,20,11,0.550000,2648
2145845701818,2146044899862,2145845865393,2146044899862,163575,75372.635322464,75372.735322641,75372.635402326,75372.735322641,0.000079862,1,0.000799,0.000799,790,39,0.049367,20,11,0.550000,2648
2146044899862,2146244194155,2146045061883,2146244194155,162021,75372.735322641,75372.835371135,75372.735401730,75372.835371135,0.000079089,1,0.000791,0.000791,790,37,0.046835,16,7,0.437500,2648
2146244194155,2146443672073,2146244353336,2146443672073,159181,75372.835371135,75372.935511880,75372.835448885,75372.935511880,0.000077750,1,0.000776,0.000776,790,28,0.035443,20,9,0.450000,2648
2146443672073,2146642531192,2146443835777,2146642531192,163704,75372.935511880,75373.035341663,75372.935591628,75373.035341663,0.000079748,1,0.000799,0.000799,790,28,0.035443,18,9,0.500000,2648
2146642531192,2146841923576,2146642685778,2146841923576,154586,75373.035341663,75373.135439877,75373.035417069,75373.135439877,0.000075406,1,0.000753,0.000753,790,41,0.051899,20,9,0.450000,2648
2146841923576,2147041051692,2146842098609,2147041051692,175033,75373.135439877,75373.235405239,75373.135525044,75373.235405239,0.000085167,1,0.000852,0.000852,790,28,0.035443,20,13,0.650000,2648
2147041051692,2147240078329,2147041225581,2147240078329,173889,75373.235405239,75373.335320773,75373.235489569,75373.335320773,0.000084330,1,0.000844,0.000844,790,27,0.034177,19,14,0.736842,2648
2147240078329,2147439253880,2147240240612,2147439253880,162283,75373.335320773,75373.435307525,75373.335397690,75373.435307525,0.000076917,1,0.000769,0.000769,790,29,0.036709,18,4,0.222222,2648
2147439253880,2147638462510,2147439398732,2147638462510,144852,75373.435307525,75373.535313422,75373.435377769,75373.535313422,0.000070244,1,0.000702,0.000702,790,31,0.039241,18,7,0.388889,2648
2147638462510,2147837691672,2147638777012,2147837691672,314502,75373.535313422,75373.635328749,75373.535468594,75373.635328749,0.000155172,1,0.00155,0.00155,790,38,0.048101,23,4,0.173913,2648
2147837691672,2148037243788,2147837841894,2148037243788,150222,75373.635328749,75373.735507266,75373.635401779,75373.735507266,0.000073030,1,0.000729,0.000729,790,26,0.032911,20,7,0.350000,2648
2148037243788,2148236493204,2148037417507,2148236493204,173719,75373.735507266,75373.835532863,75373.735591495,75373.835532863,0.000084229,1,0.000842,0.000842,790,30,0.037975,17,14,0.823529,2648
2148236493204,2148435738536,2148236697167,2148435738536,203963,75373.835532863,75373.935556897,75373.835632730,75373.935556897,0.000099867,1,0.000998,0.000998,790,27,0.034177,20,15,0.750000,2648
2148435738536,2148634400076,2148435904663,2148634400076,166127,75373.935556897,75374.035285927,75373.935637378,75374.035285927,0.000080481,1,0.000807,0.000807,790,34,0.043038,18,15,0.833333,2648
2148634400076,2148833712981,2148634485281,2148833712981,85205,75374.035285927,75374.135344810,75374.035327435,75374.135344810,0.000041508,1,0.000415,0.000415,790,40,0.050633,17,8,0.470588,2648
2148833712981,2149033250918,2148833867950,2149033250918,154969,75374.135344810,75374.235516105,75374.135420461,75374.235516105,0.000075651,1,0.000755,0.000755,790,27,0.034177,20,13,0.650000,2648
2149033250918,2149232063972,2149033425755,2149232063972,174837,75374.235516105,75374.335322972,75374.235601168,75374.335322972,0.000085063,1,0.000852,0.000852,790,28,0.035443,18,13,0.722222,2648
2149232063972,2149431637405,2149232232938,2149431637405,168966,75374.335322972,75374.435511367,75374.335405081,75374.435511367,0.000082109,1,0.00082,0.00082,790,25,0.031646,18,13,0.722222,2648
2149431637405,2149630415796,2149431803952,2149630415796,166547,75374.435511367,75374.535300089,75374.435592504,75374.535300089,0.000081137,1,0.000813,0.000813,790,28,0.035443,19,14,0.736842,2648
2149630415796,2149829649779,2149630520989,2149829649779,105193,75374.535300089,75374.635318768,75374.535351007,75374.635318768,0.000050918,1,0.000509,0.000509,790,43,0.054430,22,7,0.318182,2648
2149829649779,2150028845502,2149829802015,2150028845502,152236,75374.635318768,75374.735317857,75374.635393019,75374.735317857,0.000074251,1,0.000743,0.000743,790,40,0.050633,21,8,0.380952,2648
2150028845502,2150228048805,2150029001369,2150228048805,155867,75374.735317857,75374.835320541,75374.735393691,75374.835320541,0.000075834,1,0.000758,0.000758,790,37,0.046835,21,7,0.333333,2648
2150228048805,2150427240281,2150228204989,2150427240281,156184,75374.835320541,75374.935317294,75374.835396772,75374.935317294,0.000076231,1,0.000762,0.000762,790,27,0.034177,20,9,0.450000,2648
2150427240281,2150626440546,2150427389822,2150626440546,149541,75374.935317294,75375.035318578,75374.935390122,75375.035318578,0.000072828,1,0.000728,0.000728,790,36,0.045570,20,8,0.400000,2648
2150626440546,2150825632471,2150626590278,2150825632471,149732,75375.035318578,75375.135316057,75375.035391595,75375.135316057,0.000073017,1,0.00073,0.00073,790,40,0.050633,21,9,0.428571,2648
2150825632471,2151024829134,2150825786573,2151024829134,154102,75375.135316057,75375.235315266,75375.135390889,75375.235315266,0.000074832,1,0.000748,0.000748,790,39,0.049367,21,8,0.380952,2648
2151024829134,2151224027335,2151024979897,2151224027335,150763,75375.235315266,75375.335315926,75375.235388636,75375.335315926,0.000073370,1,0.000734,0.000734,790,30,0.037975,23,8,0.347826,2648
2151224027335,2151423215539,2151224179277,2151423215539,151942,75375.335315926,75375.435311367,75375.335389565,75375.435311367,0.000073639,1,0.000736,0.000736,790,29,0.036709,19,7,0.368421,2648
2151423215539,2151622431997,2151423372018,2151622431997,156479,75375.435311367,75375.535320499,75375.435387080,75375.535320499,0.000075713,1,0.000757,0.000757,790,29,0.036709,19,9,0.473684,2648
2151622431997,2151821618964,2151622588533,2151821618964,156536,75375.535320499,75375.635314864,75375.535396626,75375.635314864,0.000076127,1,0.000761,0.000761,790,39,0.049367,19,7,0.368421,2648
2151821618964,2152020824154,2151821765769,2152020824154,146805,75375.635314864,75375.735318767,75375.635386330,75375.735318767,0.000071466,1,0.000715,0.000715,790,41,0.051899,18,8,0.444444,2648
2152020824154,2152220023612,2152021117215,2152220023612,293061,75375.735318767,75375.835320173,75375.735463869,75375.835320173,0.000145102,1,0.00145,0.00145,790,41,0.051899,22,7,0.318182,2648
2152220023612,2152419195392,2152220181949,2152419195392,158337,75375.835320173,75375.935307711,75375.835397429,75375.935307711,0.000077256,1,0.000773,0.000773,790,25,0.031646,21,8,0.380952,2648
2152419195392,2152618392766,2152419345146,2152618392766,149754,75375.935307711,75376.035308079,75375.935380621,75376.035308079,0.000072910,1,0.000729,0.000729,790,28,0.035443,21,8,0.380952,2648
2152618392766,2152817592274,2152618539907,2152817592274,147141,75376.035308079,75376.135309176,75376.035379529,75376.135309176,0.000071450,1,0.000714,0.000714,790,43,0.054430,22,9,0.409091,2648
2152817592274,2153016924090,2152817741664,2153016924090,149390,75376.135309176,75376.235377124,75376.135382129,75376.235377124,0.000072953,1,0.000729,0.000729,790,27,0.034177,17,7,0.411765,2648
2153016924090,2153215998449,2153017080829,2153215998449,156739,75376.235377124,75376.335315902,75376.235453975,75376.335315902,0.000076851,1,0.000769,0.000769,790,48,0.060759,22,8,0.363636,2648
2153215998449,2153415204957,2153216148347,2153415204957,149898,75376.335315902,75376.435321394,75376.335388895,75376.435321394,0.000072993,1,0.00073,0.00073,790,39,0.049367,18,7,0.388889,2648
2153415204957,2153614511707,2153415363479,2153614511707,158522,75376.435321394,75376.535376433,75376.435398262,75376.535376433,0.000076868,1,0.000768,0.000768,790,29,0.036709,20,8,0.400000,2648
2153614511707,2153813601473,2153614668405,2153813601473,156698,75376.535376433,75376.635322518,75376.535452675,75376.635322518,0.000076242,1,0.000763,0.000763,790,29,0.036709,20,8,0.400000,2648
