period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2297055343472,2297254647969,2297055538574,2297254647969,195102,75448.545004335,75448.645003011,75448.545044626,75448.645003011,0.000040291,1,0.000403,0.000403,1476,63,0.042683,29,8,0.275862,8830
2297254647969,2297453756976,2297254813586,2297453756976,165617,75448.645003011,75448.744960075,75448.645083351,75448.744960075,0.000080340,1,0.000804,0.000804,1476,40,0.027100,26,11,0.423077,9342
2297453756976,2297653049070,2297453971361,2297653049070,214385,75448.744960075,75448.845006406,75448.745064038,75448.845006406,0.000103963,1,0.00104,0.00104,1476,80,0.054201,27,6,0.222222,9222
2297653049070,2297852040776,2297653218691,2297852040776,169621,75448.845006406,75448.944901732,75448.845088835,75448.944901732,0.000082429,1,0.000825,0.000825,1466,45,0.030696,25,8,0.320000,9170
2297852040776,2298051309184,2297852118424,2298051309184,77648,75448.944901732,75449.044939007,75448.944939314,75449.044939007,0.000037582,1,0.000376,0.000376,1476,43,0.029133,21,8,0.380952,9025
2298051309184,2298250628737,2298051475593,2298250628737,166409,75449.044939007,75449.145000530,75449.045019953,75449.145000530,0.000080946,1,0.000809,0.000809,1476,43,0.029133,30,10,0.333333,9358
2298250628737,2298449829512,2298250791927,2298449829512,163190,75449.145000530,75449.245002292,75449.145079740,75449.245002292,0.000079210,1,0.000792,0.000792,1476,45,0.030488,21,8,0.380952,8926
2298449829512,2298648976599,2298449995006,2298648976599,165494,75449.245002292,75449.344976950,75449.245082676,75449.344976950,0.000080384,1,0.000804,0.000804,1476,40,0.027100,25,9,0.360000,9142
2298648976599,2298848172702,2298649138657,2298848172702,162058,75449.344976950,75449.444976651,75449.345055931,75449.444976651,0.000078981,1,0.00079,0.00079,1476,44,0.029810,26,7,0.269231,9129
2298848172702,2299047416046,2298848328655,2299047416046,155953,75449.444976651,75449.545000171,75449.445052274,75449.545000171,0.000075623,1,0.000756,0.000756,1476,40,0.027100,27,9,0.333333,9280
2299047416046,2299246594774,2299047583190,2299246594774,167144,75449.545000171,75449.644990747,75449.545081239,75449.644990747,0.000081068,1,0.000811,0.000811,1466,42,0.028649,26,8,0.307692,9303
2299246594774,2299445712488,2299246761474,2299445712488,166700,75449.644990747,75449.744950857,75449.645071788,75449.744950857,0.000081041,1,0.000811,0.000811,1476,43,0.029133,28,9,0.321429,9427
2299445712488,2299644989611,2299445914172,2299644989611,201684,75449.744950857,75449.844990806,75449.745049726,75449.844990806,0.000098869,1,0.000988,0.000988,1476,100,0.067751,24,5,0.208333,8993
