period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2154074797402,2154274059660,2154075006202,2154274059660,208800,75376.766499926,75376.866480561,75376.766549795,75376.866480561,0.000049869,1,0.000499,0.000499,2029,45,0.022178,14,9,0.642857,10561
2154274059660,2154473184584,2154274286380,2154473184584,226720,75376.866480561,75376.966444463,75376.866591612,75376.966444463,0.000111051,1,0.00111,0.00111,2029,39,0.019221,19,7,0.368421,10529
2154473184584,2154672450154,2154473417241,2154672450154,232657,75376.966444463,75377.066478199,75376.966559099,75377.066478199,0.000114636,1,0.00115,0.00115,2029,137,0.067521,26,7,0.269231,10529
2154672450154,2154872041118,2154672574607,2154872041118,124453,75377.066478199,75377.166676997,75377.066538644,75377.166676997,0.000060445,1,0.000603,0.000603,2029,34,0.016757,20,10,0.500000,10529
2154872041118,2155071217416,2154872236243,2155071217416,195125,75377.166676997,75377.266667176,75377.166772290,75377.266667176,0.000095293,1,0.000953,0.000953,2029,30,0.014786,18,13,0.722222,10529
2155071217416,2155270511302,2155071411869,2155270511302,194453,75377.266667176,75377.366715935,75377.266761658,75377.366715935,0.000094482,1,0.000944,0.000944,2029,34,0.016757,17,14,0.823529,10529
2155270511302,2155469135763,2155270709418,2155469135763,198116,75377.366715935,75377.466427787,75377.366812374,75377.466427787,0.000096439,1,0.000967,0.000967,2029,33,0.016264,17,13,0.764706,10529
2155469135763,2155669030469,2155469309914,2155669030469,174151,75377.466427787,75377.566779237,75377.466513007,75377.566779237,0.000085220,1,0.000849,0.000849,2029,34,0.016757,19,8,0.421053,10529
2155669030469,2155867539334,2155669227641,2155867539334,197172,75377.566779237,75377.666433039,75377.566875004,75377.666433039,0.000095767,1,0.000961,0.000961,2029,33,0.016264,19,15,0.789474,10529
2155867539334,2156066697646,2155867712980,2156066697646,173646,75377.666433039,75377.766412665,75377.666517955,75377.766412665,0.000084916,1,0.000849,0.000849,2029,40,0.019714,20,8,0.400000,10529
2156066697646,2156265923544,2156066778041,2156265923544,80395,75377.766412665,75377.866428394,75377.766451642,75377.866428394,0.000038977,1,0.00039,0.00039,2029,34,0.016757,16,7,0.437500,10529
2156265923544,2156465236809,2156266111037,2156465236809,187493,75377.866428394,75377.966487036,75377.866520297,75377.966487036,0.000091903,1,0.000918,0.000918,2029,31,0.015278,18,11,0.611111,10529
2156465236809,2156664362728,2156465417473,2156664362728,180664,75377.966487036,75378.066450694,75377.966575527,75378.066450694,0.000088491,1,0.000885,0.000885,2029,34,0.016757,15,6,0.400000,10529
2156664362728,2156863600254,2156664482096,2156863600254,119368,75378.066450694,75378.166472026,75378.066509028,75378.166472026,0.000058334,1,0.000583,0.000583,2029,36,0.017743,25,6,0.240000,10529
2156863600254,2157062794098,2156863778862,2157062794098,178608,75378.166472026,75378.266470444,75378.166559436,75378.266470444,0.000087410,1,0.000874,0.000874,2029,35,0.017250,22,7,0.318182,10529
2157062794098,2157262001503,2157063007177,2157262001503,213079,75378.266470444,75378.366476118,75378.266575327,75378.366476118,0.000104883,1,0.00105,0.00105,2029,35,0.017250,21,8,0.380952,10529
2157262001503,2157461182790,2157262183452,2157461182790,181949,75378.366476118,75378.466468210,75378.366565105,75378.466468210,0.000088987,1,0.00089,0.00089,2029,34,0.016757,20,6,0.300000,10529
2157461182790,2157660683143,2157461372421,2157660683143,189631,75378.466468210,75378.566620762,75378.466561629,75378.566620762,0.000093419,1,0.000933,0.000933,2029,83,0.040907,29,8,0.275862,10529
2157660683143,2157859548304,2157660921838,2157859548304,238695,75378.566620762,75378.666454556,75378.566738752,75378.666454556,0.000117990,1,0.00118,0.00118,2029,110,0.054214,37,7,0.189189,10529
2157859548304,2158058759139,2157859885928,2158058759139,337624,75378.666454556,75378.766461225,75378.666621918,75378.766461225,0.000167362,1,0.00167,0.00167,2029,56,0.027600,25,4,0.160000,10529
2158058759139,2158257989997,2158058930153,2158257989997,171014,75378.766461225,75378.866478655,75378.766544939,75378.866478655,0.000083714,1,0.000837,0.000837,2029,33,0.016264,20,7,0.350000,10529
2158257989997,2158457071406,2158258170785,2158457071406,180788,75378.866478655,75378.966420634,75378.866567105,75378.966420634,0.000088450,1,0.000885,0.000885,2029,32,0.015771,19,6,0.315789,10529
2158457071406,2158656276653,2158457260656,2158656276653,189250,75378.966420634,75379.066425056,75378.966513845,75379.066425056,0.000093211,1,0.000932,0.000932,2029,95,0.046821,27,6,0.222222,10529
2158656276653,2158855565489,2158656452170,2158855565489,175517,75379.066425056,75379.166471264,75379.066510853,75379.166471264,0.000085797,1,0.000858,0.000858,2029,39,0.019221,20,8,0.400000,10529
2158855565489,2159054712533,2158855743885,2159054712533,178396,75379.166471264,75379.266446469,75379.166558557,75379.266446469,0.000087293,1,0.000873,0.000873,2029,31,0.015278,22,8,0.363636,10529
2159054712533,2159253986304,2159054886923,2159253986304,174390,75379.266446469,75379.366485408,75379.266531510,75379.366485408,0.000085041,1,0.00085,0.00085,2029,32,0.015771,21,10,0.476190,10529
2159253986304,2159453091085,2159254165602,2159453091085,179298,75379.366485408,75379.466438611,75379.366572863,75379.466438611,0.000087455,1,0.000875,0.000875,2029,33,0.016264,19,8,0.421053,10529
2159453091085,2159652380278,2159453261225,2159652380278,170140,75379.466438611,75379.566485436,75379.466522040,75379.566485436,0.000083429,1,0.000834,0.000834,2029,42,0.020700,19,7,0.368421,10529
2159652380278,2159851566439,2159652560529,2159851566439,180251,75379.566485436,75379.666480255,75379.566573653,75379.666480255,0.000088217,1,0.000882,0.000882,2029,37,0.018236,22,7,0.318182,10529
2159851566439,2160050739723,2159851757375,2160050739723,190936,75379.666480255,75379.766468648,75379.666574136,75379.766468648,0.000093881,1,0.000939,0.000939,2029,55,0.027107,22,6,0.272727,10529
2160050739723,2160249947027,2160050919957,2160249947027,180234,75379.766468648,75379.866473803,75379.766556587,75379.866473803,0.000087939,1,0.000879,0.000879,2029,35,0.017250,25,10,0.400000,10529
2160249947027,2160449109689,2160250127568,2160449109689,180541,75379.866473803,75379.966456474,75379.866562047,75379.966456474,0.000088244,1,0.000883,0.000883,2029,39,0.019221,26,8,0.307692,10529
2160449109689,2160648345897,2160449293880,2160648345897,184191,75379.966456474,75380.066476547,75379.966546876,75380.066476547,0.000090402,1,0.000904,0.000904,2029,43,0.021193,25,8,0.320000,10529
2160648345897,2160847581796,2160648566783,2160847581796,220886,75380.066476547,75380.166496609,75380.066585181,75380.166496609,0.000108634,1,0.00109,0.00109,2029,32,0.015771,17,6,0.352941,10529
2160847581796,2161046765455,2160847762570,2161046765455,180774,75380.166496609,75380.266489964,75380.166584706,75380.266489964,0.000088097,1,0.000881,0.000881,2029,34,0.016757,19,8,0.421053,10529
2161046765455,2161245960190,2161046944982,2161245960190,179527,75380.266489964,75380.366488651,75380.266577543,75380.366488651,0.000087579,1,0.000876,0.000876,2029,34,0.016757,21,9,0.428571,10529
2161245960190,2161445059503,2161246138210,2161445059503,178020,75380.366488651,75380.466440011,75380.366575819,75380.466440011,0.000087168,1,0.000872,0.000872,2029,35,0.017250,21,7,0.333333,10529
2161445059503,2161644356313,2161445275936,2161644356313,216433,75380.466440011,75380.566490304,75380.466546590,75380.566490304,0.000106579,1,0.00107,0.00107,2029,81,0.039921,17,8,0.470588,10529
2161644356313,2161843565961,2161644536117,2161843565961,179804,75380.566490304,75380.666496706,75380.566578081,75380.666496706,0.000087777,1,0.000878,0.000878,2029,36,0.017743,14,6,0.428571,10529
2161843565961,2162042632078,2161843738615,2162042632078,172654,75380.666496706,75380.766430922,75380.666581014,75380.766430922,0.000084308,1,0.000844,0.000844,2029,34,0.016757,16,7,0.437500,10529
2162042632078,2162241889336,2162042995871,2162241889336,363793,75380.766430922,75380.866461499,75380.766611988,75380.866461499,0.000181066,1,0.00181,0.00181,2029,99,0.048793,32,6,0.187500,10529
2162241889336,2162441139523,2162242109092,2162441139523,219756,75380.866461499,75380.966488403,75380.866569775,75380.966488403,0.000108276,1,0.00108,0.00108,2029,78,0.038443,19,5,0.263158,10529
2162441139523,2162640331583,2162441319910,2162640331583,180387,75380.966488403,75381.066486063,75380.966576540,75381.066486063,0.000088137,1,0.000881,0.000881,2029,36,0.017743,21,9,0.428571,10529
2162640331583,2162839550813,2162640514339,2162839550813,182756,75381.066486063,75381.166497643,75381.066575494,75381.166497643,0.000089431,1,0.000894,0.000894,2029,36,0.017743,19,8,0.421053,10529
2162839550813,2163038742179,2162839730107,2163038742179,179294,75381.166497643,75381.266494902,75381.166584978,75381.266494902,0.000087335,1,0.000873,0.000873,2029,34,0.016757,19,9,0.473684,10529
2163038742179,2163237925911,2163038920932,2163237925911,178753,75381.266494902,75381.366488173,75381.266582028,75381.366488173,0.000087126,1,0.000871,0.000871,2029,32,0.015771,20,7,0.350000,10529
2163237925911,2163437001801,2163238109905,2163437001801,183994,75381.366488173,75381.466427436,75381.366578159,75381.466427436,0.000089986,1,0.0009,0.0009,2029,35,0.017250,20,8,0.400000,10529
2163437001801,2163636310343,2163437182470,2163636310343,180669,75381.466427436,75381.566483849,75381.466515883,75381.566483849,0.000088447,1,0.000884,0.000884,2029,34,0.016757,21,8,0.380952,10529
2163636310343,2163835732988,2163636499832,2163835732988,189489,75381.566483849,75381.666597724,75381.566576451,75381.666597724,0.000092602,1,0.000925,0.000925,2029,36,0.017743,23,19,0.826087,10529
2163835732988,2164034989843,2163835931358,2164034989843,198370,75381.666597724,75381.766627286,75381.666694321,75381.766627286,0.000096597,1,0.000966,0.000966,2029,32,0.015771,18,10,0.555556,10529
