period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2307274773179,2307473962690,2307275022122,2307473962690,248943,75453.675307938,75453.775255893,75453.675381583,75453.775255893,0.000073645,1,0.000737,0.000737,11076,54,0.004875,19,6,0.315789,64550
2307473962690,2307673154660,2307474130174,2307673154660,167484,75453.775255893,75453.875253417,75453.775336836,75453.875253417,0.000080943,1,0.000809,0.000809,984,43,0.043699,22,9,0.409091,3505
2307673154660,2307872355431,2307673317362,2307872355431,162702,75453.875253417,75453.975255000,75453.875331942,75453.975255000,0.000078525,1,0.000785,0.000785,984,50,0.050813,21,8,0.380952,3505
2307872355431,2308071584683,2307872519366,2308071584683,163935,75453.975255000,75454.075271612,75453.975334391,75454.075271612,0.000079391,1,0.000794,0.000794,984,51,0.051829,18,8,0.444444,3505
2308071584683,2308270743438,2308071769034,2308270743438,184351,75454.075271612,75454.175251852,75454.075360957,75454.175251852,0.000089345,1,0.000894,0.000894,984,57,0.057927,24,6,0.250000,3505
2308270743438,2308469938033,2308270900667,2308469938033,157229,75454.175251852,75454.275251174,75454.175327843,75454.275251174,0.000075991,1,0.00076,0.00076,984,51,0.051829,19,7,0.368421,3505
2308469938033,2308669119852,2308470121277,2308669119852,183244,75454.275251174,75454.375243251,75454.275339733,75454.375243251,0.000088559,1,0.000886,0.000886,984,39,0.039634,20,9,0.450000,3505
2308669119852,2308868343936,2308669284330,2308868343936,164478,75454.375243251,75454.475256559,75454.375322535,75454.475256559,0.000079284,1,0.000793,0.000793,984,44,0.044715,22,8,0.363636,3505
2308868343936,2309067581815,2308868510023,2309067581815,166087,75454.475256559,75454.575276917,75454.475336822,75454.575276917,0.000080263,1,0.000802,0.000802,984,41,0.041667,23,10,0.434783,3505
2309067581815,2309266731962,2309067746924,2309266731962,165109,75454.575276917,75454.675253580,75454.575356725,75454.675253580,0.000079808,1,0.000798,0.000798,984,43,0.043699,25,12,0.480000,3505
