period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2532100504404,2532299636525,2532101878785,2532299636525,1374381,75566.541160666,75566.641071636,75566.541793203,75566.641071636,0.000632537,1,0.00633,0.00633,251528,52,0.000207,24,15,0.625000,1688122
2532299636525,2532498782959,2532300390312,2532498782959,753787,75566.641071636,75566.741047010,75566.641448746,75566.741047010,0.000377110,1,0.00377,0.00377,251528,51,0.000203,23,12,0.521739,1688122
2532498782959,2532698106651,2532500124340,2532698106651,1341381,75566.741047010,75566.841110462,75566.741718144,75566.841110462,0.000671134,1,0.00671,0.00671,251528,57,0.000227,31,18,0.580645,1688122
2532698106651,2532897290011,2532699417007,2532897290011,1310356,75566.841110462,75566.941103254,75566.841765985,75566.941103254,0.000655523,1,0.00656,0.00656,251528,47,0.000187,24,16,0.666667,1688122
2532897290011,2533096474200,2532898854561,2533096474200,1564550,75566.941103254,75567.041096693,75566.941886643,75567.041096693,0.000783389,1,0.00783,0.00783,251528,46,0.000183,20,14,0.700000,1688122
2533096474200,2533295724278,2533097838437,2533295724278,1364237,75567.041096693,75567.141123330,75567.041779392,75567.141123330,0.000682699,1,0.00683,0.00683,251528,45,0.000179,21,12,0.571429,1688122
2533295724278,2533494892633,2533297138630,2533494892633,1414352,75567.141123330,75567.241108476,75567.141831304,75567.241108476,0.000707974,1,0.00708,0.00708,251528,184,0.000732,74,13,0.175676,1688122
2533494892633,2533694101724,2533496222149,2533694101724,1329516,75567.241108476,75567.341114428,75567.241773679,75567.341114428,0.000665203,1,0.00665,0.00665,251528,44,0.000175,21,14,0.666667,1688122
2533694101724,2533893281677,2533695433135,2533893281677,1331411,75567.341114428,75567.441105623,75567.341780472,75567.441105623,0.000666044,1,0.00666,0.00666,251528,49,0.000195,22,13,0.590909,1688122
2533893281677,2534092493438,2533894600555,2534092493438,1318878,75567.441105623,75567.541112860,75567.441765405,75567.541112860,0.000659782,1,0.0066,0.0066,251528,48,0.000191,20,12,0.600000,1688122
2534092493438,2534291706660,2534093817130,2534291706660,1323692,75567.541112860,75567.641121103,75567.541774993,75567.641121103,0.000662133,1,0.00662,0.00662,251528,47,0.000187,21,12,0.571429,1688122
2534291706660,2534490875047,2534293223444,2534490875047,1516784,75567.641121103,75567.741106375,75567.641879916,75567.741106375,0.000758813,1,0.00759,0.00759,251528,49,0.000195,24,19,0.791667,1688122
2534490875047,2534690659201,2534492212531,2534690659201,1337484,75567.741106375,75567.841400755,75567.741775317,75567.841400755,0.000668942,1,0.00667,0.00667,251528,85,0.000338,53,51,0.962264,1688122
2534690659201,2534889750710,2534691998863,2534889750710,1339662,75567.841400755,75567.941348358,75567.842070852,75567.941348358,0.000670097,1,0.0067,0.0067,251528,61,0.000243,34,30,0.882353,1688122
2534889750710,2535088914554,2534891211833,2535088914554,1461123,75567.941348358,75568.041331061,75567.942079109,75568.041331061,0.000730751,1,0.00731,0.00731,251528,160,0.000636,86,29,0.337209,1688122
2535088914554,2535287746591,2535090266561,2535287746591,1352007,75568.041331061,75568.141147240,75568.042006997,75568.141147240,0.000675936,1,0.00677,0.00677,251528,45,0.000179,19,18,0.947368,1688122
2535287746591,2535486922942,2535289321228,2535486922942,1574637,75568.141147240,75568.241136832,75568.141935319,75568.241136832,0.000788079,1,0.00788,0.00788,251528,49,0.000195,20,19,0.950000,1688122
2535486922942,2535686587213,2535488572880,2535686587213,1649938,75568.241136832,75568.341371700,75568.241962634,75568.341371700,0.000825802,1,0.00824,0.00824,251528,56,0.000223,25,18,0.720000,1688122
2535686587213,2535885723621,2535688223147,2535885723621,1635934,75568.341371700,75568.441340431,75568.342189835,75568.441340431,0.000818135,1,0.00818,0.00818,251528,48,0.000191,23,19,0.826087,1688122
2535885723621,2536084812966,2535887285722,2536084812966,1562101,75568.441340431,75568.541286843,75568.442122715,75568.541286843,0.000782284,1,0.00783,0.00783,251528,61,0.000243,35,21,0.600000,1688122
2536084812966,2536284123688,2536086148774,2536284123688,1335808,75568.541286843,75568.641343480,75568.541954257,75568.641343480,0.000667414,1,0.00667,0.00667,251528,49,0.000195,21,17,0.809524,1688122
2536284123688,2536483374933,2536285469270,2536483374933,1345582,75568.641343480,75568.741370346,75568.642016022,75568.741370346,0.000672542,1,0.00672,0.00672,251528,47,0.000187,20,18,0.900000,1688122
2536483374933,2536682572041,2536484832203,2536682572041,1457270,75568.741370346,75568.841370113,75568.742099151,75568.841370113,0.000728805,1,0.00729,0.00729,251528,56,0.000223,30,27,0.900000,1688122
2536682572041,2536881247349,2536683908144,2536881247349,1336103,75568.841370113,75568.941108515,75568.842038153,75568.941108515,0.000668040,1,0.0067,0.0067,251528,44,0.000175,20,19,0.950000,1688122
2536881247349,2537080976946,2536882610681,2537080976946,1363332,75568.941108515,75569.041375186,75568.941789625,75569.041375186,0.000681110,1,0.00679,0.00679,251528,78,0.000310,54,52,0.962963,1688122
2537080976946,2537280213292,2537082324550,2537280213292,1347604,75569.041375186,75569.141394951,75569.042048884,75569.141394951,0.000673698,1,0.00674,0.00674,251528,46,0.000183,22,20,0.909091,1688122
2537280213292,2537479276615,2537281542146,2537479276615,1328854,75569.141394951,75569.241327357,75569.142058982,75569.241327357,0.000664031,1,0.00664,0.00664,251528,45,0.000179,19,17,0.894737,1688122
2537479276615,2537678589598,2537480607854,2537678589598,1331239,75569.241327357,75569.341385316,75569.241992836,75569.341385316,0.000665479,1,0.00665,0.00665,251528,45,0.000179,22,19,0.863636,1688122
2537678589598,2537877573547,2537680203559,2537877573547,1613961,75569.341385316,75569.441278295,75569.342192768,75569.441278295,0.000807452,1,0.00808,0.00808,251528,45,0.000179,20,19,0.950000,1688122
2537877573547,2538076681765,2537879158805,2538076681765,1585258,75569.441278295,75569.541233352,75569.442071216,75569.541233352,0.000792921,1,0.00793,0.00793,251528,44,0.000175,18,17,0.944444,1688122
2538076681765,2538276046970,2538078283677,2538276046970,1601912,75569.541233352,75569.641316185,75569.542034743,75569.641316185,0.000801391,1,0.00801,0.00801,251528,45,0.000179,19,18,0.947368,1688122
2538276046970,2538475369561,2538276790376,2538475369561,743406,75569.641316185,75569.741380422,75569.641687812,75569.741380422,0.000371627,1,0.00371,0.00371,251528,49,0.000195,22,19,0.863636,1688122
2538475369561,2538674612816,2538476953575,2538674612816,1584014,75569.741380422,75569.841403493,75569.742173588,75569.841403493,0.000793166,1,0.00793,0.00793,251528,82,0.000326,58,53,0.913793,1688122
2538674612816,2538873708969,2538675934811,2538873708969,1321995,75569.841403493,75569.941352391,75569.842064233,75569.941352391,0.000660740,1,0.00661,0.00661,251528,48,0.000191,21,17,0.809524,1688122
2538873708969,2539072944628,2538875051447,2539072944628,1342478,75569.941352391,75570.041371951,75569.942023667,75570.041371951,0.000671276,1,0.00671,0.00671,251528,45,0.000179,20,18,0.900000,1688122
2539072944628,2539271978521,2539074297136,2539271978521,1352508,75570.041371951,75570.141290223,75570.042047890,75570.141290223,0.000675939,1,0.00676,0.00676,251528,47,0.000187,20,18,0.900000,1688122
2539271978521,2539470746536,2539273798628,2539470746536,1820107,75570.141290223,75570.241073978,75570.142200557,75570.241073978,0.000910334,1,0.00912,0.00912,251528,45,0.000179,20,19,0.950000,1688122
2539470746536,2539670595979,2539472142564,2539670595979,1396028,75570.241073978,75570.341401564,75570.241772571,75570.341401564,0.000698593,1,0.00696,0.00696,251528,97,0.000386,41,21,0.512195,1688122
2539670595979,2539869699468,2539672188617,2539869699468,1592638,75570.341401564,75570.441354364,75570.342198029,75570.441354364,0.000796465,1,0.00797,0.00797,251528,48,0.000191,16,14,0.875000,1688122
2539869699468,2540068581072,2539871478936,2540068581072,1779468,75570.441354364,75570.541195516,75570.442244865,75570.541195516,0.000890501,1,0.00892,0.00892,251528,54,0.000215,30,16,0.533333,1688122
2540068581072,2540268020203,2540069925887,2540268020203,1344815,75570.541195516,75570.641316836,75570.541867924,75570.641316836,0.000672408,1,0.00672,0.00672,251528,45,0.000179,20,19,0.950000,1688122
2540268020203,2540467086075,2540269352799,2540467086075,1332596,75570.641316836,75570.741250782,75570.641983070,75570.741250782,0.000666234,1,0.00667,0.00667,251528,45,0.000179,21,18,0.857143,1688122
2540467086075,2540666439210,2540468470329,2540666439210,1384254,75570.741250782,75570.841328932,75570.741942948,75570.841328932,0.000692166,1,0.00692,0.00692,251528,44,0.000175,20,19,0.950000,1688122
2540666439210,2540865662574,2540667799469,2540865662574,1360259,75570.841328932,75570.941341952,75570.842009041,75570.941341952,0.000680109,1,0.0068,0.0068,251528,47,0.000187,21,19,0.904762,1688122
2540865662574,2541064267545,2540867025140,2541064267545,1362566,75570.941341952,75571.041044056,75570.942023248,75571.041044056,0.000681296,1,0.00683,0.00683,251528,44,0.000175,23,20,0.869565,1688122
2541064267545,2541264016098,2541065631447,2541264016098,1363902,75571.041044056,75571.141321297,75571.041726616,75571.141321297,0.000682560,1,0.00681,0.00681,252770,249,0.000985,143,65,0.454545,1692886
2541264016098,2541463045978,2541265366674,2541463045978,1350576,75571.141321297,75571.241237089,75571.141996426,75571.241237089,0.000675129,1,0.00676,0.00676,251528,45,0.000179,21,20,0.952381,1688122
2541463045978,2541662467588,2541464402382,2541662467588,1356404,75571.241237089,75571.341349649,75571.241915126,75571.341349649,0.000678037,1,0.00677,0.00677,251528,47,0.000187,22,21,0.954545,1688122
2541662467588,2541861166950,2541663811872,2541861166950,1344284,75571.341349649,75571.441099185,75571.342021638,75571.441099185,0.000671989,1,0.00674,0.00674,251528,45,0.000179,20,19,0.950000,1688122
2541861166950,2542060441401,2541862501694,2542060441401,1334744,75571.441099185,75571.541138270,75571.441766801,75571.541138270,0.000667616,1,0.00667,0.00667,251528,46,0.000183,24,15,0.625000,1688122
