period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2164276936324,2164476152888,2164277149683,2164476152888,213359,75381.888157628,75381.988098299,75381.888193204,75381.988098299,0.000035576,1,0.000356,0.000356,882,42,0.047619,23,11,0.478261,2964
2164476152888,2164675363123,2164476348545,2164675363123,195657,75381.988098299,75382.088104870,75381.988194360,75382.088104870,0.000096061,1,0.000961,0.000961,882,55,0.062358,20,9,0.450000,2964
2164675363123,2164874579865,2164675502543,2164874579865,139420,75382.088104870,75382.188115120,75382.088172852,75382.188115120,0.000067982,1,0.00068,0.00068,882,39,0.044218,19,10,0.526316,2964
2164874579865,2165073751924,2164874740766,2165073751924,160901,75382.188115120,75382.288102645,75382.188193673,75382.288102645,0.000078553,1,0.000786,0.000786,882,38,0.043084,21,10,0.476190,2964
2165073751924,2165272960224,2165073902762,2165272960224,150838,75382.288102645,75382.388108757,75382.288176286,75382.388108757,0.000073641,1,0.000736,0.000736,882,38,0.043084,22,13,0.590909,2964
2165272960224,2165472143262,2165273114248,2165472143262,154024,75382.388108757,75382.488101429,75382.388183718,75382.488101429,0.000074961,1,0.00075,0.00075,882,40,0.045351,25,13,0.520000,2964
2165472143262,2165671355505,2165472293348,2165671355505,150086,75382.488101429,75382.588109529,75382.488174910,75382.588109529,0.000073481,1,0.000735,0.000735,882,47,0.053288,25,11,0.440000,2964
2165671355505,2165870561103,2165671513052,2165870561103,157547,75382.588109529,75382.688113901,75382.588186447,75382.688113901,0.000076918,1,0.000769,0.000769,882,35,0.039683,19,9,0.473684,2964
2165870561103,2166069752471,2165870711052,2166069752471,149949,75382.688113901,75382.788111184,75382.688187123,75382.788111184,0.000073222,1,0.000732,0.000732,882,39,0.044218,21,11,0.523810,2964
2166069752471,2166268988991,2166069904365,2166268988991,151894,75382.788111184,75382.888131161,75382.788185397,75382.888131161,0.000074213,1,0.000742,0.000742,882,42,0.047619,21,8,0.380952,2964
2166268988991,2166468134004,2166269139784,2166468134004,150793,75382.888131161,75382.988105519,75382.888204819,75382.988105519,0.000073658,1,0.000737,0.000737,882,40,0.045351,22,10,0.454545,2964
2166468134004,2166667342713,2166468290502,2166667342713,156498,75382.988105519,75383.088112163,75382.988181765,75383.088112163,0.000076246,1,0.000762,0.000762,882,44,0.049887,24,11,0.458333,2964
2166667342713,2166866461576,2166667505930,2166866461576,163217,75383.088112163,75383.188073158,75383.088191169,75383.188073158,0.000079006,1,0.00079,0.00079,882,45,0.051020,30,13,0.433333,2964
2166866461576,2167065759299,2166866658845,2167065759299,197269,75383.188073158,75383.288123245,75383.188169571,75383.288123245,0.000096413,1,0.000964,0.000964,882,107,0.121315,27,8,0.296296,2964
2167065759299,2167264954200,2167065918078,2167264954200,158779,75383.288123245,75383.388122221,75383.288200541,75383.388122221,0.000077296,1,0.000773,0.000773,882,44,0.049887,26,14,0.538462,2964
2167264954200,2167464135804,2167265112424,2167464135804,158224,75383.388122221,75383.488114425,75383.388199459,75383.488114425,0.000077238,1,0.000772,0.000772,882,42,0.047619,19,8,0.421053,2964
2167464135804,2167663344388,2167464286967,2167663344388,151163,75383.488114425,75383.588121122,75383.488188208,75383.588121122,0.000073783,1,0.000738,0.000738,882,42,0.047619,22,12,0.545455,2964
2167663344388,2167862450551,2167663503883,2167862450551,159495,75383.588121122,75383.688074826,75383.588198398,75383.688074826,0.000077276,1,0.000773,0.000773,882,41,0.046485,24,11,0.458333,2964
2167862450551,2168061625060,2167862554099,2168061625060,103548,75383.688074826,75383.788063700,75383.688124664,75383.788063700,0.000049838,1,0.000498,0.000498,882,44,0.049887,22,10,0.454545,2964
