period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2317494394444,2317693590259,2317494608096,2317693590259,213652,75458.805721321,75458.905664826,75458.805769640,75458.905664826,0.000048319,1,0.000483,0.000483,3044,38,0.012484,20,18,0.900000,13201
2317693590259,2317892228849,2317693860082,2317892228849,269823,75458.905664826,75459.005384415,75458.905797440,75459.005384415,0.000132614,1,0.00133,0.00133,3044,40,0.013141,22,12,0.545455,13201
2317892228849,2318091959369,2317892441629,2318091959369,212780,75459.005384415,75459.105652073,75459.005488344,75459.105652073,0.000103929,1,0.00104,0.00104,3044,43,0.014126,26,15,0.576923,13201
2318091959369,2318291117616,2318092149194,2318291117616,189825,75459.105652073,75459.205633036,75459.105744440,75459.205633036,0.000092367,1,0.000924,0.000924,3044,37,0.012155,23,18,0.782609,13201
2318291117616,2318490295850,2318291315043,2318490295850,197427,75459.205633036,75459.305623060,75459.205728775,75459.305623060,0.000095739,1,0.000957,0.000957,3044,43,0.014126,26,22,0.846154,13201
2318490295850,2318689533872,2318490484887,2318689533872,189037,75459.305623060,75459.405643511,75459.305715020,75459.405643511,0.000091960,1,0.000919,0.000919,3044,38,0.012484,22,18,0.818182,13201
2318689533872,2318888170695,2318689724286,2318888170695,190414,75459.405643511,75459.505362124,75459.405736292,75459.505362124,0.000092781,1,0.00093,0.00093,3044,39,0.012812,23,20,0.869565,13201
2318888170695,2319087792237,2318888352894,2319087792237,182199,75459.505362124,75459.605575347,75459.505450822,75459.605575347,0.000088698,1,0.000885,0.000885,3044,41,0.013469,25,19,0.760000,13201
2319087792237,2319287083625,2319087984561,2319287083625,192324,75459.605575347,75459.705622738,75459.605669002,75459.705622738,0.000093655,1,0.000936,0.000936,3044,39,0.012812,24,19,0.791667,13201
2319287083625,2319486328554,2319287272026,2319486328554,188401,75459.705622738,75459.805646643,75459.705714291,75459.805646643,0.000091553,1,0.000915,0.000915,3044,40,0.013141,22,19,0.863636,13201
2319486328554,2319685057992,2319486518998,2319685057992,190444,75459.805646643,75459.905411821,75459.805739311,75459.905411821,0.000092668,1,0.000929,0.000929,3044,41,0.013469,21,19,0.904762,13201
2319685057992,2319884068603,2319685243872,2319884068603,185880,75459.905411821,75460.005317894,75459.905502222,75460.005317894,0.000090401,1,0.000905,0.000905,3044,41,0.013469,24,14,0.583333,13201
2319884068603,2320083841981,2319884252672,2320083841981,184069,75460.005317894,75460.105607484,75460.005407603,75460.105607484,0.000089709,1,0.000894,0.000894,3044,43,0.014126,24,20,0.833333,13201
2320083841981,2320283060206,2320084028966,2320283060206,186985,75460.105607484,75460.205618065,75460.105698408,75460.205618065,0.000090924,1,0.000909,0.000909,3044,38,0.012484,21,19,0.904762,13201
2320283060206,2320482328704,2320283248412,2320482328704,188206,75460.205618065,75460.305653893,75460.205709610,75460.305653893,0.000091545,1,0.000915,0.000915,3044,39,0.012812,22,18,0.818182,13201
2320482328704,2320680820507,2320482518114,2320680820507,189410,75460.305653893,75460.405299017,75460.305745960,75460.405299017,0.000092067,1,0.000924,0.000924,3044,40,0.013141,20,18,0.900000,13201
2320680820507,2320880678596,2320680986341,2320880678596,165834,75460.405299017,75460.505631997,75460.405380033,75460.505631997,0.000081016,1,0.000807,0.000807,3044,41,0.013469,23,19,0.826087,13201
2320880678596,2321079369342,2320880868261,2321079369342,189665,75460.505631997,75460.605376977,75460.505723855,75460.605376977,0.000091858,1,0.000921,0.000921,3044,39,0.012812,23,19,0.826087,13201
2321079369342,2321279025652,2321079555360,2321279025652,186018,75460.605376977,75460.705607848,75460.605467754,75460.705607848,0.000090777,1,0.000906,0.000906,3044,41,0.013469,25,21,0.840000,13201
2321279025652,2321478273250,2321279401154,2321478273250,375502,75460.705607848,75460.805633470,75460.705793770,75460.805633470,0.000185922,1,0.00186,0.00186,3044,48,0.015769,25,13,0.520000,13201
2321478273250,2321677275290,2321478462915,2321677275290,189665,75460.805633470,75460.905535207,75460.805725482,75460.905535207,0.000092012,1,0.000921,0.000921,3044,43,0.014126,22,15,0.681818,13201
2321677275290,2321876616409,2321677463504,2321876616409,188214,75460.905535207,75461.005607757,75460.905626790,75461.005607757,0.000091583,1,0.000915,0.000915,3044,36,0.011827,22,19,0.863636,13201
2321876616409,2322075886596,2321876804298,2322075886596,187889,75461.005607757,75461.105644441,75461.005698911,75461.105644441,0.000091154,1,0.000911,0.000911,3043,38,0.012488,24,20,0.833333,13201
2322075886596,2322275084098,2322076071184,2322275084098,184588,75461.105644441,75461.205644357,75461.105733913,75461.205644357,0.000089472,1,0.000895,0.000895,3044,38,0.012484,21,18,0.857143,13201
2322275084098,2322473654997,2322275274012,2322473654997,189914,75461.205644357,75461.305330011,75461.205736763,75461.305330011,0.000092406,1,0.000927,0.000927,3044,38,0.012484,22,19,0.863636,13201
2322473654997,2322673420506,2322473880473,2322673420506,225476,75461.305330011,75461.405615370,75461.305440542,75461.405615370,0.000110531,1,0.0011,0.0011,3044,114,0.037451,34,17,0.500000,13201
2322673420506,2322872614777,2322673608631,2322872614777,188125,75461.405615370,75461.505614180,75461.405706790,75461.505614180,0.000091420,1,0.000914,0.000914,3044,41,0.013469,23,18,0.782609,13201
2322872614777,2323071221908,2322872801885,2323071221908,187108,75461.505614180,75461.605317641,75461.505704822,75461.605317641,0.000090642,1,0.000909,0.000909,3044,41,0.013469,25,21,0.840000,13201
2323071221908,2323271008479,2323071406838,2323271008479,184930,75461.605317641,75461.705613587,75461.605407596,75461.705613587,0.000089955,1,0.000897,0.000897,3044,58,0.019054,25,16,0.640000,13201
2323271008479,2323470127844,2323271198165,2323470127844,189686,75461.705613587,75461.805574506,75461.705705814,75461.805574506,0.000092227,1,0.000923,0.000923,3044,43,0.014126,23,19,0.826087,13201
2323470127844,2323669003854,2323470316752,2323669003854,188908,75461.805574506,75461.905413600,75461.805666385,75461.905413600,0.000091879,1,0.00092,0.00092,3044,41,0.013469,25,21,0.840000,13201
2323669003854,2323868054910,2323669193327,2323868054910,189473,75461.905413600,75462.005338491,75461.905505454,75462.005338491,0.000091854,1,0.000919,0.000919,3044,42,0.013798,25,19,0.760000,13201
2323868054910,2324067789286,2323868170952,2324067789286,116042,75462.005338491,75462.105609529,75462.005395070,75462.105609529,0.000056579,1,0.000564,0.000564,3044,43,0.014126,25,11,0.440000,13201
2324067789286,2324266978020,2324067977386,2324266978020,188100,75462.105609529,75462.205605777,75462.105701110,75462.205605777,0.000091581,1,0.000916,0.000916,3044,41,0.013469,21,18,0.857143,13201
2324266978020,2324465707663,2324267168262,2324465707663,190242,75462.205605777,75462.305370547,75462.205697963,75462.305370547,0.000092186,1,0.000924,0.000924,3044,44,0.014455,22,18,0.818182,13201
2324465707663,2324665452884,2324465888826,2324665452884,181163,75462.305370547,75462.405645860,75462.305458658,75462.405645860,0.000088111,1,0.000879,0.000879,3044,43,0.014126,21,15,0.714286,13201
2324665452884,2324864512035,2324665641667,2324864512035,188783,75462.405645860,75462.505576755,75462.405737563,75462.505576755,0.000091703,1,0.000918,0.000918,3044,42,0.013798,23,18,0.782609,13201
2324864512035,2325063243861,2324864702881,2325063243861,190846,75462.505576755,75462.605343084,75462.505669328,75462.605343084,0.000092573,1,0.000928,0.000928,3044,41,0.013469,22,18,0.818182,13201
2325063243861,2325262902610,2325063449286,2325262902610,205425,75462.605343084,75462.705572981,75462.605443369,75462.705572981,0.000100285,1,0.001,0.001,3044,58,0.019054,23,14,0.608696,13201
2325262902610,2325462171785,2325262994454,2325462171785,91844,75462.705572981,75462.805610797,75462.705617581,75462.805610797,0.000044600,1,0.000446,0.000446,3044,43,0.014126,25,19,0.760000,13201
