period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2174498998852,2174698123296,2174499272777,2174698123296,273925,75387.019824486,75387.119693791,75387.019866044,75387.119693791,0.000041558,1,0.000416,0.000416,1186,99,0.083474,26,9,0.346154,5921
2174698123296,2174897263718,2174698243812,2174897263718,120516,75387.119693791,75387.219666641,75387.119752470,75387.219666641,0.000058679,1,0.000587,0.000587,1186,59,0.049747,25,10,0.400000,5921
2174897263718,2175096460309,2174897420218,2175096460309,156500,75387.219666641,75387.319666505,75387.219742415,75387.319666505,0.000075774,1,0.000758,0.000758,1186,62,0.052277,10,3,0.300000,5921
2175096460309,2175295693934,2175096618548,2175295693934,158239,75387.319666505,75387.419684812,75387.319743251,75387.419684812,0.000076746,1,0.000767,0.000767,1186,69,0.058179,17,7,0.411765,5921
2175295693934,2175494847685,2175295852993,2175494847685,159059,75387.419684812,75387.519663227,75387.419762108,75387.519663227,0.000077296,1,0.000773,0.000773,1186,61,0.051433,13,5,0.384615,5921
2175494847685,2175694078029,2175495004045,2175694078029,156360,75387.519663227,75387.619680105,75387.519739186,75387.619680105,0.000075959,1,0.000759,0.000759,1186,65,0.054806,15,8,0.533333,5921
2175694078029,2175893377922,2175694235490,2175893377922,157461,75387.619680105,75387.719731945,75387.619756576,75387.719731945,0.000076471,1,0.000764,0.000764,1186,68,0.057336,16,6,0.375000,5921
2175893377922,2176092482877,2175893537430,2176092482877,159508,75387.719731945,75387.819685789,75387.719809367,75387.819685789,0.000077422,1,0.000775,0.000775,1186,52,0.043845,19,11,0.578947,5921
2176092482877,2176291760863,2176092685065,2176291760863,202188,75387.819685789,75387.919726827,75387.819784878,75387.919726827,0.000099089,1,0.00099,0.00099,1186,74,0.062395,16,7,0.437500,5921
2176291760863,2176490853649,2176291925514,2176490853649,164651,75387.919726827,75388.019674775,75387.919806746,75388.019674775,0.000079919,1,0.0008,0.0008,1186,52,0.043845,20,10,0.500000,5921
2176490853649,2176690187340,2176491015877,2176690187340,162228,75388.019674775,75388.119743387,75388.019753167,75388.119743387,0.000078392,1,0.000783,0.000783,1186,64,0.053963,15,6,0.400000,5921
2176690187340,2176889345198,2176690350072,2176889345198,162732,75388.119743387,75388.219723825,75388.119822363,75388.219723825,0.000078976,1,0.00079,0.00079,1186,52,0.043845,19,11,0.578947,5921
2176889345198,2177088445169,2176889506210,2177088445169,161012,75388.219723825,75388.319675515,75388.219801857,75388.319675515,0.000078032,1,0.000781,0.000781,1186,53,0.044688,19,11,0.578947,5921
2177088445169,2177287677282,2177088610737,2177287677282,165568,75388.319675515,75388.419692884,75388.319755697,75388.419692884,0.000080182,1,0.000802,0.000802,1186,50,0.042159,18,11,0.611111,5921
2177287677282,2177486938121,2177287889474,2177486938121,212192,75388.419692884,75388.519726462,75388.419796726,75388.519726462,0.000103842,1,0.00104,0.00104,1186,99,0.083474,13,8,0.615385,5921
2177486938121,2177686202688,2177487257383,2177686202688,319262,75388.519726462,75388.619759649,75388.519882919,75388.619759649,0.000156457,1,0.00156,0.00156,1186,119,0.100337,27,12,0.444444,5921
2177686202688,2177885587797,2177686383849,2177885587797,181161,75388.619759649,75388.719855108,75388.619847393,75388.719855108,0.000087744,1,0.000877,0.000877,1186,52,0.043845,21,19,0.904762,5921
2177885587797,2178084534090,2177885794752,2178084534090,206955,75388.719855108,75388.819727996,75388.719954989,75388.819727996,0.000099881,1,0.001,0.001,1186,57,0.048061,18,17,0.944444,5921
2178084534090,2178283790917,2178084700394,2178283790917,166304,75388.819727996,75388.919758644,75388.819808869,75388.919758644,0.000080873,1,0.000808,0.000808,1186,55,0.046374,18,11,0.611111,5921
2178283790917,2178483522831,2178284146185,2178483522831,355268,75388.919758644,75389.020027124,75388.919934314,75389.020027124,0.000175670,1,0.00175,0.00175,1186,62,0.052277,21,11,0.523810,5921
2178483522831,2178682317342,2178483704670,2178682317342,181839,75389.020027124,75389.119825604,75389.020115399,75389.119825604,0.000088275,1,0.000885,0.000885,1186,53,0.044688,21,17,0.809524,5921
2178682317342,2178881626653,2178682495751,2178881626653,178409,75389.119825604,75389.219882416,75389.119911723,75389.219882416,0.000086119,1,0.000861,0.000861,1186,53,0.044688,20,16,0.800000,5921
2178881626653,2179080432099,2178881809087,2179080432099,182434,75389.219882416,75389.319685330,75389.219970265,75389.319685330,0.000087849,1,0.00088,0.00088,1186,52,0.043845,21,17,0.809524,5921
