period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2624066096925,2624265319896,2624066314989,2624265319896,218064,75612.709217983,75612.809166715,75612.709260420,75612.809166715,0.000042437,1,0.000425,0.000425,792,34,0.042929,16,12,0.750000,3895
2624265319896,2624464368103,2624265582966,2624464368103,263070,75612.809166715,75612.909091810,75612.809295962,75612.909091810,0.000129247,1,0.00129,0.00129,792,37,0.046717,20,12,0.600000,3895
2624464368103,2624663708760,2624464546418,2624663708760,178315,75612.909091810,75613.009163993,75612.909178255,75613.009163993,0.000086445,1,0.000864,0.000864,792,34,0.042929,20,17,0.850000,3895
2624663708760,2624862905499,2624663888299,2624862905499,179539,75613.009163993,75613.109163578,75613.009250795,75613.109163578,0.000086802,1,0.000868,0.000868,792,34,0.042929,20,16,0.800000,3895
2624862905499,2625062130057,2624863082746,2625062130057,177247,75613.109163578,75613.209176833,75613.109249170,75613.209176833,0.000085592,1,0.000856,0.000856,792,32,0.040404,17,12,0.705882,3895
2625062130057,2625261353886,2625062308543,2625261353886,178486,75613.209176833,75613.309190327,75613.209263371,75613.309190327,0.000086538,1,0.000865,0.000865,792,33,0.041667,19,15,0.789474,3895
2625261353886,2625460541096,2625261533631,2625460541096,179745,75613.309190327,75613.409185202,75613.309277427,75613.409185202,0.000087100,1,0.000871,0.000871,792,33,0.041667,20,16,0.800000,3895
2625460541096,2625659682467,2625460719363,2625659682467,178267,75613.409185202,75613.509156903,75613.409271283,75613.509156903,0.000086081,1,0.000861,0.000861,792,32,0.040404,18,15,0.833333,3895
2625659682467,2625858474824,2625659857567,2625858474824,175100,75613.509156903,75613.608952789,75613.509241516,75613.608952789,0.000084613,1,0.000848,0.000848,792,33,0.041667,17,14,0.823529,3895
2625858474824,2626057915157,2625858641982,2626057915157,167158,75613.608952789,75613.709073692,75613.609034094,75613.709073692,0.000081305,1,0.000812,0.000812,792,32,0.040404,18,9,0.500000,3895
2626057915157,2626257176355,2626058054292,2626257176355,139135,75613.709073692,75613.809106056,75613.709141961,75613.809106056,0.000068269,1,0.000682,0.000682,792,35,0.044192,19,14,0.736842,3895
2626257176355,2626456346068,2626257297233,2626456346068,120878,75613.809106056,75613.909092675,75613.809164619,75613.909092675,0.000058563,1,0.000586,0.000586,792,32,0.040404,17,13,0.764706,3895
2626456346068,2626655645467,2626456557125,2626655645467,211057,75613.909092675,75614.009144505,75613.909196341,75614.009144505,0.000103666,1,0.00104,0.00104,792,92,0.116162,37,8,0.216216,3895
2626655645467,2626854853365,2626655823808,2626854853365,178341,75614.009144505,75614.109149478,75614.009230829,75614.109149478,0.000086324,1,0.000863,0.000863,792,34,0.042929,20,17,0.850000,3895
2626854853365,2627053790927,2626855029689,2627053790927,176324,75614.109149478,75614.209019005,75614.109235036,75614.209019005,0.000085558,1,0.000857,0.000857,792,33,0.041667,20,16,0.800000,3895
2627053790927,2627253278439,2627053966202,2627253278439,175275,75614.209019005,75614.309164538,75614.209103977,75614.309164538,0.000084972,1,0.000848,0.000848,792,33,0.041667,19,16,0.842105,3895
2627253278439,2627452474789,2627253454951,2627452474789,176512,75614.309164538,75614.409164272,75614.309250175,75614.409164272,0.000085637,1,0.000856,0.000856,792,32,0.040404,19,17,0.894737,3895
2627452474789,2627651620557,2627452651757,2627651620557,176968,75614.409164272,75614.509138507,75614.409249772,75614.509138507,0.000085500,1,0.000855,0.000855,792,33,0.041667,19,15,0.789474,3895
2627651620557,2627850317229,2627651799414,2627850317229,178857,75614.509138507,75614.608886086,75614.509224897,75614.608886086,0.000086390,1,0.000866,0.000866,792,34,0.042929,21,18,0.857143,3895
2627850317229,2628049597105,2627850723024,2628049597105,405795,75614.608886086,75614.708927736,75614.609087876,75614.708927736,0.000201790,1,0.00202,0.00202,792,61,0.077020,24,10,0.416667,3895
2628049597105,2628249199498,2628049747238,2628249199498,150133,75614.708927736,75614.809131577,75614.709000313,75614.809131577,0.000072577,1,0.000724,0.000724,792,49,0.061869,22,10,0.454545,3895
2628249199498,2628448392285,2628249373715,2628448392285,174217,75614.809131577,75614.909128754,75614.809215615,75614.909128754,0.000084038,1,0.00084,0.00084,792,32,0.040404,18,14,0.777778,3895
2628448392285,2628647593522,2628448569965,2628647593522,177680,75614.909128754,75615.009130567,75614.909214935,75615.009130567,0.000086181,1,0.000862,0.000862,792,33,0.041667,19,16,0.842105,3895
2628647593522,2628846810986,2628647768652,2628846810986,175130,75615.009130567,75615.109140719,75615.009215555,75615.109140719,0.000084988,1,0.00085,0.00085,792,35,0.044192,20,16,0.800000,3895
2628846810986,2629045866193,2628846990523,2629045866193,179537,75615.109140719,75615.209069417,75615.109227852,75615.209069417,0.000087133,1,0.000872,0.000872,792,32,0.040404,19,16,0.842105,3895
2629045866193,2629245089960,2629046043807,2629245089960,177614,75615.209069417,75615.309082450,75615.209155251,75615.309082450,0.000085834,1,0.000858,0.000858,792,34,0.042929,19,17,0.894737,3895
2629245089960,2629444412508,2629245267102,2629444412508,177142,75615.309082450,75615.409145344,75615.309168312,75615.409145344,0.000085862,1,0.000858,0.000858,792,33,0.041667,20,16,0.800000,3895
2629444412508,2629643146775,2629444589970,2629643146775,177462,75615.409145344,75615.508912594,75615.409231230,75615.508912594,0.000085886,1,0.000861,0.000861,792,34,0.042929,21,18,0.857143,3895
2629643146775,2629842783444,2629643317599,2629842783444,170824,75615.508912594,75615.609133620,75615.508995349,75615.609133620,0.000082755,1,0.000826,0.000826,792,34,0.042929,21,16,0.761905,3895
2629842783444,2630041561891,2629842962524,2630041561891,179080,75615.609133620,75615.708922315,75615.609219942,75615.708922315,0.000086322,1,0.000865,0.000865,792,33,0.041667,19,17,0.894737,3895
2630041561891,2630241178756,2630041723409,2630241178756,161518,75615.708922315,75615.809133514,75615.709000706,75615.809133514,0.000078391,1,0.000782,0.000782,792,34,0.042929,20,7,0.350000,3895
2630241178756,2630440352022,2630241355870,2630440352022,177114,75615.809133514,75615.909120565,75615.809219053,75615.909120565,0.000085539,1,0.000856,0.000856,792,33,0.041667,19,17,0.894737,3895
2630440352022,2630638991401,2630440512307,2630638991401,160285,75615.909120565,75616.008839273,75615.909198334,75616.008839273,0.000077769,1,0.00078,0.00078,792,34,0.042929,20,14,0.700000,3895
2630638991401,2630838679148,2630639098501,2630838679148,107100,75616.008839273,75616.109086920,75616.008891426,75616.109086920,0.000052153,1,0.00052,0.00052,792,41,0.051768,11,6,0.545455,3895
2630838679148,2631037953028,2630838856419,2631037953028,177271,75616.109086920,75616.209125664,75616.109172806,75616.209125664,0.000085886,1,0.000859,0.000859,792,34,0.042929,19,17,0.894737,3895
2631037953028,2631236981610,2631038128929,2631236981610,175901,75616.209125664,75616.309040752,75616.209210447,75616.309040752,0.000084783,1,0.000849,0.000849,792,34,0.042929,18,16,0.888889,3895
2631236981610,2631436472272,2631237164338,2631436472272,182728,75616.309040752,75616.409187487,75616.309129128,75616.409187487,0.000088376,1,0.000882,0.000882,792,30,0.037879,18,14,0.777778,3895
2631436472272,2631635568998,2631436649220,2631635568998,176948,75616.409187487,75616.509136918,75616.409273329,75616.509136918,0.000085842,1,0.000859,0.000859,792,33,0.041667,20,16,0.800000,3895
2631635568998,2631834778416,2631635745464,2631834778416,176466,75616.509136918,75616.609143233,75616.509222553,75616.609143233,0.000085635,1,0.000856,0.000856,792,31,0.039141,18,16,0.888889,3895
2631834778416,2632034051006,2631834955098,2632034051006,176682,75616.609143233,75616.709180937,75616.609228552,75616.709180937,0.000085319,1,0.000853,0.000853,792,32,0.040404,18,13,0.722222,3895
2632034051006,2632232738267,2632034229505,2632232738267,178499,75616.709180937,75616.808924113,75616.709267218,75616.808924113,0.000086281,1,0.000865,0.000865,792,33,0.041667,19,17,0.894737,3895
2632232738267,2632432461049,2632233065064,2632432461049,326797,75616.808924113,75616.909188201,75616.809085695,75616.909188201,0.000161582,1,0.00161,0.00161,792,37,0.046717,21,11,0.523810,3895
2632432461049,2632631551270,2632432639451,2632631551270,178402,75616.909188201,75617.009134062,75616.909274692,75617.009134062,0.000086491,1,0.000865,0.000865,792,33,0.041667,17,13,0.764706,3895
2632631551270,2632830708530,2632631729510,2632830708530,178240,75617.009134062,75617.109114131,75617.009220669,75617.109114131,0.000086607,1,0.000866,0.000866,792,32,0.040404,19,15,0.789474,3895
2632830708530,2633029940227,2632830881271,2633029940227,172741,75617.109114131,75617.209130062,75617.109197704,75617.209130062,0.000083573,1,0.000836,0.000836,792,33,0.041667,19,16,0.842105,3895
2633029940227,2633228706263,2633030100284,2633228706263,160057,75617.209130062,75617.308914242,75617.209208365,75617.308914242,0.000078303,1,0.000785,0.000785,792,32,0.040404,18,15,0.833333,3895
2633228706263,2633428342975,2633228878298,2633428342975,172035,75617.308914242,75617.409135007,75617.308997875,75617.409135007,0.000083633,1,0.000834,0.000834,792,32,0.040404,18,12,0.666667,3895
2633428342975,2633627543017,2633428517254,2633627543017,174279,75617.409135007,75617.509136363,75617.409219535,75617.509136363,0.000084528,1,0.000845,0.000845,792,33,0.041667,21,18,0.857143,3895
2633627543017,2633826819658,2633627722321,2633826819658,179304,75617.509136363,75617.609176401,75617.509223276,75617.609176401,0.000086913,1,0.000869,0.000869,792,32,0.040404,18,15,0.833333,3895
2633826819658,2634025488418,2633826996169,2634025488418,176511,75617.609176401,75617.708910007,75617.609261584,75617.708910007,0.000085183,1,0.000854,0.000854,792,31,0.039141,19,15,0.789474,3895
