period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2327704243315,2327903452206,2327705933742,2327903452206,1690427,75463.931220580,75464.031171039,75463.932010419,75464.031171039,0.000789839,1,0.0079,0.0079,47302,45,0.000951,26,23,0.884615,626668
2327903452206,2328102653040,2327905227038,2328102653040,1774832,75464.031171039,75464.131173927,75464.032058765,75464.131173927,0.000887726,1,0.00888,0.00888,47232,82,0.001736,33,19,0.575758,625479
2328102653040,2328301299673,2328104310046,2328301299673,1657006,75464.131173927,75464.230896013,75464.132001465,75464.230896013,0.000827538,1,0.0083,0.0083,47232,39,0.000826,21,17,0.809524,625479
2328301299673,2328501045544,2328303032978,2328501045544,1733305,75464.230896013,75464.331171851,75464.231763341,75464.331171851,0.000867328,1,0.00865,0.00865,48650,241,0.004954,140,74,0.528571,630158
2328501045544,2328700241445,2328502700424,2328700241445,1654880,75464.331171851,75464.431172388,75464.331999435,75464.431172388,0.000827584,1,0.00828,0.00828,47232,40,0.000847,27,19,0.703704,625479
2328700241445,2328899469250,2328701898042,2328899469250,1656597,75464.431172388,75464.531187615,75464.431999714,75464.531187615,0.000827326,1,0.00827,0.00827,47232,40,0.000847,21,16,0.761905,625479
2328899469250,2329098661917,2328901139210,2329098661917,1669960,75464.531187615,75464.631184329,75464.532021882,75464.631184329,0.000834267,1,0.00834,0.00834,47232,49,0.001037,23,16,0.695652,625479
2329098661917,2329297393536,2329100328752,2329297393536,1666835,75464.631184329,75464.730950221,75464.632017837,75464.730950221,0.000833508,1,0.00835,0.00835,47232,48,0.001016,19,14,0.736842,625479
2329297393536,2329497073956,2329299133333,2329497073956,1739797,75464.730950221,75464.831194358,75464.731821203,75464.831194358,0.000870982,1,0.00869,0.00869,48534,304,0.006264,154,82,0.532468,629878
2329497073956,2329695958755,2329498737592,2329695958755,1663636,75464.831194358,75464.931036339,75464.832025202,75464.931036339,0.000830844,1,0.00832,0.00832,47232,48,0.001016,22,18,0.818182,625479
2329695958755,2329895452091,2329697684580,2329895452091,1725825,75464.931036339,75465.031185491,75464.931899956,75465.031185491,0.000863617,1,0.00862,0.00862,47232,63,0.001334,23,15,0.652174,625479
2329895452091,2330094630904,2329897142613,2330094630904,1690522,75465.031185491,75465.131176094,75465.032030494,75465.131176094,0.000845003,1,0.00845,0.00845,47232,48,0.001016,25,24,0.960000,625479
2330094630904,2330293793056,2330096322942,2330293793056,1692038,75465.131176094,75465.231158830,75465.132022312,75465.231158830,0.000846218,1,0.00846,0.00846,47232,55,0.001164,25,13,0.520000,625479
2330293793056,2330492377117,2330295484395,2330492377117,1691339,75465.231158830,75465.330849241,75465.232004467,75465.330849241,0.000845637,1,0.00848,0.00848,47232,91,0.001927,46,36,0.782609,625479
2330492377117,2330692312539,2330493941013,2330692312539,1563896,75465.330849241,75465.431220415,75465.331632824,75465.431220415,0.000783583,1,0.00781,0.00781,48768,480,0.009843,276,21,0.076087,630735
2330692312539,2330890935485,2330693668053,2330890935485,1355514,75465.431220415,75465.530932606,75465.431898658,75465.530932606,0.000678243,1,0.0068,0.0068,47232,57,0.001207,20,14,0.700000,625479
