period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2184716179877,2184915174711,2184716308403,2184915174711,128526,75392.148959734,75392.248820400,75392.148983204,75392.248820400,0.000023470,1,0.000235,0.000235,790,31,0.039241,19,12,0.631579,5142
2184915174711,2185114490757,2184915435426,2185114490757,260715,75392.248820400,75392.348880495,75392.248948411,75392.348880495,0.000128011,1,0.00128,0.00128,790,46,0.058228,23,17,0.739130,5142
2185114490757,2185313659557,2185114670618,2185313659557,179861,75392.348880495,75392.448866356,75392.348967700,75392.448866356,0.000087205,1,0.000872,0.000872,790,34,0.043038,18,13,0.722222,5142
2185313659557,2185512798313,2185313834801,2185512798313,175244,75392.448866356,75392.548837155,75392.448951401,75392.548837155,0.000085045,1,0.000851,0.000851,790,33,0.041772,23,14,0.608696,5142
2185512798313,2185712034491,2185512973654,2185712034491,175341,75392.548837155,75392.648857198,75392.548922139,75392.648857198,0.000084984,1,0.00085,0.00085,790,40,0.050633,21,12,0.571429,5142
2185712034491,2185911121882,2185712213449,2185911121882,178958,75392.648857198,75392.748801841,75392.648943915,75392.748801841,0.000086717,1,0.000868,0.000868,790,32,0.040506,19,16,0.842105,5142
2185911121882,2186110435884,2185911287154,2186110435884,165272,75392.748801841,75392.848860659,75392.748881999,75392.848860659,0.000080158,1,0.000801,0.000801,790,46,0.058228,19,6,0.315789,5142
2186110435884,2186309596799,2186110607621,2186309596799,171737,75392.848860659,75392.948843634,75392.848944168,75392.948843634,0.000083509,1,0.000835,0.000835,790,34,0.043038,20,11,0.550000,5142
2186309596799,2186508883706,2186309815344,2186508883706,218545,75392.948843634,75393.048888125,75392.948950006,75393.048888125,0.000106372,1,0.00106,0.00106,790,82,0.103797,19,6,0.315789,5142
2186508883706,2186708067051,2186509076218,2186708067051,192512,75393.048888125,75393.148881658,75393.048982067,75393.148881658,0.000093942,1,0.000939,0.000939,790,66,0.083544,20,11,0.550000,5142
2186708067051,2186907223221,2186708251567,2186907223221,184516,75393.148881658,75393.248860859,75393.148971108,75393.248860859,0.000089450,1,0.000895,0.000895,790,72,0.091139,24,13,0.541667,5142
2186907223221,2187106446277,2186907421373,2187106446277,198152,75393.248860859,75393.348874381,75393.248957777,75393.348874381,0.000096918,1,0.000969,0.000969,790,70,0.088608,26,15,0.576923,5142
2187106446277,2187305630216,2187106652324,2187305630216,206047,75393.348874381,75393.448867769,75393.348975081,75393.448867769,0.000100700,1,0.00101,0.00101,790,74,0.093671,25,19,0.760000,5142
2187305630216,2187504841338,2187305862101,2187504841338,231885,75393.448867769,75393.548874821,75393.448981729,75393.548874821,0.000113960,1,0.00114,0.00114,790,100,0.126582,36,12,0.333333,5142
2187504841338,2187704041494,2187505019397,2187704041494,178059,75393.548874821,75393.648876456,75393.548961428,75393.648876456,0.000086607,1,0.000866,0.000866,790,43,0.054430,28,22,0.785714,5142
2187704041494,2187903246059,2187704252516,2187903246059,211022,75393.648876456,75393.748880750,75393.648980078,75393.748880750,0.000103622,1,0.00104,0.00104,790,86,0.108861,30,13,0.433333,5142
2187903246059,2188102472121,2187903456757,2188102472121,210698,75393.748880750,75393.848895114,75393.748983784,75393.848895114,0.000103034,1,0.00103,0.00103,790,63,0.079747,27,5,0.185185,5142
2188102472121,2188301635404,2188102645107,2188301635404,172986,75393.848895114,75393.948878511,75393.848979261,75393.948878511,0.000084147,1,0.000842,0.000842,790,35,0.044304,20,12,0.600000,5142
2188301635404,2188500697051,2188301850556,2188500697051,215152,75393.948878511,75394.048810694,75393.948983916,75394.048810694,0.000105405,1,0.00105,0.00105,790,60,0.075949,28,11,0.392857,5142
2188500697051,2188700038680,2188500857466,2188700038680,160415,75394.048810694,75394.148883223,75394.048888208,75394.148883223,0.000077514,1,0.000775,0.000775,790,45,0.056962,20,5,0.250000,5142
2188700038680,2188899228756,2188700394527,2188899228756,355847,75394.148883223,75394.248879841,75394.149059413,75394.248879841,0.000176190,1,0.00176,0.00176,790,42,0.053165,27,10,0.370370,5142
2188899228756,2189098402650,2188899404149,2189098402650,175393,75394.248879841,75394.348868724,75394.248965038,75394.348868724,0.000085197,1,0.000852,0.000852,790,32,0.040506,19,12,0.631579,5142
2189098402650,2189297608828,2189098578395,2189297608828,175745,75394.348868724,75394.448873134,75394.348953651,75394.448873134,0.000084927,1,0.000849,0.000849,790,36,0.045570,24,15,0.625000,5142
2189297608828,2189496727445,2189297785260,2189496727445,176432,75394.448873134,75394.548833809,75394.448958787,75394.548833809,0.000085653,1,0.000857,0.000857,790,33,0.041772,23,12,0.521739,5142
2189496727445,2189695939108,2189496898205,2189695939108,170760,75394.548833809,75394.648841238,75394.548916639,75394.648841238,0.000082830,1,0.000828,0.000828,790,33,0.041772,20,11,0.550000,5142
2189695939108,2189895232787,2189696108353,2189895232787,169245,75394.648841238,75394.748888645,75394.648923401,75394.748888645,0.000082163,1,0.000821,0.000821,790,34,0.043038,20,11,0.550000,5142
2189895232787,2190094340369,2189895327334,2190094340369,94547,75394.748888645,75394.848848154,75394.748934463,75394.848848154,0.000045818,1,0.000458,0.000458,790,81,0.102532,33,5,0.151515,5142
2190094340369,2190293475113,2190094538504,2190293475113,198135,75394.848848154,75394.948813964,75394.848942105,75394.948813964,0.000093951,1,0.00094,0.00094,790,58,0.073418,23,11,0.478261,5142
2190293475113,2190492697707,2190293638174,2190492697707,163061,75394.948813964,75395.048826992,75394.948892886,75395.048826992,0.000078922,1,0.000789,0.000789,790,44,0.055696,18,3,0.166667,5142
2190492697707,2190691970280,2190492937051,2190691970280,239344,75395.048826992,75395.148864941,75395.048944664,75395.148864941,0.000117672,1,0.00118,0.00118,790,59,0.074684,30,7,0.233333,5142
2190691970280,2190891168215,2190692143086,2190891168215,172806,75395.148864941,75395.248865530,75395.148948897,75395.248865530,0.000083956,1,0.00084,0.00084,790,32,0.040506,22,14,0.636364,5142
2190891168215,2191090276372,2190891342158,2191090276372,173943,75395.248865530,75395.348820983,75395.248950117,75395.348820983,0.000084587,1,0.000846,0.000846,790,33,0.041772,23,14,0.608696,5142
2191090276372,2191289583495,2191090455996,2191289583495,179624,75395.348820983,75395.448876395,75395.348908365,75395.448876395,0.000087382,1,0.000873,0.000873,790,46,0.058228,22,12,0.545455,5142
2191289583495,2191488638925,2191289757582,2191488638925,174087,75395.448876395,75395.548805635,75395.448961096,75395.548805635,0.000084701,1,0.000848,0.000848,790,34,0.043038,22,15,0.681818,5142
2191488638925,2191687963684,2191488813091,2191687963684,174166,75395.548805635,75395.648869885,75395.548889954,75395.648869885,0.000084319,1,0.000843,0.000843,790,33,0.041772,18,10,0.555556,5142
2191687963684,2191887032439,2191688138662,2191887032439,174978,75395.648869885,75395.748805386,75395.648954839,75395.748805386,0.000084954,1,0.00085,0.00085,790,33,0.041772,18,11,0.611111,5142
2191887032439,2192086232036,2191887204310,2192086232036,171871,75395.748805386,75395.848806656,75395.748888816,75395.848806656,0.000083430,1,0.000834,0.000834,790,36,0.045570,19,8,0.421053,5142
2192086232036,2192285552196,2192086403978,2192285552196,171942,75395.848806656,75395.948868746,75395.848890325,75395.948868746,0.000083669,1,0.000836,0.000836,790,35,0.044304,20,9,0.450000,5142
2192285552196,2192484905521,2192285718020,2192484905521,165824,75395.948868746,75396.048947825,75395.948949211,75396.048947825,0.000080465,1,0.000804,0.000804,790,32,0.040506,20,11,0.550000,5142
2192484905521,2192683992833,2192485090006,2192683992833,184485,75396.048947825,75396.148892472,75396.049037183,75396.148892472,0.000089358,1,0.000894,0.000894,790,32,0.040506,21,19,0.904762,5142
2192683992833,2192883024283,2192684162032,2192883024283,169199,75396.148892472,75396.248809276,75396.148974593,75396.248809276,0.000082121,1,0.000822,0.000822,790,32,0.040506,20,10,0.500000,5142
2192883024283,2193082273625,2192883345918,2193082273625,321635,75396.248809276,75396.348834797,75396.248968410,75396.348834797,0.000159134,1,0.00159,0.00159,790,52,0.065823,24,9,0.375000,5142
2193082273625,2193281792280,2193082388268,2193281792280,114643,75396.348834797,75396.448998059,75396.348890321,75396.448998059,0.000055524,1,0.000554,0.000554,790,37,0.046835,21,8,0.380952,5142
