period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2542318447646,2542518302593,2542353182059,2542518302593,34734413,75571.670713431,75571.770991293,75571.688096794,75571.770991293,0.017383363,1,0.173,0.173,4974138,11120,0.002236,1032,202,0.195736,26051257
2542518302593,2542717146570,2542552158811,2542717146570,33856218,75571.770991293,75571.870814081,75571.787985264,75571.870814081,0.016993971,1,0.17,0.17,4968995,5098,0.001026,547,215,0.393053,26033027
2542717146570,2542916099529,2542751197959,2542916099529,34051389,75571.870814081,75571.970690590,75571.887906124,75571.970690590,0.017092043,1,0.171,0.171,4969972,7093,0.001427,733,244,0.332879,26036836
2542916099529,2543115864551,2542950170238,2543115864551,34070709,75571.970690590,75572.070975972,75571.987793100,75572.070975972,0.017102510,1,0.171,0.171,4970048,5967,0.001201,695,195,0.280576,26036737
2543115864551,2543315101875,2543156812593,2543315101875,40948042,75572.070975972,75572.170996328,75572.091530555,75572.170996328,0.020554583,1,0.206,0.206,4972300,15412,0.003100,1193,184,0.154233,26044885
2543315101875,2543514310043,2543355316144,2543514310043,40214269,75572.170996328,75572.271001661,75572.191182336,75572.271001661,0.020186008,1,0.202,0.202,4970925,13285,0.002673,961,179,0.186264,26039822
2543514310043,2543713420595,2543549411267,2543713420595,35101224,75572.271001661,75572.370958172,75572.288620544,75572.370958172,0.017618883,1,0.176,0.176,4968917,6793,0.001367,465,119,0.255914,26032643
2543713420595,2543912136296,2543752684563,2543912136296,39263968,75572.370958172,75572.470715735,75572.390666892,75572.470715735,0.019708720,1,0.198,0.198,4969584,10587,0.002130,720,150,0.208333,26034527
2543912136296,2544111895103,2543950899568,2544111895103,38763272,75572.470715735,75572.570998157,75572.490173832,75572.570998157,0.019458097,1,0.194,0.194,4969919,11345,0.002283,860,183,0.212791,26035739
2544111895103,2544310481844,2544150313396,2544310481844,38418293,75572.570998157,75572.670690367,75572.590282227,75572.670690367,0.019284070,1,0.193,0.193,4971194,11814,0.002376,980,195,0.198980,26041341
2544310481844,2544510218597,2544348294808,2544510218597,37812964,75572.670690367,75572.770961112,75572.689671670,75572.770961112,0.018981303,1,0.189,0.189,4969108,9677,0.001947,732,91,0.124317,26033214
2544510218597,2544709375441,2544545982896,2544709375441,35764299,75572.770961112,75572.870941696,75572.788913935,75572.870941696,0.017952823,1,0.18,0.18,4969150,9461,0.001904,752,125,0.166223,26033276
2544709375441,2544908107212,2544746686368,2544908107212,37310927,75572.870941696,75572.970707496,75572.889669939,75572.970707496,0.018728243,1,0.188,0.188,4969724,8814,0.001774,675,116,0.171852,26034898
2544908107212,2545107880461,2544930546628,2545107880461,22439416,75572.970707496,75573.070996835,75572.981970571,75573.070996835,0.011263075,1,0.112,0.112,4966481,8734,0.001759,646,282,0.436533,26024619
2545107880461,2545307059047,2545141609351,2545307059047,33728890,75573.070996835,75573.170987175,75573.087926754,75573.170987175,0.016929919,1,0.169,0.169,4970357,5356,0.001078,536,167,0.311567,26038046
2545307059047,2545506187003,2545340766543,2545506187003,33707496,75573.170987175,75573.270952333,75573.187906476,75573.270952333,0.016919301,1,0.169,0.169,4970466,5104,0.001027,520,159,0.305769,26038335
2545506187003,2545705369255,2545539955502,2545705369255,33768499,75573.270952333,75573.370945280,75573.287902200,75573.370945280,0.016949867,1,0.17,0.17,4970933,4841,0.000974,529,144,0.272212,26040784
2545705369255,2545904404479,2545738999047,2545904404479,33629792,75573.370945280,75573.470862143,75573.387825148,75573.470862143,0.016879868,1,0.169,0.169,4969013,4162,0.000838,407,91,0.223587,26032728
2545904404479,2546103278099,2545929044050,2546103278099,24639571,75573.470862143,75573.570700357,75573.483230243,75573.570700357,0.012368100,1,0.124,0.124,4968444,5830,0.001173,526,109,0.207224,26030965
2546103278099,2546302394028,2546137181415,2546302394028,33903316,75573.570700357,75573.670659687,75573.587718494,75573.670659687,0.017018137,1,0.17,0.17,4969195,5370,0.001081,516,92,0.178295,26033297
2546302394028,2546501599377,2546335989246,2546501599377,33595218,75573.670659687,75573.770663869,75573.687522626,75573.770663869,0.016862939,1,0.169,0.169,4969102,4677,0.000941,456,56,0.122807,26033372
2546501599377,2546701453538,2546535215557,2546701453538,33616180,75573.770663869,75573.870993499,75573.787537162,75573.870993499,0.016873293,1,0.168,0.168,4968991,4731,0.000952,413,98,0.237288,26032735
2546701453538,2546900650830,2546735268433,2546900650830,33814895,75573.870993499,75573.970993925,75573.887966639,75573.970993925,0.016973140,1,0.17,0.17,4970592,5480,0.001102,606,124,0.204620,26040279
2546900650830,2547099770617,2546934444280,2547099770617,33793450,75573.970993925,75574.070954780,75573.987955698,75574.070954780,0.016961773,1,0.17,0.17,4969743,5092,0.001025,502,102,0.203187,26035016
2547099770617,2547299056567,2547133612626,2547299056567,33842009,75574.070954780,75574.170999159,75574.087941198,75574.170999159,0.016986418,1,0.17,0.17,4970271,5501,0.001107,550,121,0.220000,26038496
2547299056567,2547497872657,2547332692780,2547497872657,33636213,75574.170999159,75574.270807751,75574.187882151,75574.270807751,0.016882992,1,0.169,0.169,4969285,4338,0.000873,363,75,0.206612,26033663
2547497872657,2547697352590,2547531519772,2547697352590,33647115,75574.270807751,75574.370949374,75574.287696135,75574.370949374,0.016888384,1,0.169,0.169,4968712,4458,0.000897,356,80,0.224719,26031738
2547697352590,2547896539512,2547731075741,2547896539512,33723151,75574.370949374,75574.470944033,75574.387876115,75574.470944033,0.016926741,1,0.169,0.169,4968686,4763,0.000959,426,71,0.166667,26031798
2547896539512,2548095742298,2547930161474,2548095742298,33621962,75574.470944033,75574.570946564,75574.487820161,75574.570946564,0.016876128,1,0.169,0.169,4968892,4050,0.000815,409,72,0.176039,26032485
2548095742298,2548294454663,2548129450566,2548294454663,33708268,75574.570946564,75574.670702633,75574.587866066,75574.670702633,0.016919502,1,0.17,0.17,4968478,4607,0.000927,441,106,0.240363,26031187
2548294454663,2548494088350,2548328199746,2548494088350,33745083,75574.670702633,75574.770922035,75574.687641048,75574.770922035,0.016938415,1,0.169,0.169,4969548,4772,0.000960,515,131,0.254369,26035591
2548494088350,2548692939213,2548527848090,2548692939213,33759740,75574.770922035,75574.870747396,75574.787867534,75574.870747396,0.016945499,1,0.17,0.17,4969753,5414,0.001089,612,160,0.261438,26036450
2548692939213,2548892034174,2548726663603,2548892034174,33724390,75574.870747396,75574.970695678,75574.887675915,75574.970695678,0.016928519,1,0.169,0.169,4971195,5912,0.001189,653,35,0.053599,26042313
2548892034174,2549091521892,2548925833282,2549091521892,33799108,75574.970695678,75575.070842523,75574.987661895,75575.070842523,0.016966217,1,0.169,0.169,4970422,4978,0.001002,603,105,0.174129,26038995
2549091521892,2549290946614,2549125354164,2549290946614,33832272,75575.070842523,75575.170956711,75575.087824197,75575.170956711,0.016981674,1,0.17,0.17,4970459,5175,0.001041,627,160,0.255183,26039290
2549290946614,2549490087850,2549324689861,2549490087850,33743247,75575.170956711,75575.270928392,75575.187893408,75575.270928392,0.016936697,1,0.169,0.169,4969388,5008,0.001008,594,140,0.235690,26034450
2549490087850,2549689413283,2549523894997,2549689413283,33807147,75575.270928392,75575.370992846,75575.287897477,75575.370992846,0.016969085,1,0.17,0.17,4969132,5577,0.001122,560,92,0.164286,26033489
2549689413283,2549888053606,2549723098345,2549888053606,33685062,75575.370992846,75575.470712180,75575.387900302,75575.470712180,0.016907456,1,0.17,0.17,4969381,4892,0.000984,436,81,0.185780,26033815
2549888053606,2550087256655,2549921837070,2550087256655,33783464,75575.470712180,75575.570715342,75575.487670007,75575.570715342,0.016957827,1,0.17,0.17,4969236,5811,0.001169,581,151,0.259897,26033673
2550087256655,2550286714265,2550121131117,2550286714265,33874462,75575.570715342,75575.670846244,75575.587718514,75575.670846244,0.017003172,1,0.17,0.17,4969463,4871,0.000980,551,78,0.141561,26034606
2550286714265,2550486124024,2550320654782,2550486124024,33940517,75575.670846244,75575.770952511,75575.687882503,75575.770952511,0.017036259,1,0.17,0.17,4968460,6211,0.001250,561,110,0.196078,26031135
2550486124024,2550684844227,2550519893005,2550684844227,33768981,75575.770952511,75575.870712950,75575.787902541,75575.870712950,0.016950030,1,0.17,0.17,4970437,5899,0.001187,531,105,0.197740,26038422
2550684844227,2550884545071,2550718697583,2550884545071,33853356,75575.870712950,75575.970965681,75575.887705666,75575.970965681,0.016992716,1,0.169,0.169,4968929,6166,0.001241,530,161,0.303774,26032571
2550884545071,2551083124754,2550918257139,2551083124754,33712068,75575.970965681,75576.070654316,75575.987887301,75576.070654316,0.016921620,1,0.17,0.17,4970764,5164,0.001039,582,138,0.237113,26039453
2551083124754,2551282902600,2551105651231,2551282902600,22526477,75576.070654316,75576.170946936,75576.081961428,75576.170946936,0.011307112,1,0.113,0.113,4968940,4434,0.000892,461,46,0.099783,26032391
2551282902600,2551482099138,2551316559668,2551482099138,33657068,75576.170946936,75576.270946600,75576.187840691,75576.270946600,0.016893755,1,0.169,0.169,4968695,4410,0.000888,447,130,0.290828,26032016
2551482099138,2551681387432,2551515917713,2551681387432,33818575,75576.270946600,75576.370992133,75576.287921541,75576.370992133,0.016974941,1,0.17,0.17,4969047,5794,0.001166,476,116,0.243697,26033191
2551681387432,2551880498735,2551715295855,2551880498735,33908423,75576.370992133,75576.470948854,75576.388012220,75576.470948854,0.017020087,1,0.17,0.17,4970505,6417,0.001291,710,147,0.207042,26038209
2551880498735,2552079625768,2551914156646,2552079625768,33657911,75576.470948854,75576.570913379,75576.487843048,75576.570913379,0.016894194,1,0.169,0.169,4968633,4348,0.000875,463,111,0.239741,26031800
2552079625768,2552278982296,2552113296453,2552278982296,33670685,75576.570913379,75576.670993512,75576.587814066,75576.670993512,0.016900687,1,0.169,0.169,4968489,4483,0.000902,453,122,0.269316,26031268
