period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2634294295291,2634493610351,2634294484177,2634493610351,188886,75617.843908883,75617.943914651,75617.843947293,75617.943914651,0.000038410,1,0.000384,0.000384,830,34,0.040964,21,16,0.761905,2826
2634493610351,2634692688307,2634493787125,2634692688307,176774,75617.943914651,75618.043854189,75617.944000269,75618.043854189,0.000085618,1,0.000857,0.000857,830,34,0.040964,18,15,0.833333,2826
2634692688307,2634891828482,2634692851995,2634891828482,163688,75618.043854189,75618.143826191,75618.043933731,75618.143826191,0.000079542,1,0.000796,0.000796,830,36,0.043373,20,9,0.450000,2826
2634891828482,2635091208665,2634892001071,2635091208665,172589,75618.143826191,75618.243917831,75618.143909317,75618.243917831,0.000083126,1,0.00083,0.00083,830,35,0.042169,20,14,0.700000,2826
2635091208665,2635290234084,2635091387192,2635290234084,178527,75618.243917831,75618.343831452,75618.244003999,75618.343831452,0.000086168,1,0.000862,0.000862,830,33,0.039759,16,14,0.875000,2826
2635290234084,2635489480574,2635290411691,2635489480574,177607,75618.343831452,75618.443855817,75618.343917196,75618.443855817,0.000085744,1,0.000857,0.000857,830,35,0.042169,18,14,0.777778,2826
2635489480574,2635688627051,2635489695669,2635688627051,215095,75618.443855817,75618.543830130,75618.443960662,75618.543830130,0.000104845,1,0.00105,0.00105,830,33,0.039759,19,16,0.842105,2826
2635688627051,2635887848228,2635688841470,2635887848228,214419,75618.543830130,75618.643841705,75618.543934638,75618.643841705,0.000104508,1,0.00104,0.00104,830,43,0.051807,15,14,0.933333,2826
2635887848228,2636086998169,2635888017890,2636086998169,169662,75618.643841705,75618.743817791,75618.643924010,75618.743817791,0.000082305,1,0.000823,0.000823,830,34,0.040964,19,16,0.842105,2826
2636086998169,2636286200037,2636087164205,2636286200037,166036,75618.743817791,75618.843818660,75618.743898321,75618.843818660,0.000080530,1,0.000805,0.000805,830,35,0.042169,20,11,0.550000,2826
2636286200037,2636485647013,2636286295793,2636485647013,95756,75618.843818660,75618.943945804,75618.843864917,75618.943945804,0.000046257,1,0.000462,0.000462,830,33,0.039759,19,15,0.789474,2826
2636485647013,2636684643167,2636485821372,2636684643167,174359,75618.943945804,75619.043844751,75618.944029811,75619.043844751,0.000084007,1,0.000841,0.000841,830,33,0.039759,22,18,0.818182,2826
2636684643167,2636883833411,2636684858584,2636883833411,215417,75619.043844751,75619.143840681,75619.043949482,75619.143840681,0.000104731,1,0.00105,0.00105,830,34,0.040964,21,17,0.809524,2826
2636883833411,2637083232893,2636884002343,2637083232893,168932,75619.143840681,75619.243942460,75619.143922436,75619.243942460,0.000081755,1,0.000817,0.000817,830,34,0.040964,20,17,0.850000,2826
2637083232893,2637282249339,2637083411665,2637282249339,178772,75619.243942460,75619.343850764,75619.244028695,75619.343850764,0.000086235,1,0.000863,0.000863,830,35,0.042169,21,17,0.809524,2826
2637282249339,2637481653985,2637282404875,2637481653985,155536,75619.343850764,75619.443955528,75619.343926226,75619.443955528,0.000075462,1,0.000754,0.000754,830,38,0.045783,20,7,0.350000,2826
2637481653985,2637680813422,2637481866922,2637680813422,212937,75619.443955528,75619.543936056,75619.444058981,75619.543936056,0.000103453,1,0.00103,0.00103,830,51,0.061446,21,16,0.761905,2826
2637680813422,2637879766609,2637680990020,2637879766609,176598,75619.543936056,75619.643813338,75619.544021418,75619.643813338,0.000085362,1,0.000855,0.000855,830,34,0.040964,22,19,0.863636,2826
2637879766609,2638078971036,2637879922562,2638078971036,155953,75619.643813338,75619.743816698,75619.643888389,75619.743816698,0.000075051,1,0.00075,0.00075,830,35,0.042169,19,16,0.842105,2826
2638078971036,2638278361023,2638079310814,2638278361023,339778,75619.743816698,75619.843913471,75619.743984563,75619.843913471,0.000167865,1,0.00168,0.00168,830,39,0.046988,24,8,0.333333,2826
2638278361023,2638477243554,2638278536321,2638477243554,175298,75619.843913471,75619.943754933,75619.843998294,75619.943754933,0.000084823,1,0.00085,0.00085,830,34,0.040964,15,14,0.933333,2826
2638477243554,2638676515643,2638477420154,2638676515643,176600,75619.943754933,75620.043792043,75619.943840800,75620.043792043,0.000085867,1,0.000858,0.000858,830,93,0.112048,20,7,0.350000,2826
2638676515643,2638875706411,2638676666735,2638875706411,151092,75620.043792043,75620.143788428,75620.043865386,75620.143788428,0.000073343,1,0.000733,0.000733,830,35,0.042169,22,8,0.363636,2826
2638875706411,2639075181287,2638875820887,2639075181287,114476,75620.143788428,75620.243929111,75620.143843509,75620.243929111,0.000055081,1,0.00055,0.00055,830,35,0.042169,20,16,0.800000,2826
