period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2450373153389,2450572406648,2450375127137,2450572406648,1973748,75525.512856929,75525.612813704,75525.513774604,75525.612813704,0.000917675,1,0.00918,0.00918,395359,1723,0.004358,184,49,0.266304,2535406
2450572406648,2450771616258,2450574237396,2450771616258,1830748,75525.612813704,75525.712820237,75525.613730690,75525.712820237,0.000916986,1,0.00917,0.00917,393180,883,0.002246,154,129,0.837662,2527976
2450771616258,2450970849984,2450773638114,2450970849984,2021856,75525.712820237,75525.812838325,75525.713832668,75525.812838325,0.001012431,1,0.0101,0.0101,393180,876,0.002228,146,120,0.821918,2527976
2450970849984,2451169999703,2450973062463,2451169999703,2212479,75525.812838325,75525.912814144,75525.813946601,75525.912814144,0.001108276,1,0.0111,0.0111,393180,867,0.002205,147,126,0.857143,2527976
2451169999703,2451369215424,2451172049586,2451369215424,2049883,75525.912814144,75526.012823657,75525.913841141,75526.012823657,0.001026997,1,0.0103,0.0103,393180,862,0.002192,148,130,0.878378,2527976
2451369215424,2451568322337,2451370996013,2451568322337,1780589,75526.012823657,75526.112778491,75526.013715107,75526.112778491,0.000891450,1,0.00892,0.00892,393180,881,0.002241,156,138,0.884615,2527976
2451568322337,2451767919141,2451570174174,2451767919141,1851837,75526.112778491,75526.212977885,75526.113705712,75526.212977885,0.000927221,1,0.00925,0.00925,393180,989,0.002515,80,39,0.487500,2527976
2451767919141,2451966734507,2451768724438,2451966734507,805297,75526.212977885,75526.312787078,75526.213380229,75526.312787078,0.000402344,1,0.00403,0.00403,393180,864,0.002197,154,139,0.902597,2527976
2451966734507,2452165919930,2451969084857,2452165919930,2350350,75526.312787078,75526.412781120,75526.313966361,75526.412781120,0.001179283,1,0.0118,0.0118,393180,3042,0.007737,167,47,0.281437,2527976
2452165919930,2452365124246,2452168616373,2452365124246,2696443,75526.412781120,75526.512784174,75526.414133250,75526.512784174,0.001352130,1,0.0135,0.0135,393180,3681,0.009362,246,31,0.126016,2527976
