period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2337921665734,2338121306893,2337921838589,2338121306893,172855,75469.060514851,75469.160688873,75469.060549453,75469.160688873,0.000034602,1,0.000345,0.000345,794,32,0.040302,17,14,0.823529,2704
2338121306893,2338320503565,2338121528918,2338320503565,222025,75469.160688873,75469.260688275,75469.160797292,75469.260688275,0.000108419,1,0.00108,0.00108,794,33,0.041562,20,12,0.600000,2704
2338320503565,2338519291592,2338320680264,2338519291592,176699,75469.260688275,75469.360482541,75469.260774147,75469.360482541,0.000085872,1,0.00086,0.00086,794,29,0.036524,14,13,0.928571,2704
2338519291592,2338718917465,2338519504426,2338718917465,212834,75469.360482541,75469.460698148,75469.360587018,75469.460698148,0.000104477,1,0.00104,0.00104,794,75,0.094458,27,12,0.444444,2704
2338718917465,2338917758192,2338719091319,2338917758192,173854,75469.460698148,75469.560518482,75469.460782457,75469.560518482,0.000084309,1,0.000845,0.000845,794,30,0.037783,16,13,0.812500,2704
2338917758192,2339116930812,2338917919625,2339116930812,161433,75469.560518482,75469.660506626,75469.560597155,75469.660506626,0.000078673,1,0.000787,0.000787,794,32,0.040302,16,6,0.375000,2704
2339116930812,2339316470177,2339117129662,2339316470177,198850,75469.660506626,75469.760678670,75469.660603661,75469.760678670,0.000097035,1,0.000969,0.000969,794,33,0.041562,18,8,0.444444,2704
2339316470177,2339515359032,2339316646149,2339515359032,175972,75469.760678670,75469.860523296,75469.760764075,75469.860523296,0.000085405,1,0.000855,0.000855,794,30,0.037783,18,15,0.833333,2704
2339515359032,2339714501503,2339515539225,2339714501503,180193,75469.860523296,75469.960495780,75469.860611388,75469.960495780,0.000088092,1,0.000881,0.000881,794,33,0.041562,17,10,0.588235,2704
2339714501503,2339913680585,2339714661908,2339913680585,160405,75469.960495780,75470.060486734,75469.960573935,75470.060486734,0.000078155,1,0.000782,0.000782,794,34,0.042821,15,6,0.400000,2704
2339913680585,2340113256787,2339913844771,2340113256787,164186,75470.060486734,75470.160678068,75470.060566833,75470.160678068,0.000080099,1,0.000799,0.000799,794,43,0.054156,20,12,0.600000,2704
2340113256787,2340312462292,2340113432464,2340312462292,175677,75470.160678068,75470.260681918,75470.160762874,75470.260681918,0.000084806,1,0.000848,0.000848,794,30,0.037783,16,14,0.875000,2704
2340312462292,2340511503891,2340312637981,2340511503891,175689,75470.260681918,75470.360603643,75470.260766981,75470.360603643,0.000085063,1,0.000851,0.000851,794,30,0.037783,15,13,0.866667,2704
2340511503891,2340710549768,2340511680896,2340710549768,177005,75470.360603643,75470.460526741,75470.360689541,75470.460526741,0.000085898,1,0.00086,0.00086,794,29,0.036524,14,12,0.857143,2704
2340710549768,2340909622973,2340710687030,2340909622973,137262,75470.460526741,75470.560464992,75470.460593578,75470.560464992,0.000066837,1,0.000669,0.000669,794,75,0.094458,21,11,0.523810,2704
2340909622973,2341109356683,2340909781246,2341109356683,158273,75470.560464992,75470.660735046,75470.560541769,75470.660735046,0.000076777,1,0.000766,0.000766,794,46,0.057935,16,7,0.437500,2704
2341109356683,2341308530421,2341109531133,2341308530421,174450,75470.660735046,75470.760723534,75470.660819306,75470.760723534,0.000084260,1,0.000843,0.000843,794,28,0.035264,15,13,0.866667,2704
2341308530421,2341507254640,2341308706954,2341507254640,176533,75470.760723534,75470.860484986,75470.760808599,75470.860484986,0.000085065,1,0.000853,0.000853,794,30,0.037783,13,13,1.000000,2704
2341507254640,2341706573029,2341507485056,2341706573029,230416,75470.860484986,75470.960546584,75470.860598850,75470.960546584,0.000113864,1,0.00114,0.00114,794,55,0.069270,20,11,0.550000,2704
2341706573029,2341906067739,2341723432248,2341906067739,16859219,75470.960546584,75471.060694553,75470.969009332,75471.060694553,0.008462748,1,0.0845,0.0845,794,81,0.102015,20,12,0.600000,2704
2341906067739,2342104841676,2341906185385,2342104841676,117646,75471.060694553,75471.160482138,75471.060751712,75471.160482138,0.000057159,1,0.000573,0.000573,794,31,0.039043,17,17,1.000000,2704
2342104841676,2342304088806,2342104970120,2342304088806,128444,75471.160482138,75471.260507128,75471.160544589,75471.260507128,0.000062451,1,0.000624,0.000624,794,34,0.042821,17,10,0.588235,2704
2342304088806,2342503289229,2342304203818,2342503289229,115012,75471.260507128,75471.360509243,75471.260562980,75471.360509243,0.000055852,1,0.000559,0.000559,794,30,0.037783,14,13,0.928571,2704
2342503289229,2342702468767,2342503449085,2342702468767,159856,75471.360509243,75471.460499897,75471.360587296,75471.460499897,0.000078053,1,0.000781,0.000781,794,34,0.042821,16,13,0.812500,2704
2342702468767,2342901693677,2342702586570,2342901693677,117803,75471.460499897,75471.560514522,75471.460557137,75471.560514522,0.000057240,1,0.000572,0.000572,794,32,0.040302,16,13,0.812500,2704
2342901693677,2343101320270,2342901850729,2343101320270,157052,75471.560514522,75471.660730505,75471.560590854,75471.660730505,0.000076332,1,0.000762,0.000762,794,29,0.036524,13,7,0.538462,2704
2343101320270,2343300479995,2343101494469,2343300479995,174199,75471.660730505,75471.760709967,75471.660815109,75471.760709967,0.000084604,1,0.000846,0.000846,794,29,0.036524,13,13,1.000000,2704
2343300479995,2343499319239,2343300563139,2343499319239,83144,75471.760709967,75471.860531548,75471.760750259,75471.860531548,0.000040292,1,0.000404,0.000404,794,31,0.039043,16,13,0.812500,2704
2343499319239,2343698895478,2343499513426,2343698895478,194187,75471.860531548,75471.960722253,75471.860627073,75471.960722253,0.000095525,1,0.000953,0.000953,794,61,0.076826,23,15,0.652174,2704
2343698895478,2343897670453,2343699074011,2343897670453,178533,75471.960722253,75472.060509985,75471.960809093,75472.060509985,0.000086840,1,0.00087,0.00087,794,31,0.039043,15,13,0.866667,2704
2343897670453,2344096901892,2343897832949,2344096901892,162496,75472.060509985,75472.160527298,75472.060589041,75472.160527298,0.000079056,1,0.00079,0.00079,794,32,0.040302,17,10,0.588235,2704
2344096901892,2344296528706,2344097060353,2344296528706,158461,75472.160527298,75472.260743880,75472.160604144,75472.260743880,0.000076846,1,0.000767,0.000767,794,29,0.036524,12,10,0.833333,2704
2344296528706,2344495680410,2344296708482,2344495680410,179776,75472.260743880,75472.360719627,75472.260830628,75472.360719627,0.000086748,1,0.000868,0.000868,794,33,0.041562,16,15,0.937500,2704
2344495680410,2344694457521,2344495799017,2344694457521,118607,75472.360719627,75472.460508949,75472.360776823,75472.460508949,0.000057196,1,0.000573,0.000573,794,29,0.036524,14,13,0.928571,2704
2344694457521,2344893723372,2344694647344,2344893723372,189823,75472.460508949,75472.560541981,75472.460601958,75472.560541981,0.000093009,1,0.00093,0.00093,794,30,0.037783,15,7,0.466667,2704
2344893723372,2345093225654,2344893797360,2345093225654,73988,75472.560541981,75472.660697228,75472.560577863,75472.660697228,0.000035882,1,0.000358,0.000358,794,33,0.041562,17,8,0.470588,2704
2345093225654,2345310430178,2345093401264,2345310430178,175610,75472.660697228,75472.769735084,75472.660782420,75472.769735084,0.000085192,1,0.000781,0.000781,794,33,0.041562,15,13,0.866667,2704
2345310430178,2345491271325,2345310499664,2345491271325,69486,75472.769735084,75472.860521231,75472.769768705,75472.860521231,0.000033621,1,0.00037,0.00037,794,41,0.051637,10,4,0.400000,2704
2345491271325,2345690872645,2345491422234,2345690872645,150909,75472.860521231,75472.960725056,75472.860594880,75472.960725056,0.000073649,1,0.000735,0.000735,794,31,0.039043,15,7,0.466667,2704
2345690872645,2345889661878,2345691049789,2345889661878,177144,75472.960725056,75473.060519351,75472.960811001,75473.060519351,0.000085945,1,0.000861,0.000861,794,34,0.042821,15,14,0.933333,2704
2345889661878,2346088865447,2345889816349,2346088865447,154471,75473.060519351,75473.160522392,75473.060594790,75473.160522392,0.000075439,1,0.000754,0.000754,794,28,0.035264,14,7,0.500000,2704
2346088865447,2346288051185,2346089207407,2346288051185,341960,75473.160522392,75473.260516705,75473.160692438,75473.260516705,0.000170046,1,0.0017,0.0017,794,38,0.047859,18,6,0.333333,2704
2346288051185,2346487236996,2346288205180,2346487236996,153995,75473.260516705,75473.360510944,75473.260591864,75473.360510944,0.000075159,1,0.000752,0.000752,794,30,0.037783,15,7,0.466667,2704
