period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2194901952637,2195101001581,2194902373979,2195101001581,421342,75397.262408350,75397.362281104,75397.262552673,75397.362281104,0.000144323,1,0.00145,0.00145,57115,313,0.005480,95,72,0.757895,245856
2195101001581,2195299644752,2195101512035,2195299644752,510454,75397.362281104,75397.461991742,75397.362523516,75397.461991742,0.000242412,1,0.00243,0.00243,57115,317,0.005550,95,68,0.715789,245856
2195299644752,2195499507055,2195300021675,2195499507055,376923,75397.461991742,75397.562325477,75397.462178267,75397.562325477,0.000186525,1,0.00186,0.00186,57115,327,0.005725,95,68,0.715789,245856
2195499507055,2195698640587,2195499815589,2195698640587,308534,75397.562325477,75397.662293154,75397.562478021,75397.662293154,0.000152544,1,0.00153,0.00153,57115,323,0.005655,96,73,0.760417,245856
2195698640587,2195897871159,2195698880214,2195897871159,239627,75397.662293154,75397.762310940,75397.662411531,75397.762310940,0.000118377,1,0.00118,0.00118,57115,323,0.005655,90,70,0.777778,245856
2195897871159,2196097033734,2195898217534,2196097033734,346375,75397.762310940,75397.862292270,75397.762482181,75397.862292270,0.000171241,1,0.00171,0.00171,57115,331,0.005795,85,69,0.811765,245856
2196097033734,2196296017187,2196097209435,2196296017187,175701,75397.862292270,75397.962187149,75397.862379051,75397.962187149,0.000086781,1,0.000869,0.000869,57115,324,0.005673,98,78,0.795918,245856
2196296017187,2196495453111,2196296553624,2196495453111,536437,75397.962187149,75398.062307526,75397.962453564,75398.062307526,0.000266415,1,0.00266,0.00266,57115,541,0.009472,127,38,0.299213,245856
2196495453111,2196694668900,2196495837395,2196694668900,384284,75398.062307526,75398.162316187,75398.062497053,75398.162316187,0.000189527,1,0.0019,0.0019,57115,328,0.005743,89,68,0.764045,245856
2196694668900,2196893801599,2196695056348,2196893801599,387448,75398.162316187,75398.262284423,75398.162508240,75398.262284423,0.000192053,1,0.00192,0.00192,57115,335,0.005865,102,77,0.754902,245856
2196893801599,2197093057903,2196894191573,2197093057903,389974,75398.262284423,75398.362314249,75398.262477314,75398.362314249,0.000192891,1,0.00193,0.00193,57115,327,0.005725,92,68,0.739130,245856
2197093057903,2197292152192,2197093444626,2197292152192,386723,75398.362314249,75398.462262434,75398.362505460,75398.462262434,0.000191211,1,0.00191,0.00191,57115,325,0.005690,90,71,0.788889,245856
2197292152192,2197491399921,2197292492281,2197491399921,340089,75398.462262434,75398.562287261,75398.462430578,75398.562287261,0.000168144,1,0.00168,0.00168,57115,329,0.005760,94,69,0.734043,245856
2197491399921,2197690581495,2197491661209,2197690581495,261288,75398.562287261,75398.662279908,75398.562416431,75398.662279908,0.000129170,1,0.00129,0.00129,57115,327,0.005725,91,67,0.736264,245856
2197690581495,2197889816786,2197690838463,2197889816786,256968,75398.662279908,75398.762298892,75398.662406615,75398.762298892,0.000126707,1,0.00127,0.00127,57115,324,0.005673,87,67,0.770115,245856
2197889816786,2198088463830,2197890077090,2198088463830,260304,75398.762298892,75398.862022742,75398.762427536,75398.862022742,0.000128644,1,0.00129,0.00129,57115,327,0.005725,92,70,0.760870,245856
2198088463830,2198288105819,2198088670696,2198288105819,206866,75398.862022742,75398.962247590,75398.862124752,75398.962247590,0.000102010,1,0.00102,0.00102,57115,336,0.005883,66,34,0.515152,245856
2198288105819,2198487350258,2198288490757,2198487350258,384938,75398.962247590,75399.062272070,75398.962437831,75399.062272070,0.000190241,1,0.0019,0.0019,57115,325,0.005690,86,66,0.767442,245856
2198487350258,2198686643477,2198487736492,2198686643477,386234,75399.062272070,75399.162319957,75399.062462367,75399.162319957,0.000190297,1,0.0019,0.0019,57115,322,0.005638,81,63,0.777778,245856
2198686643477,2198885282470,2198687195466,2198885282470,551989,75399.162319957,75399.262039514,75399.162594068,75399.262039514,0.000274111,1,0.00275,0.00275,57115,330,0.005778,103,66,0.640777,245856
2198885282470,2199084472286,2198885722261,2199084472286,439791,75399.262039514,75399.362036112,75399.262257898,75399.362036112,0.000218384,1,0.00218,0.00218,57115,336,0.005883,63,43,0.682540,245856
2199084472286,2199283655088,2199084868736,2199283655088,396450,75399.362036112,75399.462029820,75399.362232625,75399.462029820,0.000196513,1,0.00197,0.00197,57115,334,0.005848,67,41,0.611940,245856
