period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2348141471322,2348340789710,2348143706805,2348340789710,2235483,75474.191017947,75474.291023025,75474.192082140,75474.291023025,0.001064193,1,0.0106,0.0106,504980,725,0.001436,290,178,0.613793,3068990
2348340789710,2348539892230,2348341025187,2348539892230,235477,75474.291023025,75474.390975803,75474.291138663,75474.390975803,0.000115638,1,0.00116,0.00116,2261,334,0.147722,164,128,0.780488,13843
2348539892230,2348739262916,2348540095234,2348739262916,203004,75474.390975803,75474.491062187,75474.391074600,75474.491062187,0.000098797,1,0.000987,0.000987,797,56,0.070263,20,16,0.800000,8884
2348739262916,2348937924536,2348739518732,2348937924536,255816,75474.491062187,75474.590793395,75474.491188362,75474.590793395,0.000126175,1,0.00127,0.00127,797,63,0.079046,23,12,0.521739,8884
2348937924536,2349137600510,2348938093815,2349137600510,169279,75474.590793395,75474.691034068,75474.590875983,75474.691034068,0.000082588,1,0.000824,0.000824,797,54,0.067754,19,5,0.263158,8884
2349137600510,2349336800705,2349137843368,2349336800705,242858,75474.691034068,75474.791035804,75474.691153396,75474.791035804,0.000119328,1,0.00119,0.00119,797,88,0.110414,24,14,0.583333,8884
2349336800705,2349536006673,2349337030756,2349536006673,230051,75474.791035804,75474.891040388,75474.791148368,75474.891040388,0.000112564,1,0.00113,0.00113,797,87,0.109159,28,17,0.607143,8884
2349536006673,2349734728534,2349536292217,2349734728534,285544,75474.891040388,75474.990801249,75474.891180758,75474.990801249,0.000140370,1,0.00141,0.00141,797,75,0.094103,27,15,0.555556,8884
2349734728534,2349934465827,2349734932234,2349934465827,203700,75474.990801249,75475.091072454,75474.990900901,75475.091072454,0.000099652,1,0.000994,0.000994,797,118,0.148055,30,11,0.366667,8884
2349934465827,2350133108280,2349934746580,2350133108280,280753,75475.091072454,75475.190793457,75475.091210877,75475.190793457,0.000138423,1,0.00139,0.00139,797,57,0.071518,21,14,0.666667,8884
2350133108280,2350332671601,2350133276780,2350332671601,168500,75475.190793457,75475.290977993,75475.190875844,75475.290977993,0.000082387,1,0.000822,0.000822,797,57,0.071518,21,12,0.571429,8884
2350332671601,2350531840555,2350332849452,2350531840555,177851,75475.290977993,75475.390963975,75475.291064334,75475.390963975,0.000086341,1,0.000864,0.000864,797,56,0.070263,23,19,0.826087,8884
2350531840555,2350731256339,2350532018618,2350731256339,178063,75475.390963975,75475.491073245,75475.391050170,75475.491073245,0.000086195,1,0.000861,0.000861,797,54,0.067754,19,16,0.842105,8884
2350731256339,2350930337594,2350731515088,2350930337594,258749,75475.491073245,75475.591015415,75475.491200794,75475.591015415,0.000127549,1,0.00128,0.00128,797,67,0.084065,23,13,0.565217,8884
2350930337594,2351129140354,2350930571280,2351129140354,233686,75475.591015415,75475.690816923,75475.591129666,75475.690816923,0.000114251,1,0.00114,0.00114,2231,288,0.129090,147,109,0.741497,13713
2351129140354,2351333348568,2351129311085,2351333348568,170731,75475.690816923,75475.793332329,75475.690900056,75475.793332329,0.000083133,1,0.000811,0.000811,797,53,0.066499,21,16,0.761905,8884
2351333348568,2351527915294,2351333507108,2351527915294,158540,75475.793332329,75475.891007117,75475.793409432,75475.891007117,0.000077103,1,0.000789,0.000789,797,50,0.062735,17,6,0.352941,8884
2351527915294,2351726675424,2351528036277,2351726675424,120983,75475.891007117,75475.990787381,75475.891065892,75475.990787381,0.000058775,1,0.000589,0.000589,797,54,0.067754,20,15,0.750000,8884
2351726675424,2351925955677,2351726785531,2351925955677,110107,75475.990787381,75476.090829985,75475.990841033,75476.090829985,0.000053652,1,0.000536,0.000536,797,58,0.072773,23,7,0.304348,8884
2351925955677,2352125574811,2351942298683,2352125574811,16343006,75476.090829985,75476.191042258,75476.099033916,75476.191042258,0.008203931,1,0.0819,0.0819,797,117,0.146801,26,6,0.230769,8884
2352125574811,2352324301439,2352125791050,2352324301439,216239,75476.191042258,75476.290805876,75476.191148125,75476.290805876,0.000105867,1,0.00106,0.00106,797,102,0.127980,25,15,0.600000,8884
2352324301439,2352523508041,2352324479057,2352523508041,177618,75476.290805876,75476.390810429,75476.290892368,75476.390810429,0.000086492,1,0.000865,0.000865,797,53,0.066499,18,16,0.888889,8884
2352523508041,2352722579494,2352523670741,2352722579494,162700,75476.390810429,75476.490747192,75476.390889658,75476.490747192,0.000079229,1,0.000793,0.000793,797,57,0.071518,18,8,0.444444,8884
2352722579494,2352921905385,2352722739310,2352921905385,159816,75476.490747192,75476.590814530,75476.490825078,75476.590814530,0.000077886,1,0.000778,0.000778,797,53,0.066499,19,7,0.368421,8884
2352921905385,2353120963091,2352922111745,2353120963091,206360,75476.590814530,75476.690741351,75476.590912943,75476.690741351,0.000098413,1,0.000985,0.000985,797,55,0.069009,20,7,0.350000,8884
2353120963091,2353320778121,2353121115274,2353320778121,152183,75476.690741351,75476.791051909,75476.690815595,75476.791051909,0.000074244,1,0.00074,0.00074,797,47,0.058971,15,7,0.466667,8884
2353320778121,2353519450726,2353320989333,2353519450726,211212,75476.791051909,75476.890788806,75476.791155522,75476.890788806,0.000103613,1,0.00104,0.00104,797,70,0.087829,24,13,0.541667,8884
2353519450726,2353718526947,2353519643151,2353718526947,192425,75476.890788806,75476.990727637,75476.890882622,75476.990727637,0.000093816,1,0.000939,0.000939,797,57,0.071518,18,6,0.333333,8884
2353718526947,2353917825798,2353718682777,2353917825798,155830,75476.990727637,75477.090778709,75476.990803585,75477.090778709,0.000075948,1,0.000759,0.000759,797,60,0.075282,16,8,0.500000,8884
2353917825798,2354116953256,2353917984715,2354116953256,158917,75477.090778709,75477.190743600,75477.090856215,75477.190743600,0.000077506,1,0.000775,0.000775,797,51,0.063990,18,7,0.388889,8884
