period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2205105882687,2205305206877,2205106102774,2205305206877,220087,75402.384945137,75402.484944949,75402.384988149,75402.484944949,0.000043012,1,0.00043,0.00043,1115,36,0.032287,14,12,0.857143,4160
2205305206877,2205504455637,2205305480145,2205504455637,273268,75402.484944949,75402.584970615,75402.485079073,75402.584970615,0.000134124,1,0.00134,0.00134,1115,43,0.038565,17,12,0.705882,4160
2205504455637,2205703364375,2205504635174,2205703364375,179537,75402.584970615,75402.684826063,75402.585057736,75402.684826063,0.000087121,1,0.000872,0.000872,1115,37,0.033184,16,14,0.875000,4160
2205703364375,2205902756462,2205703543255,2205902756462,178880,75402.684826063,75402.784924084,75402.684912831,75402.784924084,0.000086768,1,0.000867,0.000867,1115,38,0.034081,17,15,0.882353,4160
2205902756462,2206101592446,2205902934570,2206101592446,178108,75402.784924084,75402.884742351,75402.785010478,75402.884742351,0.000086394,1,0.000866,0.000866,1115,40,0.035874,17,15,0.882353,4160
2206101592446,2206301234231,2206101750188,2206301234231,157742,75402.884742351,75402.984966196,75402.884819137,75402.984966196,0.000076786,1,0.000766,0.000766,1115,40,0.035874,16,7,0.437500,4160
2206301234231,2206500481087,2206301409043,2206500481087,174812,75402.984966196,75403.084991441,75402.985050958,75403.084991441,0.000084762,1,0.000847,0.000847,1115,40,0.035874,17,14,0.823529,4160
2206500481087,2206699232960,2206500662141,2206699232960,181054,75403.084991441,75403.184767615,75403.085079347,75403.184767615,0.000087906,1,0.000881,0.000881,1115,39,0.034978,17,15,0.882353,4160
2206699232960,2206898832170,2206699408001,2206898832170,175041,75403.184767615,75403.284970208,75403.184852944,75403.284970208,0.000085329,1,0.000852,0.000852,1115,40,0.035874,17,14,0.823529,4160
2206898832170,2207097636697,2206899010798,2207097636697,178628,75403.284970208,75403.384772813,75403.285056722,75403.384772813,0.000086514,1,0.000867,0.000867,1115,40,0.035874,17,15,0.882353,4160
2207097636697,2207296805860,2207097809782,2207296805860,173085,75403.384772813,75403.484760019,75403.384856915,75403.484760019,0.000084102,1,0.000841,0.000841,1115,38,0.034081,16,12,0.750000,4160
2207296805860,2207495955962,2207296979242,2207495955962,173382,75403.484760019,75403.584735168,75403.484843153,75403.584735168,0.000083134,1,0.000832,0.000832,1115,41,0.036771,17,6,0.352941,4160
2207495955962,2207695047906,2207496115013,2207695047906,159051,75403.584735168,75403.684682210,75403.584812582,75403.684682210,0.000077414,1,0.000775,0.000775,1115,41,0.036771,17,6,0.352941,4160
2207695047906,2207894343326,2207695205528,2207894343326,157622,75403.684682210,75403.784731949,75403.684759106,75403.784731949,0.000076896,1,0.000769,0.000769,1115,40,0.035874,17,7,0.411765,4160
2207894343326,2208093844808,2207894544595,2208093844808,201269,75403.784731949,75403.884884783,75403.784830738,75403.884884783,0.000098789,1,0.000986,0.000986,1115,42,0.037668,17,8,0.470588,4160
