period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2552538519144,2552737299731,2552539024859,2552737299731,505715,75576.801344446,75576.901074884,75576.801535639,75576.901074884,0.000191193,1,0.00192,0.00192,46091,398,0.008635,116,84,0.724138,195116
2552737299731,2552936488609,2552737725417,2552936488609,425686,75576.901074884,75577.001070671,75576.901286014,75577.001070671,0.000211130,1,0.00211,0.00211,41199,130,0.003155,23,19,0.826087,179311
2552936488609,2553136070852,2552936891857,2553136070852,403248,75577.001070671,75577.101263968,75577.001270349,75577.101263968,0.000199678,1,0.00199,0.00199,41199,137,0.003325,31,26,0.838710,179311
2553136070852,2553335327391,2553136493071,2553335327391,422219,75577.101263968,75577.201293768,75577.101473146,75577.201293768,0.000209178,1,0.00209,0.00209,41199,132,0.003204,20,18,0.900000,179311
2553335327391,2553534354804,2553335736055,2553534354804,408664,75577.201293768,75577.301208453,75577.201495932,75577.301208453,0.000202164,1,0.00202,0.00202,41199,137,0.003325,24,20,0.833333,179311
2553534354804,2553733086597,2553534761376,2553733086597,406572,75577.301208453,75577.400974875,75577.301409512,75577.400974875,0.000201059,1,0.00202,0.00202,41199,137,0.003325,24,19,0.791667,179311
2553733086597,2553932837658,2553733493100,2553932837658,406503,75577.400974875,75577.501252445,75577.401175700,75577.501252445,0.000200825,1,0.002,0.002,41199,155,0.003762,29,21,0.724138,179311
2553932837658,2554131853854,2553933244423,2554131853854,406765,75577.501252445,75577.601161618,75577.501453740,75577.601161618,0.000201295,1,0.00201,0.00201,41199,137,0.003325,27,21,0.777778,179311
2554131853854,2554331255471,2554132260464,2554331255471,406610,75577.601161618,75577.701263900,75577.601362643,75577.701263900,0.000201025,1,0.00201,0.00201,41199,139,0.003374,26,22,0.846154,179311
2554331255471,2554530469099,2554331663606,2554530469099,408135,75577.701263900,75577.801272074,75577.701465898,75577.801272074,0.000201998,1,0.00202,0.00202,41199,137,0.003325,25,20,0.800000,179311
2554530469099,2554729717006,2554530879923,2554729717006,410824,75577.801272074,75577.901297759,75577.801475311,75577.901297759,0.000203237,1,0.00203,0.00203,41199,138,0.003350,23,18,0.782609,179311
2554729717006,2554928402329,2554730144308,2554928402329,427302,75577.901297759,75578.001040229,75577.901509005,75578.001040229,0.000211246,1,0.00212,0.00212,41199,133,0.003228,26,22,0.846154,179311
2554928402329,2555128007539,2554928804282,2555128007539,401953,75578.001040229,75578.101244995,75578.001239132,75578.101244995,0.000198903,1,0.00198,0.00198,41199,136,0.003301,26,23,0.884615,179311
2555128007539,2555327234826,2555128435301,2555327234826,427762,75578.101244995,75578.201260111,75578.101456820,75578.201260111,0.000211825,1,0.00212,0.00212,41199,145,0.003520,33,30,0.909091,179311
2555327234826,2555526549915,2555327638084,2555526549915,403258,75578.201260111,75578.301319660,75578.201459438,75578.301319660,0.000199327,1,0.00199,0.00199,41199,136,0.003301,21,18,0.857143,179311
2555526549915,2555725594565,2555526974723,2555725594565,424808,75578.301319660,75578.401242905,75578.301529253,75578.401242905,0.000209593,1,0.0021,0.0021,41199,136,0.003301,21,17,0.809524,179311
2555725594565,2555924733461,2555726001156,2555924733461,406591,75578.401242905,75578.501211439,75578.401443415,75578.501211439,0.000200510,1,0.00201,0.00201,41199,139,0.003374,23,20,0.869565,179311
