period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2562736183056,2562935508668,2562737415971,2562935508668,1232915,75581.920712167,75582.020722566,75581.921274705,75582.020722566,0.000562538,1,0.00562,0.00562,72418,182,0.002513,22,15,0.681818,1150276
2562935508668,2563135094506,2562936772023,2563135094506,1263355,75582.020722566,75582.120918031,75582.021354316,75582.120918031,0.000631750,1,0.00631,0.00631,72418,161,0.002223,26,18,0.692308,1150270
2563135094506,2563334284302,2563136441329,2563334284302,1346823,75582.120918031,75582.220914478,75582.121591032,75582.220914478,0.000673001,1,0.00673,0.00673,72418,160,0.002209,24,22,0.916667,1150378
2563334284302,2563533510254,2563335647858,2563533510254,1363556,75582.220914478,75582.320927300,75582.221595578,75582.320927300,0.000681100,1,0.00681,0.00681,72418,162,0.002237,23,20,0.869565,1150504
2563533510254,2563732108727,2563534645099,2563732108727,1134845,75582.320927300,75582.420625922,75582.321495350,75582.420625922,0.000568050,1,0.0057,0.0057,72418,261,0.003604,52,22,0.423077,1150612
2563732108727,2563931922348,2563732794517,2563931922348,685790,75582.420625922,75582.520936623,75582.420968613,75582.520936623,0.000342691,1,0.00342,0.00342,72418,180,0.002486,28,19,0.678571,1150689
2563931922348,2564131078819,2563933217614,2564131078819,1295266,75582.520936623,75582.620916479,75582.521584090,75582.620916479,0.000647467,1,0.00648,0.00648,72418,166,0.002292,27,23,0.851852,1150766
2564131078819,2564329949158,2564132446374,2564329949158,1367555,75582.620916479,75582.720752526,75582.621599897,75582.720752526,0.000683418,1,0.00685,0.00685,72418,162,0.002237,26,25,0.961538,1150824
2564329949158,2564529524166,2564331315992,2564529524166,1366834,75582.720752526,75582.820942409,75582.721435313,75582.820942409,0.000682787,1,0.00681,0.00681,72418,159,0.002196,21,19,0.904762,1150864
2564529524166,2564728632728,2564530897368,2564728632728,1373202,75582.820942409,75582.920897013,75582.821628039,75582.920897013,0.000685630,1,0.00686,0.00686,72418,166,0.002292,27,25,0.925926,1150898
2564728632728,2564927825072,2564729991090,2564927825072,1358362,75582.920897013,75583.020894725,75582.921575943,75583.020894725,0.000678930,1,0.00679,0.00679,72418,161,0.002223,22,20,0.909091,1150911
2564927825072,2565127170705,2564929188219,2565127170705,1363147,75583.020894725,75583.120968898,75583.021575763,75583.120968898,0.000681038,1,0.00681,0.00681,72418,163,0.002251,26,24,0.923077,1150921
2565127170705,2565326329332,2565128573097,2565326329332,1402392,75583.120968898,75583.220949720,75583.121669971,75583.220949720,0.000701073,1,0.00701,0.00701,72418,162,0.002237,25,22,0.880000,1150919
2565326329332,2565525635967,2565327777411,2565525635967,1448079,75583.220949720,75583.321004083,75583.221673644,75583.321004083,0.000723924,1,0.00724,0.00724,72418,321,0.004433,66,23,0.348485,1150922
2565525635967,2565724715285,2565526863077,2565724715285,1227110,75583.321004083,75583.420945167,75583.321617021,75583.420945167,0.000612938,1,0.00613,0.00613,72418,159,0.002196,22,20,0.909091,1150919
2565724715285,2565923368732,2565726000975,2565923368732,1285690,75583.420945167,75583.520669738,75583.421587213,75583.520669738,0.000642046,1,0.00644,0.00644,72418,161,0.002223,23,21,0.913043,1150922
2565923368732,2566122718296,2565923917066,2566122718296,548334,75583.520669738,75583.620748045,75583.520943663,75583.620748045,0.000273925,1,0.00274,0.00274,72418,166,0.002292,28,14,0.500000,1150919
2566122718296,2566321859352,2566123957328,2566321859352,1239032,75583.620748045,75583.720719602,75583.621366987,75583.720719602,0.000618942,1,0.00619,0.00619,72418,162,0.002237,25,22,0.880000,1150922
2566321859352,2566521130019,2566323101655,2566521130019,1242303,75583.720719602,75583.820756496,75583.721340352,75583.820756496,0.000620750,1,0.00621,0.00621,72418,162,0.002237,25,23,0.920000,1150919
2566521130019,2566720321231,2566522718022,2566720321231,1588003,75583.820756496,75583.920753077,75583.821550983,75583.920753077,0.000794487,1,0.00795,0.00795,72418,169,0.002334,36,19,0.527778,1150922
2566720321231,2566919410114,2566721668013,2566919410114,1346782,75583.920753077,75584.020696899,75583.921426283,75584.020696899,0.000673206,1,0.00674,0.00674,72418,162,0.002237,28,15,0.535714,1150919
2566919410114,2567119003626,2566920024195,2567119003626,614081,75584.020696899,75584.120897534,75584.021003780,75584.120897534,0.000306881,1,0.00306,0.00306,72418,164,0.002265,27,16,0.592593,1150922
2567119003626,2567318254373,2567120239392,2567318254373,1235766,75584.120897534,75584.220924481,75584.121514964,75584.220924481,0.000617430,1,0.00617,0.00617,72418,163,0.002251,26,24,0.923077,1150919
2567318254373,2567517001491,2567319526000,2567517001491,1271627,75584.220924481,75584.320698112,75584.221559693,75584.320698112,0.000635212,1,0.00637,0.00637,72418,162,0.002237,27,23,0.851852,1150922
2567517001491,2567716279460,2567518225111,2567716279460,1223620,75584.320698112,75584.420738314,75584.321309480,75584.420738314,0.000611368,1,0.00611,0.00611,72418,162,0.002237,28,16,0.571429,1150919
2567716279460,2567915485312,2567717498440,2567915485312,1218980,75584.420738314,75584.520742686,75584.421347580,75584.520742686,0.000609266,1,0.00609,0.00609,72418,163,0.002251,29,16,0.551724,1150922
2567915485312,2568115050482,2567916739254,2568115050482,1253942,75584.520742686,75584.620927762,75584.521369345,75584.620927762,0.000626659,1,0.00626,0.00626,72418,160,0.002209,24,14,0.583333,1150919
2568115050482,2568313892699,2568116286982,2568313892699,1236500,75584.620927762,75584.720748847,75584.621545103,75584.720748847,0.000617341,1,0.00618,0.00618,72418,162,0.002237,26,20,0.769231,1150922
2568313892699,2568512991282,2568315113441,2568512991282,1220742,75584.720748847,75584.820698608,75584.721358888,75584.820698608,0.000610041,1,0.0061,0.0061,72418,159,0.002196,27,17,0.629630,1150919
2568512991282,2568712538329,2568514208045,2568712538329,1216763,75584.820698608,75584.920875065,75584.821307229,75584.920875065,0.000608621,1,0.00608,0.00608,72418,167,0.002306,27,16,0.592593,1150922
2568712538329,2568911365975,2568713818090,2568911365975,1279761,75584.920875065,75585.020689663,75584.921514786,75585.020689663,0.000639721,1,0.00641,0.00641,72418,229,0.003162,39,14,0.358974,1150919
