period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2460604978820,2460804138269,2460606312705,2460804138269,1333885,75530.649341506,75530.749292744,75530.649979108,75530.749292744,0.000637602,1,0.00638,0.00638,634328,184,0.000290,37,28,0.756757,2559667
2460804138269,2461003645390,2460806842140,2461003645390,2703871,75530.749292744,75530.849448582,75530.750648129,75530.849448582,0.001355385,1,0.0135,0.0135,634318,183,0.000288,37,20,0.540541,2559125
2461003645390,2461202487123,2461006335193,2461202487123,2689803,75530.849448582,75530.949270534,75530.850796715,75530.949270534,0.001348133,1,0.0135,0.0135,634318,230,0.000363,55,39,0.709091,2559119
2461202487123,2461401642657,2461205466076,2461401642657,2978953,75530.949270534,75531.049249434,75530.950763633,75531.049249434,0.001493099,1,0.0149,0.0149,634318,454,0.000716,114,14,0.122807,2559113
2461401642657,2461600931206,2461405787038,2461600931206,4144381,75531.049249434,75531.149294731,75531.051327817,75531.149294731,0.002078383,1,0.0208,0.0208,635348,845,0.001330,235,22,0.093617,2562445
2461600931206,2461800118936,2461603583915,2461800118936,2652709,75531.149294731,75531.249289942,75531.150624208,75531.249289942,0.001329477,1,0.0133,0.0133,634318,184,0.000290,36,15,0.416667,2559113
2461800118936,2461999341209,2461802855412,2461999341209,2736476,75531.249289942,75531.349302462,75531.250661531,75531.349302462,0.001371589,1,0.0137,0.0137,634318,275,0.000434,67,16,0.238806,2559113
2461999341209,2462198773287,2462002004839,2462198773287,2663630,75531.349302462,75531.449420333,75531.350637146,75531.449420333,0.001334684,1,0.0133,0.0133,634318,177,0.000279,33,14,0.424242,2559113
2462198773287,2462397732797,2462201586714,2462397732797,2813427,75531.449420333,75531.549300562,75531.450830165,75531.549300562,0.001409832,1,0.0141,0.0141,634318,175,0.000276,38,17,0.447368,2559113
2462397732797,2462596859047,2462400399221,2462596859047,2666424,75531.549300562,75531.649265192,75531.550637199,75531.649265192,0.001336637,1,0.0134,0.0134,634318,174,0.000274,32,16,0.500000,2559113
2462596859047,2462796118169,2462599535880,2462796118169,2676833,75531.649265192,75531.749295875,75531.650606482,75531.749295875,0.001341290,1,0.0134,0.0134,634318,197,0.000311,36,16,0.444444,2559113
2462796118169,2462995287933,2462798785668,2462995287933,2667499,75531.749295875,75531.849282034,75531.750632915,75531.849282034,0.001337040,1,0.0134,0.0134,634318,182,0.000287,41,24,0.585366,2559113
2462995287933,2463194453623,2462997990271,2463194453623,2702338,75531.849282034,75531.949265810,75531.850636605,75531.949265810,0.001354571,1,0.0135,0.0135,634318,175,0.000276,38,17,0.447368,2559113
2463194453623,2463393601860,2463196205106,2463393601860,1751483,75531.949265810,75532.049241663,75531.950143062,75532.049241663,0.000877252,1,0.00877,0.00877,634318,185,0.000292,44,26,0.590909,2559113
2463393601860,2463592788626,2463396267500,2463592788626,2665640,75532.049241663,75532.149236476,75532.050577427,75532.149236476,0.001335764,1,0.0134,0.0134,634784,280,0.000441,57,15,0.263158,2560776
