period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2572956686178,2573156013122,2572956846382,2573156013122,160204,75587.051534226,75587.151562786,75587.051575330,75587.151562786,0.000041104,1,0.000411,0.000411,4130,85,0.020581,22,16,0.727273,26033
2573156013122,2573355397307,2573156309701,2573355397307,296579,75587.151562786,75587.251656706,75587.151708986,75587.251656706,0.000146200,1,0.00146,0.00146,4130,64,0.015496,32,23,0.718750,26033
2573355397307,2573554399694,2573355614473,2573554399694,217166,75587.251656706,75587.351559143,75587.251762712,75587.351559143,0.000106006,1,0.00106,0.00106,4130,57,0.013801,31,27,0.870968,26033
2573554399694,2573753593364,2573554621407,2573753593364,221713,75587.351559143,75587.451556075,75587.351667221,75587.451556075,0.000108078,1,0.00108,0.00108,4130,61,0.014770,38,29,0.763158,26033
2573753593364,2573952735472,2573753793485,2573952735472,200121,75587.451556075,75587.551528719,75587.451654382,75587.551528719,0.000098307,1,0.000983,0.000983,4130,55,0.013317,33,20,0.606061,26033
2573952735472,2574151897136,2573952941966,2574151897136,206494,75587.551528719,75587.651510943,75587.551629748,75587.651510943,0.000101029,1,0.00101,0.00101,4130,60,0.014528,32,22,0.687500,26033
2574151897136,2574351167383,2574152209279,2574351167383,312143,75587.651510943,75587.751547256,75587.651664846,75587.751547256,0.000153903,1,0.00154,0.00154,4130,58,0.014044,32,27,0.843750,26033
2574351167383,2574550427315,2574351370435,2574550427315,203052,75587.751547256,75587.851578814,75587.751646515,75587.851578814,0.000099259,1,0.000992,0.000992,4130,56,0.013559,34,20,0.588235,26033
2574550427315,2574749516789,2574550644105,2574749516789,216790,75587.851578814,75587.951524559,75587.851684769,75587.951524559,0.000105955,1,0.00106,0.00106,4130,55,0.013317,33,27,0.818182,26033
2574749516789,2574948671026,2574749734176,2574948671026,217387,75587.951524559,75588.051502353,75587.951630990,75588.051502353,0.000106431,1,0.00106,0.00106,4130,75,0.018160,23,19,0.826087,26033
2574948671026,2575148048310,2574948871904,2575148048310,200878,75588.051502353,75588.151592638,75588.051600873,75588.151592638,0.000098520,1,0.000984,0.000984,4130,80,0.019370,25,14,0.560000,26033
2575148048310,2575347174002,2575148254257,2575347174002,205947,75588.151592638,75588.251556492,75588.151693745,75588.251556492,0.000101107,1,0.00101,0.00101,4130,59,0.014286,31,20,0.645161,26033
2575347174002,2575546382784,2575347372551,2575546382784,198549,75588.251556492,75588.351562175,75588.251653954,75588.351562175,0.000097462,1,0.000975,0.000975,4130,57,0.013801,33,19,0.575758,26033
2575546382784,2575745598119,2575546588446,2575745598119,205662,75588.351562175,75588.451571253,75588.351663172,75588.451571253,0.000100997,1,0.00101,0.00101,4130,56,0.013559,34,22,0.647059,26033
2575745598119,2575944731211,2575745795428,2575944731211,197309,75588.451571253,75588.551538016,75588.451667909,75588.551538016,0.000096656,1,0.000967,0.000967,4130,58,0.014044,30,19,0.633333,26033
2575944731211,2576143995380,2575944832995,2576143995380,101784,75588.551538016,75588.651572321,75588.551587481,75588.651572321,0.000049465,1,0.000494,0.000494,4130,85,0.020581,23,11,0.478261,26033
2576143995380,2576343113872,2576144199880,2576343113872,204500,75588.651572321,75588.751532417,75588.651672797,75588.751532417,0.000100476,1,0.00101,0.00101,4130,57,0.013801,34,21,0.617647,26033
2576343113872,2576542319516,2576343311058,2576542319516,197186,75588.751532417,75588.851536761,75588.751629446,75588.851536761,0.000097029,1,0.00097,0.00097,4130,60,0.014528,31,18,0.580645,26033
2576542319516,2576741531571,2576542562633,2576741531571,243117,75588.851536761,75588.951543772,75588.851656899,75588.951543772,0.000120138,1,0.0012,0.0012,4130,88,0.021308,31,13,0.419355,26033
2576741531571,2576940831483,2576741880700,2576940831483,349129,75588.951543772,75589.051595817,75588.951717372,75589.051595817,0.000173600,1,0.00174,0.00174,4130,63,0.015254,34,18,0.529412,26033
2576940831483,2577139844184,2576941035849,2577139844184,204366,75589.051595817,75589.151502392,75589.051695915,75589.151502392,0.000100098,1,0.001,0.001,4130,58,0.014044,37,22,0.594595,26033
2577139844184,2577339064258,2577140021863,2577339064258,177679,75589.151502392,75589.251514304,75589.151589722,75589.251514304,0.000087330,1,0.000873,0.000873,4130,167,0.040436,37,14,0.378378,26033
2577339064258,2577538217596,2577339300990,2577538217596,236732,75589.251514304,75589.351491353,75589.251630795,75589.351491353,0.000116491,1,0.00117,0.00117,4130,156,0.037772,31,13,0.419355,26033
2577538217596,2577737487893,2577538389343,2577737487893,171747,75589.351491353,75589.451528556,75589.351575885,75589.451528556,0.000084532,1,0.000845,0.000845,4130,169,0.040920,42,13,0.309524,26033
2577737487893,2577936663163,2577737684730,2577936663163,196837,75589.451528556,75589.551516532,75589.451625002,75589.551516532,0.000096446,1,0.000965,0.000965,4130,73,0.017676,23,11,0.478261,26033
2577936663163,2578135962765,2577936798212,2578135962765,135049,75589.551516532,75589.651567306,75589.551582730,75589.651567306,0.000066198,1,0.000662,0.000662,4130,60,0.014528,33,20,0.606061,26033
2578135962765,2578334981404,2578136058179,2578334981404,95414,75589.651567306,75589.751479062,75589.651613966,75589.751479062,0.000046660,1,0.000467,0.000467,4130,64,0.015496,30,18,0.600000,26033
2578334981404,2578534258794,2578335100519,2578534258794,119115,75589.751479062,75589.851518134,75589.751536110,75589.851518134,0.000057048,1,0.00057,0.00057,4130,83,0.020097,23,11,0.478261,26033
2578534258794,2578733422290,2578534392036,2578733422290,133242,75589.851518134,75589.951502143,75589.851583294,75589.951502143,0.000065160,1,0.000652,0.000652,4130,80,0.019370,29,13,0.448276,26033
2578733422290,2578932705991,2578733553038,2578932705991,130748,75589.951502143,75590.051544893,75589.951565078,75590.051544893,0.000062935,1,0.000629,0.000629,4130,83,0.020097,25,13,0.520000,26033
2578932705991,2579131933537,2578932898567,2579131933537,192576,75590.051544893,75590.151560565,75590.051639498,75590.151560565,0.000094605,1,0.000946,0.000946,4130,61,0.014770,34,20,0.588235,26033
2579131933537,2579331150736,2579132135650,2579331150736,202113,75590.151560565,75590.251569895,75590.151659397,75590.251569895,0.000098832,1,0.000988,0.000988,4130,58,0.014044,31,19,0.612903,26033
2579331150736,2579530267370,2579331341571,2579530267370,190835,75590.251569895,75590.351529218,75590.251663523,75590.351529218,0.000093628,1,0.000937,0.000937,4130,54,0.013075,31,18,0.580645,26033
2579530267370,2579729425489,2579530460901,2579729425489,193531,75590.351529218,75590.451509470,75590.351624366,75590.451509470,0.000095148,1,0.000952,0.000952,4130,60,0.014528,31,19,0.612903,26033
2579729425489,2579928704378,2579729612678,2579928704378,187189,75590.451509470,75590.551550824,75590.451601554,75590.551550824,0.000092084,1,0.00092,0.00092,4130,82,0.019855,31,13,0.419355,26033
2579928704378,2580127901001,2579928896488,2580127901001,192110,75590.551550824,75590.651550108,75590.551644790,75590.651550108,0.000093966,1,0.00094,0.00094,4130,58,0.014044,30,19,0.633333,26033
2580127901001,2580327045632,2580128099071,2580327045632,198070,75590.651550108,75590.751522367,75590.651647323,75590.751522367,0.000097215,1,0.000972,0.000972,4130,60,0.014528,36,21,0.583333,26033
2580327045632,2580526277548,2580327138877,2580526277548,93245,75590.751522367,75590.851540742,75590.751567877,75590.851540742,0.000045510,1,0.000455,0.000455,4130,83,0.020097,31,14,0.451613,26033
2580526277548,2580725516564,2580526467466,2580725516564,189918,75590.851540742,75590.951561686,75590.851633964,75590.951561686,0.000093222,1,0.000932,0.000932,4130,84,0.020339,27,9,0.333333,26033
2580725516564,2580924686419,2580725716076,2580924686419,199512,75590.951561686,75591.051547897,75590.951659651,75591.051547897,0.000097965,1,0.00098,0.00098,4130,55,0.013317,33,16,0.484848,26033
2580924686419,2581123891877,2580925006591,2581123891877,320172,75591.051547897,75591.151551679,75591.051706458,75591.151551679,0.000158561,1,0.00159,0.00159,4130,63,0.015254,35,15,0.428571,26033
2581123891877,2581323067329,2581124090215,2581323067329,198338,75591.151551679,75591.251540657,75591.151649075,75591.251540657,0.000097396,1,0.000974,0.000974,4130,59,0.014286,31,20,0.645161,26033
2581323067329,2581522238735,2581323298266,2581522238735,230937,75591.251540657,75591.351527713,75591.251654810,75591.351527713,0.000114153,1,0.00114,0.00114,4130,157,0.038015,41,15,0.365854,26033
2581522238735,2581721547193,2581522435339,2581721547193,196604,75591.351527713,75591.451583572,75591.351624101,75591.451583572,0.000096388,1,0.000963,0.000963,4130,61,0.014770,36,19,0.527778,26033
2581721547193,2581920643954,2581721782926,2581920643954,235733,75591.451583572,75591.551533090,75591.451699687,75591.551533090,0.000116115,1,0.00116,0.00116,4130,156,0.037772,34,10,0.294118,26033
2581920643954,2582119841381,2581920847615,2582119841381,203661,75591.551533090,75591.651532886,75591.551632868,75591.651532886,0.000099778,1,0.000998,0.000998,4130,58,0.014044,29,21,0.724138,26033
2582119841381,2582319005867,2582120044473,2582319005867,203092,75591.651532886,75591.751514969,75591.651632566,75591.751514969,0.000099680,1,0.000997,0.000997,4130,60,0.014528,31,20,0.645161,26033
2582319005867,2582518293907,2582319098699,2582518293907,92832,75591.751514969,75591.851561681,75591.751560288,75591.851561681,0.000045319,1,0.000453,0.000453,4130,88,0.021308,28,15,0.535714,26033
2582518293907,2582717482010,2582518488316,2582717482010,194409,75591.851561681,75591.951557010,75591.851656997,75591.951557010,0.000095316,1,0.000953,0.000953,4130,54,0.013075,30,18,0.600000,26033
2582717482010,2582916630234,2582717684625,2582916630234,202615,75591.951557010,75592.051532226,75591.951656328,75592.051532226,0.000099318,1,0.000993,0.000993,4130,56,0.013559,36,23,0.638889,26033
