period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2470823725957,2471022924789,2470824107375,2471022924789,381418,75535.779323511,75535.879273689,75535.779461824,75535.879273689,0.000138313,1,0.00138,0.00138,17856,603,0.033770,101,40,0.396040,79650
2471022924789,2471222090624,2471023078444,2471222090624,153655,75535.879273689,75535.979262276,75535.879348038,75535.979262276,0.000074349,1,0.000744,0.000744,797,35,0.043915,25,12,0.480000,2641
2471222090624,2471421312321,2471222279957,2471421312321,189333,75535.979262276,75536.079270150,75535.979350074,75536.079270150,0.000087798,1,0.000878,0.000878,797,49,0.061481,19,8,0.421053,2641
2471421312321,2471620489931,2471421467466,2471620489931,155145,75536.079270150,75536.179260194,75536.079345109,75536.179260194,0.000074959,1,0.00075,0.00075,797,34,0.042660,25,11,0.440000,2641
2471620489931,2471819812905,2471620641088,2471819812905,151157,75536.179260194,75536.279323187,75536.179333153,75536.279323187,0.000072959,1,0.000729,0.000729,797,47,0.058971,23,10,0.434783,2641
2471819812905,2472018874813,2471819975429,2472018874813,162524,75536.279323187,75536.379255292,75536.279402071,75536.379255292,0.000078884,1,0.000789,0.000789,797,34,0.042660,25,12,0.480000,2641
2472018874813,2472218197562,2472019035491,2472218197562,160678,75536.379255292,75536.479318060,75536.379333036,75536.479318060,0.000077744,1,0.000777,0.000777,797,33,0.041405,23,13,0.565217,2641
2472218197562,2472417440024,2472218412249,2472417440024,214687,75536.479318060,75536.579340485,75536.479423263,75536.579340485,0.000105203,1,0.00105,0.00105,797,72,0.090339,26,13,0.500000,2641
2472417440024,2472616446974,2472417594355,2472616446974,154331,75536.579340485,75536.679244743,75536.579415471,75536.679244743,0.000074986,1,0.000751,0.000751,797,36,0.045169,24,13,0.541667,2641
2472616446974,2472815783865,2472616602688,2472815783865,155714,75536.679244743,75536.779315060,75536.679320489,75536.779315060,0.000075746,1,0.000757,0.000757,797,47,0.058971,24,11,0.458333,2641
