period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2583180319892,2583379441129,2583181308718,2583379441129,988826,75592.183969424,75592.283870100,75592.184403655,75592.283870100,0.000434231,1,0.00435,0.00435,87101,1428,0.016395,249,55,0.220884,379085
2583379441129,2583578951330,2583379595744,2583578951330,154615,75592.283870100,75592.384028102,75592.283945206,75592.384028102,0.000075106,1,0.00075,0.00075,798,39,0.048872,28,13,0.464286,2645
2583578951330,2583777867991,2583579126299,2583777867991,174969,75592.384028102,75592.483886627,75592.384112438,75592.483886627,0.000084336,1,0.000845,0.000845,798,40,0.050125,24,21,0.875000,2645
2583777867991,2583977236712,2583778030207,2583977236712,162216,75592.483886627,75592.583972782,75592.483965090,75592.583972782,0.000078463,1,0.000784,0.000784,798,44,0.055138,30,14,0.466667,2645
2583977236712,2584176125506,2583977413595,2584176125506,176883,75592.583972782,75592.683817188,75592.584058380,75592.683817188,0.000085598,1,0.000857,0.000857,798,36,0.045113,25,21,0.840000,2645
2584176125506,2584375666021,2584176308485,2584375666021,182979,75592.683817188,75592.783990214,75592.683906711,75592.783990214,0.000089523,1,0.000894,0.000894,798,74,0.092732,29,14,0.482759,2645
2584375666021,2584574848672,2584375845963,2584574848672,179942,75592.783990214,75592.883982761,75592.784077140,75592.883982761,0.000086926,1,0.000869,0.000869,798,39,0.048872,28,21,0.750000,2645
2584574848672,2584773819675,2584575025117,2584773819675,176445,75592.883982761,75592.983867892,75592.884067929,75592.983867892,0.000085168,1,0.000853,0.000853,798,40,0.050125,24,21,0.875000,2645
2584773819675,2584973029734,2584773969872,2584973029734,150197,75592.983867892,75593.083874028,75592.983941068,75593.083874028,0.000073176,1,0.000732,0.000732,798,38,0.047619,26,13,0.500000,2645
2584973029734,2585172215029,2584973134925,2585172215029,105191,75593.083874028,75593.183867807,75593.083924641,75593.183867807,0.000050613,1,0.000506,0.000506,798,40,0.050125,26,14,0.538462,2645
2585172215029,2585371407820,2585172341203,2585371407820,126174,75593.183867807,75593.283866717,75593.183929214,75593.283866717,0.000061407,1,0.000614,0.000614,798,84,0.105263,33,10,0.303030,2645
2585371407820,2585570647579,2585371579193,2585570647579,171373,75593.283866717,75593.383887360,75593.283949516,75593.383887360,0.000082799,1,0.000828,0.000828,798,40,0.050125,25,14,0.560000,2645
2585570647579,2585769830317,2585570811148,2585769830317,163569,75593.383887360,75593.483879835,75593.383966803,75593.483879835,0.000079443,1,0.000794,0.000794,798,40,0.050125,30,13,0.433333,2645
