period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2358364176986,2358563352297,2358364393027,2358563352297,216041,75479.322978766,75479.422903799,75479.323019995,75479.422903799,0.000041229,1,0.000413,0.000413,827,34,0.041112,17,12,0.705882,2718
2358563352297,2358762140769,2358563637930,2358762140769,285633,75479.422903799,75479.522698113,75479.423044188,75479.522698113,0.000140389,1,0.00141,0.00141,827,35,0.042322,17,13,0.764706,2718
2358762140769,2358961317085,2358762303639,2358961317085,162870,75479.522698113,75479.622686611,75479.522777040,75479.622686611,0.000078927,1,0.000789,0.000789,827,30,0.036276,22,9,0.409091,2718
2358961317085,2359161044141,2358961427212,2359161044141,110127,75479.622686611,75479.722954375,75479.622739929,75479.722954375,0.000053318,1,0.000532,0.000532,827,33,0.039903,23,10,0.434783,2718
2359161044141,2359359689888,2359161221251,2359359689888,177110,75479.722954375,75479.822676877,75479.723039662,75479.822676877,0.000085287,1,0.000855,0.000855,827,32,0.038694,22,18,0.818182,2718
2359359689888,2359559253735,2359359860171,2359559253735,170283,75479.822676877,75479.922861703,75479.822759384,75479.922861703,0.000082507,1,0.000824,0.000824,827,31,0.037485,20,18,0.900000,2718
2359559253735,2359758093305,2359559433787,2359758093305,180052,75479.922861703,75480.022680907,75479.922948419,75480.022680907,0.000086716,1,0.000869,0.000869,827,31,0.037485,21,18,0.857143,2718
2359758093305,2359957184729,2359758245334,2359957184729,152029,75480.022680907,75480.122627832,75480.022754835,75480.122627832,0.000073928,1,0.00074,0.00074,827,33,0.039903,27,10,0.370370,2718
2359957184729,2360159021056,2359957338609,2360159021056,153880,75480.122627832,75480.223953070,75480.122702549,75480.223953070,0.000074717,1,0.000737,0.000737,827,43,0.051995,23,11,0.478261,2718
2360159021056,2360355690679,2360159202611,2360355690679,181555,75480.223953070,75480.322684118,75480.224041850,75480.322684118,0.000088780,1,0.000899,0.000899,827,57,0.068924,19,6,0.315789,2718
2360355690679,2360554805604,2360355849393,2360554805604,158714,75480.322684118,75480.422642930,75480.322761027,75480.422642930,0.000076909,1,0.000769,0.000769,827,37,0.044740,26,10,0.384615,2718
2360554805604,2360754101368,2360554999689,2360754101368,194085,75480.422642930,75480.522692663,75480.422737599,75480.522692663,0.000094669,1,0.000946,0.000946,827,49,0.059250,10,6,0.600000,2718
2360754101368,2360953284910,2360754262904,2360953284910,161536,75480.522692663,75480.622685503,75480.522770587,75480.622685503,0.000077924,1,0.000779,0.000779,827,34,0.041112,23,10,0.434783,2718
2360953284910,2361152458157,2360953444899,2361152458157,159989,75480.622685503,75480.722673283,75480.622762997,75480.722673283,0.000077494,1,0.000775,0.000775,827,33,0.039903,24,9,0.375000,2718
2361152458157,2361351650975,2361152617612,2361351650975,159455,75480.722673283,75480.822671331,75480.722750651,75480.822671331,0.000077368,1,0.000774,0.000774,827,32,0.038694,24,12,0.500000,2718
2361351650975,2361550863237,2361351808316,2361550863237,157341,75480.822671331,75480.922678598,75480.822747412,75480.922678598,0.000076081,1,0.000761,0.000761,827,35,0.042322,24,11,0.458333,2718
2361550863237,2361750040163,2361551019329,2361750040163,156092,75480.922678598,75481.022668493,75480.922754202,75481.022668493,0.000075604,1,0.000756,0.000756,827,35,0.042322,24,10,0.416667,2718
2361750040163,2361949172872,2361750195836,2361949172872,155673,75481.022668493,75481.122636205,75481.022743931,75481.122636205,0.000075438,1,0.000755,0.000755,827,34,0.041112,22,9,0.409091,2718
2361949172872,2362148415368,2361949371076,2362148415368,198204,75481.122636205,75481.222659152,75481.122732958,75481.222659152,0.000096753,1,0.000967,0.000967,827,49,0.059250,14,7,0.500000,2718
2362148415368,2362347571805,2362148795220,2362347571805,379852,75481.222659152,75481.322638624,75481.222847285,75481.322638624,0.000188133,1,0.00188,0.00188,827,62,0.074970,27,10,0.370370,2718
2362347571805,2362546767809,2362347769047,2362546767809,197242,75481.322638624,75481.422637800,75481.322734607,75481.422637800,0.000095983,1,0.00096,0.00096,827,49,0.059250,14,7,0.500000,2718
2362546767809,2362745973153,2362546963610,2362745973153,195801,75481.422637800,75481.522642157,75481.422733474,75481.522642157,0.000095674,1,0.000957,0.000957,827,43,0.051995,12,7,0.583333,2718
2362745973153,2362945169129,2362746168191,2362945169129,195038,75481.522642157,75481.622641842,75481.522737056,75481.622641842,0.000094899,1,0.000949,0.000949,827,57,0.068924,14,8,0.571429,2718
2362945169129,2363144353555,2362945365322,2363144353555,196193,75481.622641842,75481.722634784,75481.622737165,75481.722634784,0.000095323,1,0.000953,0.000953,827,47,0.056832,14,8,0.571429,2718
2363144353555,2363343582903,2363144555581,2363343582903,202026,75481.722634784,75481.822651127,75481.722733509,75481.822651127,0.000098725,1,0.000987,0.000987,827,54,0.065296,14,8,0.571429,2718
2363343582903,2363542782951,2363343782469,2363542782951,199566,75481.822651127,75481.922652390,75481.822748391,75481.922652390,0.000097264,1,0.000973,0.000973,827,51,0.061669,14,7,0.500000,2718
2363542782951,2363741947340,2363542986890,2363741947340,203939,75481.922652390,75482.022635966,75481.922752113,75482.022635966,0.000099723,1,0.000997,0.000997,827,53,0.064087,16,8,0.500000,2718
2363741947340,2363941169281,2363742148178,2363941169281,200838,75482.022635966,75482.122648174,75482.022733993,75482.122648174,0.000098027,1,0.00098,0.00098,827,49,0.059250,16,7,0.437500,2718
2363941169281,2364140347618,2363941370487,2364140347618,201206,75482.122648174,75482.222638515,75482.122746556,75482.222638515,0.000098382,1,0.000984,0.000984,827,52,0.062878,14,6,0.428571,2718
2364140347618,2364339549571,2364140585771,2364339549571,238153,75482.222638515,75482.322641249,75482.222755506,75482.322641249,0.000116991,1,0.00117,0.00117,827,48,0.058041,13,6,0.461538,2718
2364339549571,2364538750474,2364339750304,2364538750474,200733,75482.322641249,75482.422642880,75482.322739180,75482.422642880,0.000097931,1,0.000979,0.000979,827,54,0.065296,19,9,0.473684,2718
2364538750474,2364737952575,2364538947789,2364737952575,197315,75482.422642880,75482.522645502,75482.422739317,75482.522645502,0.000096437,1,0.000964,0.000964,827,54,0.065296,18,9,0.500000,2718
2364737952575,2364937150213,2364738145734,2364937150213,193159,75482.522645502,75482.622645631,75482.522739678,75482.622645631,0.000094176,1,0.000942,0.000942,827,50,0.060459,15,8,0.533333,2718
2364937150213,2365136337204,2364937347672,2365136337204,197459,75482.622645631,75482.722640575,75482.622742076,75482.722640575,0.000096445,1,0.000964,0.000964,827,54,0.065296,18,8,0.444444,2718
2365136337204,2365335514711,2365136534544,2365335514711,197340,75482.722640575,75482.822630656,75482.722736855,75482.822630656,0.000096280,1,0.000963,0.000963,827,59,0.071342,18,9,0.500000,2718
2365335514711,2365534708974,2365335712539,2365534708974,197828,75482.822630656,75482.922628925,75482.822727145,75482.922628925,0.000096489,1,0.000965,0.000965,827,53,0.064087,22,8,0.363636,2718
2365534708974,2365733917082,2365534899716,2365733917082,190742,75482.922628925,75483.022634176,75482.922722163,75483.022634176,0.000093238,1,0.000932,0.000932,827,49,0.059250,17,9,0.529412,2718
2365733917082,2365933242272,2365734103277,2365933242272,186195,75483.022634176,75483.122698455,75483.022725249,75483.122698455,0.000091073,1,0.00091,0.00091,827,53,0.064087,19,8,0.421053,2718
2365933242272,2366132423668,2365933395915,2366132423668,153643,75483.122698455,75483.222690867,75483.122773053,75483.222690867,0.000074598,1,0.000746,0.000746,827,32,0.038694,22,10,0.454545,2718
2366132423668,2366331595170,2366132582864,2366331595170,159196,75483.222690867,75483.322677904,75483.222767980,75483.322677904,0.000077113,1,0.000771,0.000771,827,33,0.039903,22,11,0.500000,2718
2366331595170,2366530784899,2366331760565,2366530784899,165395,75483.322677904,75483.422674051,75483.322758027,75483.422674051,0.000080123,1,0.000801,0.000801,827,29,0.035067,23,11,0.478261,2718
2366530784899,2366730004663,2366531094268,2366730004663,309369,75483.422674051,75483.522685455,75483.422826908,75483.522685455,0.000152857,1,0.00153,0.00153,827,44,0.053204,24,7,0.291667,2718
2366730004663,2366929141393,2366730164292,2366929141393,159629,75483.522685455,75483.622655268,75483.522762658,75483.622655268,0.000077203,1,0.000772,0.000772,827,34,0.041112,23,10,0.434783,2718
2366929141393,2367128344451,2366929345884,2367128344451,204491,75483.622655268,75483.722658161,75483.622754972,75483.722658161,0.000099704,1,0.000997,0.000997,827,45,0.054414,17,10,0.588235,2718
2367128344451,2367327617657,2367128543384,2367327617657,198933,75483.722658161,75483.822696416,75483.722755223,75483.822696416,0.000097062,1,0.00097,0.00097,827,53,0.064087,17,6,0.352941,2718
2367327617657,2367526787964,2367327822951,2367526787964,205294,75483.822696416,75483.922683159,75483.822796713,75483.922683159,0.000100297,1,0.001,0.001,827,79,0.095526,33,10,0.303030,2718
2367526787964,2367726028958,2367526960845,2367726028958,172881,75483.922683159,75484.022705328,75483.922766560,75484.022705328,0.000083401,1,0.000834,0.000834,827,34,0.041112,24,16,0.666667,2718
2367726028958,2367925750003,2367726236605,2367925750003,207647,75484.022705328,75484.122968305,75484.022806062,75484.122968305,0.000100734,1,0.001,0.001,827,41,0.049577,26,23,0.884615,2718
2367925750003,2368124848510,2367925928010,2368124848510,178007,75484.122968305,75484.222918734,75484.123054101,75484.222918734,0.000085796,1,0.000858,0.000858,827,33,0.039903,19,17,0.894737,2718
2368124848510,2368324072837,2368125029450,2368324072837,180940,75484.222918734,75484.322932225,75484.223006027,75484.322932225,0.000087293,1,0.000873,0.000873,827,35,0.042322,20,17,0.850000,2718
