period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2215323683138,2215522987779,2215323870933,2215522987779,187795,75407.514434974,75407.614433481,75407.514470998,75407.614433481,0.000036024,1,0.00036,0.00036,855,31,0.036257,18,8,0.444444,3146
2215522987779,2215722074284,2215523237409,2215722074284,249630,75407.614433481,75407.714377638,75407.614556408,75407.714377638,0.000122927,1,0.00123,0.00123,810,34,0.041975,20,10,0.500000,2756
2215722074284,2215921380724,2215722226888,2215921380724,152604,75407.714377638,75407.814433117,75407.714451955,75407.814433117,0.000074317,1,0.000743,0.000743,810,31,0.038272,18,8,0.444444,2753
2215921380724,2216120580732,2215921548680,2216120580732,167956,75407.814433117,75407.914434299,75407.814514886,75407.914434299,0.000081769,1,0.000818,0.000818,810,32,0.039506,20,10,0.500000,2753
2216120580732,2216319828405,2216120735375,2216319828405,154643,75407.914434299,75408.014459816,75407.914509675,75408.014459816,0.000075376,1,0.000754,0.000754,810,33,0.040741,16,9,0.562500,2753
2216319828405,2216518987071,2216319997787,2216518987071,169382,75408.014459816,75408.114440656,75408.014542559,75408.114440656,0.000082743,1,0.000828,0.000828,810,36,0.044444,18,9,0.500000,2753
2216518987071,2216718179775,2216519149860,2216718179775,162789,75408.114440656,75408.214438530,75408.114520130,75408.214438530,0.000079474,1,0.000795,0.000795,810,33,0.040741,20,8,0.400000,2753
2216718179775,2216917392798,2216718338568,2216917392798,158793,75408.214438530,75408.314446617,75408.214515974,75408.314446617,0.000077444,1,0.000774,0.000774,810,36,0.044444,23,10,0.434783,2753
2216917392798,2217116563355,2216917548374,2217116563355,155576,75408.314446617,75408.414433188,75408.314522376,75408.414433188,0.000075759,1,0.000758,0.000758,810,32,0.039506,20,8,0.400000,2753
2217116563355,2217315749174,2217116720059,2217315749174,156704,75408.414433188,75408.514428263,75408.414509814,75408.514428263,0.000076626,1,0.000766,0.000766,810,34,0.041975,21,9,0.428571,2753
2217315749174,2217514891588,2217315903886,2217514891588,154712,75408.514428263,75408.614399532,75408.514503389,75408.614399532,0.000075126,1,0.000751,0.000751,810,32,0.039506,20,9,0.450000,2753
2217514891588,2217714161644,2217514982789,2217714161644,91201,75408.614399532,75408.714437280,75408.614443734,75408.714437280,0.000044202,1,0.000442,0.000442,810,36,0.044444,21,9,0.428571,2753
2217714161644,2217913244311,2217714316700,2217913244311,155056,75408.714437280,75408.814379686,75408.714512753,75408.814379686,0.000075473,1,0.000755,0.000755,810,32,0.039506,19,8,0.421053,2753
2217913244311,2218112548585,2217913435221,2218112548585,190910,75408.814379686,75408.914434079,75408.814473597,75408.914434079,0.000093911,1,0.000939,0.000939,810,39,0.048148,15,6,0.400000,2753
2218112548585,2218311748241,2218112700244,2218311748241,151659,75408.914434079,75409.014435233,75408.914507684,75409.014435233,0.000073605,1,0.000736,0.000736,810,31,0.038272,19,9,0.473684,2753
2218311748241,2218510968776,2218311906530,2218510968776,158289,75409.014435233,75409.114447135,75409.014512418,75409.114447135,0.000077185,1,0.000772,0.000772,810,33,0.040741,23,12,0.521739,2753
2218510968776,2218710147026,2218511123059,2218710147026,154283,75409.114447135,75409.214437719,75409.114522282,75409.214437719,0.000075147,1,0.000752,0.000752,810,34,0.041975,21,10,0.476190,2753
2218710147026,2218909269328,2218710303210,2218909269328,156184,75409.214437719,75409.314400207,75409.214513742,75409.314400207,0.000076023,1,0.000761,0.000761,810,33,0.040741,21,9,0.428571,2753
2218909269328,2219108530865,2218909464661,2219108530865,195333,75409.314400207,75409.414433128,75409.314496314,75409.414433128,0.000096107,1,0.000961,0.000961,810,78,0.096296,26,7,0.269231,2753
2219108530865,2219307764758,2219108713937,2219307764758,183072,75409.414433128,75409.514451234,75409.414522538,75409.514451234,0.000089410,1,0.000894,0.000894,810,97,0.119753,26,5,0.192308,2753
2219307764758,2219506826073,2219308076492,2219506826073,311734,75409.514451234,75409.614383214,75409.514605770,75409.614383214,0.000154536,1,0.00155,0.00155,810,40,0.049383,26,7,0.269231,2753
2219506826073,2219706113834,2219506986218,2219706113834,160145,75409.614383214,75409.714428973,75409.614461404,75409.714428973,0.000078190,1,0.000782,0.000782,810,40,0.049383,19,7,0.368421,2753
2219706113834,2219905319312,2219706298501,2219905319312,184667,75409.714428973,75409.814433185,75409.714519897,75409.814433185,0.000090924,1,0.000909,0.000909,810,150,0.185185,40,9,0.225000,2753
2219905319312,2220104471037,2219905474419,2220104471037,155107,75409.814433185,75409.914410352,75409.814508740,75409.914410352,0.000075555,1,0.000756,0.000756,810,32,0.039506,18,9,0.500000,2753
2220104471037,2220303617131,2220104655499,2220303617131,184462,75409.914410352,75410.014385444,75409.914500770,75410.014385444,0.000090418,1,0.000904,0.000904,810,58,0.071605,15,7,0.466667,2753
2220303617131,2220502889307,2220303772560,2220502889307,155429,75410.014385444,75410.114422616,75410.014460862,75410.114422616,0.000075418,1,0.000754,0.000754,810,40,0.049383,16,7,0.437500,2753
2220502889307,2220702126450,2220503038033,2220702126450,148726,75410.114422616,75410.214443630,75410.114495099,75410.214443630,0.000072483,1,0.000725,0.000725,810,32,0.039506,19,6,0.315789,2753
2220702126450,2220901271640,2220702286964,2220901271640,160514,75410.214443630,75410.314417029,75410.214521412,75410.314417029,0.000077782,1,0.000778,0.000778,810,34,0.041975,20,8,0.400000,2753
2220901271640,2221100528483,2220901427204,2221100528483,155564,75410.314417029,75410.414447445,75410.314492847,75410.414447445,0.000075818,1,0.000758,0.000758,810,46,0.056790,19,7,0.368421,2753
2221100528483,2221299727321,2221100688207,2221299727321,159724,75410.414447445,75410.514448409,75410.414525163,75410.514448409,0.000077718,1,0.000777,0.000777,810,33,0.040741,21,8,0.380952,2753
2221299727321,2221498908326,2221299883243,2221498908326,155922,75410.514448409,75410.614440220,75410.514524089,75410.614440220,0.000075680,1,0.000757,0.000757,810,33,0.040741,18,9,0.500000,2753
2221498908326,2221698098178,2221499063870,2221698098178,155544,75410.614440220,75410.714436436,75410.614515933,75410.714436436,0.000075713,1,0.000757,0.000757,810,35,0.043210,24,10,0.416667,2753
2221698098178,2221897211536,2221698247661,2221897211536,149483,75410.714436436,75410.814394664,75410.714509382,75410.814394664,0.000072946,1,0.00073,0.00073,810,34,0.041975,19,8,0.421053,2753
2221897211536,2222096412868,2221897397680,2222096412868,186144,75410.814394664,75410.914397335,75410.814485882,75410.914397335,0.000091218,1,0.000912,0.000912,810,64,0.079012,20,5,0.250000,2753
2222096412868,2222295629620,2222096591846,2222295629620,178978,75410.914397335,75411.014406924,75410.914484755,75411.014406924,0.000087420,1,0.000874,0.000874,810,54,0.066667,20,8,0.400000,2753
2222295629620,2222494801756,2222295826872,2222494801756,197252,75411.014406924,75411.114394762,75411.014503541,75411.114394762,0.000096617,1,0.000966,0.000966,810,58,0.071605,20,9,0.450000,2753
2222494801756,2222694020289,2222494987704,2222694020289,185948,75411.114394762,75411.214405501,75411.114485551,75411.214405501,0.000090789,1,0.000908,0.000908,810,56,0.069136,20,7,0.350000,2753
2222694020289,2222893205201,2222694219228,2222893205201,198939,75411.214405501,75411.314400437,75411.214502817,75411.314400437,0.000097316,1,0.000973,0.000973,810,54,0.066667,18,6,0.333333,2753
2222893205201,2223092507482,2222893419773,2223092507482,214572,75411.314400437,75411.414452378,75411.314505163,75411.414452378,0.000104726,1,0.00105,0.00105,810,111,0.137037,25,8,0.320000,2753
2223092507482,2223291691347,2223092675427,2223291691347,167945,75411.414452378,75411.514446065,75411.414534200,75411.514446065,0.000081822,1,0.000818,0.000818,810,34,0.041975,18,9,0.500000,2753
2223291691347,2223490880658,2223291866170,2223490880658,174823,75411.514446065,75411.614442233,75411.514531372,75411.614442233,0.000085307,1,0.000853,0.000853,810,36,0.044444,22,19,0.863636,2753
2223490880658,2223690562542,2223491201229,2223690562542,320571,75411.614442233,75411.714685924,75411.614600812,75411.714685924,0.000158579,1,0.00158,0.00158,810,36,0.044444,21,12,0.571429,2753
2223690562542,2223889834368,2223690739768,2223889834368,177226,75411.714685924,75411.814723422,75411.714772054,75411.814723422,0.000086130,1,0.000861,0.000861,810,33,0.040741,18,15,0.833333,2753
2223889834368,2224089038151,2223890008751,2224089038151,174383,75411.814723422,75411.914726934,75411.814808184,75411.914726934,0.000084762,1,0.000848,0.000848,810,35,0.043210,20,16,0.800000,2753
2224089038151,2224288156736,2224089212544,2224288156736,174393,75411.914726934,75412.014687710,75411.914811657,75412.014687710,0.000084723,1,0.000848,0.000848,810,34,0.041975,18,15,0.833333,2753
2224288156736,2224487165407,2224288331385,2224487165407,174649,75412.014687710,75412.114593155,75412.014772563,75412.114593155,0.000084853,1,0.000849,0.000849,810,33,0.040741,20,16,0.800000,2753
2224487165407,2224686647963,2224487339039,2224686647963,173632,75412.114593155,75412.214736691,75412.114677373,75412.214736691,0.000084218,1,0.000841,0.000841,810,29,0.035802,20,17,0.850000,2753
2224686647963,2224885703130,2224686824330,2224885703130,176367,75412.214736691,75412.314665524,75412.214822268,75412.314665524,0.000085577,1,0.000856,0.000856,810,30,0.037037,19,18,0.947368,2753
2224885703130,2225084497143,2224885861958,2225084497143,158828,75412.314665524,75412.414462697,75412.314742275,75412.414462697,0.000076751,1,0.000769,0.000769,810,32,0.039506,19,18,0.947368,2753
2225084497143,2225283643398,2225084663382,2225283643398,166239,75412.414462697,75412.514437230,75412.414543806,75412.514437230,0.000081109,1,0.000811,0.000811,810,32,0.039506,19,12,0.631579,2753
