period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2368583930282,2368783166152,2368584810934,2368783166152,880652,75484.453447124,75484.553403275,75484.453823170,75484.553403275,0.000376046,1,0.00376,0.00376,12799,37,0.002891,19,6,0.315789,432695
2368783166152,2368982363770,2368784039835,2368982363770,873683,75484.553403275,75484.653403528,75484.553839114,75484.653403528,0.000435839,1,0.00436,0.00436,12799,40,0.003125,19,5,0.263158,432695
2368982363770,2369181578444,2368983250264,2369181578444,886494,75484.653403528,75484.753412048,75484.653845677,75484.753412048,0.000442149,1,0.00442,0.00442,12799,33,0.002578,15,5,0.333333,432695
2369181578444,2369380743155,2369182466561,2369380743155,888117,75484.753412048,75484.853395720,75484.753855179,75484.853395720,0.000443131,1,0.00443,0.00443,12799,35,0.002735,15,7,0.466667,432695
2369380743155,2369579981402,2369381576989,2369579981402,833834,75484.853395720,75484.953416349,75484.853811739,75484.953416349,0.000416019,1,0.00416,0.00416,12799,33,0.002578,15,9,0.600000,432695
2369579981402,2369779155577,2369580858020,2369779155577,876618,75484.953416349,75485.053404745,75484.953853665,75485.053404745,0.000437316,1,0.00437,0.00437,12799,39,0.003047,20,10,0.500000,432695
2369779155577,2369978208159,2369780032917,2369978208159,877340,75485.053404745,75485.153332016,75485.053842548,75485.153332016,0.000437803,1,0.00438,0.00438,12799,28,0.002188,13,8,0.615385,432695
2369978208159,2370177419607,2369979051718,2370177419607,843559,75485.153332016,75485.253339165,75485.153752897,75485.253339165,0.000420881,1,0.00421,0.00421,12799,38,0.002969,14,4,0.285714,432695
2370177419607,2370376679241,2370178283523,2370376679241,863916,75485.253339165,75485.353370882,75485.253770432,75485.353370882,0.000431267,1,0.00431,0.00431,13265,100,0.007539,44,10,0.227273,434355
2370376679241,2370575946667,2370377561053,2370575946667,881812,75485.353370882,75485.453405789,75485.353810609,75485.453405789,0.000439727,1,0.0044,0.0044,12799,41,0.003203,16,6,0.375000,432695
2370575946667,2370775145850,2370576828737,2370775145850,882070,75485.453405789,75485.553406999,75485.453846299,75485.553406999,0.000440510,1,0.00441,0.00441,12799,80,0.006250,25,8,0.320000,432695
