period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2225530895895,2225729968891,2225531074807,2225729968891,178912,75412.638614603,75412.738499826,75412.638649216,75412.738499826,0.000034613,1,0.000347,0.000347,980,38,0.038776,19,9,0.473684,3762
2225729968891,2225929177501,2225730176221,2225929177501,207330,75412.738499826,75412.838505503,75412.738601274,75412.838505503,0.000101448,1,0.00101,0.00101,980,37,0.037755,17,9,0.529412,3762
2225929177501,2226128378979,2225929332986,2226128378979,155485,75412.838505503,75412.938507925,75412.838580991,75412.938507925,0.000075488,1,0.000755,0.000755,980,37,0.037755,21,10,0.476190,3762
2226128378979,2226327465872,2226128563212,2226327465872,184233,75412.938507925,75413.038452362,75412.938597872,75413.038452362,0.000089947,1,0.0009,0.0009,980,35,0.035714,21,8,0.380952,3762
2226327465872,2226526778576,2226327614381,2226526778576,148509,75413.038452362,75413.138510943,75413.038524609,75413.138510943,0.000072247,1,0.000722,0.000722,980,35,0.035714,19,8,0.421053,3762
2226526778576,2226725933444,2226526932743,2226725933444,154167,75413.138510943,75413.238489651,75413.138585613,75413.238489651,0.000074670,1,0.000747,0.000747,980,36,0.036735,21,9,0.428571,3762
2226725933444,2226925061358,2226726089401,2226925061358,155957,75413.238489651,75413.338455434,75413.238565317,75413.338455434,0.000075666,1,0.000757,0.000757,980,39,0.039796,18,10,0.555556,3762
2226925061358,2227124366353,2226925216559,2227124366353,155201,75413.338455434,75413.438509143,75413.338530261,75413.438509143,0.000074827,1,0.000748,0.000748,980,36,0.036735,20,10,0.500000,3762
2227124366353,2227323492478,2227124522002,2227323492478,155649,75413.438509143,75413.538473495,75413.438584874,75413.538473495,0.000075731,1,0.000758,0.000758,980,36,0.036735,20,9,0.450000,3762
2227323492478,2227522768039,2227323643775,2227522768039,151297,75413.538473495,75413.638513012,75413.538547121,75413.638513012,0.000073626,1,0.000736,0.000736,980,35,0.035714,19,10,0.526316,3762
2227522768039,2227722006652,2227522917631,2227722006652,149592,75413.638513012,75413.738534528,75413.638585752,75413.738534528,0.000072740,1,0.000727,0.000727,980,37,0.037755,18,8,0.444444,3762
2227722006652,2227921132946,2227722205629,2227921132946,198977,75413.738534528,75413.838498664,75413.738631800,75413.838498664,0.000097272,1,0.000973,0.000973,980,70,0.071429,31,7,0.225806,3762
2227921132946,2228120298942,2227921287245,2228120298942,154299,75413.838498664,75413.938483427,75413.838573635,75413.938483427,0.000074971,1,0.00075,0.00075,980,38,0.038776,20,11,0.550000,3762
2228120298942,2228319584042,2228120484828,2228319584042,185886,75413.938483427,75414.038527349,75413.938574127,75414.038527349,0.000090700,1,0.000907,0.000907,980,65,0.066327,26,7,0.269231,3762
2228319584042,2228518701068,2228319745209,2228518701068,161167,75414.038527349,75414.138487487,75414.038605828,75414.138487487,0.000078479,1,0.000785,0.000785,980,37,0.037755,19,12,0.631579,3762
2228518701068,2228717891916,2228518902898,2228717891916,201830,75414.138487487,75414.238484397,75414.138586142,75414.238484397,0.000098655,1,0.000987,0.000987,980,65,0.066327,13,6,0.461538,3762
2228717891916,2228917116854,2228718098381,2228917116854,206465,75414.238484397,75414.338499394,75414.238585690,75414.338499394,0.000101293,1,0.00101,0.00101,980,81,0.082653,20,12,0.600000,3762
2228917116854,2229116362850,2228917349036,2229116362850,232182,75414.338499394,75414.438523086,75414.338613106,75414.438523086,0.000113712,1,0.00114,0.00114,980,73,0.074490,23,9,0.391304,3762
2229116362850,2229315913833,2229116526686,2229315913833,163836,75414.438523086,75414.538701243,75414.438602867,75414.538701243,0.000079781,1,0.000796,0.000796,980,36,0.036735,23,12,0.521739,3762
2229315913833,2229515309209,2229316087544,2229515309209,173711,75414.538701243,75414.638801040,75414.538785333,75414.638801040,0.000084090,1,0.00084,0.00084,980,34,0.034694,18,16,0.888889,3762
2229515309209,2229714315068,2229515654129,2229714315068,344920,75414.638801040,75414.738704843,75414.638971224,75414.738704843,0.000170184,1,0.0017,0.0017,980,44,0.044898,24,14,0.583333,3762
2229714315068,2229913128646,2229714489793,2229913128646,174725,75414.738704843,75414.838511922,75414.738789640,75414.838511922,0.000084797,1,0.00085,0.00085,980,37,0.037755,20,19,0.950000,3762
2229913128646,2230112897704,2229913289359,2230112897704,160713,75414.838511922,75414.938800369,75414.838590088,75414.938800369,0.000078166,1,0.000779,0.000779,980,37,0.037755,20,12,0.600000,3762
2230112897704,2230312044682,2230113076160,2230312044682,178456,75414.938800369,75415.038774861,75414.938886216,75415.038774861,0.000085847,1,0.000859,0.000859,980,38,0.038776,18,17,0.944444,3762
2230312044682,2230511312462,2230312225051,2230511312462,180369,75415.038774861,75415.138810938,75415.038862262,75415.138810938,0.000087401,1,0.000874,0.000874,980,35,0.035714,18,16,0.888889,3762
2230511312462,2230710485588,2230511490513,2230710485588,178051,75415.138810938,75415.238798296,75415.138896516,75415.238798296,0.000085578,1,0.000856,0.000856,980,35,0.035714,19,17,0.894737,3762
2230710485588,2230909684663,2230710660150,2230909684663,174562,75415.238798296,75415.338799794,75415.238882884,75415.338799794,0.000084588,1,0.000846,0.000846,980,36,0.036735,20,19,0.950000,3762
2230909684663,2231108837246,2230909859105,2231108837246,174442,75415.338799794,75415.438776631,75415.338883834,75415.438776631,0.000084040,1,0.000841,0.000841,980,39,0.039796,20,18,0.900000,3762
2231108837246,2231307541214,2231109014344,2231307541214,177098,75415.438776631,75415.538529378,75415.438863011,75415.538529378,0.000086380,1,0.000866,0.000866,980,36,0.036735,16,14,0.875000,3762
2231307541214,2231507282139,2231307705928,2231507282139,164714,75415.538529378,75415.638802677,75415.538609347,75415.638802677,0.000079969,1,0.000798,0.000798,980,38,0.038776,22,14,0.636364,3762
2231507282139,2231705887363,2231507460208,2231705887363,178069,75415.638802677,75415.738505248,75415.638889151,75415.738505248,0.000086474,1,0.000867,0.000867,980,36,0.036735,19,17,0.894737,3762
2231705887363,2231905674620,2231706048577,2231905674620,161214,75415.738505248,75415.838802453,75415.738583631,75415.838802453,0.000078383,1,0.000782,0.000782,980,37,0.037755,21,9,0.428571,3762
2231905674620,2232104318453,2231905851194,2232104318453,176574,75415.838802453,75415.938522955,75415.838887698,75415.938522955,0.000085245,1,0.000855,0.000855,980,35,0.035714,18,17,0.944444,3762
2232104318453,2232303778061,2232104426343,2232303778061,107890,75415.938522955,75416.038656622,75415.938575326,75416.038656622,0.000052371,1,0.000523,0.000523,980,40,0.040816,19,10,0.526316,3762
2232303778061,2232503220018,2232303954114,2232503220018,176053,75416.038656622,75416.138779426,75416.038741574,75416.138779426,0.000084952,1,0.000848,0.000848,980,36,0.036735,20,17,0.850000,3762
2232503220018,2232702484742,2232503395349,2232702484742,175331,75416.138779426,75416.238813331,75416.138864188,75416.238813331,0.000084762,1,0.000847,0.000847,980,35,0.035714,17,16,0.941176,3762
2232702484742,2232901658621,2232702668923,2232901658621,184181,75416.238813331,75416.338801732,75416.238902856,75416.338801732,0.000089525,1,0.000895,0.000895,980,64,0.065306,17,14,0.823529,3762
2232901658621,2233100742650,2232901832711,2233100742650,174090,75416.338801732,75416.438745177,75416.338886019,75416.438745177,0.000084287,1,0.000843,0.000843,980,34,0.034694,18,17,0.944444,3762
2233100742650,2233299947715,2233100918215,2233299947715,175565,75416.438745177,75416.538749394,75416.438830049,75416.538749394,0.000084872,1,0.000849,0.000849,980,38,0.038776,21,19,0.904762,3762
2233299947715,2233499142187,2233300126935,2233499142187,179220,75416.538749394,75416.638747835,75416.538836128,75416.638747835,0.000086734,1,0.000867,0.000867,980,36,0.036735,20,18,0.900000,3762
2233499142187,2233698342377,2233499318683,2233698342377,176496,75416.638747835,75416.738749490,75416.638833538,75416.738749490,0.000085703,1,0.000857,0.000857,980,36,0.036735,20,18,0.900000,3762
2233698342377,2233897269248,2233698664383,2233897269248,322006,75416.738749490,75416.838614007,75416.738908506,75416.838614007,0.000159016,1,0.00159,0.00159,980,47,0.047959,18,10,0.555556,3762
2233897269248,2234096511305,2233897443429,2234096511305,174181,75416.838614007,75416.938637039,75416.838698459,75416.938637039,0.000084452,1,0.000844,0.000844,980,35,0.035714,20,17,0.850000,3762
2234096511305,2234295939282,2234096691542,2234295939282,180237,75416.938637039,75417.038753146,75416.938724006,75417.038753146,0.000086967,1,0.000869,0.000869,980,38,0.038776,22,16,0.727273,3762
2234295939282,2234494708437,2234296117080,2234494708437,177798,75417.038753146,75417.138537357,75417.038838780,75417.138537357,0.000085634,1,0.000858,0.000858,980,38,0.038776,19,17,0.894737,3762
2234494708437,2234694346470,2234494878984,2234694346470,170547,75417.138537357,75417.238759589,75417.138620500,75417.238759589,0.000083143,1,0.00083,0.00083,980,37,0.037755,20,11,0.550000,3762
2234694346470,2234893067915,2234694522204,2234893067915,175734,75417.238759589,75417.338519515,75417.238844419,75417.338519515,0.000084830,1,0.00085,0.00085,980,36,0.036735,18,17,0.944444,3762
2234893067915,2235092729510,2234893182501,2235092729510,114586,75417.338519515,75417.438754111,75417.338574965,75417.438754111,0.000055450,1,0.000553,0.000553,980,37,0.037755,19,17,0.894737,3762
2235092729510,2235291719737,2235092904225,2235291719737,174715,75417.438754111,75417.538649802,75417.438838483,75417.538649802,0.000084372,1,0.000845,0.000845,980,38,0.038776,19,18,0.947368,3762
2235291719737,2235491139638,2235291925931,2235491139638,206194,75417.538649802,75417.638762427,75417.538750996,75417.638762427,0.000101194,1,0.00101,0.00101,980,77,0.078571,18,8,0.444444,3762
