period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2378804802060,2379004012570,2378805043634,2379004012570,241574,75489.584462643,75489.684420702,75489.584533158,75489.684420702,0.000070515,1,0.000705,0.000705,20095,70,0.003483,19,10,0.526316,72793
2379004012570,2379203203754,2379004304487,2379203203754,291917,75489.684420702,75489.784417965,75489.684565026,75489.784417965,0.000144324,1,0.00144,0.00144,20095,65,0.003235,29,15,0.517241,72793
2379203203754,2379402403373,2379203435848,2379402403373,232094,75489.784417965,75489.884419484,75489.784531818,75489.884419484,0.000113853,1,0.00114,0.00114,20095,68,0.003384,23,10,0.434783,72793
2379402403373,2379601600991,2379402639962,2379601600991,236589,75489.884419484,75489.984419649,75489.884535151,75489.984419649,0.000115667,1,0.00116,0.00116,20095,68,0.003384,20,10,0.500000,72793
2379601600991,2379800802699,2379601831504,2379800802699,230513,75489.984419649,75490.084421657,75489.984532289,75490.084421657,0.000112640,1,0.00113,0.00113,20095,66,0.003284,18,9,0.500000,72793
2379800802699,2380000049092,2379801042812,2380000049092,240113,75490.084421657,75490.184446400,75490.084539369,75490.184446400,0.000117712,1,0.00118,0.00118,20095,63,0.003135,26,18,0.692308,72793
2380000049092,2380199179611,2380000291721,2380199179611,242629,75490.184446400,75490.284413003,75490.184565288,75490.284413003,0.000118888,1,0.00119,0.00119,20095,62,0.003085,22,9,0.409091,72793
2380199179611,2380398388684,2380199416864,2380398388684,237253,75490.284413003,75490.384418793,75490.284529117,75490.384418793,0.000116114,1,0.00116,0.00116,20095,66,0.003284,20,11,0.550000,72793
2380398388684,2380597578024,2380398614396,2380597578024,225712,75490.384418793,75490.484415029,75490.384529336,75490.484415029,0.000110543,1,0.00111,0.00111,20095,67,0.003334,20,10,0.500000,72793
2380597578024,2380796800608,2380597809420,2380796800608,231396,75490.484415029,75490.584427343,75490.484528100,75490.584427343,0.000113071,1,0.00113,0.00113,20095,66,0.003284,28,18,0.642857,72793
2380796800608,2380996058554,2380797033083,2380996058554,232475,75490.584427343,75490.684458092,75490.584541490,75490.684458092,0.000114147,1,0.00114,0.00114,20095,66,0.003284,20,9,0.450000,72793
2380996058554,2381195195804,2380996306785,2381195195804,248231,75490.684458092,75490.784427928,75490.684579806,75490.784427928,0.000121714,1,0.00122,0.00122,20095,62,0.003085,16,9,0.562500,72793
2381195195804,2381394362396,2381195436286,2381394362396,240482,75490.784427928,75490.884412497,75490.784545670,75490.884412497,0.000117742,1,0.00118,0.00118,20095,65,0.003235,19,12,0.631579,72793
2381394362396,2381593583935,2381394600614,2381593583935,238218,75490.884412497,75490.984424558,75490.884529259,75490.984424558,0.000116762,1,0.00117,0.00117,20095,65,0.003235,21,13,0.619048,72793
2381593583935,2381792668203,2381593816165,2381792668203,232230,75490.984424558,75491.084367756,75490.984538330,75491.084367756,0.000113772,1,0.00114,0.00114,20095,65,0.003235,20,10,0.500000,72793
2381792668203,2381991969143,2381792908959,2381991969143,240756,75491.084367756,75491.184419789,75491.084485888,75491.184419789,0.000118132,1,0.00118,0.00118,20095,61,0.003036,20,10,0.500000,72793
2381991969143,2382191227660,2381992218086,2382191227660,248943,75491.184419789,75491.284451680,75491.184542079,75491.284451680,0.000122290,1,0.00122,0.00122,20095,65,0.003235,16,10,0.625000,72793
2382191227660,2382390844709,2382191522377,2382390844709,294717,75491.284451680,75491.384661870,75491.284595938,75491.384661870,0.000144258,1,0.00144,0.00144,20095,72,0.003583,25,20,0.800000,72793
2382390844709,2382589638715,2382391097984,2382589638715,253275,75491.384661870,75491.484458830,75491.384785801,75491.484458830,0.000123931,1,0.00124,0.00124,20095,66,0.003284,19,17,0.894737,72793
2382589638715,2382788772297,2382590042634,2382788772297,403919,75491.484458830,75491.584426972,75491.484659164,75491.584426972,0.000200334,1,0.002,0.002,20095,74,0.003683,28,10,0.357143,72793
2382788772297,2382988094471,2382789011205,2382988094471,238908,75491.584426972,75491.684489698,75491.584544147,75491.684489698,0.000117175,1,0.00117,0.00117,20095,65,0.003235,19,11,0.578947,72793
2382988094471,2383187108913,2382988354224,2383187108913,259753,75491.684489698,75491.784396480,75491.684617242,75491.784396480,0.000127544,1,0.00128,0.00128,20095,62,0.003085,28,24,0.857143,72793
2383187108913,2383386935938,2383187227715,2383386935938,118802,75491.784396480,75491.884714566,75491.784454495,75491.884714566,0.000058015,1,0.000578,0.000578,20095,69,0.003434,21,15,0.714286,72793
2383386935938,2383585632780,2383387184213,2383585632780,248275,75491.884714566,75491.984463481,75491.884836006,75491.984463481,0.000121440,1,0.00122,0.00122,20095,67,0.003334,20,18,0.900000,72793
2383585632780,2383785052191,2383585947267,2383785052191,314487,75491.984463481,75492.084574860,75491.984618377,75492.084574860,0.000154896,1,0.00155,0.00155,20095,166,0.008261,40,13,0.325000,72793
2383785052191,2383984136088,2383785302865,2383984136088,250674,75492.084574860,75492.184517529,75492.084697392,75492.184517529,0.000122532,1,0.00123,0.00123,20095,68,0.003384,22,18,0.818182,72793
2383984136088,2384183548064,2383984393475,2384183548064,257387,75492.184517529,75492.284625592,75492.184643752,75492.284625592,0.000126223,1,0.00126,0.00126,20095,63,0.003135,18,17,0.944444,72793
2384183548064,2384382710696,2384183806903,2384382710696,258839,75492.284625592,75492.384608231,75492.284752355,75492.384608231,0.000126763,1,0.00127,0.00127,20095,65,0.003235,19,15,0.789474,72793
2384382710696,2384581944955,2384382958443,2384581944955,247747,75492.384608231,75492.484627057,75492.384729534,75492.484627057,0.000121303,1,0.00121,0.00121,20095,65,0.003235,19,14,0.736842,72793
2384581944955,2384780633707,2384582192908,2384780633707,247953,75492.484627057,75492.584371516,75492.484748146,75492.584371516,0.000121089,1,0.00121,0.00121,20095,65,0.003235,20,16,0.800000,72793
2384780633707,2384980103237,2384780873002,2384980103237,239295,75492.584371516,75492.684507749,75492.584488455,75492.684507749,0.000116939,1,0.00117,0.00117,20095,66,0.003284,21,10,0.476190,72793
2384980103237,2385179208382,2384980364324,2385179208382,261087,75492.684507749,75492.784461807,75492.684636148,75492.784461807,0.000128399,1,0.00128,0.00128,20095,61,0.003036,26,24,0.923077,72793
2385179208382,2385378210295,2385179449634,2385378210295,241252,75492.784461807,75492.884363634,75492.784579871,75492.884363634,0.000118064,1,0.00118,0.00118,20095,66,0.003284,18,10,0.555556,72793
2385378210295,2385577603074,2385378441187,2385577603074,230892,75492.884363634,75492.984461941,75492.884476620,75492.984461941,0.000112986,1,0.00113,0.00113,20095,72,0.003583,23,9,0.391304,72793
2385577603074,2385776779028,2385577849185,2385776779028,246111,75492.984461941,75493.084450792,75492.984582388,75493.084450792,0.000120447,1,0.0012,0.0012,20095,69,0.003434,20,12,0.600000,72793
2385776779028,2385976116434,2385777023133,2385976116434,244105,75493.084450792,75493.184521191,75493.084570710,75493.184521191,0.000119918,1,0.0012,0.0012,20095,69,0.003434,19,13,0.684211,72793
