period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2235749042216,2235948086808,2235749246335,2235948086808,204119,75417.768289625,75417.868156639,75417.768332593,75417.868156639,0.000042968,1,0.00043,0.00043,1028,46,0.044747,21,20,0.952381,3847
2235948086808,2236147271653,2235948266015,2236147271653,179207,75417.868156639,75417.968150528,75417.868243629,75417.968150528,0.000086990,1,0.00087,0.00087,1028,50,0.048638,30,25,0.833333,3847
2236147271653,2236346499432,2236147451826,2236346499432,180173,75417.968150528,75418.068166142,75417.968237947,75418.068166142,0.000087419,1,0.000874,0.000874,1028,49,0.047665,27,24,0.888889,3847
2236346499432,2236545689176,2236346679774,2236545689176,180342,75418.068166142,75418.168162437,75418.068253597,75418.168162437,0.000087455,1,0.000875,0.000875,1028,46,0.044747,26,24,0.923077,3847
2236545689176,2236745194677,2236545869430,2236745194677,180254,75418.168162437,75418.268317694,75418.168249823,75418.268317694,0.000087386,1,0.000873,0.000873,1028,48,0.046693,26,23,0.884615,3847
2236745194677,2236943916868,2236745376303,2236943916868,181626,75418.268317694,75418.368078614,75418.268405486,75418.368078614,0.000087792,1,0.00088,0.00088,1028,46,0.044747,25,23,0.920000,3847
2236943916868,2237143204555,2236944088775,2237143204555,171907,75418.368078614,75418.468124888,75418.368162361,75418.468124888,0.000083747,1,0.000837,0.000837,1028,73,0.071012,23,15,0.652174,3847
2237143204555,2237342411043,2237143381464,2237342411043,176909,75418.468124888,75418.568129042,75418.468210332,75418.568129042,0.000085444,1,0.000854,0.000854,1028,44,0.042802,28,25,0.892857,3847
2237342411043,2237541673362,2237342583835,2237541673362,172792,75418.568129042,75418.668161988,75418.568213065,75418.668161988,0.000084023,1,0.00084,0.00084,1028,49,0.047665,28,23,0.821429,3847
2237541673362,2237740836528,2237541844325,2237740836528,170963,75418.668161988,75418.768144497,75418.668244947,75418.768144497,0.000082959,1,0.00083,0.00083,1028,49,0.047665,30,20,0.666667,3847
2237740836528,2237940056342,2237740989549,2237940056342,153021,75418.768144497,75418.868156692,75418.768218952,75418.868156692,0.000074455,1,0.000744,0.000744,1028,45,0.043774,25,23,0.920000,3847
2237940056342,2238139076022,2237940235046,2238139076022,178704,75418.868156692,75418.968067154,75418.868243360,75418.968067154,0.000086668,1,0.000867,0.000867,1028,48,0.046693,28,26,0.928571,3847
2238139076022,2238338424047,2238139234959,2238338424047,158937,75418.968067154,75419.068143471,75418.968144417,75419.068143471,0.000077263,1,0.000772,0.000772,1028,68,0.066148,25,13,0.520000,3847
2238338424047,2238537925809,2238338602171,2238537925809,178124,75419.068143471,75419.168296634,75419.068229898,75419.168296634,0.000086427,1,0.000863,0.000863,1028,47,0.045720,30,26,0.866667,3847
2238537925809,2238736780371,2238538105761,2238736780371,179952,75419.168296634,75419.268124647,75419.168383888,75419.268124647,0.000087254,1,0.000874,0.000874,1028,45,0.043774,27,21,0.777778,3847
