period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2389022941831,2389222152287,2389023164494,2389222152287,222663,75494.714135818,75494.814079517,75494.714182138,75494.814079517,0.000046320,1,0.000463,0.000463,2786,76,0.027279,14,8,0.571429,9520
2389222152287,2389421355227,2389222462211,2389421355227,309924,75494.814079517,75494.914082117,75494.814232686,75494.914082117,0.000153169,1,0.00153,0.00153,2786,82,0.029433,22,8,0.363636,9520
2389421355227,2389621177905,2389421572162,2389621177905,216935,75494.914082117,75495.014397125,75494.914188980,75495.014397125,0.000106863,1,0.00107,0.00107,2786,108,0.038765,31,16,0.516129,9520
2389621177905,2389820015142,2389621359993,2389820015142,182088,75495.014397125,75495.114216477,75495.014485019,75495.114216477,0.000087894,1,0.000881,0.000881,2786,48,0.017229,26,20,0.769231,9520
2389820015142,2390019572405,2389820196655,2390019572405,181513,75495.114216477,75495.214397067,75495.114304070,75495.214397067,0.000087593,1,0.000874,0.000874,2786,48,0.017229,24,18,0.750000,9520
2390019572405,2390218763681,2390019756365,2390218763681,183960,75495.214397067,75495.314393921,75495.214485929,75495.314393921,0.000088862,1,0.000889,0.000889,2786,49,0.017588,26,19,0.730769,9520
2390218763681,2390417582794,2390218945020,2390417582794,181339,75495.314393921,75495.414203706,75495.314481596,75495.414203706,0.000087675,1,0.000878,0.000878,2786,57,0.020459,27,20,0.740741,9520
2390417582794,2390617154199,2390417763787,2390617154199,180993,75495.414203706,75495.514391830,75495.414291585,75495.514391830,0.000087879,1,0.000877,0.000877,2786,55,0.019742,24,19,0.791667,9520
2390617154199,2390816105726,2390617334728,2390816105726,180529,75495.514391830,75495.614268180,75495.514479263,75495.614268180,0.000087433,1,0.000875,0.000875,2786,49,0.017588,25,19,0.760000,9520
2390816105726,2391015488848,2390816286832,2391015488848,181106,75495.614268180,75495.714361627,75495.614356098,75495.714361627,0.000087918,1,0.000878,0.000878,2786,50,0.017947,24,17,0.708333,9520
2391015488848,2391214680206,2391015672737,2391214680206,183889,75495.714361627,75495.814358883,75495.714450875,75495.814358883,0.000089248,1,0.000893,0.000893,2786,51,0.018306,27,19,0.703704,9520
2391214680206,2391413537978,2391214860277,2391413537978,180071,75495.814358883,75495.914188657,75495.814445987,75495.914188657,0.000087104,1,0.000873,0.000873,2786,55,0.019742,17,17,1.000000,9520
2391413537978,2391613127643,2391413758514,2391613127643,220536,75495.914188657,75496.014385467,75495.914296048,75496.014385467,0.000107391,1,0.00107,0.00107,2786,84,0.030151,22,11,0.500000,9520
2391613127643,2391812257741,2391613309379,2391812257741,181736,75496.014385467,75496.114351266,75496.014473240,75496.114351266,0.000087773,1,0.000878,0.000878,2786,52,0.018665,21,19,0.904762,9520
2391812257741,2392011520714,2391812436499,2392011520714,178758,75496.114351266,75496.214384416,75496.114438057,75496.214384416,0.000086791,1,0.000868,0.000868,2786,47,0.016870,21,18,0.857143,9520
2392011520714,2392210692097,2392011699312,2392210692097,178598,75496.214384416,75496.314371690,75496.214471049,75496.314371690,0.000086633,1,0.000866,0.000866,2786,56,0.020101,27,20,0.740741,9520
2392210692097,2392409257194,2392210875569,2392409257194,183472,75496.314371690,75496.414053907,75496.314460479,75496.414053907,0.000088789,1,0.000891,0.000891,2786,55,0.019742,22,19,0.863636,9520
2392409257194,2392609061942,2392409461558,2392609061942,204364,75496.414053907,75496.514358856,75496.414153715,75496.514358856,0.000099808,1,0.000995,0.000995,2786,107,0.038406,20,14,0.700000,9520
2392609061942,2392807703740,2392609244161,2392807703740,182219,75496.514358856,75496.614079656,75496.514447439,75496.614079656,0.000088583,1,0.000888,0.000888,2786,51,0.018306,26,21,0.807692,9520
2392807703740,2393007274532,2392808078917,2393007274532,375177,75496.614079656,75496.714268023,75496.614266097,75496.714268023,0.000186441,1,0.00186,0.00186,2786,75,0.026920,31,19,0.612903,9520
2393007274532,2393206712240,2393007454034,2393206712240,179502,75496.714268023,75496.814388485,75496.714354633,75496.814388485,0.000086610,1,0.000865,0.000865,2786,47,0.016870,25,22,0.880000,9520
2393206712240,2393405606883,2393206893184,2393405606883,180944,75496.814388485,75496.914236442,75496.814476149,75496.914236442,0.000087664,1,0.000878,0.000878,2786,54,0.019383,26,21,0.807692,9520
2393405606883,2393605025031,2393405787596,2393605025031,180713,75496.914236442,75497.014347305,75496.914323983,75497.014347305,0.000087541,1,0.000874,0.000874,2786,49,0.017588,25,19,0.760000,9520
2393605025031,2393804225055,2393605212089,2393804225055,187058,75497.014347305,75497.114348699,75497.014438173,75497.114348699,0.000090868,1,0.000909,0.000909,2786,49,0.017588,20,17,0.850000,9520
2393804225055,2394003441582,2393804405582,2394003441582,180527,75497.114348699,75497.214358672,75497.114436281,75497.214358672,0.000087582,1,0.000876,0.000876,2786,49,0.017588,27,21,0.777778,9520
2394003441582,2394202698059,2394003621219,2394202698059,179637,75497.214358672,75497.314388293,75497.214445496,75497.314388293,0.000086824,1,0.000868,0.000868,2785,49,0.017594,24,19,0.791667,9520
2394202698059,2394401839971,2394202877351,2394401839971,179292,75497.314388293,75497.414360600,75497.314475000,75497.414360600,0.000086707,1,0.000867,0.000867,2786,48,0.017229,27,23,0.851852,9520
2394401839971,2394600538791,2394402019856,2394600538791,179885,75497.414360600,75497.514109868,75497.414447518,75497.514109868,0.000086918,1,0.000871,0.000871,2786,48,0.017229,21,17,0.809524,9520
2394600538791,2394800243372,2394600698219,2394800243372,159428,75497.514109868,75497.614364243,75497.514186973,75497.614364243,0.000077105,1,0.000769,0.000769,2786,48,0.017229,25,10,0.400000,9520
2394800243372,2394999103778,2394800439124,2394999103778,195752,75497.614364243,75497.714196063,75497.614460253,75497.714196063,0.000096010,1,0.000962,0.000962,2786,65,0.023331,15,14,0.933333,9520
2394999103778,2395198615802,2394999285741,2395198615802,181963,75497.714196063,75497.814353862,75497.714283787,75497.814353862,0.000087724,1,0.000876,0.000876,2786,51,0.018306,27,18,0.666667,9520
2395198615802,2395397293675,2395198796527,2395397293675,180725,75497.814353862,75497.914092222,75497.814441272,75497.914092222,0.000087410,1,0.000876,0.000876,2786,49,0.017588,24,20,0.833333,9520
