period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2245966166639,2246165373493,2245971627397,2246165373493,5460758,75422.897445502,75422.997395248,75422.900128886,75422.997395248,0.002683384,1,0.0268,0.0268,928714,361,0.000389,189,102,0.539683,5949550
2246165373493,2246364112305,2246171026611,2246364112305,5653118,75422.997395248,75423.097164883,75423.000230751,75423.097164883,0.002835503,1,0.0284,0.0284,928212,330,0.000356,199,37,0.185930,5947610
2246364112305,2246563760922,2246369891157,2246563760922,5778852,75423.097164883,75423.197391939,75423.100063464,75423.197391939,0.002898581,1,0.0289,0.0289,928737,284,0.000306,181,58,0.320442,5949504
2246563760922,2246762968523,2246569345249,2246762968523,5584327,75423.197391939,75423.297397343,75423.200192953,75423.297397343,0.002801014,1,0.028,0.028,928951,446,0.000480,282,132,0.468085,5950719
2246762968523,2246962190263,2246768374945,2246962190263,5406422,75423.297397343,75423.397409671,75423.300108548,75423.397409671,0.002711205,1,0.0271,0.0271,928617,274,0.000295,170,91,0.535294,5949119
2246962190263,2247161343459,2246967768748,2247161343459,5578485,75423.397409671,75423.497387814,75423.400207780,75423.497387814,0.002798109,1,0.028,0.028,928167,337,0.000363,204,60,0.294118,5947577
2247161343459,2247360349353,2247166787045,2247360349353,5443586,75423.497387814,75423.597292157,75423.500117730,75423.597292157,0.002729916,1,0.0273,0.0273,928745,348,0.000375,170,112,0.658824,5949673
2247360349353,2247559685616,2247365786148,2247559685616,5436795,75423.597292157,75423.697361743,75423.600018419,75423.697361743,0.002726262,1,0.0272,0.0272,928533,318,0.000342,153,93,0.607843,5948793
2247559685616,2247758869778,2247565096206,2247758869778,5410590,75423.697361743,75423.797355278,75423.700075019,75423.797355278,0.002713276,1,0.0271,0.0271,928585,230,0.000248,145,107,0.737931,5949080
2247758869778,2247957577156,2247764429652,2247957577156,5559874,75423.797355278,75423.897109494,75423.800143878,75423.897109494,0.002788600,1,0.028,0.028,928266,353,0.000380,206,54,0.262136,5947812
2247957577156,2248156729978,2247963328443,2248156729978,5751287,75423.897109494,75423.997087017,75423.899993880,75423.997087017,0.002884386,1,0.0289,0.0289,928164,171,0.000184,97,23,0.237113,5947508
2248156729978,2248356390857,2248162238704,2248356390857,5508726,75423.997087017,75424.097319070,75423.999850410,75424.097319070,0.002763393,1,0.0276,0.0276,928212,336,0.000362,165,40,0.242424,5947601
2248356390857,2248555276299,2248360637212,2248555276299,4246355,75424.097319070,75424.197164079,75424.099448957,75424.197164079,0.002129887,1,0.0213,0.0213,928820,282,0.000304,182,138,0.758242,5949716
2248555276299,2248754839649,2248560739960,2248754839649,5463661,75424.197164079,75424.297347759,75424.199903928,75424.297347759,0.002739849,1,0.0273,0.0273,928661,383,0.000412,194,81,0.417526,5949264
2248754839649,2248953845009,2248760233885,2248953845009,5394236,75424.297347759,75424.397252209,75424.300052921,75424.397252209,0.002705162,1,0.0271,0.0271,928272,172,0.000185,98,63,0.642857,5947917
2248953845009,2249153230197,2248959257203,2249153230197,5412194,75424.397252209,75424.497346149,75424.399965697,75424.497346149,0.002713488,1,0.0271,0.0271,928611,235,0.000253,148,112,0.756757,5949088
2249153230197,2249352052247,2249158627039,2249352052247,5396842,75424.497346149,75424.597157395,75424.500052514,75424.597157395,0.002706365,1,0.0271,0.0271,928219,173,0.000186,100,67,0.670000,5947606
2249352052247,2249551626172,2249357714382,2249551626172,5662135,75424.597157395,75424.697347268,75424.599997504,75424.697347268,0.002840109,1,0.0283,0.0283,928846,343,0.000369,161,37,0.229814,5949890
2249551626172,2249750932145,2249557225012,2249750932145,5598840,75424.697347268,75424.797401849,75424.700155448,75424.797401849,0.002808180,1,0.0281,0.0281,928493,388,0.000418,223,90,0.403587,5948662
2249750932145,2249949839023,2249756685308,2249949839023,5753163,75424.797401849,75424.897256233,75424.800287540,75424.897256233,0.002885691,1,0.0289,0.0289,928205,348,0.000375,206,55,0.266990,5947711
2249949839023,2250148703487,2249955270817,2250148703487,5431794,75424.897256233,75424.997088591,75424.899980311,75424.997088591,0.002724078,1,0.0273,0.0273,928632,321,0.000346,146,91,0.623288,5949235
2250148703487,2250347931822,2250154399269,2250347931822,5695782,75424.997088591,75425.097103612,75424.999945808,75425.097103612,0.002857217,1,0.0286,0.0286,929220,417,0.000449,213,58,0.272300,5951177
2250347931822,2250547590899,2250351735649,2250547590899,3803827,75425.097103612,75425.197337098,75425.099011442,75425.197337098,0.001907830,1,0.019,0.019,927257,37,0.000040,19,6,0.315789,5944463
