period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2481046592717,2481245789140,2481132107303,2481245789140,85514586,75540.911365723,75541.011300429,75540.954228421,75541.011300429,0.042862698,1,0.429,0.429,42642110,6704,0.000157,1441,547,0.379598,161932097
2481245789140,2481445019999,2481335807761,2481445019999,90018621,75541.011300429,75541.111317548,75541.056489121,75541.111317548,0.045188692,1,0.452,0.452,42637222,5413,0.000127,1376,685,0.497820,161915549
2481445019999,2481644822571,2481532584953,2481644822571,87564954,75541.111317548,75541.211621760,75541.155274092,75541.211621760,0.043956544,1,0.438,0.438,42641126,5369,0.000126,1353,571,0.422025,161927720
2481644822571,2481843806652,2481733781111,2481843806652,88958540,75541.211621760,75541.311515313,75541.256277527,75541.311515313,0.044655767,1,0.447,0.447,42638036,5138,0.000121,1238,663,0.535541,161918657
2481843806652,2482043230035,2481930256774,2482043230035,86450122,75541.311515313,75541.411627950,75541.354911204,75541.411627950,0.043395891,1,0.433,0.433,42636777,5767,0.000135,1468,626,0.426431,161913372
2482043230035,2482242265228,2482134221921,2482242265228,90991886,75541.411627950,75541.511547227,75541.457304651,75541.511547227,0.045676701,1,0.457,0.457,42647530,9268,0.000217,2050,645,0.314634,161953390
2482242265228,2482440970054,2482332426603,2482440970054,90161375,75541.511547227,75541.611299067,75541.556806361,75541.611299067,0.045259134,1,0.454,0.454,42634992,5341,0.000125,1295,496,0.383012,161907338
2482440970054,2482640509983,2482525699616,2482640509983,84729562,75541.611299067,75541.711471489,75541.653835352,75541.711471489,0.042536285,1,0.425,0.425,42634616,5954,0.000140,1407,545,0.387349,161907179
2482640509983,2482839705353,2482729609499,2482839705353,89099516,75541.711471489,75541.811470364,75541.756197889,75541.811470364,0.044726400,1,0.447,0.447,42635465,6348,0.000149,1436,566,0.394150,161908026
2482839705353,2483038597537,2482925837498,2483038597537,86132145,75541.811470364,75541.911316764,75541.854707292,75541.911316764,0.043236928,1,0.433,0.433,42635368,6063,0.000142,1349,533,0.395107,161907333
2483038597537,2483237922614,2483126021829,2483237922614,87424292,75541.911316764,75542.011380842,75541.955202667,75542.011380842,0.043885903,1,0.439,0.439,42636982,6924,0.000162,1485,630,0.424242,161914324
2483237922614,2483436985903,2483326497566,2483436985903,88574952,75542.011380842,75542.111313628,75542.055844402,75542.111313628,0.044463560,1,0.445,0.445,42638913,6220,0.000146,1498,630,0.420561,161922185
2483436985903,2483636547823,2483527633642,2483636547823,90647739,75542.111313628,75542.211496657,75542.156817624,75542.211496657,0.045503996,1,0.454,0.454,42635077,4886,0.000115,1124,473,0.420819,161906513
2483636547823,2483835763947,2483722743402,2483835763947,86195579,75542.211496657,75542.311506309,75542.254765647,75542.311506309,0.043268990,1,0.433,0.433,42634209,4984,0.000117,1227,578,0.471068,161903754
2483835763947,2484035260107,2483905623252,2484035260107,69859305,75542.311506309,75542.411656303,75542.346573941,75542.411656303,0.035067632,1,0.35,0.35,42632741,5032,0.000118,1288,503,0.390528,161898680
2484035260107,2484234422950,2484124386783,2484234422950,89126676,75542.411656303,75542.511639209,75542.456396516,75542.511639209,0.044740213,1,0.447,0.447,42635985,6199,0.000145,1511,548,0.362674,161909604
2484234422950,2484433334171,2484323645346,2484433334171,89222396,75542.511639209,75542.611495376,75542.556427134,75542.611495376,0.044787925,1,0.449,0.449,42635793,6696,0.000157,1538,516,0.335501,161908864
