period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2593399033042,2593598261082,2593399249733,2593598261082,216691,75597.313901076,75597.413864678,75597.313955208,75597.413864678,0.000054132,1,0.000542,0.000542,8420,83,0.009857,37,24,0.648649,35429
2593598261082,2593797411019,2593598451755,2593797411019,190673,75597.413864678,75597.513840537,75597.413957693,75597.513840537,0.000093015,1,0.00093,0.00093,6628,80,0.012070,41,25,0.609756,23559
2593797411019,2593996459165,2593797594275,2593996459165,183256,75597.513840537,75597.613764862,75597.513929883,75597.613764862,0.000089346,1,0.000894,0.000894,6628,76,0.011467,41,26,0.634146,23559
2593996459165,2594195824904,2593996574148,2594195824904,114983,75597.613764862,75597.713850120,75597.613820468,75597.713850120,0.000055606,1,0.000556,0.000556,6628,100,0.015088,35,25,0.714286,23559
2594195824904,2594395008919,2594196009613,2594395008919,184709,75597.713850120,75597.813843571,75597.713940195,75597.813843571,0.000090075,1,0.000901,0.000901,6628,79,0.011919,42,26,0.619048,23559
2594395008919,2594594197599,2594395195054,2594594197599,186135,75597.813843571,75597.913838837,75597.813934011,75597.913838837,0.000090440,1,0.000904,0.000904,6628,79,0.011919,46,29,0.630435,23559
2594594197599,2594793425048,2594594375517,2594793425048,177918,75597.913838837,75598.013854099,75597.913925556,75598.013854099,0.000086719,1,0.000867,0.000867,6628,82,0.012372,41,24,0.585366,23559
2594793425048,2594992605401,2594793610128,2594992605401,185080,75598.013854099,75598.113845346,75598.013944245,75598.113845346,0.000090146,1,0.000902,0.000902,6628,83,0.012523,42,26,0.619048,23559
2594992605401,2595191811130,2594992791173,2595191811130,185772,75598.113845346,75598.213849454,75598.113935949,75598.213849454,0.000090603,1,0.000906,0.000906,6628,87,0.013126,51,28,0.549020,23559
2595191811130,2595391015231,2595191990159,2595391015231,179029,75598.213849454,75598.313852789,75598.213936652,75598.313852789,0.000087198,1,0.000872,0.000872,6628,79,0.011919,43,26,0.604651,23559
