period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2491245610390,2491445050656,2491245801863,2491445050656,191473,75546.031410952,75546.131477884,75546.031450029,75546.131477884,0.000039077,1,0.000391,0.000391,1178,34,0.028862,18,13,0.722222,3502
2491445050656,2491644244950,2491445296567,2491644244950,245911,75546.131477884,75546.231477147,75546.131599558,75546.231477147,0.000121674,1,0.00122,0.00122,1178,37,0.031409,23,11,0.478261,3502
2491644244950,2491843536381,2491644434346,2491843536381,189396,75546.231477147,75546.331524415,75546.231569437,75546.331524415,0.000092290,1,0.000922,0.000922,1178,42,0.035654,26,19,0.730769,3502
2491843536381,2492042570997,2491843718674,2492042570997,182293,75546.331524415,75546.431442386,75546.331612990,75546.431442386,0.000088575,1,0.000886,0.000886,1178,42,0.035654,20,11,0.550000,3502
2492042570997,2492241852462,2492042752799,2492241852462,181802,75546.431442386,75546.531484474,75546.431531116,75546.531484474,0.000088730,1,0.000887,0.000887,1178,38,0.032258,19,13,0.684211,3502
2492241852462,2492440814503,2492242034831,2492440814503,182369,75546.531484474,75546.631366667,75546.531573759,75546.631366667,0.000089285,1,0.000894,0.000894,1178,43,0.036503,23,15,0.652174,3502
2492440814503,2492640143214,2492440998526,2492640143214,184023,75546.631366667,75546.731432683,75546.631456168,75546.731432683,0.000089501,1,0.000894,0.000894,1178,52,0.044143,24,14,0.583333,3502
2492640143214,2492839438435,2492640326666,2492839438435,183452,75546.731432683,75546.831481808,75546.731522051,75546.831481808,0.000089368,1,0.000893,0.000893,1178,42,0.035654,26,18,0.692308,3502
2492839438435,2493038667983,2492839645935,2493038667983,207500,75546.831481808,75546.931497789,75546.831583185,75546.931497789,0.000101377,1,0.00101,0.00101,1178,79,0.067063,22,11,0.500000,3502
2493038667983,2493237609835,2493038877323,2493237609835,209340,75546.931497789,75547.031369408,75546.931600215,75547.031369408,0.000102426,1,0.00103,0.00103,1178,73,0.061969,18,12,0.666667,3502
2493237609835,2493436995140,2493237786888,2493436995140,177053,75547.031369408,75547.131463555,75547.031455769,75547.131463555,0.000086361,1,0.000863,0.000863,1178,51,0.043294,31,20,0.645161,3502
2493436995140,2493636035008,2493437178713,2493636035008,183573,75547.131463555,75547.231384287,75547.131553265,75547.231384287,0.000089710,1,0.000898,0.000898,1178,56,0.047538,22,14,0.636364,3502
2493636035008,2493835432202,2493636208962,2493835432202,173954,75547.231384287,75547.331484537,75547.231469221,75547.331484537,0.000084934,1,0.000848,0.000848,1178,51,0.043294,23,13,0.565217,3502
2493835432202,2494034661882,2493835609905,2494034661882,177703,75547.331484537,75547.431500990,75547.331571498,75547.431500990,0.000086961,1,0.000869,0.000869,1178,54,0.045840,21,10,0.476190,3502
2494034661882,2494233797081,2494034843642,2494233797081,181760,75547.431500990,75547.531470073,75547.431589856,75547.531470073,0.000088866,1,0.000889,0.000889,1178,55,0.046689,27,20,0.740741,3502
2494233797081,2494432868700,2494233986066,2494432868700,188985,75547.531470073,75547.631406848,75547.531561984,75547.631406848,0.000091911,1,0.00092,0.00092,1178,56,0.047538,26,21,0.807692,3502
2494432868700,2494631981651,2494433054839,2494631981651,186139,75547.631406848,75547.731364507,75547.631497518,75547.731364507,0.000090670,1,0.000907,0.000907,1178,58,0.049236,22,19,0.863636,3502
2494631981651,2494831278168,2494632159140,2494831278168,177489,75547.731364507,75547.831413947,75547.731450701,75547.831413947,0.000086194,1,0.000862,0.000862,1178,57,0.048387,27,13,0.481481,3502
2494831278168,2495030445691,2494831459971,2495030445691,181803,75547.831413947,75547.931398924,75547.831502754,75547.931398924,0.000088807,1,0.000888,0.000888,1178,54,0.045840,25,13,0.520000,3502
2495030445691,2495229647898,2495030799967,2495229647898,354276,75547.931398924,75548.031402331,75547.931574689,75548.031402331,0.000175765,1,0.00176,0.00176,1178,45,0.038200,27,17,0.629630,3502
2495229647898,2495428908834,2495229855748,2495428908834,207850,75548.031402331,75548.131433202,75548.031503302,75548.131433202,0.000100971,1,0.00101,0.00101,1178,74,0.062818,35,20,0.571429,3502
2495428908834,2495627998776,2495429084583,2495627998776,175749,75548.131433202,75548.231380118,75548.131518920,75548.231380118,0.000085718,1,0.000858,0.000858,1178,38,0.032258,22,11,0.500000,3502
2495627998776,2495827159887,2495628219784,2495827159887,221008,75548.231380118,75548.331361165,75548.231487899,75548.331361165,0.000107781,1,0.00108,0.00108,1178,81,0.068761,22,8,0.363636,3502
2495827159887,2496026495266,2495827338651,2496026495266,178764,75548.331361165,75548.431430363,75548.331448332,75548.431430363,0.000087167,1,0.000871,0.000871,1178,45,0.038200,21,12,0.571429,3502
2496026495266,2496225686292,2496026670269,2496225686292,175003,75548.431430363,75548.531427050,75548.431515532,75548.531427050,0.000085169,1,0.000852,0.000852,1178,41,0.034805,23,12,0.521739,3502
2496225686292,2496424691675,2496225862238,2496424691675,175946,75548.531427050,75548.631329476,75548.531512734,75548.631329476,0.000085684,1,0.000858,0.000858,1178,41,0.034805,26,15,0.576923,3502
2496424691675,2496623908561,2496424853821,2496623908561,162146,75548.631329476,75548.731339406,75548.631409316,75548.731339406,0.000079840,1,0.000798,0.000798,1178,57,0.048387,24,13,0.541667,3502
