period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2256183503308,2256382697873,2256189701076,2256382697873,6197768,75428.026718895,75428.126652027,75428.029761886,75428.126652027,0.003042991,1,0.0305,0.0305,1206087,1248,0.001035,527,297,0.563567,5256472
2256382697873,2256581486401,2256389150372,2256581486401,6452499,75428.126652027,75428.226446807,75428.129888344,75428.226446807,0.003236317,1,0.0324,0.0324,1202248,597,0.000497,192,113,0.588542,5243361
2256581486401,2256780969757,2256587495176,2256780969757,6008775,75428.226446807,75428.326590751,75428.229460555,75428.326590751,0.003013748,1,0.0301,0.0301,1202345,621,0.000516,196,114,0.581633,5243823
2256780969757,2256980185268,2256786987029,2256980185268,6017272,75428.326590751,75428.426600049,75428.329608549,75428.426600049,0.003017798,1,0.0302,0.0302,1202208,583,0.000485,156,99,0.634615,5243228
2256980185268,2257179176651,2256986188025,2257179176651,6002757,75428.426600049,75428.526496040,75428.429610568,75428.526496040,0.003010519,1,0.0301,0.0301,1202208,580,0.000482,154,105,0.681818,5243225
2257179176651,2257378705576,2257185215559,2257378705576,6038908,75428.526496040,75428.626663362,75428.529525758,75428.626663362,0.003029718,1,0.0302,0.0302,1202269,671,0.000558,166,25,0.150602,5243435
2257378705576,2257577912906,2257384713802,2257577912906,6008226,75428.626663362,75428.726668637,75428.629676699,75428.726668637,0.003013337,1,0.0301,0.0301,1202149,586,0.000487,166,117,0.704819,5243064
2257577912906,2257776851664,2257583969214,2257776851664,6056308,75428.726668637,75428.826538864,75428.729706221,75428.826538864,0.003037584,1,0.0304,0.0304,1203474,730,0.000607,278,188,0.676259,5248526
2257776851664,2257976313594,2257782865217,2257976313594,6013553,75428.826538864,75428.926672019,75428.829554990,75428.926672019,0.003016126,1,0.0301,0.0301,1202249,596,0.000496,173,114,0.658960,5243376
2257976313594,2258175062748,2257982317017,2258175062748,6003423,75428.926672019,75429.026445257,75428.929682696,75429.026445257,0.003010677,1,0.0302,0.0302,1202206,573,0.000477,158,101,0.639241,5243221
2258175062748,2258374704758,2258178271911,2258374704758,3209163,75429.026445257,75429.126670570,75429.028054942,75429.126670570,0.001609685,1,0.0161,0.0161,1202257,558,0.000464,167,90,0.538922,5243500
2258374704758,2258573941490,2258380808580,2258573941490,6103822,75429.126670570,75429.226690033,75429.129732003,75429.226690033,0.003061433,1,0.0306,0.0306,1202319,691,0.000575,170,89,0.523529,5243569
2258573941490,2258773121275,2258580126972,2258773121275,6185482,75429.226690033,75429.326681847,75429.229792953,75429.326681847,0.003102920,1,0.031,0.031,1202216,761,0.000633,217,70,0.322581,5243279
2258773121275,2258972318904,2258779172127,2258972318904,6050852,75429.326681847,75429.426682364,75429.329716308,75429.426682364,0.003034461,1,0.0303,0.0303,1202203,569,0.000473,156,102,0.653846,5243244
2258972318904,2259171503561,2258978319331,2259171503561,6000427,75429.426682364,75429.526675948,75429.429691641,75429.526675948,0.003009277,1,0.0301,0.0301,1201922,565,0.000470,154,96,0.623377,5242199
2259171503561,2259370234502,2259177718033,2259370234502,6214472,75429.526675948,75429.626441358,75429.529793038,75429.626441358,0.003117090,1,0.0312,0.0312,1201940,694,0.000577,192,81,0.421875,5242279
2259370234502,2259569437765,2259376334348,2259569437765,6099846,75429.626441358,75429.726444437,75429.629501520,75429.726444437,0.003060162,1,0.0306,0.0306,1202308,729,0.000606,192,72,0.375000,5243659
2259569437765,2259768871103,2259575470035,2259768871103,6032270,75429.726444437,75429.826563369,75429.729470774,75429.826563369,0.003026337,1,0.0302,0.0302,1202297,699,0.000581,177,45,0.254237,5243599
2259768871103,2259968313333,2259774449628,2259968313333,5578525,75429.826563369,75429.926686781,75429.829361394,75429.926686781,0.002798025,1,0.0279,0.0279,1201966,614,0.000511,145,80,0.551724,5242451
2259968313333,2260167512977,2259974496497,2260167512977,6183164,75429.926686781,75430.026688294,75429.929788171,75430.026688294,0.003101390,1,0.031,0.031,1202082,549,0.000457,177,68,0.384181,5242817
2260167512977,2260366331537,2260173530969,2260366331537,6017992,75430.026688294,75430.126497973,75430.029706443,75430.126497973,0.003018149,1,0.0302,0.0302,1202252,587,0.000488,169,115,0.680473,5243417
2260366331537,2260565984697,2260372370208,2260565984697,6038671,75430.126497973,75430.226727081,75430.129526834,75430.226727081,0.003028861,1,0.0302,0.0302,1201909,616,0.000513,133,72,0.541353,5242230
2260565984697,2260764683711,2260571986014,2260764683711,6001317,75430.226727081,75430.326476622,75430.229737094,75430.326476622,0.003010013,1,0.0302,0.0302,1202134,568,0.000472,150,95,0.633333,5243027
2260764683711,2260963757239,2260770661179,2260963757239,5977468,75430.326476622,75430.426414533,75430.329475231,75430.426414533,0.002998609,1,0.03,0.03,1202091,572,0.000476,151,53,0.350993,5242856
2260963757239,2261163666739,2260969786066,2261163666739,6028827,75430.426414533,75430.526772764,75430.429438838,75430.526772764,0.003024305,1,0.0301,0.0301,1202219,563,0.000468,163,57,0.349693,5243399
2261163666739,2261362794896,2261169828406,2261362794896,6161667,75430.526772764,75430.626738234,75430.529863542,75430.626738234,0.003090778,1,0.0309,0.0309,1202209,777,0.000646,254,105,0.413386,5243295
2261362794896,2261561982276,2261368864542,2261561982276,6069646,75430.626738234,75430.726733502,75430.629782580,75430.726733502,0.003044346,1,0.0304,0.0304,1202360,686,0.000571,167,101,0.604790,5243905
2261561982276,2261760929897,2261568041355,2261760929897,6059079,75430.726733502,75430.826608227,75430.729772415,75430.826608227,0.003038913,1,0.0304,0.0304,1202167,592,0.000492,178,116,0.651685,5243130
2261760929897,2261960293832,2261767146706,2261960293832,6216809,75430.826608227,75430.926692021,75430.829726387,75430.926692021,0.003118160,1,0.0312,0.0312,1202530,783,0.000651,246,136,0.552846,5244315
2261960293832,2262159173434,2261966398972,2262159173434,6105140,75430.926692021,75431.026531799,75430.929754180,75431.026531799,0.003062159,1,0.0307,0.0307,1202468,750,0.000624,227,153,0.674009,5244088
2262159173434,2262358795355,2262163320770,2262358795355,4147336,75431.026531799,75431.126746009,75431.028611686,75431.126746009,0.002079887,1,0.0208,0.0208,1202236,674,0.000561,178,100,0.561798,5243358
2262358795355,2262557964838,2262364827623,2262557964838,6032268,75431.126746009,75431.226732262,75431.129771418,75431.226732262,0.003025409,1,0.0303,0.0303,1202498,661,0.000550,219,147,0.671233,5244185
2262557964838,2262757168162,2262563973169,2262757168162,6008331,75431.226732262,75431.326735356,75431.229745455,75431.326735356,0.003013193,1,0.0301,0.0301,1202374,639,0.000531,206,133,0.645631,5243748
2262757168162,2262956316762,2262763223066,2262956316762,6054904,75431.326735356,75431.426711328,75431.329772294,75431.426711328,0.003036938,1,0.0304,0.0304,1202082,634,0.000527,132,69,0.522727,5242814
2262956316762,2263155022838,2262962336048,2263155022838,6019286,75431.426711328,75431.526464127,75431.429730061,75431.526464127,0.003018733,1,0.0303,0.0303,1202528,618,0.000514,199,132,0.663317,5244305
2263155022838,2263354400565,2263161031859,2263354400565,6009021,75431.526464127,75431.626555527,75431.529478407,75431.626555527,0.003014280,1,0.0301,0.0301,1202445,707,0.000588,196,23,0.117347,5244048
2263354400565,2263553288497,2263360519096,2263553288497,6118531,75431.626555527,75431.726398164,75431.629624352,75431.726398164,0.003068825,1,0.0307,0.0307,1203089,835,0.000694,259,127,0.490347,5247034
2263553288497,2263752949609,2263555953570,2263752949609,2665073,75431.726398164,75431.826632094,75431.727734734,75431.826632094,0.001336570,1,0.0133,0.0133,1202457,712,0.000592,242,64,0.264463,5244070
2263752949609,2263952354388,2263756978204,2263952354388,4028595,75431.826632094,75431.926737788,75431.828652468,75431.926737788,0.002020374,1,0.0202,0.0202,1202307,645,0.000536,212,140,0.660377,5243607
2263952354388,2264151127213,2263958584501,2264151127213,6230113,75431.926737788,75432.026524047,75431.929862341,75432.026524047,0.003124553,1,0.0313,0.0313,1202463,693,0.000576,266,152,0.571429,5244084
2264151127213,2264350748477,2264157242023,2264350748477,6114810,75432.026524047,75432.126737458,75432.029591586,75432.126737458,0.003067539,1,0.0306,0.0306,1202402,727,0.000605,203,129,0.635468,5244066
2264350748477,2264549294315,2264356943562,2264549294315,6195085,75432.126737458,75432.226410079,75432.129844815,75432.226410079,0.003107357,1,0.0312,0.0312,1203587,879,0.000730,305,178,0.583607,5249450
2264549294315,2264748607136,2264555772738,2264748607136,6478423,75432.226410079,75432.326469331,75432.229660166,75432.326469331,0.003250087,1,0.0325,0.0325,1201908,816,0.000679,230,25,0.108696,5242151
2264748607136,2264947776821,2264755204557,2264947776821,6597421,75432.326469331,75432.426454746,75432.329778398,75432.426454746,0.003309067,1,0.0331,0.0331,1202470,948,0.000788,300,186,0.620000,5244319
2264947776821,2265146944892,2264954271357,2265146944892,6494536,75432.426454746,75432.526439884,75432.429712903,75432.526439884,0.003258157,1,0.0326,0.0326,1202342,909,0.000756,306,53,0.173203,5243789
2265146944892,2265346166564,2265153472021,2265346166564,6527129,75432.526439884,75432.626452717,75432.529714795,75432.626452717,0.003274911,1,0.0327,0.0327,1202480,979,0.000814,330,61,0.184848,5244191
2265346166564,2265545336837,2265352666077,2265545336837,6499513,75432.626452717,75432.726439290,75432.629713027,75432.726439290,0.003260310,1,0.0326,0.0326,1202358,923,0.000768,308,113,0.366883,5243818
