period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2399296264457,2399495351676,2399296438044,2399495351676,173587,75499.871483659,75499.971378082,75499.871518113,75499.971378082,0.000034454,1,0.000345,0.000345,788,33,0.041878,20,8,0.400000,2768
2399495351676,2399694680059,2399495549117,2399694680059,197441,75499.971378082,75500.071443597,75499.971474898,75500.071443597,0.000096816,1,0.000968,0.000968,788,34,0.043147,21,7,0.333333,2768
2399694680059,2399893948657,2399694829993,2399893948657,149934,75500.071443597,75500.171479823,75500.071516856,75500.171479823,0.000073259,1,0.000732,0.000732,788,34,0.043147,19,6,0.315789,2768
2399893948657,2400092977756,2399894098199,2400092977756,149542,75500.171479823,75500.271395351,75500.171552456,75500.271395351,0.000072633,1,0.000727,0.000727,788,33,0.041878,20,7,0.350000,2768
2400092977756,2400292131254,2400093136086,2400292131254,158330,75500.271395351,75500.371373331,75500.271472375,75500.371373331,0.000077024,1,0.00077,0.00077,788,38,0.048223,19,8,0.421053,2768
2400292131254,2400491444257,2400292289251,2400491444257,157997,75500.371373331,75500.471431090,75500.371450280,75500.471431090,0.000076949,1,0.000769,0.000769,788,37,0.046954,22,8,0.363636,2768
2400491444257,2400690631921,2400491592507,2400690631921,148250,75500.471431090,75500.571426492,75500.471503486,75500.571426492,0.000072396,1,0.000724,0.000724,788,34,0.043147,20,6,0.300000,2768
2400690631921,2400889799982,2400690784092,2400889799982,152171,75500.571426492,75500.671410489,75500.571500473,75500.671410489,0.000073981,1,0.00074,0.00074,788,31,0.039340,18,8,0.444444,2768
2400889799982,2401088875217,2400889869916,2401088875217,69934,75500.671410489,75500.771349398,75500.671444357,75500.771349398,0.000033868,1,0.000339,0.000339,788,29,0.036802,18,7,0.388889,2768
2401088875217,2401288187672,2401088962559,2401288187672,87342,75500.771349398,75500.871408544,75500.771391879,75500.871408544,0.000042481,1,0.000425,0.000425,788,31,0.039340,21,6,0.285714,2768
2401288187672,2401487327871,2401288346102,2401487327871,158430,75500.871408544,75500.971379798,75500.871485527,75500.971379798,0.000076983,1,0.00077,0.00077,788,46,0.058376,20,7,0.350000,2768
2401487327871,2401686517579,2401487487213,2401686517579,159342,75500.971379798,75501.071375883,75500.971457434,75501.071375883,0.000077636,1,0.000776,0.000776,788,26,0.032995,19,7,0.368421,2768
2401686517579,2401885781679,2401686675984,2401885781679,158405,75501.071375883,75501.171409697,75501.071452989,75501.171409697,0.000077106,1,0.000771,0.000771,788,38,0.048223,18,7,0.388889,2768
2401885781679,2402084990433,2401885989388,2402084990433,207709,75501.171409697,75501.271415561,75501.171511446,75501.271415561,0.000101749,1,0.00102,0.00102,788,61,0.077411,21,4,0.190476,2768
2402084990433,2402284156111,2402085192088,2402284156111,201655,75501.271415561,75501.371399677,75501.271514317,75501.371399677,0.000098756,1,0.000988,0.000988,788,77,0.097716,36,13,0.361111,2768
2402284156111,2402483523028,2402284357249,2402483523028,201138,75501.371399677,75501.471485276,75501.371498250,75501.471485276,0.000098573,1,0.000985,0.000985,788,66,0.083756,26,13,0.500000,2768
2402483523028,2402682870936,2402483697834,2402682870936,174806,75501.471485276,75501.571560608,75501.471569877,75501.571560608,0.000084601,1,0.000845,0.000845,788,32,0.040609,22,17,0.772727,2768
