period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2266401953510,2266601234771,2266403450986,2266601234771,1497476,75433.156513855,75433.256516232,75433.157223163,75433.256516232,0.000709308,1,0.00709,0.00709,328853,1152,0.003503,127,57,0.448819,1460670
2266601234771,2266800409549,2266602550368,2266800409549,1315597,75433.256516232,75433.356504705,75433.257174296,75433.356504705,0.000658064,1,0.00658,0.00658,184311,1154,0.006261,126,66,0.523810,857160
2266800409549,2266999611294,2266801704754,2266999611294,1295205,75433.356504705,75433.456507564,75433.357152953,75433.456507564,0.000648248,1,0.00648,0.00648,184311,1125,0.006104,130,59,0.453846,857160
2266999611294,2267198810086,2267000905894,2267198810086,1294600,75433.456507564,75433.556508476,75433.457155070,75433.556508476,0.000647506,1,0.00648,0.00648,184309,1197,0.006495,136,83,0.610294,857160
2267198810086,2267397980514,2267200103509,2267397980514,1293423,75433.556508476,75433.656494722,75433.557155503,75433.656494722,0.000647027,1,0.00647,0.00647,184311,1162,0.006305,143,87,0.608392,857160
2267397980514,2267597213954,2267399285284,2267597213954,1304770,75433.656494722,75433.756512874,75433.657147676,75433.756512874,0.000652954,1,0.00653,0.00653,184311,1115,0.006050,122,53,0.434426,857160
2267597213954,2267796420603,2267598485725,2267796420603,1271771,75433.756512874,75433.856517799,75433.757149478,75433.856517799,0.000636604,1,0.00637,0.00637,184311,1096,0.005946,117,43,0.367521,857160
2267796420603,2267995548550,2267797694750,2267995548550,1274147,75433.856517799,75433.956482795,75433.857155392,75433.956482795,0.000637593,1,0.00638,0.00638,184311,1091,0.005919,113,46,0.407080,857160
2267995548550,2268194712707,2267996800160,2268194712707,1251610,75433.956482795,75434.056465561,75433.957109477,75434.056465561,0.000626682,1,0.00627,0.00627,184311,870,0.004720,107,44,0.411215,857160
2268194712707,2268393992702,2268195570392,2268393992702,857685,75434.056465561,75434.156508616,75434.056894885,75434.156508616,0.000429324,1,0.00429,0.00429,184310,956,0.005187,125,45,0.360000,857160
2268393992702,2268593248527,2268395900370,2268593248527,1907668,75434.156508616,75434.256536856,75434.157464506,75434.256536856,0.000955890,1,0.00956,0.00956,184311,2015,0.010933,164,33,0.201220,857160
2268593248527,2268792313883,2268594169957,2268792313883,921430,75434.256536856,75434.356470669,75434.256997772,75434.356470669,0.000460916,1,0.00461,0.00461,184311,744,0.004037,198,161,0.813131,857160
2268792313883,2268991630265,2268793230142,2268991630265,916259,75434.356470669,75434.456531606,75434.356929052,75434.456531606,0.000458383,1,0.00458,0.00458,184311,761,0.004129,43,26,0.604651,857160
2268991630265,2269190712915,2268992802820,2269190712915,1172555,75434.456531606,75434.556473415,75434.457117928,75434.556473415,0.000586322,1,0.00587,0.00587,184311,740,0.004015,201,156,0.776119,857160
2269190712915,2269389973076,2269191634837,2269389973076,921922,75434.556473415,75434.656506044,75434.556934397,75434.656506044,0.000460982,1,0.00461,0.00461,184311,759,0.004118,52,30,0.576923,857160
2269389973076,2269589178971,2269391184254,2269589178971,1211178,75434.656506044,75434.756510380,75434.657111791,75434.756510380,0.000605747,1,0.00606,0.00606,184311,790,0.004286,60,39,0.650000,857160
2269589178971,2269788452973,2269590559957,2269788452973,1380986,75434.756510380,75434.856548926,75434.757201200,75434.856548926,0.000690820,1,0.00691,0.00691,184311,785,0.004259,61,42,0.688525,857160
2269788452973,2269987528126,2269789746323,2269987528126,1293350,75434.856548926,75434.956488052,75434.857196290,75434.956488052,0.000647364,1,0.00648,0.00648,184311,1033,0.005605,140,75,0.535714,857160
2269987528126,2270186719614,2269988797304,2270186719614,1269178,75434.956488052,75435.056484787,75434.957122709,75435.056484787,0.000634657,1,0.00635,0.00635,184311,851,0.004617,71,36,0.507042,857160
2270186719614,2270386039579,2270188163917,2270386039579,1444303,75435.056484787,75435.156546379,75435.057207920,75435.156546379,0.000723133,1,0.00723,0.00723,184311,767,0.004161,57,36,0.631579,857160
2270386039579,2270585134459,2270387235038,2270585134459,1195459,75435.156546379,75435.256495850,75435.157144761,75435.256495850,0.000598382,1,0.00599,0.00599,184311,768,0.004167,52,31,0.596154,857160
2270585134459,2270784331347,2270586376181,2270784331347,1241722,75435.256495850,75435.356495105,75435.257116728,75435.356495105,0.000620878,1,0.00621,0.00621,184311,769,0.004172,43,31,0.720930,857160
2270784331347,2270983499301,2270785582331,2270983499301,1250984,75435.356495105,75435.456480412,75435.357121282,75435.456480412,0.000626177,1,0.00626,0.00626,184311,905,0.004910,87,33,0.379310,857160
2270983499301,2271182699475,2270984684130,2271182699475,1184829,75435.456480412,75435.556482093,75435.457073099,75435.556482093,0.000592687,1,0.00593,0.00593,184311,764,0.004145,53,30,0.566038,857160
2271182699475,2271381928626,2271183919960,2271381928626,1220485,75435.556482093,75435.656502409,75435.557092731,75435.656502409,0.000610638,1,0.00611,0.00611,184311,764,0.004145,48,28,0.583333,857160
2271381928626,2271581214005,2271383102696,2271581214005,1174070,75435.656502409,75435.756542407,75435.657085492,75435.756542407,0.000583083,1,0.00583,0.00583,184311,761,0.004129,56,34,0.607143,857160
2271581214005,2271780433822,2271582586402,2271780433822,1372397,75435.756542407,75435.856553851,75435.757229381,75435.856553851,0.000686974,1,0.00687,0.00687,184311,740,0.004015,195,156,0.800000,857160
2271780433822,2271979623115,2271781637314,2271979623115,1203492,75435.856553851,75435.956550191,75435.857156136,75435.956550191,0.000602285,1,0.00602,0.00602,185496,954,0.005143,340,196,0.576471,862053
2271979623115,2272178799259,2271980801209,2272178799259,1178094,75435.956550191,75436.056539658,75435.957139570,75436.056539658,0.000589379,1,0.00589,0.00589,184311,745,0.004042,199,167,0.839196,857160
2272178799259,2272377990267,2272179981888,2272377990267,1182629,75436.056539658,75436.156536599,75436.057131187,75436.156536599,0.000591529,1,0.00592,0.00592,184311,744,0.004037,213,173,0.812207,857160
2272377990267,2272577209837,2272379155753,2272577209837,1165486,75436.156536599,75436.256548235,75436.157119673,75436.256548235,0.000583074,1,0.00583,0.00583,184311,741,0.004020,195,155,0.794872,857160
2272577209837,2272776383773,2272578395370,2272776383773,1185533,75436.256548235,75436.356536433,75436.257141054,75436.356536433,0.000592819,1,0.00593,0.00593,184311,745,0.004042,207,169,0.816425,857160
2272776383773,2272975653147,2272777570412,2272975653147,1186639,75436.356536433,75436.456573038,75436.357130046,75436.456573038,0.000593613,1,0.00593,0.00593,184311,739,0.004010,206,166,0.805825,857160
2272975653147,2273174793231,2272976837075,2273174793231,1183928,75436.456573038,75436.556544405,75436.457164989,75436.556544405,0.000591951,1,0.00592,0.00592,184311,744,0.004037,206,171,0.830097,857160
2273174793231,2273374046624,2273175964029,2273374046624,1170798,75436.556544405,75436.656572525,75436.557129769,75436.656572525,0.000585364,1,0.00585,0.00585,184311,739,0.004010,209,164,0.784689,857160
2273374046624,2273573059886,2273375222866,2273573059886,1176242,75436.656572525,75436.756479872,75436.657160812,75436.756479872,0.000588287,1,0.00589,0.00589,184311,743,0.004031,214,171,0.799065,857160
2273573059886,2273772387866,2273574240363,2273772387866,1180477,75436.756479872,75436.856546199,75436.757070880,75436.856546199,0.000591008,1,0.00591,0.00591,184311,773,0.004194,239,208,0.870293,857160
2273772387866,2273971523268,2273773659068,2273971523268,1271202,75436.856546199,75436.956514659,75436.857181850,75436.956514659,0.000635651,1,0.00636,0.00636,184311,739,0.004010,190,158,0.831579,857160
2273971523268,2274170759191,2273972683003,2274170759191,1159735,75436.956514659,75437.056534361,75436.957094877,75437.056534361,0.000580218,1,0.0058,0.0058,184311,771,0.004183,60,31,0.516667,857160
2274170759191,2274369981479,2274172257616,2274369981479,1498425,75437.056534361,75437.156547319,75437.057284539,75437.156547319,0.000750178,1,0.0075,0.0075,184311,741,0.004020,227,180,0.792952,857160
2274369981479,2274569140194,2274371350771,2274569140194,1369292,75437.156547319,75437.256527803,75437.157232310,75437.256527803,0.000684991,1,0.00685,0.00685,184311,736,0.003993,208,164,0.788462,857160
2274569140194,2274768372070,2274570305579,2274768372070,1165385,75437.256527803,75437.356545488,75437.257110861,75437.356545488,0.000583058,1,0.00583,0.00583,184311,741,0.004020,197,158,0.802030,857160
2274768372070,2274967555579,2274769741932,2274967555579,1369862,75437.356545488,75437.456538398,75437.357230799,75437.456538398,0.000685311,1,0.00685,0.00685,184311,743,0.004031,195,157,0.805128,857160
2274967555579,2275166697665,2274968918423,2275166697665,1362844,75437.456538398,75437.556511100,75437.457220575,75437.556511100,0.000682177,1,0.00682,0.00682,184311,736,0.003993,193,155,0.803109,857160
2275166697665,2275365861635,2275168644161,2275365861635,1946496,75437.556511100,75437.656494260,75437.557486091,75437.656494260,0.000974991,1,0.00975,0.00975,184311,903,0.004899,56,28,0.500000,857160
2275365861635,2275565049969,2275367604311,2275565049969,1742676,75437.656494260,75437.756490196,75437.657367586,75437.756490196,0.000873326,1,0.00873,0.00873,184311,1365,0.007406,153,36,0.235294,857160
2275565049969,2275764263852,2275566755688,2275764263852,1705719,75437.756490196,75437.856498522,75437.757344590,75437.856498522,0.000854394,1,0.00854,0.00854,184311,966,0.005241,83,33,0.397590,857160
