period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2409513708504,2409713388157,2409513906965,2409713388157,198461,75505.000798048,75505.100985040,75505.000839178,75505.100985040,0.000041130,1,0.000411,0.000411,790,29,0.036709,17,12,0.705882,5135
2409713388157,2409912563512,2409713641522,2409912563512,253365,75505.100985040,75505.200973753,75505.101109070,75505.200973753,0.000124030,1,0.00124,0.00124,790,38,0.048101,20,14,0.700000,5135
2409912563512,2410111788582,2409912743626,2410111788582,180114,75505.200973753,75505.300987503,75505.201060971,75505.300987503,0.000087218,1,0.000872,0.000872,790,30,0.037975,15,12,0.800000,5135
2410111788582,2410310563246,2410111966437,2410310563246,177855,75505.300987503,75505.400774962,75505.301073718,75505.400774962,0.000086215,1,0.000864,0.000864,790,30,0.037975,16,14,0.875000,5135
2410310563246,2410510077229,2410310735159,2410510077229,171913,75505.400774962,75505.500934729,75505.400858697,75505.500934729,0.000083735,1,0.000836,0.000836,790,30,0.037975,17,12,0.705882,5135
2410510077229,2410708918389,2410510256584,2410708918389,179355,75505.500934729,75505.600754958,75505.501021347,75505.600754958,0.000086618,1,0.000868,0.000868,790,37,0.046835,16,13,0.812500,5135
2410708918389,2410908566162,2410709082047,2410908566162,163658,75505.600754958,75505.700981991,75505.600834654,75505.700981991,0.000079696,1,0.000795,0.000795,790,30,0.037975,17,8,0.470588,5135
2410908566162,2411107355772,2410908746946,2411107355772,180784,75505.700981991,75505.800777351,75505.701069426,75505.800777351,0.000087435,1,0.000876,0.000876,790,30,0.037975,20,17,0.850000,5135
2411107355772,2411306422976,2411107533216,2411306422976,177444,75505.800777351,75505.900711142,75505.800863046,75505.900711142,0.000085695,1,0.000858,0.000858,790,31,0.039241,18,14,0.777778,5135
2411306422976,2411505687131,2411306585510,2411505687131,162534,75505.900711142,75506.000744689,75505.900790258,75506.000744689,0.000079116,1,0.000791,0.000791,790,33,0.041772,15,7,0.466667,5135
2411505687131,2411705358360,2411505858511,2411705358360,171380,75506.000744689,75506.100983279,75506.000828186,75506.100983279,0.000083497,1,0.000833,0.000833,790,27,0.034177,14,12,0.857143,5135
2411705358360,2411903968113,2411705539045,2411903968113,180685,75506.100983279,75506.200688075,75506.101070914,75506.200688075,0.000087635,1,0.000879,0.000879,790,31,0.039241,18,14,0.777778,5135
2411903968113,2412103741432,2411904145411,2412103741432,177298,75506.200688075,75506.300977694,75506.200774270,75506.300977694,0.000086195,1,0.000859,0.000859,790,39,0.049367,18,12,0.666667,5135
2412103741432,2412302961842,2412103917240,2412302961842,175808,75506.300977694,75506.400989093,75506.301062571,75506.400989093,0.000084877,1,0.000849,0.000849,790,29,0.036709,19,16,0.842105,5135
2412302961842,2412502122879,2412303137448,2412502122879,175606,75506.400989093,75506.500970769,75506.401074107,75506.500970769,0.000085014,1,0.00085,0.00085,790,27,0.034177,18,15,0.833333,5135
2412502122879,2412700749982,2412502298035,2412700749982,175156,75506.500970769,75506.600684020,75506.501055640,75506.600684020,0.000084871,1,0.000851,0.000851,790,28,0.035443,16,14,0.875000,5135
2412700749982,2412900126505,2412700907954,2412900126505,157972,75506.600684020,75506.700774090,75506.600760809,75506.700774090,0.000076789,1,0.000767,0.000767,790,30,0.037975,14,6,0.428571,5135
2412900126505,2413099422987,2412900296163,2413099422987,169658,75506.700774090,75506.800824495,75506.700856682,75506.800824495,0.000082592,1,0.000826,0.000826,790,28,0.035443,14,11,0.785714,5135
