period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2276617245831,2276815979082,2276617452305,2276815979082,206474,75438.284765703,75438.384475718,75438.284810023,75438.384475718,0.000044320,1,0.000444,0.000444,1096,31,0.028285,15,11,0.733333,3813
2276815979082,2277015187740,2276816190876,2277015187740,211794,75438.384475718,75438.484482195,75438.384579958,75438.484482195,0.000104240,1,0.00104,0.00104,1096,43,0.039234,23,8,0.347826,3813
2277015187740,2277214230178,2277015361743,2277214230178,174003,75438.484482195,75438.584403057,75438.484566749,75438.584403057,0.000084554,1,0.000846,0.000846,1096,38,0.034672,15,11,0.733333,3813
2277214230178,2277413575754,2277214342647,2277413575754,112469,75438.584403057,75438.684478940,75438.584458046,75438.684478940,0.000054989,1,0.000549,0.000549,1096,77,0.070255,27,13,0.481481,3813
2277413575754,2277612779462,2277413739620,2277612779462,163866,75438.684478940,75438.784481800,75438.684558544,75438.784481800,0.000079604,1,0.000796,0.000796,1096,36,0.032847,15,13,0.866667,3813
2277612779462,2277812033894,2277612930028,2277812033894,150566,75438.784481800,75438.884510899,75438.784555243,75438.884510899,0.000073443,1,0.000734,0.000734,1096,42,0.038321,20,10,0.500000,3813
2277812033894,2278011079945,2277812198997,2278011079945,165103,75438.884510899,75438.984433673,75438.884591321,75438.984433673,0.000080422,1,0.000805,0.000805,1096,37,0.033759,18,10,0.555556,3813
2278011079945,2278210421246,2278011163496,2278210421246,83551,75438.984433673,75439.084507737,75438.984474348,75439.084507737,0.000040675,1,0.000406,0.000406,1096,38,0.034672,16,8,0.500000,3813
2278210421246,2278409561721,2278210592527,2278409561721,171281,75439.084507737,75439.184478198,75439.084591030,75439.184478198,0.000083293,1,0.000833,0.000833,1096,37,0.033759,19,12,0.631579,3813
2278409561721,2278608819398,2278409672007,2278608819398,110286,75439.184478198,75439.284509556,75439.184531898,75439.284509556,0.000053700,1,0.000537,0.000537,1096,35,0.031934,16,5,0.312500,3813
2278608819398,2278807910751,2278608981555,2278807910751,162157,75439.284509556,75439.384456423,75439.284588623,75439.384456423,0.000079067,1,0.000791,0.000791,1096,39,0.035584,18,6,0.333333,3813
2278807910751,2279007140797,2278808069530,2279007140797,158779,75439.384456423,75439.484472842,75439.384533810,75439.484472842,0.000077387,1,0.000774,0.000774,1096,38,0.034672,20,10,0.500000,3813
2279007140797,2279206796525,2279007306942,2279206796525,166145,75439.484472842,75439.584703802,75439.484554084,75439.584703802,0.000081242,1,0.000811,0.000811,1096,36,0.032847,15,7,0.466667,3813
2279206796525,2279405519277,2279206981042,2279405519277,184517,75439.584703802,75439.684464867,75439.584793599,75439.684464867,0.000089797,1,0.0009,0.0009,1096,37,0.033759,17,17,1.000000,3813
2279405519277,2279604744266,2279405676510,2279604744266,157233,75439.684464867,75439.784479489,75439.684541738,75439.784479489,0.000076871,1,0.000769,0.000769,1096,38,0.034672,16,6,0.375000,3813
2279604744266,2279803879431,2279604904110,2279803879431,159844,75439.784479489,75439.884448170,75439.784556950,75439.884448170,0.000077461,1,0.000775,0.000775,1096,37,0.033759,15,13,0.866667,3813
2279803879431,2280003132715,2279804038479,2280003132715,159048,75439.884448170,75439.984476100,75439.884525469,75439.984476100,0.000077299,1,0.000773,0.000773,1096,49,0.044708,24,9,0.375000,3813
2280003132715,2280202333709,2280003288322,2280202333709,155607,75439.984476100,75440.084477364,75439.984552105,75440.084477364,0.000076005,1,0.00076,0.00076,1096,38,0.034672,16,7,0.437500,3813
2280202333709,2280401461807,2280202430811,2280401461807,97102,75440.084477364,75440.184443689,75440.084524449,75440.184443689,0.000047085,1,0.000471,0.000471,1096,39,0.035584,18,12,0.666667,3813
2280401461807,2280600787402,2280401835281,2280600787402,373474,75440.184443689,75440.284508268,75440.184629262,75440.284508268,0.000185573,1,0.00185,0.00185,1096,101,0.092153,29,7,0.241379,3813
2280600787402,2280799961132,2280600952003,2280799961132,164601,75440.284508268,75440.384496767,75440.284588519,75440.384496767,0.000080251,1,0.000803,0.000803,1096,37,0.033759,16,7,0.437500,3813
2280799961132,2280998996377,2280800123860,2280998996377,162728,75440.384496767,75440.484415137,75440.384575778,75440.484415137,0.000079011,1,0.000791,0.000791,1096,36,0.032847,18,6,0.333333,3813
2280998996377,2281198318834,2280999150825,2281198318834,154448,75440.484415137,75440.584478334,75440.484490415,75440.584478334,0.000075278,1,0.000752,0.000752,1096,34,0.031022,13,5,0.384615,3813
2281198318834,2281397506781,2281198481884,2281397506781,163050,75440.584478334,75440.684473457,75440.584557745,75440.684473457,0.000079411,1,0.000794,0.000794,1096,38,0.034672,17,8,0.470588,3813
2281397506781,2281596675793,2281397663373,2281596675793,156592,75440.684473457,75440.784459510,75440.684549925,75440.784459510,0.000076468,1,0.000765,0.000765,1096,41,0.037409,17,6,0.352941,3813
2281596675793,2281795880705,2281596833410,2281795880705,157617,75440.784459510,75440.884463422,75440.784536359,75440.884463422,0.000076849,1,0.000768,0.000768,1096,47,0.042883,23,6,0.260870,3813
2281795880705,2281995130600,2281796035688,2281995130600,154983,75440.884463422,75440.984488910,75440.884538952,75440.984488910,0.000075530,1,0.000755,0.000755,1096,42,0.038321,20,6,0.300000,3813
2281995130600,2282194289867,2281995216243,2282194289867,85643,75440.984488910,75441.084471078,75440.984530388,75441.084471078,0.000041478,1,0.000415,0.000415,1096,38,0.034672,16,13,0.812500,3813
2282194289867,2282393470781,2282194452559,2282393470781,162692,75441.084471078,75441.184463077,75441.084550388,75441.184463077,0.000079310,1,0.000793,0.000793,1096,45,0.041058,21,8,0.380952,3813
2282393470781,2282592671170,2282393624859,2282592671170,154078,75441.184463077,75441.284464425,75441.184537986,75441.284464425,0.000074909,1,0.000749,0.000749,1096,36,0.032847,14,7,0.500000,3813
2282592671170,2282791888673,2282592828293,2282791888673,157123,75441.284464425,75441.384475244,75441.284541122,75441.384475244,0.000076697,1,0.000767,0.000767,1096,38,0.034672,16,5,0.312500,3813
2282791888673,2282991084365,2282792054756,2282991084365,166083,75441.384475244,75441.484474756,75441.384555842,75441.484474756,0.000080598,1,0.000806,0.000806,1096,38,0.034672,16,6,0.375000,3813
2282991084365,2283190243531,2282991251620,2283190243531,167255,75441.484474756,75441.584455507,75441.484555807,75441.584455507,0.000081051,1,0.000811,0.000811,1096,37,0.033759,15,5,0.333333,3813
2283190243531,2283389418704,2283190448573,2283389418704,205042,75441.584455507,75441.684444438,75441.584555707,75441.684444438,0.000100200,1,0.001,0.001,1096,59,0.053832,19,5,0.263158,3813
2283389418704,2283588681186,2283389623673,2283588681186,204969,75441.684444438,75441.784477053,75441.684544811,75441.784477053,0.000100373,1,0.001,0.001,1096,67,0.061131,19,6,0.315789,3813
2283588681186,2283787851821,2283588873265,2283787851821,192079,75441.784477053,75441.884463474,75441.784571269,75441.884463474,0.000094216,1,0.000942,0.000942,1096,95,0.086679,26,6,0.230769,3813
2283787851821,2283987009491,2283788008616,2283987009491,156795,75441.884463474,75441.984443872,75441.884540083,75441.984443872,0.000076609,1,0.000766,0.000766,1096,39,0.035584,17,7,0.411765,3813
2283987009491,2284186253118,2283987206731,2284186253118,197240,75441.984443872,75442.084467141,75441.984540806,75442.084467141,0.000096934,1,0.000969,0.000969,1096,93,0.084854,23,6,0.260870,3813
2284186253118,2284385375612,2284186407529,2284385375612,154411,75442.084467141,75442.184429781,75442.084542427,75442.184429781,0.000075286,1,0.000753,0.000753,1096,38,0.034672,18,8,0.444444,3813
2284385375612,2284584661019,2284385565923,2284584661019,190311,75442.184429781,75442.284474289,75442.184523033,75442.284474289,0.000093252,1,0.000932,0.000932,1096,58,0.052920,18,6,0.333333,3813
2284584661019,2284783859216,2284584960625,2284783859216,299606,75442.284474289,75442.384474930,75442.284622578,75442.384474930,0.000148289,1,0.00148,0.00148,1096,41,0.037409,22,6,0.272727,3813
2284783859216,2284983066155,2284784015009,2284983066155,155793,75442.384474930,75442.484479870,75442.384550689,75442.484479870,0.000075759,1,0.000758,0.000758,1096,33,0.030109,12,5,0.416667,3813
2284983066155,2285182264696,2284983231206,2285182264696,165051,75442.484479870,75442.584480626,75442.484560225,75442.584480626,0.000080355,1,0.000804,0.000804,1096,42,0.038321,19,8,0.421053,3813
2285182264696,2285381468099,2285182429394,2285381468099,164698,75442.584480626,75442.684484161,75442.584560788,75442.684484161,0.000080162,1,0.000802,0.000802,1096,38,0.034672,17,6,0.352941,3813
2285381468099,2285580645474,2285381636255,2285580645474,168156,75442.684484161,75442.784473909,75442.684565786,75442.784473909,0.000081625,1,0.000816,0.000816,1096,40,0.036496,20,9,0.450000,3813
2285580645474,2285779842923,2285580804285,2285779842923,158811,75442.784473909,75442.884473824,75442.784551094,75442.884473824,0.000077185,1,0.000772,0.000772,1096,36,0.032847,15,7,0.466667,3813
2285779842923,2285979004106,2285780001449,2285979004106,158526,75442.884473824,75442.984455845,75442.884551230,75442.984455845,0.000077406,1,0.000774,0.000774,1096,36,0.032847,15,7,0.466667,3813
2285979004106,2286178245282,2285979160800,2286178245282,156694,75442.984455845,75443.084478921,75442.984532331,75443.084478921,0.000076486,1,0.000765,0.000765,1096,42,0.038321,21,7,0.333333,3813
2286178245282,2286377434889,2286178416908,2286377434889,171626,75443.084478921,75443.184474474,75443.084561866,75443.184474474,0.000082945,1,0.000829,0.000829,1096,40,0.036496,17,7,0.411765,3813
2286377434889,2286576657307,2286377596143,2286576657307,161254,75443.184474474,75443.284487257,75443.184553041,75443.284487257,0.000078567,1,0.000786,0.000786,1096,40,0.036496,15,8,0.533333,3813
