period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2603618577168,2603817800019,2603620364172,2603817800019,1787004,75602.444263297,75602.544219580,75602.445101123,75602.544219580,0.000837826,1,0.00838,0.00838,777079,1133,0.001458,304,235,0.773026,2210693
2603817800019,2604016817828,2603818043766,2604016817828,243747,75602.544219580,75602.644127629,75602.544339226,75602.644127629,0.000119646,1,0.0012,0.0012,1549,369,0.238218,235,187,0.795745,4717
2604016817828,2604216078136,2604016899534,2604216078136,81706,75602.644127629,75602.744160955,75602.644167212,75602.744160955,0.000039583,1,0.000396,0.000396,1549,355,0.229180,220,182,0.827273,4717
2604216078136,2604415273594,2604216249521,2604415273594,171385,75602.744160955,75602.844159684,75602.744244122,75602.844159684,0.000083167,1,0.000832,0.000832,1549,387,0.249839,232,176,0.758621,4717
2604415273594,2604614475918,2604415449736,2604614475918,176142,75602.844159684,75602.944162317,75602.844245499,75602.944162317,0.000085815,1,0.000858,0.000858,1548,369,0.238372,231,180,0.779221,4717
2604614475918,2604813674480,2604614650969,2604813674480,175051,75602.944162317,75603.044162614,75602.944247324,75603.044162614,0.000085007,1,0.00085,0.00085,1549,370,0.238864,252,191,0.757937,4717
2604813674480,2605012897065,2604813852175,2605012897065,177695,75603.044162614,75603.144175172,75603.044249116,75603.144175172,0.000086502,1,0.000865,0.000865,1549,359,0.231762,229,181,0.790393,4717
2605012897065,2605212069221,2605013068053,2605212069221,170988,75603.144175172,75603.244162459,75603.144258269,75603.244162459,0.000083097,1,0.000831,0.000831,1549,365,0.235636,230,179,0.778261,4717
2605212069221,2605411281898,2605212249821,2605411281898,180600,75603.244162459,75603.344170144,75603.244250471,75603.344170144,0.000088012,1,0.00088,0.00088,1549,357,0.230471,232,187,0.806034,4717
2605411281898,2605610531850,2605411459423,2605610531850,177525,75603.344170144,75603.444196616,75603.344256557,75603.444196616,0.000086413,1,0.000864,0.000864,1549,348,0.224661,219,179,0.817352,4717
2605610531850,2605809786124,2605610751775,2605809786124,219925,75603.444196616,75603.544224987,75603.444304576,75603.544224987,0.000107960,1,0.00108,0.00108,1549,434,0.280181,223,167,0.748879,4717
2605809786124,2606009059633,2605809961812,2606009059633,175688,75603.544224987,75603.644263553,75603.544310358,75603.644263553,0.000085371,1,0.000853,0.000853,1549,367,0.236927,234,187,0.799145,4717
2606009059633,2606208096390,2606009246106,2606208096390,186473,75603.644263553,75603.744180939,75603.644354026,75603.744180939,0.000090473,1,0.000905,0.000905,1549,349,0.225307,232,194,0.836207,4717
2606208096390,2606407736550,2606208182142,2606407736550,85752,75603.744180939,75603.844405441,75603.744222438,75603.844405441,0.000041499,1,0.000414,0.000414,1549,356,0.229826,226,173,0.765487,4717
2606407736550,2606606634357,2606407929261,2606606634357,192711,75603.844405441,75603.944254253,75603.844498648,75603.944254253,0.000093207,1,0.000933,0.000933,1549,347,0.224015,234,185,0.790598,4717
2606606634357,2606805816368,2606606837207,2606805816368,202850,75603.944254253,75604.044247132,75603.944353413,75604.044247132,0.000099160,1,0.000992,0.000992,1549,400,0.258231,236,188,0.796610,4717
2606805816368,2607004994482,2606806009602,2607004994482,193234,75604.044247132,75604.144236689,75604.044340729,75604.144236689,0.000093597,1,0.000936,0.000936,1549,355,0.229180,224,190,0.848214,4717
2607004994482,2607204765018,2607005179649,2607204765018,185167,75604.144236689,75604.244524752,75604.144326976,75604.244524752,0.000090287,1,0.0009,0.0009,1549,357,0.230471,235,190,0.808511,4717
2607204765018,2607403441353,2607204957329,2607403441353,192311,75604.244524752,75604.344263191,75604.244618175,75604.344263191,0.000093423,1,0.000937,0.000937,1549,356,0.229826,232,189,0.814655,4717
2607403441353,2607602474096,2607403808875,2607602474096,367522,75604.344263191,75604.444180061,75604.344444664,75604.444180061,0.000181473,1,0.00182,0.00182,1549,365,0.235636,240,183,0.762500,4717
2607602474096,2607801836788,2607602663607,2607801836788,189511,75604.444180061,75604.544263521,75604.444272705,75604.544263521,0.000092644,1,0.000926,0.000926,1549,364,0.234990,221,189,0.855204,4717
2607801836788,2608001029844,2607802025155,2608001029844,188367,75604.544263521,75604.644260853,75604.544354705,75604.644260853,0.000091184,1,0.000912,0.000912,1549,354,0.228535,239,183,0.765690,4717
2608001029844,2608200136526,2608001214938,2608200136526,185094,75604.644260853,75604.744215337,75604.644350912,75604.744215337,0.000090059,1,0.000901,0.000901,1549,353,0.227889,235,177,0.753191,4717
2608200136526,2608399419109,2608200315448,2608399419109,178922,75604.744215337,75604.844258459,75604.744302172,75604.844258459,0.000086835,1,0.000868,0.000868,1549,348,0.224661,216,172,0.796296,4717
2608399419109,2608598442797,2608399610566,2608598442797,191457,75604.844258459,75604.944170639,75604.844351163,75604.944170639,0.000092704,1,0.000928,0.000928,1549,356,0.229826,235,197,0.838298,4717
2608598442797,2608798095774,2608598616157,2608798095774,173360,75604.944170639,75605.044399819,75604.944254756,75605.044399819,0.000084117,1,0.000839,0.000839,1549,349,0.225307,225,182,0.808889,4717
2608798095774,2608997208821,2608798287488,2608997208821,191714,75605.044399819,75605.144357512,75605.044492667,75605.144357512,0.000092848,1,0.000929,0.000929,1549,345,0.222724,230,187,0.813043,4717
2608997208821,2609196149794,2608997396951,2609196149794,188130,75605.144357512,75605.244228368,75605.144448483,75605.244228368,0.000090971,1,0.000911,0.000911,1549,361,0.233054,241,196,0.813278,4717
2609196149794,2609395402592,2609196337179,2609395402592,187385,75605.244228368,75605.344256182,75605.244319599,75605.344256182,0.000091231,1,0.000912,0.000912,1549,357,0.230471,237,183,0.772152,4717
2609395402592,2609594601687,2609395592759,2609594601687,190167,75605.344256182,75605.444256450,75605.344348445,75605.444256450,0.000092263,1,0.000923,0.000923,1549,355,0.229180,238,193,0.810924,4717
2609594601687,2609793751687,2609594777807,2609793751687,176120,75605.444256450,75605.544233357,75605.444342235,75605.544233357,0.000085785,1,0.000858,0.000858,1549,359,0.231762,221,173,0.782805,4717
2609793751687,2609993007167,2609793939862,2609993007167,188175,75605.544233357,75605.644262503,75605.544324395,75605.644262503,0.000091038,1,0.00091,0.00091,1549,349,0.225307,227,189,0.832599,4717
2609993007167,2610192023510,2609993199375,2610192023510,192208,75605.644262503,75605.744171084,75605.644355586,75605.744171084,0.000093083,1,0.000932,0.000932,1549,352,0.227243,235,188,0.800000,4717
2610192023510,2610391406940,2610192205276,2610391406940,181766,75605.744171084,75605.844264591,75605.744259289,75605.844264591,0.000088205,1,0.000881,0.000881,1549,373,0.240801,224,176,0.785714,4717
2610391406940,2610590597521,2610391594935,2610590597521,187995,75605.844264591,75605.944260532,75605.844355851,75605.944260532,0.000091260,1,0.000913,0.000913,1549,368,0.237573,252,204,0.809524,4717
2610590597521,2610789993798,2610590774612,2610789993798,177091,75605.944260532,75606.044361133,75605.944346902,75606.044361133,0.000086370,1,0.000863,0.000863,1549,352,0.227243,251,200,0.796813,4717
2610789993798,2610988925511,2610790185376,2610988925511,191578,75606.044361133,75606.144227372,75606.044453853,75606.144227372,0.000092720,1,0.000928,0.000928,1549,357,0.230471,238,202,0.848739,4717
2610988925511,2611188107332,2610989112860,2611188107332,187349,75606.144227372,75606.244219156,75606.144318351,75606.244219156,0.000090979,1,0.00091,0.00091,1549,352,0.227243,212,180,0.849057,4717
2611188107332,2611387584562,2611188296702,2611387584562,189370,75606.244219156,75606.344360022,75606.244311471,75606.344360022,0.000092315,1,0.000922,0.000922,1549,357,0.230471,241,206,0.854772,4717
2611387584562,2611586606293,2611387772782,2611586606293,188220,75606.344360022,75606.444271940,75606.344451292,75606.444271940,0.000091270,1,0.000914,0.000914,1549,364,0.234990,232,187,0.806034,4717
2611586606293,2611785796138,2611587015229,2611785796138,408936,75606.444271940,75606.544267820,75606.444474303,75606.544267820,0.000202363,1,0.00202,0.00202,1549,372,0.240155,212,174,0.820755,4717
2611785796138,2611985224402,2611785984494,2611985224402,188356,75606.544267820,75606.644383711,75606.544359244,75606.644383711,0.000091424,1,0.000913,0.000913,1549,348,0.224661,226,189,0.836283,4717
