period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2501464021405,2501662919856,2501465738758,2501662919856,1717353,75551.161204736,75551.260997865,75551.162007020,75551.260997865,0.000802284,1,0.00804,0.00804,750039,916,0.001221,161,124,0.770186,2129009
2501662919856,2501862338776,2501663150382,2501862338776,230526,75551.260997865,75551.361109381,75551.261110647,75551.361109381,0.000112782,1,0.00113,0.00113,1289,203,0.157486,135,116,0.859259,4224
2501862338776,2502061500209,2501862528900,2502061500209,190124,75551.361109381,75551.461091014,75551.361201483,75551.461091014,0.000092102,1,0.000921,0.000921,1289,207,0.160590,143,119,0.832168,4224
2502061500209,2502260232369,2502061684609,2502260232369,184400,75551.461091014,75551.560857407,75551.461180526,75551.560857407,0.000089512,1,0.000897,0.000897,1289,211,0.163693,130,114,0.876923,4224
2502260232369,2502459961570,2502260413983,2502459961570,181614,75551.560857407,75551.661124726,75551.560945566,75551.661124726,0.000088159,1,0.000879,0.000879,1289,231,0.179209,132,116,0.878788,4240
2502459961570,2502658665390,2502460151149,2502658665390,189579,75551.661124726,75551.760874732,75551.661216531,75551.760874732,0.000091805,1,0.00092,0.00092,1289,205,0.159038,127,106,0.834646,4224
2502658665390,2502858010440,2502658746263,2502858010440,80873,75551.760874732,75551.860950738,75551.760913893,75551.860950738,0.000039161,1,0.000391,0.000391,1289,201,0.155935,121,99,0.818182,4224
2502858010440,2503057604963,2502858200745,2503057604963,190305,75551.860950738,75551.961158071,75551.861043246,75551.961158071,0.000092508,1,0.000923,0.000923,1289,212,0.164469,139,123,0.884892,4224
2503057604963,2503256330558,2503057841355,2503256330558,236392,75551.961158071,75552.060912957,75551.961265731,75552.060912957,0.000107660,1,0.00108,0.00108,1289,222,0.172227,137,111,0.810219,4240
2503256330558,2503455854063,2503256507003,2503455854063,176445,75552.060912957,75552.161075203,75552.060998664,75552.161075203,0.000085707,1,0.000856,0.000856,1289,206,0.159814,114,98,0.859649,4224
2503455854063,2503655206607,2503455953611,2503655206607,99548,75552.161075203,75552.261155334,75552.161123605,75552.261155334,0.000048402,1,0.000484,0.000484,1289,214,0.166020,142,119,0.838028,4224
2503655206607,2503854413666,2503655435677,2503854413666,229070,75552.261155334,75552.361159921,75552.261266684,75552.361159921,0.000111350,1,0.00111,0.00111,1289,214,0.166020,127,108,0.850394,4224
2503854413666,2504053708067,2503854603854,2504053708067,190188,75552.361159921,75552.461208743,75552.361251962,75552.461208743,0.000092041,1,0.00092,0.00092,1289,216,0.167572,145,113,0.779310,4240
2504053708067,2504252660047,2504053898526,2504252660047,190459,75552.461208743,75552.561085528,75552.461300793,75552.561085528,0.000092050,1,0.000922,0.000922,1289,197,0.152832,124,105,0.846774,4224
