period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2419731680403,2419930931732,2419733279311,2419930931732,1598908,75510.130366654,75510.230342075,75510.131115577,75510.230342075,0.000748923,1,0.00749,0.00749,242014,961,0.003971,128,55,0.429688,1742255
2419930931732,2420130550864,2419932558655,2420130550864,1626923,75510.230342075,75510.330554265,75510.231156726,75510.330554265,0.000814651,1,0.00813,0.00813,242095,1031,0.004259,264,131,0.496212,1742464
2420130550864,2420329806010,2420132195699,2420329806010,1644835,75510.330554265,75510.430583348,75510.331377667,75510.430583348,0.000823402,1,0.00823,0.00823,242044,1222,0.005049,256,136,0.531250,1742239
2420329806010,2420528478436,2420331419603,2420528478436,1613593,75510.430583348,75510.530319692,75510.431390745,75510.530319692,0.000807397,1,0.0081,0.0081,241834,1024,0.004234,223,132,0.591928,1741636
2420528478436,2420727583480,2420530107203,2420727583480,1628767,75510.530319692,75510.630271689,75510.531135275,75510.630271689,0.000815583,1,0.00816,0.00816,242927,1212,0.004989,313,53,0.169329,1746176
2420727583480,2420926681353,2420728269288,2420926681353,685808,75510.630271689,75510.730222003,75510.630614761,75510.730222003,0.000343072,1,0.00343,0.00343,240475,723,0.003007,64,33,0.515625,1737053
2420926681353,2421125877357,2420927732957,2421125877357,1051604,75510.730222003,75510.830221045,75510.730748493,75510.830221045,0.000526490,1,0.00526,0.00526,240475,798,0.003318,42,20,0.476190,1737071
2421125877357,2421325162764,2421126802983,2421325162764,925626,75510.830221045,75510.930265248,75510.830684702,75510.930265248,0.000463657,1,0.00463,0.00463,240870,1008,0.004185,102,19,0.186275,1739771
2421325162764,2421524364173,2421325837250,2421524364173,674486,75510.930265248,75511.030267716,75510.930602680,75511.030267716,0.000337432,1,0.00337,0.00337,240475,729,0.003032,66,35,0.530303,1737029
2421524364173,2421724220677,2421525053543,2421724220677,689370,75511.030267716,75511.130600041,75511.030612215,75511.130600041,0.000344499,1,0.00343,0.00343,240475,732,0.003044,68,37,0.544118,1737049
2421724220677,2421922828032,2421725813696,2421922828032,1593019,75511.130600041,75511.230303387,75511.131397293,75511.230303387,0.000797252,1,0.008,0.008,241358,1015,0.004205,151,74,0.490066,1739962
2421922828032,2422122615154,2421924364824,2422122615154,1536792,75511.230303387,75511.330599955,75511.231072708,75511.330599955,0.000769321,1,0.00767,0.00767,240475,715,0.002973,54,27,0.500000,1737053
2422122615154,2422321725002,2422124211511,2422321725002,1596357,75511.330599955,75511.430556468,75511.331399003,75511.430556468,0.000799048,1,0.00799,0.00799,241798,1027,0.004247,164,74,0.451220,1742817
2422321725002,2422520454048,2422323343468,2422520454048,1618466,75511.430556468,75511.530320611,75511.431366033,75511.530320611,0.000809565,1,0.00811,0.00811,241886,1037,0.004287,236,143,0.605932,1741841
2422520454048,2422720127532,2422521994335,2422720127532,1540287,75511.530320611,75511.630560011,75511.531091486,75511.630560011,0.000770875,1,0.00769,0.00769,240475,716,0.002977,61,36,0.590164,1737075
2422720127532,2422919304037,2422721753482,2422919304037,1625950,75511.630560011,75511.730549794,75511.631373587,75511.730549794,0.000813576,1,0.00814,0.00814,242051,1065,0.004400,242,150,0.619835,1742285
2422919304037,2423118518943,2422920911413,2423118518943,1607376,75511.730549794,75511.830558527,75511.731353878,75511.830558527,0.000804084,1,0.00804,0.00804,241481,954,0.003951,177,95,0.536723,1740330
2423118518943,2423317715198,2423120139038,2423317715198,1620095,75511.830558527,75511.930557832,75511.831369095,75511.930557832,0.000810568,1,0.00811,0.00811,242186,991,0.004092,205,117,0.570732,1744174
2423317715198,2423516774428,2423319341868,2423516774428,1626670,75511.930557832,75512.030488785,75511.931371800,75512.030488785,0.000813968,1,0.00815,0.00815,241996,1036,0.004281,227,126,0.555066,1742077
2423516774428,2423716088765,2423518533329,2423716088765,1758901,75512.030488785,75512.130547522,75512.031369203,75512.130547522,0.000880418,1,0.0088,0.0088,241427,1030,0.004266,187,78,0.417112,1740190
2423716088765,2423915294486,2423717676387,2423915294486,1587622,75512.130547522,75512.230551405,75512.131341611,75512.230551405,0.000794089,1,0.00794,0.00794,242039,1046,0.004322,218,126,0.577982,1742316
2423915294486,2424114004681,2423916871019,2424114004681,1576533,75512.230551405,75512.330305503,75512.231340311,75512.330305503,0.000788906,1,0.00791,0.00791,241835,1007,0.004164,210,126,0.600000,1741669
2424114004681,2424313717437,2424115031484,2424313717437,1026803,75512.330305503,75512.430566207,75512.330820040,75512.430566207,0.000514537,1,0.00513,0.00513,240475,756,0.003144,69,24,0.347826,1737079
2424313717437,2424512415273,2424315349320,2424512415273,1631883,75512.430566207,75512.530315227,75512.431382406,75512.530315227,0.000816199,1,0.00818,0.00818,242105,1203,0.004969,228,130,0.570175,1742573
2424512415273,2424712094600,2424513971144,2424712094600,1555871,75512.530315227,75512.630557568,75512.531093305,75512.630557568,0.000778078,1,0.00776,0.00776,240475,730,0.003036,70,43,0.614286,1737037
2424712094600,2424911289369,2424713713723,2424911289369,1619123,75512.630557568,75512.730555740,75512.631367085,75512.730555740,0.000809517,1,0.0081,0.0081,241876,1034,0.004275,234,141,0.602564,1741758
2424911289369,2425110055793,2424912892115,2425110055793,1602746,75512.730555740,75512.830338885,75512.731357600,75512.830338885,0.000801860,1,0.00804,0.00804,241472,964,0.003992,177,100,0.564972,1740306
2425110055793,2425309277183,2425111655486,2425309277183,1599693,75512.830338885,75512.930351490,75512.831139719,75512.930351490,0.000800834,1,0.00801,0.00801,241785,961,0.003975,212,108,0.509434,1741527
2425309277183,2425508869048,2425310844599,2425508869048,1567416,75512.930351490,75513.030549540,75512.931135605,75513.030549540,0.000784115,1,0.00783,0.00783,241820,951,0.003933,187,74,0.395722,1741615
2425508869048,2425707611548,2425510442525,2425707611548,1573477,75513.030549540,75513.130320976,75513.031336783,75513.130320976,0.000787243,1,0.00789,0.00789,241488,959,0.003971,180,108,0.600000,1740413
2425707611548,2425907276186,2425709349096,2425907276186,1737548,75513.130320976,75513.230556001,75513.131191384,75513.230556001,0.000870408,1,0.00868,0.00868,242172,1348,0.005566,280,100,0.357143,1744165
2425907276186,2426106333677,2425908881086,2426106333677,1604900,75513.230556001,75513.330485825,75513.231358707,75513.330485825,0.000802706,1,0.00803,0.00803,241485,945,0.003913,171,86,0.502924,1740450
2426106333677,2426305653322,2426107914637,2426305653322,1580960,75513.330485825,75513.430547223,75513.331276493,75513.430547223,0.000790668,1,0.0079,0.0079,241908,1019,0.004212,208,125,0.600962,1741805
2426305653322,2426504564758,2426307218470,2426504564758,1565148,75513.430547223,75513.530403278,75513.431329958,75513.530403278,0.000782735,1,0.00784,0.00784,241432,933,0.003864,154,80,0.519481,1740145
2426504564758,2426704140209,2426506196497,2426704140209,1631739,75513.530403278,75513.630592928,75513.531219906,75513.630592928,0.000816628,1,0.00815,0.00815,242224,1050,0.004335,274,185,0.675182,1743077
2426704140209,2426903359133,2426705770580,2426903359133,1630371,75513.630592928,75513.730604075,75513.631409027,75513.730604075,0.000816099,1,0.00816,0.00816,242524,1101,0.004540,266,138,0.518797,1745377
2426903359133,2427102492456,2426904950838,2427102492456,1591705,75513.730604075,75513.830570505,75513.731400517,75513.830570505,0.000796442,1,0.00797,0.00797,241326,1029,0.004264,158,69,0.436709,1739827
2427102492456,2427301733798,2427103195377,2427301733798,702921,75513.830570505,75513.930593943,75513.830921763,75513.930593943,0.000351258,1,0.00351,0.00351,240475,710,0.002952,69,47,0.681159,1737069
2427301733798,2427500962044,2427303334066,2427500962044,1600268,75513.930593943,75514.030609765,75513.931394742,75514.030609765,0.000800799,1,0.00801,0.00801,241786,1047,0.004330,235,141,0.600000,1741476
2427500962044,2427699557223,2427502704986,2427699557223,1742942,75514.030609765,75514.130307027,75514.031482016,75514.130307027,0.000872251,1,0.00875,0.00875,241573,1085,0.004491,190,84,0.442105,1740796
2427699557223,2427899322510,2427701090092,2427899322510,1532869,75514.130307027,75514.230592587,75514.131074039,75514.230592587,0.000767012,1,0.00765,0.00765,240869,713,0.002960,59,39,0.661017,1739732
2427899322510,2428098525251,2427900911255,2428098525251,1588745,75514.230592587,75514.330595054,75514.231387197,75514.330595054,0.000794610,1,0.00795,0.00795,241918,1028,0.004249,223,133,0.596413,1741836
2428098525251,2428297696616,2428100125742,2428297696616,1600491,75514.330595054,75514.430582004,75514.331395801,75514.430582004,0.000800747,1,0.00801,0.00801,241949,1049,0.004336,227,139,0.612335,1741983
2428297696616,2428496507749,2428299281558,2428496507749,1584942,75514.430582004,75514.530387808,75514.431374953,75514.530387808,0.000792949,1,0.00794,0.00794,241894,1040,0.004299,224,134,0.598214,1741746
2428496507749,2428695536234,2428498103236,2428695536234,1595487,75514.530387808,75514.630303062,75514.531186506,75514.630303062,0.000798698,1,0.00799,0.00799,242001,1085,0.004483,219,103,0.470320,1742132
2428695536234,2428895303246,2428697061766,2428895303246,1525532,75514.630303062,75514.730589321,75514.631066472,75514.730589321,0.000763410,1,0.00761,0.00761,240475,722,0.003002,55,31,0.563636,1737073
