period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2286836381702,2287036147740,2286836555674,2287036147740,173972,75443.414915881,75443.515160621,75443.414957564,75443.515160621,0.000041683,1,0.000416,0.000416,6803,170,0.024989,28,16,0.571429,39862
2287036147740,2287234954338,2287036454382,2287234954338,306642,75443.515160621,75443.614961641,75443.515310112,75443.614961641,0.000149491,1,0.0015,0.0015,6803,183,0.026900,20,8,0.400000,39862
2287234954338,2287434136467,2287235064607,2287434136467,110269,75443.614961641,75443.714954892,75443.615015049,75443.714954892,0.000053408,1,0.000534,0.000534,6803,178,0.026165,29,14,0.482759,39862
2287434136467,2287633332177,2287434387376,2287633332177,250909,75443.714954892,75443.814954344,75443.715078627,75443.814954344,0.000123735,1,0.00124,0.00124,6803,172,0.025283,26,11,0.423077,39862
2287633332177,2287832441987,2287633547720,2287832441987,215543,75443.814954344,75443.914910684,75443.815060065,75443.914910684,0.000105721,1,0.00106,0.00106,6803,174,0.025577,28,13,0.464286,39862
2287832441987,2288031684205,2287832690594,2288031684205,248607,75443.914910684,75444.014932968,75443.915032871,75444.014932968,0.000122187,1,0.00122,0.00122,6803,193,0.028370,17,7,0.411765,39862
2288031684205,2288230837282,2288031931320,2288230837282,247115,75444.014932968,75444.114911408,75444.015055130,75444.114911408,0.000122162,1,0.00122,0.00122,6803,206,0.030281,25,7,0.280000,39862
2288230837282,2288430034751,2288231090337,2288430034751,253055,75444.114911408,75444.214911422,75444.115035860,75444.214911422,0.000124452,1,0.00124,0.00124,6803,194,0.028517,13,7,0.538462,39862
2288430034751,2288629567553,2288430293389,2288629567553,258638,75444.214911422,75444.315078523,75444.215038852,75444.315078523,0.000127430,1,0.00127,0.00127,6803,196,0.028811,18,6,0.333333,39862
2288629567553,2288828394462,2288629706552,2288828394462,138999,75444.315078523,75444.414893915,75444.315146931,75444.414893915,0.000068408,1,0.000685,0.000685,6803,187,0.027488,22,13,0.590909,39862
