period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2613836464002,2614035594460,2613836686847,2614035594460,222845,75607.573786762,75607.673698466,75607.573841035,75607.673698466,0.000054273,1,0.000543,0.000543,6200,35,0.005645,16,12,0.750000,22332
2614035594460,2614234959102,2614035856665,2614234959102,262205,75607.673698466,75607.773782348,75607.673827356,75607.773782348,0.000128890,1,0.00129,0.00129,6202,33,0.005321,20,14,0.700000,22329
2614234959102,2614433695450,2614235173436,2614433695450,214334,75607.773782348,75607.873550857,75607.773887077,75607.873550857,0.000104729,1,0.00105,0.00105,6202,37,0.005966,18,16,0.888889,22329
2614433695450,2614632683717,2614433902701,2614632683717,207251,75607.873550857,75607.973445471,75607.873652010,75607.973445471,0.000101153,1,0.00101,0.00101,6202,41,0.006611,22,19,0.863636,22329
2614632683717,2614832575906,2614632874513,2614832575906,190796,75607.973445471,75608.073794597,75607.973538713,75608.073794597,0.000093242,1,0.000929,0.000929,6202,45,0.007256,20,7,0.350000,22329
2614832575906,2615031715840,2614832806379,2615031715840,230473,75608.073794597,75608.173766056,75608.073907316,75608.173766056,0.000112719,1,0.00113,0.00113,6202,35,0.005643,17,13,0.764706,22329
2615031715840,2615230866419,2615031961642,2615230866419,245802,75608.173766056,75608.273742205,75608.173886117,75608.273742205,0.000120061,1,0.0012,0.0012,6202,39,0.006288,17,15,0.882353,22329
2615230866419,2615430189591,2615231115577,2615430189591,249158,75608.273742205,75608.373805178,75608.273864226,75608.373805178,0.000122021,1,0.00122,0.00122,6202,38,0.006127,17,15,0.882353,22329
2615430189591,2615628674678,2615430397901,2615628674678,208310,75608.373805178,75608.473447428,75608.373906821,75608.473447428,0.000101643,1,0.00102,0.00102,6202,38,0.006127,21,18,0.857143,22329
2615628674678,2615828368803,2615628875266,2615828368803,200588,75608.473447428,75608.573697044,75608.473545238,75608.573697044,0.000097810,1,0.000976,0.000976,6202,40,0.006450,24,17,0.708333,22329
2615828368803,2616027695222,2615828603918,2616027695222,235115,75608.573697044,75608.673761502,75608.573811956,75608.673761502,0.000114912,1,0.00115,0.00115,6202,36,0.005805,18,16,0.888889,22329
2616027695222,2616226391315,2616027902058,2616226391315,206836,75608.673761502,75608.773508028,75608.673862481,75608.773508028,0.000100979,1,0.00101,0.00101,6202,36,0.005805,20,18,0.900000,22329
2616226391315,2616426088455,2616226496612,2616426088455,105297,75608.773508028,75608.873760680,75608.773559498,75608.873760680,0.000051470,1,0.000513,0.000513,6202,40,0.006450,22,12,0.545455,22329
2616426088455,2616624690508,2616426293590,2616624690508,205135,75608.873760680,75608.973461182,75608.873860641,75608.973461182,0.000099961,1,0.001,0.001,6202,41,0.006611,20,17,0.850000,22329
2616624690508,2616824479831,2616624936640,2616824479831,246132,75608.973461182,75609.073758898,75608.973582722,75609.073758898,0.000121540,1,0.00121,0.00121,6202,119,0.019187,29,8,0.275862,22329
2616824479831,2617023664542,2616824688853,2617023664542,209022,75609.073758898,75609.173752312,75609.073860754,75609.173752312,0.000101856,1,0.00102,0.00102,6202,40,0.006450,21,17,0.809524,22329
2617023664542,2617222855291,2617023871229,2617222855291,206687,75609.173752312,75609.273749006,75609.173853210,75609.273749006,0.000100898,1,0.00101,0.00101,6202,38,0.006127,21,19,0.904762,22329
2617222855291,2617422053163,2617223063004,2617422053163,207713,75609.273749006,75609.373749191,75609.273850225,75609.373749191,0.000101219,1,0.00101,0.00101,6202,36,0.005805,18,16,0.888889,22329
2617422053163,2617621247712,2617422260507,2617621247712,207344,75609.373749191,75609.473747546,75609.373850239,75609.473747546,0.000101048,1,0.00101,0.00101,6202,38,0.006127,19,16,0.842105,22329
