period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
2511664100073,2511862892614,2511681884692,2511862892614,17784619,75556.281792782,75556.381531126,75556.290661956,75556.381531126,0.008869174,1,0.0889,0.0889,5928929,9242,0.001559,920,329,0.357609,26551277
2511862892614,2512062108431,2511879212969,2512062108431,16320355,75556.381531126,75556.481540515,75556.389722661,75556.481540515,0.008191535,1,0.0819,0.0819,5843157,1793,0.000307,486,137,0.281893,26257063
2512062108431,2512261935607,2512078455572,2512261935607,16347141,75556.481540515,75556.581856729,75556.489745313,75556.581856729,0.008204798,1,0.0818,0.0818,5844318,1969,0.000337,584,177,0.303082,26261791
2512261935607,2512460488221,2512279600568,2512460488221,17664961,75556.581856729,75556.681532804,75556.590723555,75556.681532804,0.008866826,1,0.089,0.089,5843380,2387,0.000408,681,215,0.315712,26257836
2512460488221,2512659669382,2512477339325,2512659669382,16851104,75556.681532804,75556.781524783,75556.689990852,75556.781524783,0.008458048,1,0.0846,0.0846,5843602,2410,0.000412,702,163,0.232194,26258476
2512659669382,2512859433606,2512676565988,2512859433606,16896606,75556.781524783,75556.881809988,75556.790005593,75556.881809988,0.008480810,1,0.0846,0.0846,5843205,2259,0.000387,604,122,0.201987,26257086
2512859433606,2513058562210,2512876318438,2513058562210,16884832,75556.881809988,75556.981775442,75556.890284210,75556.981775442,0.008474222,1,0.0848,0.0848,5843198,2321,0.000397,675,196,0.290370,26257116
2513058562210,2513257771322,2513077554584,2513257771322,18992374,75556.981775442,75557.081781600,75556.991308302,75557.081781600,0.009532860,1,0.0953,0.0953,5847130,3130,0.000535,941,331,0.351753,26270254
2513257771322,2513456461894,2513276247314,2513456461894,18475992,75557.081781600,75557.181526447,75557.091054719,75557.181526447,0.009273119,1,0.093,0.093,5842882,2434,0.000417,656,226,0.344512,26256131
2513456461894,2513656123216,2513475048600,2513656123216,18586706,75557.181526447,75557.281759675,75557.190857097,75557.281759675,0.009330650,1,0.0931,0.0931,5844509,2580,0.000441,777,327,0.420849,26262655
2513656123216,2513855394038,2513674550609,2513855394038,18427393,75557.281759675,75557.381796594,75557.291008945,75557.381796594,0.009249270,1,0.0925,0.0925,5848946,3099,0.000530,1007,336,0.333664,26278031
2513855394038,2514054099078,2513873714389,2514054099078,18320351,75557.381796594,75557.481548796,75557.390992402,75557.481548796,0.009195808,1,0.0922,0.0922,5842913,2438,0.000417,674,271,0.402077,26256279
2514054099078,2514253326272,2514072358272,2514253326272,18259194,75557.481548796,75557.581563682,75557.490714290,75557.581563682,0.009165494,1,0.0916,0.0916,5843533,2504,0.000429,712,250,0.351124,26258332
2514253326272,2514452485290,2514271631138,2514452485290,18304866,75557.581563682,75557.681544649,75557.590752119,75557.681544649,0.009188437,1,0.0919,0.0919,5843457,2478,0.000424,705,294,0.417021,26257946
2514452485290,2514651667832,2514471117903,2514651667832,18632613,75557.681544649,75557.781537183,75557.690898103,75557.781537183,0.009353454,1,0.0935,0.0935,5843014,2551,0.000437,764,354,0.463351,26256597
2514651667832,2514851267908,2514670551322,2514851267908,18883490,75557.781537183,75557.881738653,75557.791016329,75557.881738653,0.009479146,1,0.0946,0.0946,5843084,2602,0.000445,729,333,0.456790,26256838
2514851267908,2515049940291,2514863349441,2515049940291,12081533,75557.881738653,75557.981475460,75557.887802441,75557.981475460,0.006063788,1,0.0608,0.0608,5843750,3180,0.000544,819,237,0.289377,26259844
2515049940291,2515249228676,2515066417791,2515249228676,16477500,75557.981475460,75558.081521149,75557.989746327,75558.081521149,0.008270867,1,0.0827,0.0827,5843232,2081,0.000356,640,345,0.539062,26257294
2515249228676,2515448459019,2515265761019,2515448459019,16532343,75558.081521149,75558.181536493,75558.089819414,75558.181536493,0.008298265,1,0.083,0.083,5843020,2051,0.000351,625,336,0.537600,26256743
2515448459019,2515647653882,2515455773617,2515647653882,7314598,75558.181536493,75558.281536689,75558.185207409,75558.281536689,0.003670916,1,0.0367,0.0367,5841678,1619,0.000277,439,164,0.373576,26251998
2515647653882,2515846828194,2515670985026,2515846828194,23331144,75558.281536689,75558.381524641,75558.293248415,75558.381524641,0.011711726,1,0.117,0.117,5843854,4367,0.000747,912,311,0.341009,26259484
2515846828194,2516049463522,2515861379633,2516049463522,14551439,75558.381524641,75558.483250447,75558.388828296,75558.483250447,0.007303655,1,0.0718,0.0718,5844918,2310,0.000395,742,348,0.469003,26264267
2516049463522,2516245227641,2516066011250,2516245227641,16547728,75558.483250447,75558.581527278,75558.491556124,75558.581527278,0.008305677,1,0.0845,0.0845,5842611,2161,0.000370,467,204,0.436831,26255169
2516245227641,2516444418833,2516261587478,2516444418833,16359837,75558.581527278,75558.681523743,75558.589738285,75558.681523743,0.008211007,1,0.0821,0.0821,5843039,1828,0.000313,497,163,0.327968,26256835
2516444418833,2516643515845,2516460820146,2516643515845,16401313,75558.681523743,75558.781473483,75558.689755874,75558.781473483,0.008232131,1,0.0824,0.0824,5843157,1875,0.000321,536,204,0.380597,26257052
2516643515845,2516842659089,2516659961226,2516842659089,16445381,75558.781473483,75558.881445093,75558.789727778,75558.881445093,0.008254295,1,0.0826,0.0826,5843593,1914,0.000328,517,172,0.332689,26258502
2516842659089,2517042047003,2516850646792,2517042047003,7987703,75558.881445093,75558.981542017,75558.885454133,75558.981542017,0.004009040,1,0.0401,0.0401,5842426,2113,0.000362,617,269,0.435981,26254543
2517042047003,2517241105719,2517058442883,2517241105719,16395880,75558.981542017,75559.081472249,75558.989771250,75559.081472249,0.008229233,1,0.0823,0.0823,5843034,1920,0.000329,523,175,0.334608,26256647
2517241105719,2517440439031,2517257929879,2517440439031,16824160,75559.081472249,75559.181540683,75559.089916744,75559.181540683,0.008444495,1,0.0844,0.0844,5842974,2229,0.000381,634,167,0.263407,26256434
2517440439031,2517639469286,2517457046199,2517639469286,16607168,75559.181540683,75559.281455750,75559.189876518,75559.281455750,0.008335835,1,0.0834,0.0834,5843082,2058,0.000352,638,289,0.452978,26256782
2517639469286,2517838819155,2517650349974,2517838819155,10880688,75559.281455750,75559.381533201,75559.286916969,75559.381533201,0.005461219,1,0.0546,0.0546,5841672,2059,0.000352,507,243,0.479290,26251951
2517838819155,2518038042462,2517855463736,2518038042462,16644581,75559.381533201,75559.481546427,75559.389887612,75559.481546427,0.008354411,1,0.0835,0.0835,5843248,2160,0.000370,619,170,0.274637,26257384
2518038042462,2518237189075,2518054976630,2518237189075,16934168,75559.481546427,75559.581520412,75559.490046007,75559.581520412,0.008499580,1,0.085,0.085,5844191,2322,0.000397,740,287,0.387838,26261403
