period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
7829040428655,7835016150641,7829618809853,7835016150641,578381198,84882.919588276,84885.919589824,84883.209905765,84885.919589824,0.290317489,1,0.0968,0.0968,241702229,60227374,0.249180,1610353,78901,0.048996,853405246
7835016150641,7840992326395,7835583388061,7840992326395,567237420,84885.919589824,84888.919870555,84886.204363832,84888.919870555,0.284774008,1,0.0949,0.0949,241664505,59925576,0.247970,2094501,85252,0.040703,853260931
7840992326395,7846967295077,7841564654775,7846967295077,572328380,84888.919870555,84891.919545361,84889.207200159,84891.919545361,0.287329604,1,0.0958,0.0958,241650987,60008044,0.248325,2037735,82267,0.040372,853219518
7846967295077,7852943014239,7847538911623,7852943014239,571616546,84891.919545361,84894.919596322,84892.206517282,84894.919596322,0.286971921,1,0.0957,0.0957,241656375,60041748,0.248459,1309882,85300,0.065120,853237478
7852943014239,7858918515705,7853486878554,7858918515705,543864315,84894.919596322,84897.919538105,84895.192635799,84897.919538105,0.273039477,1,0.091,0.091,241652384,59999382,0.248288,1578127,94268,0.059734,853214950
7858918515705,7864894120730,7859465222295,7864894120730,546706590,84897.919538105,84900.919532139,84898.194004691,84900.919532139,0.274466586,1,0.0915,0.0915,241643402,60061359,0.248554,1340774,82616,0.061618,853183703
7864894120730,7870870442728,7865468211146,7870870442728,574090416,84900.919532139,84903.919885955,84901.207746398,84903.919885955,0.288214259,1,0.0961,0.0961,241650570,59972919,0.248180,2041881,82477,0.040393,853204318
7870870442728,7876845522624,7871416375394,7876845522624,545932666,84903.919885955,84906.919616309,84904.193964006,84906.919616309,0.274078051,1,0.0914,0.0914,241640396,59805818,0.247499,2268181,82364,0.036313,853171294
7876845522624,7882821128872,7877388635730,7882821128872,543113106,84906.919616309,84909.919610842,84907.192278920,84909.919610842,0.272662611,1,0.0909,0.0909,241635423,60035834,0.248456,1584771,81398,0.051363,853148022
7882821128872,7888796772375,7883366997308,7888796772375,545868436,84909.919610842,84912.919624020,84910.193656850,84912.919624020,0.274046008,1,0.0913,0.0913,241648582,59930695,0.248008,1706335,93870,0.055013,853204818
7888796772375,7894772912313,7889378813183,7894772912313,582040808,84912.919624020,84915.919886344,84913.211829830,84915.919886344,0.292205810,1,0.0974,0.0974,241642398,60029814,0.248424,1650793,81327,0.049265,853180298
7894772912313,7900747829220,7895320183658,7900747829220,547271345,84915.919886344,84918.919534741,84916.194636672,84918.919534741,0.274750328,1,0.0916,0.0916,241643730,59725368,0.247163,2493031,81282,0.032604,853190775
7900747829220,7906723529128,7901295558795,7906723529128,547729575,84918.919534741,84921.919576630,84919.194515153,84921.919576630,0.274980412,1,0.0917,0.0917,241639674,59875349,0.247788,2157130,95205,0.044135,853165917
7906723529128,7912699375943,7907273031124,7912699375943,549501996,84921.919576630,84924.919692145,84922.195446605,84924.919692145,0.275869975,1,0.092,0.092,241642116,59647012,0.246840,2978842,85140,0.028582,853178874
7912699375943,7918674818577,7913247034205,7918674818577,547658262,84924.919692145,84927.919604005,84925.194636557,84927.919604005,0.274944412,1,0.0917,0.0917,241633764,59863426,0.247744,2229223,79450,0.035640,853141424
7918674818577,7924650329732,7919234779177,7924650329732,559960600,84927.919604005,84930.919551670,84928.200725121,84930.919551670,0.281121116,1,0.0937,0.0937,241644230,59905329,0.247907,2431161,97705,0.040189,853180778
7924650329732,7930625930415,7925194324530,7930625930415,543994798,84930.919551670,84933.919543037,84931.192656567,84933.919543037,0.273104897,1,0.091,0.091,241638953,59963269,0.248152,1644297,82945,0.050444,853165577
7930625930415,7936601544193,7931167368327,7936601544193,541437912,84933.919543037,84936.919541613,84934.191364457,84936.919541613,0.271821420,1,0.0906,0.0906,241636311,60000847,0.248311,1466920,79164,0.053966,853158642
7936601544193,7942577163661,7937144432205,7942577163661,542888012,84936.919541613,84939.919543145,84937.192090799,84939.919543145,0.272549186,1,0.0908,0.0908,241638583,59858769,0.247720,1465713,94478,0.064459,853168235
7942577163661,7948552896135,7943117966348,7948552896135,540802687,84939.919543145,84942.919600212,84940.191045493,84942.919600212,0.271502348,1,0.0905,0.0905,241642345,59918855,0.247965,1493191,86464,0.057906,853188069
7948552896135,7954528523263,7949101932935,7954528523263,549036800,84942.919600212,84945.919605126,84943.195237199,84945.919605126,0.275636987,1,0.0919,0.0919,241644727,59849497,0.247676,1878637,83988,0.044707,853197737
7954528523263,7960504021931,7955075830970,7960504021931,547307707,84945.919605126,84948.919546489,84946.194374104,84948.919546489,0.274768978,1,0.0916,0.0916,241644879,59924801,0.247987,2164607,81369,0.037591,853186669
7960504021931,7966479683811,7961051880122,7966479683811,547858191,84948.919546489,84951.919568627,84949.194590816,84951.919568627,0.275044327,1,0.0917,0.0917,241634246,59834052,0.247622,2041089,85629,0.041953,853147944
7966479683811,7972455380738,7967025455350,7972455380738,545771539,84951.919568627,84954.919609540,84952.193565818,84954.919609540,0.273997191,1,0.0913,0.0913,241647871,59951138,0.248093,1967250,84021,0.042710,853202622
7972455380738,7978431015363,7973025804572,7978431015363,570423834,84954.919609540,84957.919617494,84955.205982262,84957.919617494,0.286372722,1,0.0955,0.0955,241643321,59872172,0.247771,1685972,83841,0.049729,853183294
