period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
7984446761185,7990422567471,7985497667383,7990422567471,1050906198,84960.939814020,84963.939858923,84961.467358737,84963.939858923,0.527544717,1,0.176,0.176,627156796,2677538,0.004269,60015,1764,0.029393,2622999065
7990422567471,7996398000804,7991474233326,7996398000804,1051665855,84963.939858923,84966.939766333,84964.467834739,84966.939766333,0.527975816,1,0.176,0.176,626946640,2680399,0.004275,64967,1309,0.020149,2622215400
7996398000804,8002373639754,7997447900607,8002373639754,1049899803,84966.939766333,84969.939777976,84967.466855875,84969.939777976,0.527089542,1,0.176,0.176,626931545,2656489,0.004237,58062,2069,0.035634,2622162621
8002373639754,8008349811661,8003430961437,8008349811661,1057321683,84969.939777976,84972.940056829,84970.470593173,84972.940056829,0.530815197,1,0.177,0.177,626962472,2694200,0.004297,61078,1812,0.029667,2622271472
8008349811661,8014324910888,8009400302029,8014324910888,1050490368,84972.940056829,84975.939795804,84973.467442651,84975.939795804,0.527385822,1,0.176,0.176,626957905,2677113,0.004270,58257,1691,0.029027,2622257496
8014324910888,8020300363537,8015399198885,8020300363537,1074287997,84975.939795804,84978.939713445,84976.479129654,84978.939713445,0.539333850,1,0.18,0.18,626967492,2708020,0.004319,66885,3111,0.046513,2622291606
8020300363537,8026275969061,8021388351952,8026275969061,1087988415,84978.939713445,84981.939707624,84979.485925478,84981.939707624,0.546212033,1,0.182,0.182,626963310,2705852,0.004316,64354,1538,0.023899,2622277225
8026275969061,8032251738076,8027323445049,8032251738076,1047475988,84981.939707624,84984.939784067,84982.465580616,84984.939784067,0.525872992,1,0.175,0.175,626949455,2661492,0.004245,58973,1426,0.024181,2622225876
8032251738076,8038227377269,8033300321655,8038227377269,1048583579,84984.939784067,84987.939795203,84985.466213106,84987.939795203,0.526429039,1,0.175,0.175,626938526,2666930,0.004254,60277,1537,0.025499,2622184217
8038227377269,8044202961109,8039285936059,8044202961109,1058558790,84987.939795203,84990.939778454,84988.471232036,84990.939778454,0.531436833,1,0.177,0.177,626959039,2697432,0.004302,64268,1494,0.023246,2622261010
8044202961109,8050178501602,8045255744229,8050178501602,1052783120,84990.939778454,84993.939740093,84991.468315748,84993.939740093,0.528537294,1,0.176,0.176,626942112,2684471,0.004282,62515,1096,0.017532,2622198261
8050178501602,8056154225816,8051230319094,8056154225816,1051817492,84993.939740093,84996.939793715,84994.467792599,84996.939793715,0.528052506,1,0.176,0.176,626946143,2679053,0.004273,64304,1619,0.025177,2622211998
8056154225816,8062129847014,8057206196639,8062129847014,1051970823,84996.939793715,84999.939796110,84997.467923130,84999.939796110,0.528129415,1,0.176,0.176,626944535,2680316,0.004275,64565,1398,0.021653,2622208497
8062129847014,8068105445017,8063207209031,8068105445017,1077362017,84999.939796110,85002.939786493,85000.480672424,85002.939786493,0.540876314,1,0.18,0.18,626951895,2673274,0.004264,61001,1230,0.020164,2622230983
8068105445017,8074080916639,8069161188327,8074080916639,1055743310,85002.939786493,85005.939713771,85003.469809903,85005.939713771,0.530023410,1,0.177,0.177,626942051,2676332,0.004269,62407,2021,0.032384,2622194678
8074080916639,8080056532349,8075162152424,8080056532349,1081235785,85005.939713771,85008.939712970,85006.482534630,85008.939712970,0.542820859,1,0.181,0.181,626952397,2686424,0.004285,66673,1271,0.019063,2622233920
8080056532349,8086032127659,8081136660525,8086032127659,1080128176,85008.939712970,85011.939701868,85009.481978225,85011.939701868,0.542265255,1,0.181,0.181,626947017,2676214,0.004269,65411,1401,0.021418,2622214551
8086032127659,8092008358858,8087085821204,8092008358858,1053693545,85011.939701868,85014.940010472,85012.468695794,85014.940010472,0.528993926,1,0.176,0.176,626941687,2676735,0.004270,63340,1818,0.028702,2622196328
8092008358858,8097983651968,8093061100393,8097983651968,1052741535,85014.940010472,85017.939847535,85015.468526389,85017.939847535,0.528515917,1,0.176,0.176,626938174,2662077,0.004246,56697,1405,0.024781,2622181907
8097983651968,8103959088341,8099044653749,8103959088341,1061001781,85017.939847535,85020.939756551,85018.472510877,85020.939756551,0.532663342,1,0.178,0.178,626945820,2664320,0.004250,58592,2400,0.040961,2622209840
8103959088341,8109934747915,8105050897391,8109934747915,1091809050,85020.939756551,85023.939778223,85021.487886540,85023.939778223,0.548129989,1,0.183,0.183,626942182,2706698,0.004317,57238,1362,0.023795,2622198237
8109934747915,8115910216474,8111012767426,8115910216474,1078019511,85023.939778223,85026.939703311,85024.480984664,85026.939703311,0.541206441,1,0.18,0.18,626942675,2676191,0.004269,61763,1596,0.025841,2622202671
8115910216474,8121886121085,8116967484171,8121886121085,1057267697,85026.939703311,85029.939848271,85027.470492353,85029.939848271,0.530789042,1,0.177,0.177,626948092,2688259,0.004288,64798,2078,0.032069,2622219054
8121886121085,8127861516475,8122952445795,8127861516475,1066324710,85029.939848271,85032.939737308,85030.475183547,85032.939737308,0.535335276,1,0.178,0.178,626943374,2688284,0.004288,67106,1368,0.020386,2622202643
8127861516475,8133837358495,8128930901125,8133837358495,1069384650,85032.939737308,85035.939849694,85033.476608345,85035.939849694,0.536871037,1,0.179,0.179,626986219,2680279,0.004275,65401,1693,0.025886,2622344858
