period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
8140003465281,8145979114148,8140213753917,8145979114148,210288636,85039.035540226,85042.035499188,85039.141054387,85042.035499188,0.105514161,1,0.0352,0.0352,61144197,4059765,0.066397,2061398,125123,0.060698,263323438
8145979114148,8151954604732,8146183411188,8151954604732,204297040,85042.035499188,85045.035436040,85042.138062365,85045.035436040,0.102563177,1,0.0342,0.0342,60158507,3984784,0.066238,2036151,126922,0.062334,259693182
8151954604732,8157930191352,8152150588163,8157930191352,195983431,85045.035436040,85048.035419962,85045.133825032,85048.035419962,0.098388992,1,0.0328,0.0328,58232836,3877085,0.066579,2027229,111539,0.055020,252961426
8157930191352,8163906022967,8158095847325,8163906022967,165655973,85048.035419962,85051.035527919,85048.118584265,85051.035527919,0.083164303,1,0.0277,0.0277,58231785,3877705,0.066591,2032356,113700,0.055945,252961327
8163906022967,8169882034654,8164103713614,8169882034654,197690647,85051.035527919,85054.035726169,85051.134774670,85054.035726169,0.099246751,1,0.0331,0.0331,58236220,3880656,0.066636,2032391,133100,0.065489,252976067
8169882034654,8175857242607,8170077695878,8175857242607,195661224,85054.035726169,85057.035520655,85054.133953927,85057.035520655,0.098227758,1,0.0327,0.0327,58234932,3832119,0.065804,2046723,116375,0.056859,252969936
8175857242607,8181832859902,8176053778848,8181832859902,196536241,85057.035520655,85060.035520992,85057.134187831,85060.035520992,0.098667176,1,0.0329,0.0329,58233815,3824439,0.065674,2051688,113105,0.055128,252964721
8181832859902,8187808608046,8182028927525,8187808608046,196067623,85060.035520992,85063.035586847,85060.133953126,85063.035586847,0.098432134,1,0.0328,0.0328,58234492,3881221,0.066648,2025850,111384,0.054981,252969199
8187808608046,8193783912864,8188007815571,8193783912864,199207525,85063.035586847,85066.035429807,85063.135594832,85066.035429807,0.100007985,1,0.0333,0.0333,58235531,3879486,0.066617,2029612,111089,0.054734,252971640
8193783912864,8199760206539,8193948478385,8199760206539,164565521,85066.035429807,85069.035769563,85066.118046499,85069.035769563,0.082616692,1,0.0275,0.0275,58234356,3878535,0.066602,2029434,111366,0.054875,252970424
8199760206539,8205735311131,8199925172559,8205735311131,164966020,85069.035769563,85072.035511961,85069.118587270,85072.035511961,0.082817707,1,0.0276,0.0276,58226710,3875449,0.066558,2029776,103969,0.051222,252939494
8205735311131,8211710839567,8205902368791,8211710839567,167057660,85072.035511961,85075.035467577,85072.119379810,85075.035467577,0.083867849,1,0.028,0.028,58229407,3865643,0.066386,2031334,105999,0.052182,252950118
8211710839567,8217686353171,8211905238051,8217686353171,194398484,85075.035467577,85078.035416115,85075.133061930,85078.035416115,0.097594353,1,0.0325,0.0325,58232128,3877235,0.066582,2026520,103558,0.051101,252958539
8217686353171,8223661988732,8217880006159,8223661988732,193652988,85078.035416115,85081.035425237,85078.132635497,85081.035425237,0.097219382,1,0.0324,0.0324,58234557,3875271,0.066546,2025911,107635,0.053129,252969406
8223661988732,8229637596780,8223857668471,8229637596780,195679739,85081.035425237,85084.035420201,85081.133662183,85084.035420201,0.098236946,1,0.0327,0.0327,58233612,3876002,0.066560,2028222,108024,0.053260,252964753
8229637596780,8235613330319,8229804265284,8235613330319,166668504,85084.035420201,85087.035479732,85084.119092848,85087.035479732,0.083672647,1,0.0279,0.0279,58228887,3879933,0.066632,2026923,107014,0.052796,252949033
8235613330319,8241588865610,8235811107218,8241588865610,197776899,85087.035479732,85090.035438006,85087.134768968,85090.035438006,0.099289236,1,0.0331,0.0331,58240385,3882869,0.066670,2026484,108205,0.053395,252988726
8241588865610,8247564459801,8241754755860,8247564459801,165890250,85090.035438006,85093.035426609,85090.118720119,85093.035426609,0.083282113,1,0.0278,0.0278,58230179,3882140,0.066669,2028611,107938,0.053208,252954393
8247564459801,8253540080050,8247729488495,8253540080050,165028694,85093.035426609,85096.035427756,85093.118275745,85096.035427756,0.082849136,1,0.0276,0.0276,58230242,3878834,0.066612,2023901,110934,0.054812,252953931
8253540080050,8259515805822,8253735907570,8259515805822,195827520,85096.035427756,85099.035483858,85096.133739556,85099.035483858,0.098311800,1,0.0328,0.0328,58235397,3877679,0.066586,2030886,109840,0.054085,252971774
8259515805822,8265491412058,8259711003930,8265491412058,195198108,85099.035483858,85102.035476633,85099.133478017,85102.035476633,0.097994159,1,0.0327,0.0327,58232168,3876797,0.066575,2030911,107538,0.052951,252958573
8265491412058,8271467057476,8265657899041,8271467057476,166486983,85102.035476633,85105.035491562,85102.119058727,85105.035491562,0.083582094,1,0.0279,0.0279,58231540,3878892,0.066612,2027843,108352,0.053432,252959919
8271467057476,8277442530592,8271667075275,8277442530592,200017799,85105.035491562,85108.035419213,85105.135906508,85108.035419213,0.100414946,1,0.0335,0.0335,58234141,3812335,0.065466,2049137,115448,0.056340,252966009
8277442530592,8283418355310,8277639402952,8283418355310,196872360,85108.035419213,85111.035523560,85108.134255604,85111.035523560,0.098836391,1,0.0329,0.0329,58235002,3881432,0.066651,2026612,109175,0.053871,252970304
8283418355310,8289393996572,8283584234877,8289393996572,165879567,85111.035523560,85114.035534639,85111.118799799,85114.035534639,0.083276239,1,0.0278,0.0278,58227974,3874009,0.066532,2023660,105819,0.052291,252944599
