period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
8295527672313,8301503596949,8296879382768,8301503596949,1351710455,85117.114945688,85120.115041952,85117.793498379,85120.115041952,0.678552691,1,0.226,0.226,789947988,18837914,0.023847,3035851,325043,0.107068,3221846427
8301503596949,8307479199513,8302809858879,8307479199513,1306261930,85120.115041952,85123.115034710,85120.770835868,85123.115034710,0.655793916,1,0.219,0.219,776429819,18439815,0.023749,2983361,310762,0.104165,3174393135
8307479199513,8313454329011,8308767132986,8313454329011,1287933473,85123.115034710,85126.114789732,85123.761627025,85126.114789732,0.646592315,1,0.216,0.216,775566239,18412328,0.023740,2978919,311414,0.104539,3171371067
8313454329011,8319430423508,8314740379119,8319430423508,1286050108,85126.114789732,85129.115029648,85126.760436814,85129.115029648,0.645647082,1,0.215,0.215,775561593,18386001,0.023707,2986888,312615,0.104662,3171361796
8319430423508,8325405563773,8320730666386,8325405563773,1300242878,85129.115029648,85132.114789997,85129.767802025,85132.114789997,0.652772377,1,0.218,0.218,775580366,18395786,0.023719,2980469,311136,0.104392,3171439662
8325405563773,8331381660298,8326676820406,8331381660298,1271256633,85132.114789997,85135.115031349,85132.753010164,85135.115031349,0.638220167,1,0.213,0.213,775583478,18395545,0.023718,2998282,314275,0.104818,3171441253
8331381660298,8337357381202,8332647881698,8337357381202,1266221400,85135.115031349,85138.115083420,85135.750723025,85138.115083420,0.635691676,1,0.212,0.212,775576648,18413963,0.023742,2980905,311085,0.104359,3171421718
8337357381202,8343332929198,8338620707656,8343332929198,1263326454,85138.115083420,85141.115048896,85138.749321876,85141.115048896,0.634238456,1,0.211,0.211,775575156,18387043,0.023708,2981716,310397,0.104100,3171424472
8343332929198,8349308100281,8344603345059,8349308100281,1270415861,85141.115048896,85144.114824640,85141.752846299,85144.114824640,0.637797403,1,0.213,0.213,775574933,18401650,0.023726,2971965,313155,0.105370,3171410409
8349308100281,8355283650478,8350664805969,8355283650478,1356705688,85144.114824640,85147.114790646,85144.795943407,85147.114790646,0.681118767,1,0.227,0.227,775701717,18442522,0.023775,3033518,315889,0.104133,3171982192
8355283650478,8361259283431,8356571514698,8361259283431,1287864220,85147.114790646,85150.114798582,85147.761348610,85150.114798582,0.646557964,1,0.216,0.216,775566207,18349814,0.023660,2983088,311351,0.104372,3171385689
8361259283431,8367237421511,8362548653533,8367237421511,1289370102,85150.114798582,85153.115080695,85150.761930065,85153.115080695,0.647131483,1,0.216,0.216,775576416,18390631,0.023712,2973657,311451,0.104737,3171425209
8367237421511,8373214995495,8368541088871,8373214995495,1303667360,85153.115080695,85156.115049846,85153.769349961,85156.115049846,0.654269266,1,0.218,0.218,775566090,18403522,0.023729,2987542,311348,0.104215,3171355621
8373214995495,8379192399572,8374529937228,8379192399572,1314941733,85156.115049846,85159.114944632,85156.774980301,85159.114944632,0.659930455,1,0.22,0.22,775570878,18384274,0.023704,2964541,314267,0.106009,3171382609
8379192399572,8385169582662,8380465331359,8385169582662,1272931787,85159.114944632,85162.114738525,85159.753793440,85162.114738525,0.638848808,1,0.213,0.213,775559278,18395066,0.023718,2988961,316453,0.105874,3171332940
8385169582662,8391147836112,8386434394875,8391147836112,1264812213,85162.114738525,85165.115080371,85162.749515004,85165.115080371,0.634776479,1,0.212,0.212,775553096,18398518,0.023723,2994194,310348,0.103650,3171320176
8391147836112,8397124703371,8392406692925,8397124703371,1258856813,85165.115080371,85168.114736340,85165.746869970,85168.114736340,0.631789599,1,0.211,0.211,775561384,18391102,0.023713,2964601,312950,0.105562,3171343856
8397124703371,8403102300236,8398417767709,8403102300236,1293064338,85168.114736340,85171.114769118,85168.763696149,85171.114769118,0.648959809,1,0.216,0.216,775566128,18398954,0.023723,2976330,315394,0.105967,3171363620
8403102300236,8409079776276,8404439151538,8409079776276,1336851302,85171.114769118,85174.114750287,85171.785706569,85174.114750287,0.670937451,1,0.224,0.224,775573592,18384079,0.023704,2964787,310698,0.104796,3171403861
8409079776276,8415057314249,8410362277585,8415057314249,1282501309,85174.114750287,85177.114773414,85174.758413274,85177.114773414,0.643662987,1,0.215,0.215,775572839,18403815,0.023729,3002068,320333,0.106704,3171400547
8415057314249,8421035282153,8416326934444,8421035282153,1269620195,85177.114773414,85180.115021112,85177.751972690,85180.115021112,0.637199276,1,0.212,0.212,775561950,18387150,0.023708,2990725,313898,0.104957,3171363588
8421035282153,8427012844814,8422348408330,8427012844814,1313126177,85180.115021112,85183.115075047,85180.774057633,85183.115075047,0.659036521,1,0.22,0.22,775560716,18387727,0.023709,2982666,313854,0.105226,3171358329
8427012844814,8432990258606,8428271855633,8432990258606,1259010819,85183.115075047,85186.115063827,85183.746954407,85186.115063827,0.631879360,1,0.211,0.211,775556999,18347012,0.023657,2972704,312678,0.105183,3171350710
8432990258606,8438967701842,8434282072653,8438967701842,1291814047,85186.115063827,85189.115076627,85186.763408342,85189.115076627,0.648344515,1,0.216,0.216,775562100,18394242,0.023717,2980864,310818,0.104271,3171374413
8438967701842,8444944820105,8440276848131,8444944820105,1309146289,85189.115076627,85192.114935889,85189.772122005,85192.114935889,0.657045378,1,0.219,0.219,775562908,18389889,0.023712,2979109,312261,0.104817,3171361634
