period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
8451111036809,8457088332676,8453660327772,8457088332676,2549290963,85195.209764486,85198.209677098,85196.489180907,85198.209677098,1.279416421,1,0.426,0.426,1440502301,133587360,0.092737,1461274,9552,0.006537,7992665982
8457088332676,8463065878354,8459689450638,8463065878354,2601117962,85198.209677098,85201.209778244,85199.515162847,85201.209778244,1.305485749,1,0.435,0.435,1438339002,133509811,0.092822,1593899,8359,0.005244,7984740934
8463065878354,8469043341578,8465637940288,8469043341578,2572061934,85201.209778244,85204.209846564,85202.500684445,85204.209846564,1.290906201,1,0.43,0.43,1438332125,133497893,0.092814,1525498,7744,0.005076,7984697723
8469043341578,8475020377330,8471602899863,8475020377330,2559558285,85204.209846564,85207.209708905,85205.494480682,85207.209708905,1.284634118,1,0.428,0.428,1438329325,133488124,0.092808,1541111,8573,0.005563,7984694017
8475020377330,8480997612830,8477578085823,8480997612830,2557708493,85207.209708905,85210.209680073,85208.493418409,85210.209680073,1.283709504,1,0.428,0.428,1438332364,133473311,0.092797,1537676,7092,0.004612,7984715004
8480997612830,8486975137151,8483583753424,8486975137151,2586140594,85210.209680073,85213.209804889,85211.507663361,85213.209804889,1.297983288,1,0.433,0.433,1438352255,133493595,0.092810,1531112,9003,0.005880,7984779834
8486975137151,8492952720028,8489495259351,8492952720028,2520122200,85213.209804889,85216.209967546,85214.474656807,85216.209967546,1.264851918,1,0.422,0.422,1438346060,133487762,0.092806,1549690,7599,0.004904,7984766829
8492952720028,8498929955756,8495513033071,8498929955756,2560313043,85216.209967546,85219.209963990,85217.494994810,85219.209963990,1.285027264,1,0.428,0.428,1438342627,133483764,0.092804,1573913,8249,0.005241,7984755586
8498929955756,8504907181604,8501457621156,8504907181604,2527665400,85219.209963990,85222.209963607,85220.478608668,85222.209963607,1.268644678,1,0.423,0.423,1438348730,133492744,0.092810,1548550,8066,0.005209,7984778173
8504907181604,8510884389325,8507443810162,8510884389325,2536628558,85222.209963607,85225.209962171,85223.483110712,85225.209962171,1.273147105,1,0.424,0.424,1438344363,133483289,0.092803,1550111,7820,0.005045,7984766401
8510884389325,8516861500446,8513410408579,8516861500446,2526019254,85225.209962171,85228.209920879,85226.477787759,85228.209920879,1.267825588,1,0.423,0.423,1438346862,133474234,0.092797,1573725,7298,0.004637,7984775330
8516861500446,8522838686101,8519423168526,8522838686101,2561668080,85228.209920879,85231.209923950,85229.495641889,85231.209923950,1.285721010,1,0.429,0.429,1438345809,133462101,0.092789,1524466,7684,0.005040,7984764454
8522838686101,8528815845900,8525359591513,8528815845900,2520905412,85231.209923950,85234.209922364,85232.475189510,85234.209922364,1.265265560,1,0.422,0.422,1438349329,133456813,0.092785,1540861,7352,0.004771,7984784930
8528815845900,8534793066324,8531350115155,8534793066324,2534269255,85234.209922364,85237.209958970,85235.481898620,85237.209958970,1.271976256,1,0.424,0.424,1438346206,133497108,0.092813,1573221,8056,0.005121,7984774812
8534793066324,8540770215074,8537316625841,8540770215074,2523559517,85237.209958970,85240.209967212,85238.476563609,85240.209967212,1.266604639,1,0.422,0.422,1438345661,133485876,0.092805,1535694,7365,0.004796,7984764503
8540770215074,8546747341680,8543291564707,8546747341680,2521349633,85240.209967212,85243.209971812,85241.475465426,85243.209971812,1.265498214,1,0.422,0.422,1438335128,133489926,0.092809,1521347,7918,0.005205,7984729128
8546747341680,8552724426838,8549304724724,8552724426838,2557383044,85243.209971812,85246.209963152,85244.493559044,85246.209963152,1.283587232,1,0.428,0.428,1438332333,133486298,0.092806,1548047,8023,0.005183,7984717900
8552724426838,8558701508701,8555254038297,8558701508701,2529611459,85246.209963152,85249.209960249,85247.479614479,85249.209960249,1.269651327,1,0.423,0.423,1438334840,133452200,0.092782,1533682,7713,0.005029,7984728944
8558701508701,8564678595652,8561241373275,8564678595652,2539864574,85249.209960249,85252.209967559,85250.484760843,85252.209967559,1.274800594,1,0.425,0.425,1438338262,133512326,0.092824,1547675,8773,0.005669,7984742614
8564678595652,8570655643645,8567241719525,8570655643645,2563123873,85252.209967559,85255.209961702,85253.496445565,85255.209961702,1.286478006,1,0.429,0.429,1438362057,133503914,0.092817,1555175,8520,0.005478,7984814347
8570655643645,8576632674124,8573199875246,8576632674124,2544231601,85255.209961702,85258.209954682,85256.486960283,85258.209954682,1.276998581,1,0.426,0.426,1438338940,133480549,0.092802,1555750,8030,0.005161,7984738948
8576632674124,8582609723244,8579210091064,8582609723244,2577416940,85258.209954682,85261.209964093,85259.503612691,85261.209964093,1.293658009,1,0.431,0.431,1438338415,133524848,0.092833,1556818,9143,0.005873,7984734528
8582609723244,8588586722078,8585167788838,8588586722078,2558065594,85261.209964093,85264.209954871,85262.493912281,85264.209954871,1.283948188,1,0.428,0.428,1438334909,133487350,0.092807,1538022,8700,0.005657,7984723169
8588586722078,8594563054443,8591154129267,8594563054443,2567407189,85264.209954871,85267.209617583,85265.498594610,85267.209617583,1.288639739,1,0.43,0.43,1438339036,133458520,0.092787,1520461,7858,0.005168,7984733452
8594563054443,8600540162851,8597123070494,8600540162851,2560016051,85267.209617583,85270.209677575,85268.494551105,85270.209677575,1.284933522,1,0.428,0.428,1438334066,133481118,0.092803,1545729,7717,0.004992,7984722480
