period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
8606564942959,8612542292444,8606737327586,8612542292444,172384627,85273.233722065,85276.233865661,85273.320193906,85276.233865661,0.086471841,1,0.0288,0.0288,111973700,374420,0.003344,16856,5938,0.352278,380952587
8612542292444,8618519287391,8612687629722,8618519287391,145337278,85276.233865661,85279.233888202,85276.306812355,85279.233888202,0.072946694,1,0.0243,0.0243,113001291,371948,0.003292,17544,6546,0.373119,384641313
8618519287391,8624496111628,8618662634410,8624496111628,143347019,85279.233888202,85282.233831823,85279.305836242,85282.233831823,0.071948040,1,0.024,0.024,112208726,374397,0.003337,17575,6938,0.394765,381813043
8624496111628,8630473118606,8624671336052,8630473118606,175224424,85282.233831823,85285.233873297,85282.321780104,85285.233873297,0.087948281,1,0.0293,0.0293,112589402,370090,0.003287,18364,6418,0.349488,383155046
8630473118606,8636449446084,8630648062119,8636449446084,174943513,85285.233873297,85288.233580043,85285.321681117,85288.233580043,0.087807820,1,0.0293,0.0293,113080845,378727,0.003349,18886,6082,0.322037,384910945
8636449446084,8642426524600,8636627454613,8642426524600,178008529,85288.233580043,85291.233670042,85288.322926198,85291.233670042,0.089346155,1,0.0298,0.0298,112594588,368908,0.003276,18178,6663,0.366542,383182961
8642426524600,8648403831684,8642572706040,8648403831684,146181440,85291.233670042,85294.233881305,85291.307041496,85294.233881305,0.073371454,1,0.0245,0.0245,112409127,372184,0.003311,17345,6717,0.387259,382524687
8648403831684,8654380073455,8648580727970,8654380073455,176896286,85294.233881305,85297.233563267,85294.322669335,85297.233563267,0.088788030,1,0.0296,0.0296,111856666,354939,0.003173,22553,9387,0.416220,380522145
8654380073455,8660357464097,8654556044441,8660357464097,175970986,85297.233563267,85300.233828543,85297.321887393,85300.233828543,0.088324126,1,0.0294,0.0294,112580902,377843,0.003356,18338,5621,0.306522,383138104
8660357464097,8666333852122,8660531224747,8666333852122,173760650,85300.233828543,85303.233596551,85300.321043238,85303.233596551,0.087214695,1,0.0291,0.0291,112779625,374023,0.003316,17952,5888,0.327986,383820566
8666333852122,8672311161286,8666479107319,8672311161286,145255197,85303.233596551,85306.233832275,85303.306503166,85306.233832275,0.072906615,1,0.0243,0.0243,112061342,371230,0.003313,17649,6475,0.366876,381268981
8672311161286,8678287402192,8672452291022,8678287402192,141129736,85306.233832275,85309.233537591,85306.304668623,85309.233537591,0.070836348,1,0.0236,0.0236,112089320,370507,0.003305,17006,5795,0.340762,381355654
8678287402192,8684264199253,8678432649301,8684264199253,145247109,85309.233537591,85312.233528091,85309.306441090,85312.233528091,0.072903499,1,0.0243,0.0243,112478681,374345,0.003328,17304,7144,0.412853,382761601
8684264199253,8690241086025,8684409671946,8690241086025,145472693,85312.233528091,85315.233569594,85312.306545128,85315.233569594,0.073017037,1,0.0243,0.0243,112422806,374585,0.003332,17909,5241,0.292646,382562638
8690241086025,8696217895275,8690417627922,8696217895275,176541897,85315.233569594,85318.233577517,85315.322181483,85318.233577517,0.088611889,1,0.0295,0.0295,112532557,370999,0.003297,17849,5557,0.311334,382936151
8696217895275,8702194694980,8696393521676,8702194694980,175626401,85318.233577517,85321.233586126,85318.321730065,85321.233586126,0.088152548,1,0.0294,0.0294,112386110,370734,0.003299,17692,5788,0.327154,382410873
8702194694980,8708171950137,8702338581155,8708171950137,143886175,85321.233586126,85324.233829527,85321.305807166,85324.233829527,0.072221040,1,0.0241,0.0241,112133518,369937,0.003299,16780,5151,0.306973,381508770
8708171950137,8714148795226,8708344329954,8714148795226,172379817,85324.233829527,85327.233872155,85324.320352268,85327.233872155,0.086522741,1,0.0288,0.0288,112689819,367323,0.003260,16479,5108,0.309970,383542526
8714148795226,8720125559209,8714291076438,8720125559209,142281212,85327.233872155,85330.233879409,85327.305287144,85330.233879409,0.071414989,1,0.0238,0.0238,112438818,372521,0.003313,16052,4834,0.301146,382611887
8720125559209,8726102272062,8720270542392,8726102272062,144983183,85330.233879409,85333.233865838,85330.306650672,85333.233865838,0.072771263,1,0.0243,0.0243,112543216,366727,0.003259,15853,4933,0.311171,382995497
8726102272062,8732078654718,8726275039398,8732078654718,172767336,85333.233865838,85336.233692574,85333.320584017,85336.233692574,0.086718179,1,0.0289,0.0289,112315746,368187,0.003278,17104,5366,0.313728,382206141
8732078654718,8738055749836,8732250329503,8738055749836,171674785,85336.233692574,85339.233881454,85336.319861875,85339.233881454,0.086169301,1,0.0287,0.0287,111860941,368385,0.003293,16463,5013,0.304501,380557990
8738055749836,8744031844248,8738228106865,8744031844248,172357029,85339.233881454,85342.233572804,85339.320393495,85342.233572804,0.086512041,1,0.0288,0.0288,112486586,367860,0.003270,16236,5125,0.315657,382806190
8744031844248,8750009142738,8744193469498,8750009142738,161625250,85342.233572804,85345.233874558,85342.314698727,85345.233874558,0.081125923,1,0.027,0.027,112780349,372077,0.003299,17643,7900,0.447770,383862793
8750009142738,8755985272499,8750185263944,8755985272499,176121206,85345.233874558,85348.233594356,85345.322276794,85348.233594356,0.088402236,1,0.0295,0.0295,113107441,369929,0.003271,17410,5124,0.294314,385042817
