period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density,job_l1_references,job_l1_misses,ob_l1_miss_ratio(%%),job_l2_references,job_l2_misses,job_l2_miss_ratio(%%),instructions_retired
8762330786155,8768307545441,8762657199753,8768307545441,326413598,85351.418781024,85354.418777581,85351.582573449,85354.418777581,0.163792425,1,0.0546,0.0546,149881838,8060430,0.053779,731730,29488,0.040299,832059173
8768307545441,8774283747556,8768633521738,8774283747556,325976297,85354.418777581,85357.418548537,85354.582400047,85357.418548537,0.163622466,1,0.0545,0.0545,149292386,8063742,0.054013,746449,33633,0.045057,829965232
8774283747556,8780260659489,8774607688347,8780260659489,323940791,85357.418548537,85360.418680626,85357.581149569,85360.418680626,0.162601032,1,0.0542,0.0542,148935559,8073428,0.054208,784477,34412,0.043866,828694950
8780260659489,8786237036000,8780607710205,8786237036000,347050716,85360.418680626,85363.418548275,85360.592881969,85363.418548275,0.174201343,1,0.0581,0.0581,148946413,8067027,0.054161,723928,38673,0.053421,828736715
8786237036000,8792214105920,8786595045479,8792214105920,358009479,85363.418548275,85366.418769427,85363.598251100,85366.418769427,0.179702825,1,0.0599,0.0599,148941548,8073404,0.054205,770035,34335,0.044589,828717703
8792214105920,8798190633814,8792537715159,8798190633814,323609239,85366.418769427,85369.418722675,85366.581204752,85369.418722675,0.162435325,1,0.0541,0.0541,148933842,8088577,0.054310,722838,35136,0.048608,828682824
8798190633814,8804167031629,8798518836172,8804167031629,328202358,85369.418722675,85372.418615233,85369.583463796,85372.418615233,0.164741121,1,0.0549,0.0549,148943947,8068124,0.054169,741028,40817,0.055082,828716588
8804167031629,8810144072913,8804495566058,8810144072913,328534429,85372.418615233,85375.418835748,85372.583523245,85375.418835748,0.164908012,1,0.055,0.055,148955404,8081894,0.054257,751834,44307,0.058932,828762070
8810144072913,8816120086468,8810470671164,8816120086468,326598251,85375.418835748,85378.418543657,85375.582771941,85378.418543657,0.163936193,1,0.0547,0.0547,148944871,8053682,0.054072,727025,35960,0.049462,828739089
8816120086468,8822096541088,8816447158999,8822096541088,327072531,85378.418543657,85381.418478142,85378.582718686,85381.418478142,0.164175029,1,0.0547,0.0547,148939843,8059660,0.054114,728224,39048,0.053621,828710574
8822096541088,8828073276097,8822421523280,8828073276097,324982192,85381.418478142,85384.418557292,85381.581604147,85384.418557292,0.163126005,1,0.0544,0.0544,148931953,8063076,0.054139,747783,33664,0.045018,828674476
8828073276097,8834050119778,8828398560563,8834050119778,325284466,85384.418557292,85387.418696044,85384.581835341,85387.418696044,0.163278049,1,0.0544,0.0544,148939080,8063358,0.054139,717726,33736,0.047004,828711020
8834050119778,8840026392733,8834377331990,8840026392733,327212212,85387.418696044,85390.418552212,85387.582941530,85390.418552212,0.164245486,1,0.0548,0.0548,148947223,8059576,0.054110,757381,38821,0.051257,828745305
8840026392733,8846003461967,8840351367362,8846003461967,324974629,85390.418552212,85393.418812414,85390.581674685,85393.418812414,0.163122473,1,0.0544,0.0544,148936107,8051640,0.054061,748760,35172,0.046974,828698320
8846003461967,8851979678524,8846359581868,8851979678524,356119901,85393.418812414,85396.418646933,85393.597568696,85396.418646933,0.178756282,1,0.0596,0.0596,148951856,8060980,0.054118,729259,34107,0.046769,828761873
8851979678524,8857956473170,8852298708942,8857956473170,319030418,85396.418646933,85399.418779233,85396.578787489,85399.418779233,0.160140556,1,0.0534,0.0534,148938285,7862930,0.052793,736637,36840,0.050011,828707321
8857956473170,8863932578331,8858284736686,8863932578331,328263516,85399.418779233,85402.418566486,85399.583552772,85402.418566486,0.164773539,1,0.0549,0.0549,148936993,8070532,0.054188,726047,35907,0.049455,828687485
8863932578331,8869909504376,8864292792256,8869909504376,360213925,85402.418566486,85405.418771548,85402.599379232,85405.418771548,0.180812746,1,0.0603,0.0603,148949129,8052067,0.054059,742264,40229,0.054198,828747049
8869909504376,8875886018869,8870264732629,8875886018869,355228253,85405.418771548,85408.418772981,85405.597081539,85408.418772981,0.178309991,1,0.0594,0.0594,148942432,8064297,0.054144,725428,35415,0.048819,828703844
8875886018869,8881861921992,8876241196232,8881861921992,355177363,85408.418772981,85411.418471306,85408.597057612,85411.418471306,0.178284631,1,0.0594,0.0594,148932411,8069640,0.054183,741408,35120,0.047369,828658284
8881861921992,8887839112876,8882210260777,8887839112876,348338785,85411.418471306,85414.418820839,85411.593323963,85414.418820839,0.174852657,1,0.0583,0.0583,148933384,8068980,0.054178,763133,34962,0.045814,828672610
8887839112876,8893815066657,8888162286190,8893815066657,323173314,85414.418820839,85417.418552637,85414.581040965,85417.418552637,0.162220126,1,0.0541,0.0541,148935442,8061028,0.054124,746783,35392,0.047393,828679805
8893815066657,8899791946957,8894168856673,8899791946957,353790016,85417.418552637,85420.418753382,85417.596141685,85420.418753382,0.177589048,1,0.0592,0.0592,148938667,8061292,0.054125,725596,35524,0.048958,828689686
8899791946957,8905768538375,8900117744999,8905768538375,325798042,85420.418753382,85423.418812940,85420.582291593,85423.418812940,0.163538211,1,0.0545,0.0545,148928013,8059621,0.054118,782608,35545,0.045419,828644453
8905768538375,8911745038931,8906095300070,8911745038931,326761695,85423.418812940,85426.418830786,85423.582834930,85426.418830786,0.164021990,1,0.0547,0.0547,148935125,8068798,0.054177,701448,36946,0.052671,828678177
